"chrom","start.pos","end.pos","n.probes","GSM2403627_8622007189_R05C01","GSM2403629_8622007189_R01C02","GSM2403632_8622007189_R06C02","GSM2403633_8622007203_R03C01","GSM2403634_8622007203_R04C01","GSM2403635_8622007203_R06C01","GSM2403636_8622007203_R01C02","GSM2403637_8622007203_R02C02","GSM2403768_9296930017_R02C01","GSM2403769_9296930017_R05C01","GSM2403770_9296930017_R06C01","GSM2403771_9296930017_R01C02","GSM2403772_9296930017_R02C02","GSM2403773_9296930014_R02C01","GSM2403774_9296930017_R03C02","GSM2403775_9296930017_R04C02","GSM2404073_9373551108_R06C01","GSM2404773_9829119124_R04C01","GSM2404782_9533774013_R02C02","GSM2404784_9533774013_R04C02","GSM2405271_10006823024_R05C01","GSM2940824_200325530023_R01C01","GSM2941337_9370847051_R04C02"
"1",1,521369,249150001,1593,-0.003,0.011,0.001,0.027,0.003,0.008,0.021,0.025,0.024,0.031,0.031,0.03,0.044,0.048,0.046,0.043,0.004,-0.016,0,-0.004,0.047,0.021,0.046
"2",2,10001,242950001,1282,-0.012,-0.001,0.01,-0.006,-0.001,0.003,0.01,-0.004,0.029,0.028,0.016,0.02,0.029,0.032,0.03,0.024,-0.001,0.01,-0.012,-0.005,0.012,-0.021,0.021
"3",3,60001,197700001,978,-0.033,-0.01,-0.016,-0.013,-0.031,-0.004,0.006,-0.005,0.057,0.063,0.03,0.037,0.051,0.061,0.057,0.036,0.004,-0.003,-0.05,-0.028,0.047,-0.057,0.042
"4",4,10001,190900001,742,-0.014,-0.026,0.027,-0.035,0.016,0.02,-0.018,-0.033,-0.039,-0.024,-0.037,-0.05,-0.038,-0.028,-0.034,-0.039,-0.031,-0.049,-0.021,-0.023,-0.052,-0.06,-0.046
"5",5,10001,180650001,849,-0.015,-0.004,-0.008,-0.003,-0.016,-0.001,0.01,0.002,0.041,0.042,0.027,0.101,0.047,0.049,0.051,0.04,0.004,0.246,-0.025,-0.008,0.191,-0.028,0.035
"6",6,60001,170850001,988,-0.022,-0.009,0.006,-0.015,-0.016,-0.011,0.004,-0.007,0.04,0.045,0.023,0.035,0.039,0.043,0.044,0.036,0.002,0.037,-0.015,-0.002,0.016,-0.039,0.03
"7",7,10001,158950001,952,0.013,0.033,0.031,0.02,0.014,0.031,0.052,0.034,0.093,0.088,0.068,0.082,0.084,0.085,0.082,0.069,0.057,0.056,0.009,0.035,0.058,-0.002,0.076
"8",8,10001,146250001,726,0.004,0.007,0.012,-0.003,0.011,0.017,0.022,0.009,0.028,0.03,0.015,0.021,0.029,0.033,0.03,0.028,0.018,0.01,0.001,0.026,0.15,0.002,0.024
"9",9,10001,141000001,383,0.014,0.021,0.018,0.027,0.011,0.028,0.036,0.036,0.036,0.044,0.037,0.032,0.044,0.059,0.039,0.035,0.025,-0.009,-0.002,-0.002,0.035,0.016,0.045
"10",10,60001,135400001,840,0.028,0.025,0.045,0.025,0.035,0.042,0.041,0.033,0.059,0.052,0.051,0.05,0.056,0.057,0.062,0.052,0.042,0.026,0.03,0.04,0.046,0.014,0.048
"11",11,60001,134800001,914,-0.025,-0.003,-0.024,0.001,-0.029,-0.008,0.012,0.011,0.055,0.051,0.03,0.038,0.054,0.057,0.057,0.043,0.011,-0.021,-0.036,-0.019,0.063,-0.03,0.049
"12",12,145740,133700001,848,0,0.01,0.017,0.013,0.009,0.022,0.021,0.015,0.04,0.046,0.033,0.032,0.044,0.053,0.043,0.033,0.015,0.252,0.001,0.006,0.028,-0.014,0.036
"13",13,19020001,115050001,431,-0.012,0.014,0.016,-0.02,-0.015,-0.004,0.037,0.001,0.112,0.122,0.06,0.087,0.088,0.087,0.092,0.064,0.04,0.109,-0.005,0.019,0.039,-0.054,0.06
"14",14,19000001,106950001,528,0.009,0.009,0.006,0.021,0.008,0.015,0.021,0.021,0.01,0.014,0.022,0.016,0.03,0.033,0.032,0.03,0.011,-0.015,-0.001,-0.001,0.03,0.021,0.029
"15",15,20000001,102300001,571,0.024,0.031,0.043,0.039,0.041,0.041,0.034,0.041,0.025,0.015,0.038,0.031,0.039,0.044,0.045,0.039,0.017,0,0.024,0.019,0.038,0.032,0.048
"16",16,60001,90150001,624,0.034,0.038,0.074,0.034,0.059,0.052,0.051,0.046,0.055,0.038,0.042,0.05,0.041,0.048,0.037,0.033,0.058,0.237,0.043,0.039,0.056,0.031,0.044
"17",17,1,81050001,814,-0.001,-0.019,0.045,-0.014,0.042,0.015,-0.021,-0.016,-0.091,-0.089,-0.06,-0.082,-0.081,-0.071,-0.087,-0.072,-0.049,-0.101,0.012,0.063,-0.056,0.008,-0.065
"18",18,10001,77950001,243,0.006,-0.021,0.081,-0.037,0.074,0.051,-0.029,-0.037,-0.123,-0.104,-0.082,-0.124,-0.105,-0.101,-0.107,-0.09,-0.056,-0.12,-0.003,-0.038,-0.111,-0.02,-0.101
"19",19,60001,59050001,711,0.028,0.026,0.068,0.011,0.062,0.055,0.02,0.022,-0.042,-0.057,-0.005,-0.026,-0.038,-0.027,-0.052,-0.041,0.01,-0.085,0.014,-0.013,-0.036,0.014,-0.008
"20",20,60001,62850001,359,-0.031,-0.015,0.004,-0.018,-0.004,-0.013,-0.01,-0.009,-0.008,0.004,-0.011,-0.008,-0.001,-0.002,-0.004,-0.006,-0.033,-0.062,-0.023,-0.038,0.005,-0.025,-0.001
"21",21,10697897,48050001,157,0.05,0.04,0.092,0.025,0.079,0.078,0.041,0.037,0.018,-0.001,0.023,0.008,0.013,0.009,0.02,0.013,0.044,-0.001,0.04,0.035,0.018,0.02,0.01
"22",22,16050001,51200001,300,0.047,0.044,0.069,0.051,0.074,0.069,0.043,0.051,-0.026,-0.03,0.002,-0.017,-0.006,0.002,-0.014,0.001,0.025,-0.056,0.054,0.028,0.013,0.078,0.005
