"chrom","start.pos","end.pos","n.probes","GSM2403502_8622007067_R05C02","GSM2403905_9305216208_R01C01","GSM2403906_9305216208_R02C01","GSM2403907_9305216208_R03C01","GSM2403908_9305216208_R04C01","GSM2403909_9305216208_R05C01","GSM2403910_9305216208_R06C01","GSM2403911_9305216208_R01C02","GSM2403912_9305216208_R02C02","GSM2403913_9305216208_R03C02","GSM2403914_9305216208_R04C02","GSM2403915_9305216208_R05C02","GSM2403935_9305651053_R04C01","GSM2403936_9305651053_R05C01","GSM2403938_9305651053_R06C01","GSM2403939_9305651053_R03C01","GSM2403945_9305651051_R04C02","GSM2403946_9305651051_R05C02","GSM2403947_9305651051_R06C02","GSM2403948_9305651053_R01C01","GSM2403949_9305651053_R02C01","GSM2403966_9305651055_R04C02","GSM2404010_9340996003_R01C01","GSM2405122_9855358056_R01C02","GSM2405123_9855358056_R02C02","GSM2941202_3999095104_R03C01","GSM2941313_3999875076_R02C02"
"1",1,521369,249150001,1593,-0.064,-0.014,0.011,-0.001,-0.041,-0.034,-0.142,-0.013,-0.059,-0.043,-0.095,-0.027,-0.045,-0.044,-0.011,0.006,-0.053,-0.038,-0.034,-0.047,-0.027,-0.071,-0.036,-0.025,-0.017,-0.001,0.003
"2",2,10001,242950001,1282,-0.067,-0.032,-0.004,-0.005,-0.05,-0.038,-0.117,-0.027,-0.03,-0.038,-0.081,0,-0.055,-0.051,-0.036,-0.026,-0.039,-0.036,-0.018,-0.046,-0.036,-0.051,-0.026,-0.074,-0.061,-0.052,-0.056
"3",3,60001,197700001,978,-0.117,-0.089,-0.093,0.013,-0.177,-0.046,-0.16,-0.015,-0.114,-0.11,-0.196,0.019,-0.082,-0.243,-0.035,-0.033,-0.134,-0.133,-0.282,-0.111,-0.041,-0.211,-0.026,-0.115,-0.16,-0.176,-0.172
"4",4,10001,190900001,742,-0.095,-0.065,-0.023,-0.021,-0.08,-0.063,-0.155,-0.055,-0.04,-0.068,-0.106,0.007,-0.1,-0.089,-0.079,-0.077,-0.066,-0.063,-0.05,-0.08,-0.075,-0.089,-0.046,-0.127,-0.11,-0.111,-0.122
"5",5,10001,180650001,849,-0.063,-0.024,0.016,0.015,-0.051,-0.033,-0.145,-0.012,-0.002,-0.032,-0.087,0.026,-0.057,-0.049,-0.024,-0.026,-0.031,-0.029,-0.01,0.007,-0.031,-0.044,-0.019,-0.083,-0.067,-0.045,-0.049
"6",6,60001,170850001,988,-0.061,-0.037,-0.034,-0.003,-0.057,-0.039,-0.124,-0.022,-0.019,-0.035,-0.082,-0.024,-0.062,-0.052,-0.035,-0.028,-0.026,-0.035,-0.218,-0.042,-0.033,-0.072,-0.024,-0.088,-0.07,-0.063,-0.074
"7",7,10001,158950001,952,-0.015,0.013,0.044,0.035,0.011,0.01,-0.078,0.018,0.028,0.015,-0.024,0.051,0.001,0.01,0.014,0.019,0.023,0.023,0.036,0.045,0.017,0.012,0.024,-0.034,-0.025,-0.007,-0.019
"8",8,10001,146250001,726,-0.065,-0.036,-0.013,-0.004,-0.043,-0.031,-0.128,-0.032,-0.027,-0.041,-0.077,0.015,-0.045,-0.037,-0.03,-0.099,-0.038,-0.105,-0.018,-0.102,-0.035,-0.066,-0.018,-0.072,-0.051,-0.045,-0.055
"9",9,10001,141000001,383,-0.033,0.004,0.045,0.011,-0.02,-0.009,-0.123,-0.003,-0.033,-0.021,0.009,0.007,-0.032,-0.03,0.006,0.011,-0.024,-0.018,-0.003,-0.094,-0.018,-0.033,-0.021,-0.01,-0.003,0.012,0.027
"10",10,60001,135400001,840,-0.02,-0.001,-0.01,0.005,-0.009,-0.008,-0.084,-0.002,0.001,-0.003,-0.037,-0.002,-0.022,-0.015,-0.013,-0.001,-0.012,-0.002,-0.002,-0.025,-0.008,-0.011,-0.007,-0.028,-0.022,-0.006,-0.003
"11",11,60001,134800001,914,-0.091,-0.014,0.026,0.012,-0.048,-0.026,-0.127,-0.001,-0.017,-0.023,-0.083,0.025,-0.053,-0.047,-0.019,-0.009,-0.025,-0.029,-0.002,0.004,-0.021,-0.054,-0.026,-0.061,-0.053,-0.063,-0.013
"12",12,145740,133700001,848,-0.067,-0.024,0.008,0,-0.048,-0.037,-0.127,-0.011,-0.033,-0.033,-0.089,-0.009,-0.053,-0.048,-0.025,-0.019,-0.035,-0.038,-0.019,-0.044,-0.033,-0.048,-0.028,-0.049,-0.047,-0.03,-0.026
"13",13,19020001,115050001,431,-0.024,-0.017,0.014,0.022,-0.021,-0.006,-0.064,0.005,0.037,0.007,-0.031,0.033,-0.021,-0.013,-0.026,-0.028,0.042,0.01,0.043,0.049,0,-0.012,0.026,-0.096,-0.077,-0.064,-0.085
"14",14,19000001,106950001,528,-0.075,-0.019,-0.001,-0.007,-0.037,-0.038,-0.161,-0.025,-0.063,-0.05,-0.102,-0.022,-0.046,-0.044,-0.017,-0.013,-0.057,-0.035,-0.03,-0.001,-0.033,-0.061,-0.039,-0.034,-0.021,-0.017,-0.013
"15",15,20000001,102300001,571,-0.047,-0.007,0.004,-0.01,-0.018,-0.032,-0.107,-0.019,-0.051,-0.037,-0.075,-0.065,-0.03,-0.024,-0.017,-0.001,-0.042,-0.023,-0.023,-0.045,-0.022,-0.032,-0.031,-0.011,-0.003,0.001,0.003
"16",16,60001,90150001,624,0.013,0.018,0.02,0,0.018,0.013,-0.017,0.007,0.002,0.014,0.009,0.002,0.008,0.015,0.011,0.015,0.006,0.009,0.027,0.03,0.013,0.025,0,0.024,0.017,0.043,0.048
"17",17,1,81050001,814,-0.081,-0.057,-0.079,-0.088,-0.067,-0.079,-0.088,-0.085,-0.134,-0.094,-0.096,-0.135,-0.085,-0.081,-0.085,-0.062,-0.115,-0.091,-0.081,-0.082,-0.09,-0.079,-0.106,-0.029,-0.027,-0.026,-0.02
"18",18,10001,77950001,243,-0.123,-0.091,-0.112,-0.089,-0.093,-0.104,-0.135,-0.118,-0.109,-0.121,-0.119,-0.07,-0.127,-0.111,-0.114,-0.108,-0.136,-0.183,-0.094,-0.184,-0.126,-0.122,-0.1,-0.091,-0.069,-0.11,-0.108
"19",19,60001,59050001,711,-0.06,-0.023,-0.052,-0.068,-0.028,-0.052,-0.073,-0.059,-0.115,-0.069,-0.076,-0.111,-0.039,-0.042,-0.045,-0.022,-0.078,-0.059,-0.053,-0.033,-0.054,-0.047,-0.078,0.01,0.009,0.003,0.009
"20",20,60001,62850001,359,-0.091,-0.051,-0.042,-0.058,-0.068,-0.076,-0.124,-0.072,-0.11,-0.088,-0.108,-0.078,-0.078,-0.066,-0.063,-0.039,-0.087,-0.074,-0.045,-0.049,-0.072,-0.079,-0.083,-0.046,-0.039,-0.033,-0.025
"21",21,10697897,48050001,157,-0.02,0.002,0.017,0,-0.004,-0.003,-0.043,-0.003,-0.017,-0.011,-0.015,-0.005,-0.023,-0.003,-0.016,-0.007,-0.017,-0.01,0.006,0.021,-0.019,0,-0.015,-0.007,-0.003,-0.003,-0.004
