"chrom","start.pos","end.pos","n.probes","GSM2403844_9305651037_R01C01","GSM2404121_9379086132_R03C02","GSM2404189_9376538149_R03C02","GSM2404293_9407201028_R02C02","GSM2404554_9553932053_R04C02","GSM2404565_9553932123_R02C02","GSM2404724_9741950101_R02C01","GSM2405592_3999078079_R04C01","GSM2405616_3998523002_R03C02","GSM2405641_101231000014_R01C02","GSM2940914_200400320088_R01C02"
"1",1,521369,249150001,1593,-0.116,-0.094,-0.113,-0.026,-0.092,-0.062,0.015,0.024,-0.005,-0.005,-0.004
"2",2,10001,242950001,1282,-0.107,-0.199,-0.13,-0.064,-0.095,-0.052,-0.095,-0.029,-0.058,-0.184,-0.053
"3",3,60001,197700001,978,-0.143,-0.155,-0.183,-0.073,-0.083,-0.051,0.022,-0.026,-0.015,0.017,-0.064
"4",4,10001,190900001,742,-0.118,-0.085,-0.158,-0.1,-0.094,-0.074,-0.081,-0.072,-0.039,-0.009,-0.09
"5",5,10001,180650001,849,-0.12,-0.123,-0.14,-0.042,-0.075,-0.044,0.003,-0.019,0,0.021,-0.05
"6",6,60001,170850001,988,-0.107,-0.049,-0.138,-0.008,-0.06,-0.048,-0.004,-0.03,-0.103,0.027,-0.057
"7",7,10001,158950001,952,-0.07,-0.071,-0.095,0.024,-0.041,-0.014,0.032,0.004,0.031,0.032,-0.019
"8",8,10001,146250001,726,-0.102,-0.031,-0.125,-0.001,-0.076,-0.051,-0.021,-0.025,0.002,0.023,-0.044
"9",9,10001,141000001,383,-0.051,-0.077,-0.055,0.016,-0.068,-0.036,-0.212,0.014,-0.008,0.003,-0.007
"10",10,60001,135400001,840,-0.068,-0.073,-0.075,-0.092,-0.048,-0.018,0.018,0.01,0.02,0.026,-0.017
"11",11,60001,134800001,914,-0.115,-0.067,-0.151,0,-0.076,-0.055,0.027,0.002,-0.012,0.021,-0.035
"12",12,145740,133700001,848,-0.096,-0.101,-0.111,0.004,-0.072,-0.048,-0.044,-0.002,0.001,0.007,-0.031
"13",13,19020001,115050001,431,-0.088,-0.09,-0.12,-0.184,-0.033,0,-0.031,-0.058,-0.003,-0.121,-0.067
"14",14,19000001,106950001,528,-0.1,-0.213,-0.511,-0.211,-0.111,-0.072,-0.118,-0.234,-0.181,-0.156,-0.023
"15",15,20000001,102300001,571,-0.075,-0.014,-0.077,0.025,-0.08,-0.046,0.031,0.015,0.011,0.025,-0.01
"16",16,60001,90150001,624,-0.009,-0.019,-0.024,0.038,-0.021,-0.004,0.029,0.031,0.027,0.001,0.008
"17",17,1,81050001,814,-0.058,-0.068,-0.056,-0.02,-0.106,-0.091,-0.034,-0.029,-0.049,-0.039,-0.043
"18",18,10001,77950001,243,-0.074,-0.077,-0.088,-0.033,-0.129,-0.106,-0.052,-0.085,-0.071,-0.017,-0.073
"19",19,60001,59050001,711,-0.055,0.103,-0.034,0.003,0.066,-0.088,-0.031,-0.029,-0.058,-0.075,-0.014
"20",20,60001,62850001,359,-0.099,-0.095,-0.106,-0.021,-0.114,-0.086,-0.018,-0.03,-0.045,-0.018,-0.038
"21",21,10697897,48050001,157,-0.004,-0.018,-0.016,0.031,-0.017,-0.005,0.01,0.002,0.009,0.031,-0.006
"22",22,16050001,51200001,300,-0.006,-0.003,0.01,0.027,-0.084,-0.053,0.019,0.027,-0.012,-0.001,0.035
