"chrom","start.pos","end.pos","n.probes","GSM2404113_9379082039_R01C01","GSM2404120_9376561062_R04C02","GSM2404138_9406922158_R05C02","GSM2404420_9426021103_R04C02","GSM2404427_9426021162_R04C02","GSM2404428_9426021162_R05C02","GSM2405549_3998920095_R01C01","GSM2405550_3998920095_R03C01","GSM2405551_3998920095_R05C01","GSM2405552_3998920095_R01C02","GSM2405553_3998920095_R03C02","GSM2405554_3998920095_R05C02","GSM2405555_3998920096_R01C01","GSM2405556_3998920096_R03C01","GSM2405557_3998920096_R05C01","GSM2405566_3998998187_R01C02","GSM2405567_3998998187_R04C02","GSM2405568_3998998187_R06C02","GSM2940929_200486890026_R02C01"
"1",1,521369,249150001,1593,0,-0.007,0.007,-0.091,-0.189,-0.389,-0.144,0.021,-0.131,-0.032,-0.022,0.064,-0.021,-0.102,0.005,-0.038,-0.146,-0.122,-0.061
"2",2,10001,242950001,1282,-0.11,-0.049,-0.025,-0.059,-0.144,-0.328,-0.195,-0.034,-0.187,-0.053,-0.069,-0.227,-0.066,-0.151,-0.05,-0.06,-0.17,-0.177,-0.094
"3",3,60001,197700001,978,-0.101,-0.065,-0.037,-0.015,-0.043,-0.355,0.007,-0.024,-0.234,-0.058,-0.099,-0.253,-0.063,-0.161,-0.048,-0.077,-0.201,-0.218,-0.131
"4",4,10001,190900001,742,-0.156,-0.093,-0.061,-0.046,-0.133,-0.296,-0.236,-0.078,-0.196,-0.064,-0.109,-0.263,-0.094,-0.199,-0.097,-0.093,-0.211,0.139,-0.129
"5",5,10001,180650001,849,-0.04,-0.05,-0.02,-0.049,-0.117,0.179,0.185,-0.005,0.211,-0.042,-0.066,0.194,-0.051,0.086,-0.034,-0.061,0.18,0.158,-0.106
"6",6,60001,170850001,988,0.058,-0.055,-0.021,-0.034,-0.105,-0.311,-0.198,-0.024,-0.192,-0.27,-0.062,-0.206,0.016,-0.036,-0.05,-0.061,-0.182,-0.189,-0.106
"7",7,10001,158950001,952,0.008,-0.01,0.031,-0.021,-0.069,0.193,0.065,0.014,0.204,-0.009,-0.03,0.064,-0.008,0.193,-0.012,-0.026,0.198,0.175,-0.074
"8",8,10001,146250001,726,-0.108,-0.028,-0.01,-0.05,-0.108,0.207,0.043,-0.032,-0.186,-0.046,-0.056,0.185,-0.052,0.084,-0.04,-0.057,0.199,-0.171,-0.078
"9",9,10001,141000001,383,-0.054,0.022,0.02,-0.061,-0.139,0.131,0.056,0.007,0.176,-0.371,-0.033,0.194,-0.022,0.101,-0.001,-0.022,0.185,0.165,-0.028
"10",10,60001,135400001,840,-0.077,-0.012,0.014,-0.035,-0.106,-0.317,-0.152,0.007,-0.147,-0.003,-0.021,-0.169,-0.023,-0.102,-0.002,-0.026,-0.161,-0.144,-0.052
"11",11,60001,134800001,914,-0.077,-0.385,-0.346,-0.053,-0.124,0.146,0.034,-0.006,-0.21,-0.042,-0.075,-0.207,-0.054,-0.131,-0.028,-0.052,-0.169,-0.191,-0.087
"12",12,145740,133700001,848,0.056,-0.028,-0.009,-0.056,-0.106,0.165,0.199,-0.001,0.21,-0.031,-0.052,0.046,-0.037,0.1,-0.027,-0.047,0.194,-0.149,-0.088
"13",13,19020001,115050001,431,-0.096,-0.051,-0.009,0.044,-0.009,0.236,0.006,-0.055,0.118,-0.034,-0.106,0.012,-0.079,-0.172,-0.091,-0.059,-0.173,0.12,-0.118
"14",14,19000001,106950001,528,0.064,-0.007,0.007,-0.095,-0.169,0.141,0.054,-0.024,0.159,-0.051,-0.063,0.016,-0.035,0.085,-0.027,-0.044,0.199,0.197,-0.069
"15",15,20000001,102300001,571,-0.006,0,0.017,-0.101,-0.176,-0.37,-0.149,-0.021,-0.106,-0.042,-0.042,-0.2,-0.024,-0.113,-0.013,-0.029,-0.141,-0.114,-0.047
"16",16,60001,90150001,624,-0.035,0.035,0.036,-0.042,-0.105,0.148,-0.109,-0.341,0.159,0.023,0.007,-0.125,0.001,-0.07,0.02,0.003,-0.114,-0.109,0.002
"17",17,1,81050001,814,-0.096,-0.001,-0.023,-0.157,-0.148,-0.371,0.054,-0.036,-0.134,-0.042,-0.03,0.045,-0.061,0.06,-0.043,-0.044,-0.097,-0.119,-0.027
"18",18,10001,77950001,243,-0.062,-0.052,-0.385,-0.108,-0.233,-0.327,0.004,-0.109,-0.292,-0.069,-0.097,-0.009,-0.088,-0.191,-0.107,-0.081,-0.183,0.163,-0.059
"19",19,60001,59050001,711,-0.063,0.028,0.017,-0.187,-0.214,0.055,0.06,-0.065,0.134,-0.023,-0.022,0.056,-0.05,-0.118,-0.035,-0.019,0.167,0.166,-0.014
"20",20,60001,62850001,359,-0.016,-0.013,-0.018,-0.11,-0.195,0.052,-0.182,-0.024,0.138,-0.048,-0.055,-0.168,-0.069,0.051,-0.048,-0.063,0.157,0.139,-0.057
"21",21,10697897,48050001,157,0.019,0.017,-0.285,-0.038,-0.144,-0.275,-0.119,-0.006,-0.143,0.013,-0.016,0.059,0,-0.099,-0.009,-0.002,-0.131,0.176,0.009
"22",22,16050001,51200001,300,0.053,0.067,0.037,-0.17,-0.262,0.065,-0.074,0.009,-0.096,0.011,0.039,-0.115,0.019,-0.062,0.036,0.001,0.183,-0.042,0.028
