"chrom","start.pos","end.pos","n.probes","GSM2404360_9407210069_R05C02","GSM2404361_9407210069_R06C02","GSM2404362_9407210090_R02C01","GSM2404363_9407210090_R04C01","GSM2404364_9407210090_R05C01","GSM2404370_9422493146_R02C02","GSM2404374_9422493146_R06C02","GSM2405571_3998998189_R04C01","GSM2405573_3998998189_R01C02"
"1",1,521369,118100001,886,-0.142,-0.214,-0.161,-0.128,-0.077,-0.116,-0.214,-0.137,-0.019
"2",1,118150001,249150001,707,-0.104,-0.195,-0.145,-0.047,-0.032,-0.094,0.165,-0.219,-0.062
"3",2,10001,242950001,1282,-0.119,0.04,-0.124,0.12,0.118,0.104,-0.061,-0.021,0.005
"4",3,60001,197700001,978,-0.076,0.074,0.272,-0.022,0.155,0.115,0.401,0.097,-0.001
"5",4,10001,190900001,742,0.12,0.053,-0.156,0.08,-0.063,-0.132,-0.059,-0.199,-0.028
"6",5,10001,180650001,849,0.156,0.247,0.104,-0.04,0.142,0.119,0.353,-0.012,0.042
"7",6,60001,170850001,988,0.136,0.142,-0.061,0.056,-0.033,-0.107,0.019,-0.033,0.024
"8",7,10001,158950001,952,0.185,0.263,0.15,0.194,0.181,0.292,0.102,0.139,0.063
"9",8,10001,146250001,726,0.152,0.06,0.272,0.126,0.14,0.115,0.621,0.183,0.046
"10",9,10001,141000001,383,0.141,0.196,0.073,0.116,0.119,0.11,0.453,0.141,0.067
"11",10,60001,135400001,840,-0.08,0.063,0.068,-0.016,-0.017,-0.082,-0.08,0.031,0.044
"12",11,60001,134800001,914,-0.103,0.031,0.097,0.129,0.13,-0.106,0.257,-0.06,0.03
"13",12,145740,133700001,848,0.151,0.248,0.265,0.139,0.147,0.117,0.317,0.019,0.074
"14",13,19020001,115050001,431,0.198,0.04,-0.072,-0.216,0.007,-0.089,0.523,-0.138,-0.035
"15",14,19000001,106950001,528,0.123,-0.18,0.094,-0.019,-0.039,0.106,0.103,0.072,0.093
"16",15,20000001,102300001,571,-0.111,-0.176,-0.132,-0.227,-0.301,-0.096,-0.091,-0.129,-0.218
"17",16,60001,90150001,624,-0.079,-0.238,-0.126,-0.254,-0.263,-0.083,0.193,-0.18,-0.22
"18",17,1,81050001,814,-0.189,-0.052,0.023,0.024,-0.107,0.03,-0.362,0.062,0.032
"19",18,10001,77950001,243,0.168,-0.252,-0.19,0.016,0.049,-0.164,0.198,0.07,-0.01
"20",19,60001,59050001,711,0.187,0.003,0.052,0.091,0.091,0.06,0.049,0.166,0.076
"21",20,60001,62850001,359,0.081,0.089,0.04,0.076,0.064,0.046,0.302,0.043,-0.017
"22",21,10697897,48050001,157,0.134,0.053,-0.123,-0.028,0.13,-0.08,0.362,0.046,0.065
"23",22,16050001,51200001,300,-0.154,-0.225,-0.157,-0.364,-0.304,-0.113,-0.325,-0.064,-0.147
