"chrom","start.pos","end.pos","n.probes","GSM2402991_6929689149_R02C02","GSM2403187_6929806024_R01C01","GSM2403196_6929806038_R04C01","GSM2403198_6929806038_R04C02","GSM2403205_6929806046_R06C01","GSM2403207_6929806046_R04C02","GSM2403624_8622007189_R01C01","GSM2403625_8622007189_R03C01","GSM2403628_8622007189_R06C01","GSM2403638_8622007203_R03C02","GSM2403639_8622007203_R04C02","GSM2403640_8622007203_R05C02","GSM2404102_9370847051_R05C01","GSM2404103_9370847051_R06C01","GSM2404109_9370847051_R05C02","GSM2404197_9376561024_R06C02","GSM2404793_9533774066_R03C02","GSM2404794_9533774066_R01C02","GSM2404799_9533774066_R01C01","GSM2940973_3998523056_R06C02"
"1",1,521369,249150001,1593,0.044,0.036,0.042,0.041,0.047,0.063,-0.001,-0.014,0.001,0.008,-0.008,-0.001,0.013,-0.022,-0.01,0.001,0.055,0.038,0.022,0.019
"2",2,10001,242950001,1282,0.012,0.004,-0.006,-0.004,-0.004,0.022,0.005,-0.007,0.001,-0.006,0.02,0.009,0.001,-0.012,0.003,0.036,0.017,0.007,0.02,0.006
"3",3,60001,197700001,978,0.042,0.012,-0.004,0.003,0.003,0.016,-0.006,-0.07,-0.017,-0.017,0.03,0.013,-0.003,-0.033,-0.014,0.038,0.002,0.016,0.017,-0.011
"4",4,10001,190900001,742,-0.051,-0.058,-0.065,-0.069,-0.075,-0.033,0,-0.008,-0.002,-0.031,0.015,-0.01,-0.047,-0.037,-0.038,0.012,-0.027,-0.059,0.002,-0.038
"5",5,10001,180650001,849,0.038,0.011,0.001,0.007,0.004,0.024,0.003,-0.018,-0.008,0.007,0.013,0.008,0.004,0.046,0.003,0.034,0.012,0.014,0.038,0.006
"6",6,60001,170850001,988,0.025,0.004,-0.006,0,-0.006,0.018,0.008,-0.019,-0.009,-0.014,0.017,0.012,-0.001,-0.008,0.011,0.051,0.004,0.009,0.021,0.005
"7",7,10001,158950001,952,0.077,0.045,0.026,0.033,0.028,0.054,0.057,0.036,0.029,0.033,0.092,0.063,0.045,0.036,0.067,0.12,0.026,0.034,0.059,0.05
"8",8,10001,146250001,726,0.016,0.01,0.001,0.005,-0.001,-0.311,0.027,0.018,0.011,0.004,0.032,0.014,0.013,0.002,0.02,0.048,-0.328,0.005,0.034,-0.156
"9",9,10001,141000001,383,0.022,0.037,0.023,0.03,0.034,0.033,0.014,0.028,0.015,0.015,0.03,0.024,0.02,-0.008,0.017,0.024,0.022,0.02,0.007,0.016
"10",10,60001,135400001,840,0.036,0.024,0.018,0.023,0.024,0.04,0.016,0.04,0.034,0.026,0.051,0.046,0.023,0.024,0.041,0.084,0.033,0.026,0.024,0.036
"11",11,60001,134800001,914,0.054,0.033,0.02,0.023,0.026,0.032,-0.015,-0.032,-0.021,-0.008,0.017,0.012,0.005,-0.025,0.008,0.036,0.018,0.028,0.025,0.003
"12",12,145740,133700001,848,0.042,0.02,0.016,0.019,0.016,0.034,0.009,-0.015,0.012,0.009,0.028,0.016,0.01,0.043,0.003,0.039,0.025,0.021,0.025,0.009
"13",13,19020001,115050001,431,0.058,0.024,-0.014,-0.005,-0.013,0.015,0.037,-0.005,0.016,0.007,0.081,0.065,0.027,0.032,0.05,0.136,-0.016,0.008,0.045,0.03
"14",14,19000001,106950001,528,0.026,0.019,0.025,0.025,0.025,0.051,0.003,-0.019,0.012,0.007,-0.036,-0.001,0.013,-0.019,-0.01,-0.001,0.052,0.022,0.02,0.014
"15",15,20000001,102300001,571,0.033,0.023,0.034,0.034,0.039,0.055,0.026,0.019,0.023,0.021,0.02,0.019,0.018,-0.007,0.005,0.027,0.062,0.037,0.013,0.031
"16",16,60001,90150001,624,0.051,0.042,0.038,0.043,0.048,0.047,0.044,0.094,0.044,0.046,0.125,0.068,0.025,0.084,0.064,0.116,0.035,0.037,0.02,0.052
"17",17,1,81050001,814,-0.06,-0.033,-0.017,-0.026,-0.022,-0.016,-0.016,0.023,0.001,-0.015,0.045,-0.026,-0.048,-0.051,-0.041,-0.031,0.011,-0.028,-0.062,-0.022
"18",18,10001,77950001,243,-0.126,-0.09,-0.075,-0.091,-0.103,-0.059,0.013,-0.012,0.024,-0.036,0.025,-0.026,-0.065,-0.074,-0.066,-0.04,-0.031,-0.078,-0.038,-0.06
"19",19,60001,59050001,711,0.009,0.003,0.013,0.011,0.015,0.012,0.029,0.04,0.044,0.031,0.069,0.025,-0.002,0.036,0.005,0.024,0.021,0.002,-0.025,0.005
"20",20,60001,62850001,359,0.009,0.014,0.008,0.008,0.014,0.015,0.001,-0.032,-0.013,-0.019,0.023,-0.008,-0.007,0.003,-0.02,-0.014,0.003,0.015,-0.009,-0.017
"21",21,10697897,48050001,157,0.002,0,-0.002,0,-0.008,0.012,0.049,0.09,0.059,0.03,0.115,0.061,0.011,0.015,0.055,0.096,0.008,-0.01,0.009,0.037
"22",22,16050001,51200001,300,0.013,0.034,0.05,0.032,0.051,0.056,0.023,0.025,0.046,0.041,0.041,0.014,0.02,-0.009,0.009,0.01,0.06,0.03,-0.009,0.031
