"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.2033,"GSM2404360_9407210069_R05C02",0.646795475272977
"2",1,121392717,145375000,0.1332,"GSM2404360_9407210069_R05C02",0.646795475272977
"3",1,145425000,249195311,-0.1801,"GSM2404360_9407210069_R05C02",0.646795475272977
"4",10,105000,135462374,-0.1555,"GSM2404360_9407210069_R05C02",0.646795475272977
"5",11,130000,134873258,-0.183,"GSM2404360_9407210069_R05C02",0.646795475272977
"6",12,172870,133770948,0.072,"GSM2404360_9407210069_R05C02",0.646795475272977
"7",13,19110000,115079939,0.1013,"GSM2404360_9407210069_R05C02",0.646795475272977
"8",14,19325000,107119770,0.0505,"GSM2404360_9407210069_R05C02",0.646795475272977
"9",15,20225000,83725000,-0.1794,"GSM2404360_9407210069_R05C02",0.646795475272977
"10",15,83850000,84250000,-0.5792,"GSM2404360_9407210069_R05C02",0.646795475272977
"11",15,84667237,102410696,-0.1533,"GSM2404360_9407210069_R05C02",0.646795475272977
"12",16,105000,31825000,-0.1513,"GSM2404360_9407210069_R05C02",0.646795475272977
"13",16,32075000,33986575,0.1862,"GSM2404360_9407210069_R05C02",0.646795475272977
"14",16,34286575,90222377,-0.1428,"GSM2404360_9407210069_R05C02",0.646795475272977
"15",17,25000,975000,0.0629,"GSM2404360_9407210069_R05C02",0.646795475272977
"16",17,1025000,81122605,-0.2241,"GSM2404360_9407210069_R05C02",0.646795475272977
"17",18,80000,77983624,0.1351,"GSM2404360_9407210069_R05C02",0.646795475272977
"18",19,180000,59084492,0.1261,"GSM2404360_9407210069_R05C02",0.646795475272977
"19",2,130000,118675000,-0.1738,"GSM2404360_9407210069_R05C02",0.646795475272977
"20",2,118775000,119975000,-0.4925,"GSM2404360_9407210069_R05C02",0.646795475272977
"21",2,120050000,243026238,-0.1985,"GSM2404360_9407210069_R05C02",0.646795475272977
"22",20,155000,62907760,0.0151,"GSM2404360_9407210069_R05C02",0.646795475272977
"23",21,10848948,48084948,0.0782,"GSM2404360_9407210069_R05C02",0.646795475272977
"24",22,16373925,51222283,-0.1956,"GSM2404360_9407210069_R05C02",0.646795475272977
"25",3,155000,197831215,-0.1652,"GSM2404360_9407210069_R05C02",0.646795475272977
"26",4,55000,190972138,0.0653,"GSM2404360_9407210069_R05C02",0.646795475272977
"27",5,55000,180777630,0.0739,"GSM2404360_9407210069_R05C02",0.646795475272977
"28",6,155000,170952534,0.0574,"GSM2404360_9407210069_R05C02",0.646795475272977
"29",7,55000,159039332,0.0931,"GSM2404360_9407210069_R05C02",0.646795475272977
"30",8,105000,146277011,0.0793,"GSM2404360_9407210069_R05C02",0.646795475272977
"31",9,130000,141076716,0.0663,"GSM2404360_9407210069_R05C02",0.646795475272977
"32",1,635684,16750000,-0.2633,"GSM2404361_9407210069_R06C02",0.628347458152337
"33",1,16825000,17225000,0.0285,"GSM2404361_9407210069_R06C02",0.628347458152337
"34",1,17275000,249195311,-0.277,"GSM2404361_9407210069_R06C02",0.628347458152337
"35",10,105000,135462374,-0.0064,"GSM2404361_9407210069_R06C02",0.628347458152337
"36",11,130000,134873258,-0.0305,"GSM2404361_9407210069_R06C02",0.628347458152337
"37",12,172870,133770948,0.1684,"GSM2404361_9407210069_R06C02",0.628347458152337
"38",13,19110000,28200000,-0.082,"GSM2404361_9407210069_R06C02",0.628347458152337
"39",13,28375000,29125000,-0.3756,"GSM2404361_9407210069_R06C02",0.628347458152337
"40",13,29200000,115079939,-0.0099,"GSM2404361_9407210069_R06C02",0.628347458152337
"41",14,19325000,107119770,-0.2539,"GSM2404361_9407210069_R06C02",0.628347458152337
"42",15,20225000,102410696,-0.2462,"GSM2404361_9407210069_R06C02",0.628347458152337
"43",16,105000,90222377,-0.2745,"GSM2404361_9407210069_R06C02",0.628347458152337
"44",17,25000,81122605,-0.0733,"GSM2404361_9407210069_R06C02",0.628347458152337
"45",18,80000,77983624,-0.2819,"GSM2404361_9407210069_R06C02",0.628347458152337
"46",19,180000,59084492,-0.0431,"GSM2404361_9407210069_R06C02",0.628347458152337
"47",2,130000,243026238,-0.021,"GSM2404361_9407210069_R06C02",0.628347458152337
"48",20,155000,62907760,0.0502,"GSM2404361_9407210069_R06C02",0.628347458152337
"49",21,10848948,48084948,-6e-04,"GSM2404361_9407210069_R06C02",0.628347458152337
"50",22,16373925,51222283,-0.2704,"GSM2404361_9407210069_R06C02",0.628347458152337
"51",3,155000,197831215,-0.0056,"GSM2404361_9407210069_R06C02",0.628347458152337
"52",4,55000,190972138,-0.0079,"GSM2404361_9407210069_R06C02",0.628347458152337
"53",5,55000,180777630,0.1692,"GSM2404361_9407210069_R06C02",0.628347458152337
"54",6,155000,32375000,0.1638,"GSM2404361_9407210069_R06C02",0.628347458152337
"55",6,32425000,32650000,-0.6692,"GSM2404361_9407210069_R06C02",0.628347458152337
"56",6,32725000,170952534,0.0453,"GSM2404361_9407210069_R06C02",0.628347458152337
"57",7,55000,159039332,0.1793,"GSM2404361_9407210069_R06C02",0.628347458152337
"58",8,105000,146277011,-0.0182,"GSM2404361_9407210069_R06C02",0.628347458152337
"59",9,130000,141076716,0.1369,"GSM2404361_9407210069_R06C02",0.628347458152337
"60",1,635684,775000,0.2372,"GSM2404362_9407210090_R02C01",0.618910041206533
"61",1,825000,249195311,-0.2107,"GSM2404362_9407210090_R02C01",0.618910041206533
