"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0415,"GSM2403712_9007225017_R03C02"
"2",10,105000,135462374,0.0284,"GSM2403712_9007225017_R03C02"
"3",11,130000,134873258,0.0479,"GSM2403712_9007225017_R03C02"
"4",12,172870,133770948,0.0517,"GSM2403712_9007225017_R03C02"
"5",13,19110000,115079939,0.1244,"GSM2403712_9007225017_R03C02"
"6",14,19325000,107119770,0.019,"GSM2403712_9007225017_R03C02"
"7",15,20225000,102410696,0.0307,"GSM2403712_9007225017_R03C02"
"8",16,105000,90222377,0.0099,"GSM2403712_9007225017_R03C02"
"9",17,25000,81122605,-0.0789,"GSM2403712_9007225017_R03C02"
"10",18,80000,77983624,-0.0759,"GSM2403712_9007225017_R03C02"
"11",19,180000,59084492,-0.0468,"GSM2403712_9007225017_R03C02"
"12",2,130000,243026238,0.0373,"GSM2403712_9007225017_R03C02"
"13",20,155000,62907760,-0.0059,"GSM2403712_9007225017_R03C02"
"14",21,10848948,48084948,0.0186,"GSM2403712_9007225017_R03C02"
"15",22,16373925,51222283,-0.0398,"GSM2403712_9007225017_R03C02"
"16",3,155000,197831215,0.0796,"GSM2403712_9007225017_R03C02"
"17",4,55000,190972138,-0.0187,"GSM2403712_9007225017_R03C02"
"18",5,55000,180777630,0.0563,"GSM2403712_9007225017_R03C02"
"19",6,155000,170952534,0.0581,"GSM2403712_9007225017_R03C02"
"20",7,55000,159039332,0.074,"GSM2403712_9007225017_R03C02"
"21",8,105000,146277011,0.025,"GSM2403712_9007225017_R03C02"
"22",9,130000,141076716,0.0335,"GSM2403712_9007225017_R03C02"
"23",1,635684,249195311,0.029,"GSM2403713_9007225026_R02C02"
"24",10,105000,135462374,0.0222,"GSM2403713_9007225026_R02C02"
"25",11,130000,134873258,-0.0169,"GSM2403713_9007225026_R02C02"
"26",12,172870,133770948,0.0081,"GSM2403713_9007225026_R02C02"
"27",13,19110000,115079939,-0.0013,"GSM2403713_9007225026_R02C02"
"28",14,19325000,107119770,0.0294,"GSM2403713_9007225026_R02C02"
"29",15,20225000,102410696,0.04,"GSM2403713_9007225026_R02C02"
"30",16,105000,90222377,0.0258,"GSM2403713_9007225026_R02C02"
"31",17,25000,81122605,-0.0307,"GSM2403713_9007225026_R02C02"
"32",18,80000,77983624,-0.047,"GSM2403713_9007225026_R02C02"
"33",19,180000,59084492,0.003,"GSM2403713_9007225026_R02C02"
"34",2,130000,243026238,-0.004,"GSM2403713_9007225026_R02C02"
"35",20,155000,62907760,-0.0387,"GSM2403713_9007225026_R02C02"
"36",21,10848948,48084948,0.0322,"GSM2403713_9007225026_R02C02"
"37",22,16373925,51222283,0.0458,"GSM2403713_9007225026_R02C02"
"38",3,155000,197831215,-0.0191,"GSM2403713_9007225026_R02C02"
"39",4,55000,190972138,-0.0564,"GSM2403713_9007225026_R02C02"
"40",5,55000,180777630,-0.0105,"GSM2403713_9007225026_R02C02"
"41",6,155000,170952534,-0.0212,"GSM2403713_9007225026_R02C02"
"42",7,55000,159039332,0.0224,"GSM2403713_9007225026_R02C02"
"43",8,105000,146277011,-0.0057,"GSM2403713_9007225026_R02C02"
"44",9,130000,141076716,0.0286,"GSM2403713_9007225026_R02C02"
"45",1,635684,249195311,0.0434,"GSM2403716_9007225017_R01C01"
