"chromosome","start","end","segmean","sample","noise"
"1",1,635684,78500000,0.01,"GSM2404113_9379082039_R01C01",0.563872599446429
"2",1,78775000,83300000,-0.3444,"GSM2404113_9379082039_R01C01",0.563872599446429
"3",1,84400000,249195311,-0.0043,"GSM2404113_9379082039_R01C01",0.563872599446429
"4",10,105000,135462374,-0.0771,"GSM2404113_9379082039_R01C01",0.563872599446429
"5",11,130000,36600000,-0.0791,"GSM2404113_9379082039_R01C01",0.563872599446429
"6",11,38475000,43325000,-0.3822,"GSM2404113_9379082039_R01C01",0.563872599446429
"7",11,43450000,48125000,-0.0324,"GSM2404113_9379082039_R01C01",0.563872599446429
"8",11,48550000,56675000,-0.3586,"GSM2404113_9379082039_R01C01",0.563872599446429
"9",11,56975000,88075000,-0.0523,"GSM2404113_9379082039_R01C01",0.563872599446429
"10",11,88175000,92275000,-0.4064,"GSM2404113_9379082039_R01C01",0.563872599446429
"11",11,92600000,134873258,-0.0762,"GSM2404113_9379082039_R01C01",0.563872599446429
"12",12,172870,133770948,0.0561,"GSM2404113_9379082039_R01C01",0.563872599446429
"13",13,19110000,115079939,-0.0961,"GSM2404113_9379082039_R01C01",0.563872599446429
"14",14,19325000,107119770,0.0643,"GSM2404113_9379082039_R01C01",0.563872599446429
"15",15,20225000,102410696,-0.0055,"GSM2404113_9379082039_R01C01",0.563872599446429
"16",16,105000,58775000,-0.037,"GSM2404113_9379082039_R01C01",0.563872599446429
"17",16,59975000,66275000,-0.2857,"GSM2404113_9379082039_R01C01",0.563872599446429
"18",16,66425000,90222377,-0.0213,"GSM2404113_9379082039_R01C01",0.563872599446429
"19",17,25000,81122605,-0.0956,"GSM2404113_9379082039_R01C01",0.563872599446429
"20",18,80000,77983624,-0.0618,"GSM2404113_9379082039_R01C01",0.563872599446429
"21",19,180000,59084492,-0.0626,"GSM2404113_9379082039_R01C01",0.563872599446429
"22",2,130000,188075000,-0.1155,"GSM2404113_9379082039_R01C01",0.563872599446429
"23",2,188775000,190150000,-0.5155,"GSM2404113_9379082039_R01C01",0.563872599446429
"24",2,190325000,243026238,-0.0863,"GSM2404113_9379082039_R01C01",0.563872599446429
"25",20,155000,62907760,-0.0155,"GSM2404113_9379082039_R01C01",0.563872599446429
"26",21,10848948,48084948,0.0194,"GSM2404113_9379082039_R01C01",0.563872599446429
"27",22,16373925,51222283,0.0531,"GSM2404113_9379082039_R01C01",0.563872599446429
