"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.1044,"GSM2402941_6969568004_R04C02",0.544877673915267
"2",10,105000,135462374,-0.1933,"GSM2402941_6969568004_R04C02",0.544877673915267
"3",11,130000,134873258,-0.1096,"GSM2402941_6969568004_R04C02",0.544877673915267
"4",12,172870,6100000,0.3318,"GSM2402941_6969568004_R04C02",0.544877673915267
"5",12,6175000,24725000,0.0711,"GSM2402941_6969568004_R04C02",0.544877673915267
"6",12,24900000,2.8e+07,0.4232,"GSM2402941_6969568004_R04C02",0.544877673915267
"7",12,28125000,29925000,-0.0215,"GSM2402941_6969568004_R04C02",0.544877673915267
"8",12,30425000,31975000,0.4534,"GSM2402941_6969568004_R04C02",0.544877673915267
"9",12,32125000,133770948,-0.0608,"GSM2402941_6969568004_R04C02",0.544877673915267
"10",13,19110000,115079939,-0.1127,"GSM2402941_6969568004_R04C02",0.544877673915267
"11",14,19325000,107119770,-0.2983,"GSM2402941_6969568004_R04C02",0.544877673915267
"12",15,20225000,55575000,-0.0254,"GSM2402941_6969568004_R04C02",0.544877673915267
"13",15,55650000,102410696,-0.3213,"GSM2402941_6969568004_R04C02",0.544877673915267
"14",16,105000,90222377,-0.0436,"GSM2402941_6969568004_R04C02",0.544877673915267
"15",17,25000,22156503,-0.3595,"GSM2402941_6969568004_R04C02",0.544877673915267
"16",17,25431503,27075000,0.0552,"GSM2402941_6969568004_R04C02",0.544877673915267
"17",17,27150000,47075000,-0.3948,"GSM2402941_6969568004_R04C02",0.544877673915267
"18",17,47150000,54800000,0.0082,"GSM2402941_6969568004_R04C02",0.544877673915267
"19",17,54950000,57275000,-0.3534,"GSM2402941_6969568004_R04C02",0.544877673915267
"20",17,57375000,81122605,0.0238,"GSM2402941_6969568004_R04C02",0.544877673915267
"21",18,80000,77983624,-0.1443,"GSM2402941_6969568004_R04C02",0.544877673915267
"22",19,180000,56925000,0.0112,"GSM2402941_6969568004_R04C02",0.544877673915267
"23",19,56975000,57225000,-0.225,"GSM2402941_6969568004_R04C02",0.544877673915267
"24",19,57325000,58625000,0.0701,"GSM2402941_6969568004_R04C02",0.544877673915267
"25",19,58675000,59084492,-0.3634,"GSM2402941_6969568004_R04C02",0.544877673915267
"26",2,130000,243026238,0.0547,"GSM2402941_6969568004_R04C02",0.544877673915267
"27",20,155000,62907760,0.0124,"GSM2402941_6969568004_R04C02",0.544877673915267
"28",21,10848948,48084948,0.0417,"GSM2402941_6969568004_R04C02",0.544877673915267
"29",22,16373925,31075000,-0.0752,"GSM2402941_6969568004_R04C02",0.544877673915267
"30",22,31200000,31575000,-0.3615,"GSM2402941_6969568004_R04C02",0.544877673915267
"31",22,31625000,51222283,-0.0595,"GSM2402941_6969568004_R04C02",0.544877673915267
"32",3,155000,80800000,-0.3337,"GSM2402941_6969568004_R04C02",0.544877673915267
"33",3,81825000,197831215,0.2244,"GSM2402941_6969568004_R04C02",0.544877673915267
"34",4,55000,21800000,0.2623,"GSM2402941_6969568004_R04C02",0.544877673915267
"35",4,22225000,190972138,-0.0269,"GSM2402941_6969568004_R04C02",0.544877673915267
"36",5,55000,1075000,0.182,"GSM2402941_6969568004_R04C02",0.544877673915267
"37",5,1125000,1375000,0.5163,"GSM2402941_6969568004_R04C02",0.544877673915267
"38",5,1425000,14575000,0.1317,"GSM2402941_6969568004_R04C02",0.544877673915267
"39",5,14675000,15700000,0.5193,"GSM2402941_6969568004_R04C02",0.544877673915267
"40",5,16025000,180777630,0.0889,"GSM2402941_6969568004_R04C02",0.544877673915267
"41",6,155000,32375000,0.0503,"GSM2402941_6969568004_R04C02",0.544877673915267
"42",6,32425000,32650000,-0.3413,"GSM2402941_6969568004_R04C02",0.544877673915267
"43",6,32725000,170952534,0.0309,"GSM2402941_6969568004_R04C02",0.544877673915267
"44",7,55000,155075000,0.0563,"GSM2402941_6969568004_R04C02",0.544877673915267
"45",7,155125000,155575000,0.7632,"GSM2402941_6969568004_R04C02",0.544877673915267
"46",7,155625000,156675000,0.0342,"GSM2402941_6969568004_R04C02",0.544877673915267
"47",7,156725000,157125000,0.7277,"GSM2402941_6969568004_R04C02",0.544877673915267
"48",7,157175000,159039332,-9e-04,"GSM2402941_6969568004_R04C02",0.544877673915267
"49",8,105000,146277011,0.0431,"GSM2402941_6969568004_R04C02",0.544877673915267
"50",9,130000,141076716,-0.0237,"GSM2402941_6969568004_R04C02",0.544877673915267
"51",1,635684,249195311,0.013,"GSM2402981_6929718050_R02C01",0.528055227829699
"52",10,105000,135462374,0.0041,"GSM2402981_6929718050_R02C01",0.528055227829699
"53",11,130000,134873258,0.003,"GSM2402981_6929718050_R02C01",0.528055227829699
"54",12,172870,133770948,-0.0042,"GSM2402981_6929718050_R02C01",0.528055227829699
"55",13,19110000,115079939,-0.0422,"GSM2402981_6929718050_R02C01",0.528055227829699
"56",14,19325000,107119770,-0.0046,"GSM2402981_6929718050_R02C01",0.528055227829699
"57",15,20225000,102410696,-0.0029,"GSM2402981_6929718050_R02C01",0.528055227829699
"58",16,105000,90222377,0.0107,"GSM2402981_6929718050_R02C01",0.528055227829699
"59",17,25000,34562924,-0.0456,"GSM2402981_6929718050_R02C01",0.528055227829699
"60",17,34787924,36125000,-0.4662,"GSM2402981_6929718050_R02C01",0.528055227829699
"61",17,36300000,81122605,-0.0617,"GSM2402981_6929718050_R02C01",0.528055227829699
"62",18,80000,77983624,-0.1001,"GSM2402981_6929718050_R02C01",0.528055227829699
"63",19,180000,59084492,-0.0383,"GSM2402981_6929718050_R02C01",0.528055227829699
"64",2,130000,243026238,-0.0341,"GSM2402981_6929718050_R02C01",0.528055227829699
"65",20,155000,62907760,-0.0428,"GSM2402981_6929718050_R02C01",0.528055227829699
"66",21,10848948,48084948,-0.0067,"GSM2402981_6929718050_R02C01",0.528055227829699
"67",22,16373925,51222283,-0.0054,"GSM2402981_6929718050_R02C01",0.528055227829699
"68",3,155000,197831215,-0.0078,"GSM2402981_6929718050_R02C01",0.528055227829699
"69",4,55000,190972138,-0.0559,"GSM2402981_6929718050_R02C01",0.528055227829699
"70",5,55000,180777630,-0.0129,"GSM2402981_6929718050_R02C01",0.528055227829699
"71",6,155000,32375000,-0.0114,"GSM2402981_6929718050_R02C01",0.528055227829699
"72",6,32425000,32650000,-0.3675,"GSM2402981_6929718050_R02C01",0.528055227829699
"73",6,32725000,170952534,-0.0316,"GSM2402981_6929718050_R02C01",0.528055227829699
"74",7,55000,159039332,0.0051,"GSM2402981_6929718050_R02C01",0.528055227829699
"75",8,105000,146277011,-0.0327,"GSM2402981_6929718050_R02C01",0.528055227829699
"76",9,130000,141076716,0.0044,"GSM2402981_6929718050_R02C01",0.528055227829699
"77",1,635684,249195311,0.0096,"GSM2402988_6929718050_R03C01",0.515046574031306
"78",10,105000,135462374,-0.0055,"GSM2402988_6929718050_R03C01",0.515046574031306
"79",11,130000,134873258,2e-04,"GSM2402988_6929718050_R03C01",0.515046574031306
"80",12,172870,133770948,-0.0079,"GSM2402988_6929718050_R03C01",0.515046574031306
"81",13,19110000,115079939,-0.0564,"GSM2402988_6929718050_R03C01",0.515046574031306
"82",14,19325000,107119770,-0.0063,"GSM2402988_6929718050_R03C01",0.515046574031306
"83",15,20225000,102410696,-1e-04,"GSM2402988_6929718050_R03C01",0.515046574031306
"84",16,105000,90222377,0.0133,"GSM2402988_6929718050_R03C01",0.515046574031306
"85",17,25000,81122605,-0.0507,"GSM2402988_6929718050_R03C01",0.515046574031306
"86",18,80000,77983624,-0.0982,"GSM2402988_6929718050_R03C01",0.515046574031306
"87",19,180000,59084492,-0.0289,"GSM2402988_6929718050_R03C01",0.515046574031306
"88",2,130000,243026238,-0.0398,"GSM2402988_6929718050_R03C01",0.515046574031306
"89",20,155000,62907760,-0.0412,"GSM2402988_6929718050_R03C01",0.515046574031306
"90",21,10848948,48084948,-0.0102,"GSM2402988_6929718050_R03C01",0.515046574031306
"91",22,16373925,51222283,-0.01,"GSM2402988_6929718050_R03C01",0.515046574031306
"92",3,155000,197831215,-0.0184,"GSM2402988_6929718050_R03C01",0.515046574031306
"93",4,55000,190972138,-0.0633,"GSM2402988_6929718050_R03C01",0.515046574031306
"94",5,55000,180777630,-0.0211,"GSM2402988_6929718050_R03C01",0.515046574031306
"95",6,155000,170952534,-0.038,"GSM2402988_6929718050_R03C01",0.515046574031306
"96",7,55000,159039332,-0.0017,"GSM2402988_6929718050_R03C01",0.515046574031306
"97",8,105000,88875000,-0.0304,"GSM2402988_6929718050_R03C01",0.515046574031306
"98",8,89100000,90925000,-0.3363,"GSM2402988_6929718050_R03C01",0.515046574031306
"99",8,9.1e+07,146277011,-0.0373,"GSM2402988_6929718050_R03C01",0.515046574031306
"100",9,130000,141076716,0.0047,"GSM2402988_6929718050_R03C01",0.515046574031306
"101",1,635684,249195311,-0.005,"GSM2402994_6929718050_R04C01",0.527011554083007
"102",10,105000,135462374,-0.2165,"GSM2402994_6929718050_R04C01",0.527011554083007
"103",11,130000,50516927,-0.1248,"GSM2402994_6929718050_R04C01",0.527011554083007
"104",11,54922103,56675000,-0.3811,"GSM2402994_6929718050_R04C01",0.527011554083007
"105",11,56975000,134873258,0.0152,"GSM2402994_6929718050_R04C01",0.527011554083007
"106",12,172870,133770948,0.0013,"GSM2402994_6929718050_R04C01",0.527011554083007
"107",13,19110000,115079939,-0.0549,"GSM2402994_6929718050_R04C01",0.527011554083007
"108",14,19325000,107119770,-0.1411,"GSM2402994_6929718050_R04C01",0.527011554083007
"109",15,20225000,65275000,0.0687,"GSM2402994_6929718050_R04C01",0.527011554083007
"110",15,65325000,102410696,0.3084,"GSM2402994_6929718050_R04C01",0.527011554083007
"111",16,105000,33986575,0.0095,"GSM2402994_6929718050_R04C01",0.527011554083007
"112",16,34286575,81650000,-0.36,"GSM2402994_6929718050_R04C01",0.527011554083007
"113",16,81725000,90222377,0.0674,"GSM2402994_6929718050_R04C01",0.527011554083007
"114",17,25000,20175000,-0.3682,"GSM2402994_6929718050_R04C01",0.527011554083007
"115",17,20350000,27775000,0.1668,"GSM2402994_6929718050_R04C01",0.527011554083007
"116",17,27875000,44200000,-0.3859,"GSM2402994_6929718050_R04C01",0.527011554083007
"117",17,44325000,81122605,0.1682,"GSM2402994_6929718050_R04C01",0.527011554083007
"118",18,80000,77983624,-0.2078,"GSM2402994_6929718050_R04C01",0.527011554083007
"119",19,180000,59084492,-0.0042,"GSM2402994_6929718050_R04C01",0.527011554083007
"120",2,130000,243026238,0.0557,"GSM2402994_6929718050_R04C01",0.527011554083007
"121",20,155000,62907760,-0.0495,"GSM2402994_6929718050_R04C01",0.527011554083007
"122",21,10848948,48084948,0.0195,"GSM2402994_6929718050_R04C01",0.527011554083007
"123",22,16373925,51222283,0.0834,"GSM2402994_6929718050_R04C01",0.527011554083007
"124",3,155000,96525000,-0.0301,"GSM2402994_6929718050_R04C01",0.527011554083007
"125",3,97025000,197831215,0.212,"GSM2402994_6929718050_R04C01",0.527011554083007
"126",4,55000,190972138,-0.0464,"GSM2402994_6929718050_R04C01",0.527011554083007
"127",5,55000,180777630,-0.0931,"GSM2402994_6929718050_R04C01",0.527011554083007
"128",6,155000,170952534,-0.032,"GSM2402994_6929718050_R04C01",0.527011554083007
"129",7,55000,159039332,0.0081,"GSM2402994_6929718050_R04C01",0.527011554083007
"130",8,105000,23950000,0.0182,"GSM2402994_6929718050_R04C01",0.527011554083007
"131",8,24450000,88875000,-0.4256,"GSM2402994_6929718050_R04C01",0.527011554083007
"132",8,89100000,90925000,-0.889,"GSM2402994_6929718050_R04C01",0.527011554083007
"133",8,9.1e+07,99075000,0.4624,"GSM2402994_6929718050_R04C01",0.527011554083007
"134",8,99125000,146277011,-0.1564,"GSM2402994_6929718050_R04C01",0.527011554083007
"135",9,130000,141076716,0.0902,"GSM2402994_6929718050_R04C01",0.527011554083007
"136",1,635684,163450000,0.0312,"GSM2403004_6929718001_R04C02",0.530766816408133
"137",1,164050000,187125000,-0.2504,"GSM2403004_6929718001_R04C02",0.530766816408133
"138",1,1.89e+08,249195311,0.0272,"GSM2403004_6929718001_R04C02",0.530766816408133
"139",10,105000,42723344,0.0096,"GSM2403004_6929718001_R04C02",0.530766816408133
"140",10,42925000,135462374,-0.3883,"GSM2403004_6929718001_R04C02",0.530766816408133
"141",11,130000,134873258,0.026,"GSM2403004_6929718001_R04C02",0.530766816408133
"142",12,172870,133770948,0.0194,"GSM2403004_6929718001_R04C02",0.530766816408133
"143",13,19110000,115079939,-0.0396,"GSM2403004_6929718001_R04C02",0.530766816408133
"144",14,19325000,107119770,8e-04,"GSM2403004_6929718001_R04C02",0.530766816408133
"145",15,20225000,102410696,0.0137,"GSM2403004_6929718001_R04C02",0.530766816408133
"146",16,105000,90222377,0.0293,"GSM2403004_6929718001_R04C02",0.530766816408133
"147",17,25000,81122605,-0.0186,"GSM2403004_6929718001_R04C02",0.530766816408133
"148",18,80000,77983624,-0.0761,"GSM2403004_6929718001_R04C02",0.530766816408133
"149",19,180000,59084492,-8e-04,"GSM2403004_6929718001_R04C02",0.530766816408133
"150",2,130000,243026238,-0.0156,"GSM2403004_6929718001_R04C02",0.530766816408133
"151",20,155000,62907760,-0.0131,"GSM2403004_6929718001_R04C02",0.530766816408133
"152",21,10848948,48084948,0.0231,"GSM2403004_6929718001_R04C02",0.530766816408133
"153",22,16373925,51222283,0.0442,"GSM2403004_6929718001_R04C02",0.530766816408133
"154",3,155000,37150000,0.0216,"GSM2403004_6929718001_R04C02",0.530766816408133
"155",3,37275000,38600000,0.4039,"GSM2403004_6929718001_R04C02",0.530766816408133
"156",3,38675000,197831215,0.0554,"GSM2403004_6929718001_R04C02",0.530766816408133
"157",4,55000,190972138,-0.0879,"GSM2403004_6929718001_R04C02",0.530766816408133
"158",5,55000,180777630,-0.007,"GSM2403004_6929718001_R04C02",0.530766816408133
"159",6,155000,170952534,-0.0182,"GSM2403004_6929718001_R04C02",0.530766816408133
"160",7,55000,159039332,0.0159,"GSM2403004_6929718001_R04C02",0.530766816408133
"161",8,105000,146277011,-0.016,"GSM2403004_6929718001_R04C02",0.530766816408133
"162",9,130000,68326090,0.0067,"GSM2403004_6929718001_R04C02",0.530766816408133
"163",9,71067734,97825000,-0.4127,"GSM2403004_6929718001_R04C02",0.530766816408133
"164",9,97975000,98625000,-2.6017,"GSM2403004_6929718001_R04C02",0.530766816408133
"165",9,98775000,141076716,-0.3354,"GSM2403004_6929718001_R04C02",0.530766816408133
"166",1,635684,249195311,0.008,"GSM2403005_6929718001_R05C02",0.542801610880128
"167",10,105000,135462374,-0.0057,"GSM2403005_6929718001_R05C02",0.542801610880128
"168",11,130000,134873258,-0.0026,"GSM2403005_6929718001_R05C02",0.542801610880128
"169",12,172870,133770948,-0.0115,"GSM2403005_6929718001_R05C02",0.542801610880128
"170",13,19110000,115079939,-0.0673,"GSM2403005_6929718001_R05C02",0.542801610880128
"171",14,19325000,107119770,-0.0061,"GSM2403005_6929718001_R05C02",0.542801610880128
"172",15,20225000,102410696,0.0033,"GSM2403005_6929718001_R05C02",0.542801610880128
"173",16,105000,90222377,0.0192,"GSM2403005_6929718001_R05C02",0.542801610880128
"174",17,25000,81122605,-0.034,"GSM2403005_6929718001_R05C02",0.542801610880128
"175",18,80000,77983624,-0.0994,"GSM2403005_6929718001_R05C02",0.542801610880128
"176",19,180000,59084492,-0.0092,"GSM2403005_6929718001_R05C02",0.542801610880128
"177",2,130000,243026238,-0.0436,"GSM2403005_6929718001_R05C02",0.542801610880128
"178",20,155000,62907760,-0.0348,"GSM2403005_6929718001_R05C02",0.542801610880128
"179",21,10848948,48084948,-0.0077,"GSM2403005_6929718001_R05C02",0.542801610880128
"180",22,16373925,51222283,0.0202,"GSM2403005_6929718001_R05C02",0.542801610880128
"181",3,155000,197831215,-0.0242,"GSM2403005_6929718001_R05C02",0.542801610880128
"182",4,55000,190972138,-0.0767,"GSM2403005_6929718001_R05C02",0.542801610880128
"183",5,55000,180777630,-0.0283,"GSM2403005_6929718001_R05C02",0.542801610880128
"184",6,155000,170952534,-0.0516,"GSM2403005_6929718001_R05C02",0.542801610880128
"185",7,55000,159039332,-0.0112,"GSM2403005_6929718001_R05C02",0.542801610880128
"186",8,105000,146277011,-0.0478,"GSM2403005_6929718001_R05C02",0.542801610880128
"187",9,130000,141076716,0.0038,"GSM2403005_6929718001_R05C02",0.542801610880128
"188",1,635684,249195311,0.0213,"GSM2403008_6929718009_R03C01",0.523834472979683
"189",10,105000,135462374,0.0071,"GSM2403008_6929718009_R03C01",0.523834472979683
"190",11,130000,134873258,0.0187,"GSM2403008_6929718009_R03C01",0.523834472979683
"191",12,172870,133770948,0.0033,"GSM2403008_6929718009_R03C01",0.523834472979683
"192",13,19110000,115079939,-0.0452,"GSM2403008_6929718009_R03C01",0.523834472979683
"193",14,19325000,107119770,-0.1557,"GSM2403008_6929718009_R03C01",0.523834472979683
"194",15,20225000,102410696,0.0059,"GSM2403008_6929718009_R03C01",0.523834472979683
"195",16,105000,90222377,-0.1161,"GSM2403008_6929718009_R03C01",0.523834472979683
"196",17,25000,81122605,-0.0424,"GSM2403008_6929718009_R03C01",0.523834472979683
