"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121392717,0.0185,"GSM2402854_5684819014_R03C02",0.60904723725888
"2",1,144500872,249195311,0.2542,"GSM2402854_5684819014_R03C02",0.60904723725888
"3",10,105000,135462374,-0.0266,"GSM2402854_5684819014_R03C02",0.60904723725888
"4",11,130000,129450000,-0.0016,"GSM2402854_5684819014_R03C02",0.60904723725888
"5",11,129700000,134873258,-0.433,"GSM2402854_5684819014_R03C02",0.60904723725888
"6",12,172870,18975000,0.2441,"GSM2402854_5684819014_R03C02",0.60904723725888
"7",12,19275000,133770948,-0.0311,"GSM2402854_5684819014_R03C02",0.60904723725888
"8",13,19110000,115079939,-0.1086,"GSM2402854_5684819014_R03C02",0.60904723725888
"9",14,19325000,107119770,-0.0154,"GSM2402854_5684819014_R03C02",0.60904723725888
"10",15,20225000,102410696,-0.0037,"GSM2402854_5684819014_R03C02",0.60904723725888
"11",16,105000,90222377,0.0188,"GSM2402854_5684819014_R03C02",0.60904723725888
"12",17,25000,81122605,0.0018,"GSM2402854_5684819014_R03C02",0.60904723725888
"13",18,80000,77983624,-0.0948,"GSM2402854_5684819014_R03C02",0.60904723725888
"14",19,180000,59084492,-0.0325,"GSM2402854_5684819014_R03C02",0.60904723725888
"15",2,130000,243026238,-0.0541,"GSM2402854_5684819014_R03C02",0.60904723725888
"16",20,155000,62907760,0.1627,"GSM2402854_5684819014_R03C02",0.60904723725888
"17",21,10848948,48084948,-0.0133,"GSM2402854_5684819014_R03C02",0.60904723725888
"18",22,16373925,51222283,0.0152,"GSM2402854_5684819014_R03C02",0.60904723725888
"19",3,155000,83925000,-0.0322,"GSM2402854_5684819014_R03C02",0.60904723725888
"20",3,85025000,163475000,-0.5281,"GSM2402854_5684819014_R03C02",0.60904723725888
"21",3,164925000,197831215,-0.0273,"GSM2402854_5684819014_R03C02",0.60904723725888
"22",4,55000,17900000,-0.0124,"GSM2402854_5684819014_R03C02",0.60904723725888
"23",4,18025000,190972138,-0.6076,"GSM2402854_5684819014_R03C02",0.60904723725888
"24",5,55000,180777630,-0.0413,"GSM2402854_5684819014_R03C02",0.60904723725888
"25",6,155000,170952534,-0.0533,"GSM2402854_5684819014_R03C02",0.60904723725888
"26",7,55000,159039332,-0.0274,"GSM2402854_5684819014_R03C02",0.60904723725888
"27",8,105000,146277011,-0.0591,"GSM2402854_5684819014_R03C02",0.60904723725888
"28",9,130000,141076716,-0.0139,"GSM2402854_5684819014_R03C02",0.60904723725888
"29",1,635684,249195311,0.0811,"GSM2402859_5684819014_R01C02",0.637635359450272
"30",10,105000,91175000,-0.0421,"GSM2402859_5684819014_R01C02",0.637635359450272
"31",10,91250000,135462374,-0.4018,"GSM2402859_5684819014_R01C02",0.637635359450272
"32",11,130000,134873258,0.1,"GSM2402859_5684819014_R01C02",0.637635359450272
"33",12,172870,133770948,-0.0962,"GSM2402859_5684819014_R01C02",0.637635359450272
"34",13,19110000,115079939,-0.1221,"GSM2402859_5684819014_R01C02",0.637635359450272
"35",14,19325000,107119770,0.0583,"GSM2402859_5684819014_R01C02",0.637635359450272
"36",15,20225000,102410696,0.0227,"GSM2402859_5684819014_R01C02",0.637635359450272
"37",16,105000,12325000,0.0631,"GSM2402859_5684819014_R01C02",0.637635359450272
"38",16,12525000,13650000,-0.4493,"GSM2402859_5684819014_R01C02",0.637635359450272
"39",16,14025000,90222377,0.069,"GSM2402859_5684819014_R01C02",0.637635359450272
"40",17,25000,68750000,-0.3757,"GSM2402859_5684819014_R01C02",0.637635359450272
"41",17,69700000,81122605,0.0667,"GSM2402859_5684819014_R01C02",0.637635359450272
"42",18,80000,77983624,-0.0312,"GSM2402859_5684819014_R01C02",0.637635359450272
"43",19,180000,7075000,-0.3116,"GSM2402859_5684819014_R01C02",0.637635359450272
"44",19,7175000,59084492,0.0228,"GSM2402859_5684819014_R01C02",0.637635359450272
"45",2,130000,243026238,-0.0659,"GSM2402859_5684819014_R01C02",0.637635359450272
"46",20,155000,62907760,0.1039,"GSM2402859_5684819014_R01C02",0.637635359450272
"47",21,10848948,48084948,-0.363,"GSM2402859_5684819014_R01C02",0.637635359450272
"48",22,16373925,51222283,-0.2343,"GSM2402859_5684819014_R01C02",0.637635359450272
"49",3,155000,3100000,-0.4929,"GSM2402859_5684819014_R01C02",0.637635359450272
"50",3,3175000,122025000,-0.1112,"GSM2402859_5684819014_R01C02",0.637635359450272
"51",3,122125000,1.66e+08,-0.4201,"GSM2402859_5684819014_R01C02",0.637635359450272
"52",3,167250000,174350000,-0.037,"GSM2402859_5684819014_R01C02",0.637635359450272
"53",3,174950000,177125000,-0.3705,"GSM2402859_5684819014_R01C02",0.637635359450272
"54",3,177425000,182125000,-0.0557,"GSM2402859_5684819014_R01C02",0.637635359450272
"55",3,182475000,194125000,0.1849,"GSM2402859_5684819014_R01C02",0.637635359450272
