"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.1037,"GSM2403626_8622007189_R04C01",0.647096645762262
"2",1,121392717,145225000,0.2,"GSM2403626_8622007189_R04C01",0.647096645762262
"3",1,145375000,147475000,-0.1616,"GSM2403626_8622007189_R04C01",0.647096645762262
"4",1,147725000,149800000,0.1548,"GSM2403626_8622007189_R04C01",0.647096645762262
"5",1,149875000,249195311,-0.1193,"GSM2403626_8622007189_R04C01",0.647096645762262
"6",10,105000,135462374,-0.0725,"GSM2403626_8622007189_R04C01",0.647096645762262
"7",11,130000,134873258,0.0253,"GSM2403626_8622007189_R04C01",0.647096645762262
"8",12,172870,133770948,0.0326,"GSM2403626_8622007189_R04C01",0.647096645762262
"9",13,19110000,115079939,-0.0654,"GSM2403626_8622007189_R04C01",0.647096645762262
"10",14,19325000,20450000,0.2748,"GSM2403626_8622007189_R04C01",0.647096645762262
"11",14,20800000,107119770,-0.107,"GSM2403626_8622007189_R04C01",0.647096645762262
"12",15,20225000,102410696,-0.0866,"GSM2403626_8622007189_R04C01",0.647096645762262
"13",16,105000,31825000,-0.0495,"GSM2403626_8622007189_R04C01",0.647096645762262
"14",16,32075000,33986575,0.2576,"GSM2403626_8622007189_R04C01",0.647096645762262
"15",16,34286575,90222377,-0.0566,"GSM2403626_8622007189_R04C01",0.647096645762262
"16",17,25000,81122605,-0.1042,"GSM2403626_8622007189_R04C01",0.647096645762262
"17",18,80000,77983624,0.0163,"GSM2403626_8622007189_R04C01",0.647096645762262
"18",19,180000,59084492,0.038,"GSM2403626_8622007189_R04C01",0.647096645762262
"19",2,130000,89315218,-0.0996,"GSM2403626_8622007189_R04C01",0.647096645762262
"20",2,91672552,95438086,0.262,"GSM2403626_8622007189_R04C01",0.647096645762262
"21",2,95625000,243026238,-0.0993,"GSM2403626_8622007189_R04C01",0.647096645762262
"22",20,155000,62907760,0.0089,"GSM2403626_8622007189_R04C01",0.647096645762262
"23",21,10848948,48084948,-0.0442,"GSM2403626_8622007189_R04C01",0.647096645762262
"24",22,16373925,51222283,-0.06,"GSM2403626_8622007189_R04C01",0.647096645762262
"25",3,155000,197831215,-0.1301,"GSM2403626_8622007189_R04C01",0.647096645762262
"26",4,55000,190972138,-0.1111,"GSM2403626_8622007189_R04C01",0.647096645762262
"27",5,55000,180777630,0.0234,"GSM2403626_8622007189_R04C01",0.647096645762262
"28",6,155000,170952534,-0.0988,"GSM2403626_8622007189_R04C01",0.647096645762262
"29",7,55000,159039332,0.0705,"GSM2403626_8622007189_R04C01",0.647096645762262
"30",8,105000,146277011,-0.0931,"GSM2403626_8622007189_R04C01",0.647096645762262
"31",9,130000,141076716,-0.092,"GSM2403626_8622007189_R04C01",0.647096645762262
"32",1,635684,249195311,-0.0957,"GSM2403815_9297949098_R05C01",0.623361907768983
"33",10,105000,135462374,-0.075,"GSM2403815_9297949098_R05C01",0.623361907768983
"34",11,130000,134873258,0.0327,"GSM2403815_9297949098_R05C01",0.623361907768983
"35",12,172870,133770948,0.0268,"GSM2403815_9297949098_R05C01",0.623361907768983
"36",13,19110000,115079939,-0.2661,"GSM2403815_9297949098_R05C01",0.623361907768983
"37",14,19325000,107119770,-0.1012,"GSM2403815_9297949098_R05C01",0.623361907768983
"38",15,20225000,102410696,0.046,"GSM2403815_9297949098_R05C01",0.623361907768983
"39",16,105000,90222377,-0.0461,"GSM2403815_9297949098_R05C01",0.623361907768983
"40",17,25000,81122605,-0.1239,"GSM2403815_9297949098_R05C01",0.623361907768983
"41",18,80000,77983624,-0.1667,"GSM2403815_9297949098_R05C01",0.623361907768983
"42",19,180000,59084492,0.0103,"GSM2403815_9297949098_R05C01",0.623361907768983
"43",2,130000,243026238,-0.1051,"GSM2403815_9297949098_R05C01",0.623361907768983
"44",20,155000,62907760,0.099,"GSM2403815_9297949098_R05C01",0.623361907768983
"45",21,10848948,48084948,-0.0712,"GSM2403815_9297949098_R05C01",0.623361907768983
"46",22,16373925,51222283,-0.0675,"GSM2403815_9297949098_R05C01",0.623361907768983
"47",3,155000,197831215,-0.1286,"GSM2403815_9297949098_R05C01",0.623361907768983
"48",4,55000,190972138,-0.1526,"GSM2403815_9297949098_R05C01",0.623361907768983
"49",5,55000,180777630,0.0197,"GSM2403815_9297949098_R05C01",0.623361907768983
"50",6,155000,170952534,-0.1086,"GSM2403815_9297949098_R05C01",0.623361907768983
"51",7,55000,159039332,0.1605,"GSM2403815_9297949098_R05C01",0.623361907768983
"52",8,105000,146277011,0.0321,"GSM2403815_9297949098_R05C01",0.623361907768983
"53",9,130000,141076716,-0.0833,"GSM2403815_9297949098_R05C01",0.623361907768983
"54",1,635684,249195311,-0.0296,"GSM2404323_9422492035_R03C02",0.78405518794802
"55",10,105000,135462374,-0.019,"GSM2404323_9422492035_R03C02",0.78405518794802
"56",11,130000,134873258,-0.0392,"GSM2404323_9422492035_R03C02",0.78405518794802
"57",12,172870,133770948,-0.0486,"GSM2404323_9422492035_R03C02",0.78405518794802
"58",13,19110000,115079939,-0.0316,"GSM2404323_9422492035_R03C02",0.78405518794802
"59",14,19325000,107119770,-0.0333,"GSM2404323_9422492035_R03C02",0.78405518794802
"60",15,20225000,102410696,-0.0222,"GSM2404323_9422492035_R03C02",0.78405518794802
"61",16,105000,90222377,-0.0087,"GSM2404323_9422492035_R03C02",0.78405518794802
"62",17,25000,81122605,-0.0769,"GSM2404323_9422492035_R03C02",0.78405518794802
"63",18,80000,77983624,-0.1253,"GSM2404323_9422492035_R03C02",0.78405518794802
"64",19,180000,59084492,-0.0696,"GSM2404323_9422492035_R03C02",0.78405518794802
"65",2,130000,243026238,-0.0572,"GSM2404323_9422492035_R03C02",0.78405518794802
"66",20,155000,62907760,-0.0586,"GSM2404323_9422492035_R03C02",0.78405518794802
"67",21,10848948,48084948,-0.0239,"GSM2404323_9422492035_R03C02",0.78405518794802
"68",22,16373925,51222283,-0.0146,"GSM2404323_9422492035_R03C02",0.78405518794802
"69",3,155000,197831215,-0.0755,"GSM2404323_9422492035_R03C02",0.78405518794802
"70",4,55000,190972138,-0.101,"GSM2404323_9422492035_R03C02",0.78405518794802
"71",5,55000,180777630,-0.0513,"GSM2404323_9422492035_R03C02",0.78405518794802
"72",6,155000,170952534,-0.0534,"GSM2404323_9422492035_R03C02",0.78405518794802
"73",7,55000,159039332,-0.0206,"GSM2404323_9422492035_R03C02",0.78405518794802
"74",8,105000,89100000,-0.0428,"GSM2404323_9422492035_R03C02",0.78405518794802
"75",8,89325000,94075000,-0.3988,"GSM2404323_9422492035_R03C02",0.78405518794802
"76",8,94375000,146277011,-0.0574,"GSM2404323_9422492035_R03C02",0.78405518794802
"77",9,130000,141076716,-0.0287,"GSM2404323_9422492035_R03C02",0.78405518794802
"78",1,635684,158175000,-0.0387,"GSM2404324_9422492075_R03C01",1.01476848809073
"79",1,158275000,159600000,-0.529,"GSM2404324_9422492075_R03C01",1.01476848809073
"80",1,159775000,249195311,-0.1228,"GSM2404324_9422492075_R03C01",1.01476848809073
"81",10,105000,135462374,-0.0787,"GSM2404324_9422492075_R03C01",1.01476848809073
"82",11,130000,134873258,-0.1133,"GSM2404324_9422492075_R03C01",1.01476848809073
"83",12,172870,133770948,-0.1336,"GSM2404324_9422492075_R03C01",1.01476848809073
"84",13,19110000,115079939,-0.171,"GSM2404324_9422492075_R03C01",1.01476848809073
"85",14,19325000,107119770,-0.0886,"GSM2404324_9422492075_R03C01",1.01476848809073
"86",15,20225000,102410696,-0.0523,"GSM2404324_9422492075_R03C01",1.01476848809073
"87",16,105000,58775000,-0.0034,"GSM2404324_9422492075_R03C01",1.01476848809073
"88",16,59975000,66050000,-0.4493,"GSM2404324_9422492075_R03C01",1.01476848809073
"89",16,66275000,90222377,0.0295,"GSM2404324_9422492075_R03C01",1.01476848809073
"90",17,25000,81122605,-0.0213,"GSM2404324_9422492075_R03C01",1.01476848809073
"91",18,80000,77983624,-0.1019,"GSM2404324_9422492075_R03C01",1.01476848809073
"92",19,180000,59084492,-0.0119,"GSM2404324_9422492075_R03C01",1.01476848809073
"93",2,130000,243026238,-0.1301,"GSM2404324_9422492075_R03C01",1.01476848809073
"94",20,155000,62907760,-0.0524,"GSM2404324_9422492075_R03C01",1.01476848809073
"95",21,10848948,48084948,-0.068,"GSM2404324_9422492075_R03C01",1.01476848809073
"96",22,16373925,51222283,0.0607,"GSM2404324_9422492075_R03C01",1.01476848809073
"97",3,155000,4075000,-0.4551,"GSM2404324_9422492075_R03C01",1.01476848809073
"98",3,4400000,187925000,-0.2134,"GSM2404324_9422492075_R03C01",1.01476848809073
"99",3,1.88e+08,189675000,-1.0247,"GSM2404324_9422492075_R03C01",1.01476848809073
"100",3,189825000,197831215,-0.0488,"GSM2404324_9422492075_R03C01",1.01476848809073
"101",4,55000,190972138,-0.1988,"GSM2404324_9422492075_R03C01",1.01476848809073
"102",5,55000,180777630,-0.1629,"GSM2404324_9422492075_R03C01",1.01476848809073
"103",6,155000,20425000,-0.0821,"GSM2404324_9422492075_R03C01",1.01476848809073
"104",6,20625000,23500000,-0.7314,"GSM2404324_9422492075_R03C01",1.01476848809073
"105",6,24225000,32225000,-0.1057,"GSM2404324_9422492075_R03C01",1.01476848809073
"106",6,32275000,32575000,-0.6658,"GSM2404324_9422492075_R03C01",1.01476848809073
"107",6,32650000,170952534,-0.1793,"GSM2404324_9422492075_R03C01",1.01476848809073
"108",7,55000,159039332,-0.1245,"GSM2404324_9422492075_R03C01",1.01476848809073
"109",8,105000,87525000,-0.0967,"GSM2404324_9422492075_R03C01",1.01476848809073
"110",8,88200000,94375000,-0.8208,"GSM2404324_9422492075_R03C01",1.01476848809073
"111",8,94650000,146277011,-0.1409,"GSM2404324_9422492075_R03C01",1.01476848809073
"112",9,130000,141076716,-0.0606,"GSM2404324_9422492075_R03C01",1.01476848809073
"113",1,635684,249195311,-0.0693,"GSM2404325_9422492026_R04C02",0.745510081689977
"114",10,105000,135462374,-0.0892,"GSM2404325_9422492026_R04C02",0.745510081689977
"115",11,130000,134873258,-0.0696,"GSM2404325_9422492026_R04C02",0.745510081689977
"116",12,172870,133770948,0.0249,"GSM2404325_9422492026_R04C02",0.745510081689977
"117",13,19110000,115079939,-0.0938,"GSM2404325_9422492026_R04C02",0.745510081689977
"118",14,19325000,107119770,-0.0127,"GSM2404325_9422492026_R04C02",0.745510081689977
"119",15,20225000,102410696,-0.0335,"GSM2404325_9422492026_R04C02",0.745510081689977
"120",16,105000,90222377,-0.0433,"GSM2404325_9422492026_R04C02",0.745510081689977
"121",17,25000,81122605,-0.1014,"GSM2404325_9422492026_R04C02",0.745510081689977
"122",18,80000,77983624,-0.1493,"GSM2404325_9422492026_R04C02",0.745510081689977
"123",19,180000,59084492,-0.0157,"GSM2404325_9422492026_R04C02",0.745510081689977
"124",2,130000,243026238,-0.1092,"GSM2404325_9422492026_R04C02",0.745510081689977
"125",20,155000,62907760,0.0211,"GSM2404325_9422492026_R04C02",0.745510081689977
"126",21,10848948,48084948,-0.0219,"GSM2404325_9422492026_R04C02",0.745510081689977
"127",22,16373925,51222283,-0.0292,"GSM2404325_9422492026_R04C02",0.745510081689977
"128",3,155000,197831215,-0.142,"GSM2404325_9422492026_R04C02",0.745510081689977
"129",4,55000,190972138,-0.1129,"GSM2404325_9422492026_R04C02",0.745510081689977
"130",5,55000,52425000,0.0383,"GSM2404325_9422492026_R04C02",0.745510081689977
"131",5,52600000,53475000,-0.4236,"GSM2404325_9422492026_R04C02",0.745510081689977
"132",5,53700000,180777630,0.0095,"GSM2404325_9422492026_R04C02",0.745510081689977
"133",6,155000,170952534,-0.0062,"GSM2404325_9422492026_R04C02",0.745510081689977
"134",7,55000,159039332,0.0828,"GSM2404325_9422492026_R04C02",0.745510081689977
"135",8,105000,146277011,-0.1192,"GSM2404325_9422492026_R04C02",0.745510081689977
"136",9,130000,141076716,-0.0196,"GSM2404325_9422492026_R04C02",0.745510081689977
"137",1,635684,249195311,-0.0592,"GSM2404327_9422492075_R04C01",0.901709962290151
"138",10,105000,135462374,-0.0734,"GSM2404327_9422492075_R04C01",0.901709962290151
"139",11,130000,50516927,-0.0893,"GSM2404327_9422492075_R04C01",0.901709962290151
"140",11,54922103,56300000,-0.7716,"GSM2404327_9422492075_R04C01",0.901709962290151
"141",11,56675000,134873258,-0.086,"GSM2404327_9422492075_R04C01",0.901709962290151
"142",12,172870,133770948,-0.1225,"GSM2404327_9422492075_R04C01",0.901709962290151
"143",13,19110000,115079939,-0.1487,"GSM2404327_9422492075_R04C01",0.901709962290151
"144",14,19325000,107119770,-0.0741,"GSM2404327_9422492075_R04C01",0.901709962290151
"145",15,20225000,102410696,0.0039,"GSM2404327_9422492075_R04C01",0.901709962290151
"146",16,105000,90222377,-0.024,"GSM2404327_9422492075_R04C01",0.901709962290151
"147",17,25000,81122605,-0.0491,"GSM2404327_9422492075_R04C01",0.901709962290151
"148",18,80000,77983624,-0.1212,"GSM2404327_9422492075_R04C01",0.901709962290151
"149",19,180000,59084492,-0.0136,"GSM2404327_9422492075_R04C01",0.901709962290151
"150",2,130000,243026238,-0.1205,"GSM2404327_9422492075_R04C01",0.901709962290151
"151",20,155000,62907760,-0.0134,"GSM2404327_9422492075_R04C01",0.901709962290151
"152",21,10848948,48084948,-0.1076,"GSM2404327_9422492075_R04C01",0.901709962290151
"153",22,16373925,51222283,-0.0226,"GSM2404327_9422492075_R04C01",0.901709962290151
