"chromosome","start","end","segmean","sample","noise"
"1",1,635684,185225000,0.0238,"GSM2405224_9980102125_R01C02",0.504914107284217
"2",1,185525000,200825000,-0.3188,"GSM2405224_9980102125_R01C02",0.504914107284217
"3",1,200900000,214775000,0.0644,"GSM2405224_9980102125_R01C02",0.504914107284217
"4",1,214975000,219400000,-0.2334,"GSM2405224_9980102125_R01C02",0.504914107284217
"5",1,219800000,249195311,-0.0168,"GSM2405224_9980102125_R01C02",0.504914107284217
"6",10,105000,135462374,-0.022,"GSM2405224_9980102125_R01C02",0.504914107284217
"7",11,130000,36425000,-0.0171,"GSM2405224_9980102125_R01C02",0.504914107284217
"8",11,36525000,43325000,-0.2868,"GSM2405224_9980102125_R01C02",0.504914107284217
"9",11,43450000,48550000,0.0646,"GSM2405224_9980102125_R01C02",0.504914107284217
"10",11,48975000,56100000,-0.3575,"GSM2405224_9980102125_R01C02",0.504914107284217
"11",11,56300000,134873258,-0.0076,"GSM2405224_9980102125_R01C02",0.504914107284217
"12",12,172870,133770948,-0.0346,"GSM2405224_9980102125_R01C02",0.504914107284217
"13",13,19110000,115079939,-0.1197,"GSM2405224_9980102125_R01C02",0.504914107284217
"14",14,19325000,107119770,0.0052,"GSM2405224_9980102125_R01C02",0.504914107284217
"15",15,20225000,102410696,0.0061,"GSM2405224_9980102125_R01C02",0.504914107284217
"16",16,105000,58775000,0.0321,"GSM2405224_9980102125_R01C02",0.504914107284217
"17",16,59975000,65175000,-0.1853,"GSM2405224_9980102125_R01C02",0.504914107284217
"18",16,65400000,90222377,0.0304,"GSM2405224_9980102125_R01C02",0.504914107284217
"19",17,25000,81122605,0.0053,"GSM2405224_9980102125_R01C02",0.504914107284217
"20",18,80000,77983624,-0.0902,"GSM2405224_9980102125_R01C02",0.504914107284217
"21",19,180000,59084492,0.0136,"GSM2405224_9980102125_R01C02",0.504914107284217
"22",2,130000,180825000,-0.0506,"GSM2405224_9980102125_R01C02",0.504914107284217
"23",2,181350000,190150000,-0.3847,"GSM2405224_9980102125_R01C02",0.504914107284217
"24",2,190325000,209125000,-0.1135,"GSM2405224_9980102125_R01C02",0.504914107284217
"25",2,209225000,216275000,-0.3148,"GSM2405224_9980102125_R01C02",0.504914107284217
"26",2,216525000,243026238,-0.0011,"GSM2405224_9980102125_R01C02",0.504914107284217
"27",20,155000,62907760,-0.0087,"GSM2405224_9980102125_R01C02",0.504914107284217
"28",21,10848948,48084948,-0.0192,"GSM2405224_9980102125_R01C02",0.504914107284217
