"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0812,"GSM2404191_9376538153_R06C01",0.732410944915828
"2",10,105000,125825000,-0.2623,"GSM2404191_9376538153_R06C01",0.732410944915828
"3",10,125859736,135462374,0.2334,"GSM2404191_9376538153_R06C01",0.732410944915828
"4",11,130000,3875000,-0.0638,"GSM2404191_9376538153_R06C01",0.732410944915828
"5",11,4025000,6100000,-0.8895,"GSM2404191_9376538153_R06C01",0.732410944915828
"6",11,6225000,50516927,-0.3443,"GSM2404191_9376538153_R06C01",0.732410944915828
"7",11,54922103,56675000,-1.2116,"GSM2404191_9376538153_R06C01",0.732410944915828
"8",11,56975000,134873258,-0.2869,"GSM2404191_9376538153_R06C01",0.732410944915828
"9",12,172870,54975000,0.0603,"GSM2404191_9376538153_R06C01",0.732410944915828
"10",12,55175000,56075000,-0.2769,"GSM2404191_9376538153_R06C01",0.732410944915828
"11",12,56125000,133770948,0.0844,"GSM2404191_9376538153_R06C01",0.732410944915828
"12",13,19110000,115079939,-0.2906,"GSM2404191_9376538153_R06C01",0.732410944915828
"13",14,19325000,107119770,0.0736,"GSM2404191_9376538153_R06C01",0.732410944915828
"14",15,20225000,102410696,0.1046,"GSM2404191_9376538153_R06C01",0.732410944915828
"15",16,105000,5125000,-0.0463,"GSM2404191_9376538153_R06C01",0.732410944915828
"16",16,5475000,8193461,-0.6679,"GSM2404191_9376538153_R06C01",0.732410944915828
"17",16,8718461,51025000,-0.1235,"GSM2404191_9376538153_R06C01",0.732410944915828
"18",16,51175000,52575000,-0.8039,"GSM2404191_9376538153_R06C01",0.732410944915828
"19",16,52850000,58775000,-0.1855,"GSM2404191_9376538153_R06C01",0.732410944915828
"20",16,59975000,66275000,-0.7398,"GSM2404191_9376538153_R06C01",0.732410944915828
"21",16,66425000,90222377,-0.1178,"GSM2404191_9376538153_R06C01",0.732410944915828
"22",17,25000,66575000,-0.1703,"GSM2404191_9376538153_R06C01",0.732410944915828
"23",17,66825000,69700000,-0.8237,"GSM2404191_9376538153_R06C01",0.732410944915828
"24",17,70125000,81122605,-0.0614,"GSM2404191_9376538153_R06C01",0.732410944915828
"25",18,80000,77983624,-0.1476,"GSM2404191_9376538153_R06C01",0.732410944915828
"26",19,180000,59084492,-0.0893,"GSM2404191_9376538153_R06C01",0.732410944915828
"27",2,130000,243026238,-0.1297,"GSM2404191_9376538153_R06C01",0.732410944915828
"28",20,155000,62907760,-0.1603,"GSM2404191_9376538153_R06C01",0.732410944915828
"29",21,10848948,48084948,0.1485,"GSM2404191_9376538153_R06C01",0.732410944915828
"30",22,16373925,51222283,-0.1024,"GSM2404191_9376538153_R06C01",0.732410944915828
"31",3,155000,3100000,-1.0135,"GSM2404191_9376538153_R06C01",0.732410944915828
"32",3,3175000,197831215,-0.3717,"GSM2404191_9376538153_R06C01",0.732410944915828
"33",4,55000,190972138,-0.3436,"GSM2404191_9376538153_R06C01",0.732410944915828
"34",5,55000,180777630,-0.3403,"GSM2404191_9376538153_R06C01",0.732410944915828
"35",6,155000,32225000,-0.3122,"GSM2404191_9376538153_R06C01",0.732410944915828
"36",6,32275000,32650000,-1.0179,"GSM2404191_9376538153_R06C01",0.732410944915828
"37",6,32725000,170952534,-0.3328,"GSM2404191_9376538153_R06C01",0.732410944915828
"38",7,55000,159039332,0.0882,"GSM2404191_9376538153_R06C01",0.732410944915828
"39",8,105000,146277011,0.0494,"GSM2404191_9376538153_R06C01",0.732410944915828
"40",9,130000,141076716,-0.0597,"GSM2404191_9376538153_R06C01",0.732410944915828
"41",1,635684,249195311,0.1386,"GSM2404192_9376538153_R01C02",0.592330004627301
"42",10,105000,135462374,0.1511,"GSM2404192_9376538153_R01C02",0.592330004627301
"43",11,130000,134873258,-0.2123,"GSM2404192_9376538153_R01C02",0.592330004627301
"44",12,172870,133770948,0.1348,"GSM2404192_9376538153_R01C02",0.592330004627301
"45",13,19110000,115079939,0.133,"GSM2404192_9376538153_R01C02",0.592330004627301
"46",14,19325000,20025000,0.2733,"GSM2404192_9376538153_R01C02",0.592330004627301
"47",14,20450000,107119770,-0.0903,"GSM2404192_9376538153_R01C02",0.592330004627301
"48",15,20225000,102410696,-0.1881,"GSM2404192_9376538153_R01C02",0.592330004627301
"49",16,105000,31825000,-0.1347,"GSM2404192_9376538153_R01C02",0.592330004627301
"50",16,32075000,46517901,0.2187,"GSM2404192_9376538153_R01C02",0.592330004627301
"51",16,46675000,90222377,-0.1309,"GSM2404192_9376538153_R01C02",0.592330004627301
"52",17,25000,81122605,-0.0865,"GSM2404192_9376538153_R01C02",0.592330004627301
"53",18,80000,72925000,-0.2551,"GSM2404192_9376538153_R01C02",0.592330004627301
"54",18,73275000,77625000,-0.025,"GSM2404192_9376538153_R01C02",0.592330004627301
"55",18,77675000,77983624,-0.284,"GSM2404192_9376538153_R01C02",0.592330004627301
"56",19,180000,59084492,-0.1685,"GSM2404192_9376538153_R01C02",0.592330004627301
"57",2,130000,243026238,0.1251,"GSM2404192_9376538153_R01C02",0.592330004627301
"58",20,155000,62907760,0.1095,"GSM2404192_9376538153_R01C02",0.592330004627301
"59",21,10848948,48084948,0.1627,"GSM2404192_9376538153_R01C02",0.592330004627301
"60",22,16373925,51222283,-0.1218,"GSM2404192_9376538153_R01C02",0.592330004627301
"61",3,155000,75025000,-0.2417,"GSM2404192_9376538153_R01C02",0.592330004627301
"62",3,75425000,75800000,0.1147,"GSM2404192_9376538153_R01C02",0.592330004627301
"63",3,76450000,197831215,-0.2679,"GSM2404192_9376538153_R01C02",0.592330004627301
"64",4,55000,190972138,0.1047,"GSM2404192_9376538153_R01C02",0.592330004627301
"65",5,55000,5050000,0.0207,"GSM2404192_9376538153_R01C02",0.592330004627301
"66",5,5125000,180777630,-0.2464,"GSM2404192_9376538153_R01C02",0.592330004627301
"67",6,155000,170952534,-0.2417,"GSM2404192_9376538153_R01C02",0.592330004627301
"68",7,55000,159039332,-0.1745,"GSM2404192_9376538153_R01C02",0.592330004627301
"69",8,105000,146277011,-0.2017,"GSM2404192_9376538153_R01C02",0.592330004627301
"70",9,130000,141076716,-0.1061,"GSM2404192_9376538153_R01C02",0.592330004627301
"71",1,635684,249195311,0.1427,"GSM2404203_9376561024_R02C02",0.495033921866438
"72",10,105000,135462374,0.1606,"GSM2404203_9376561024_R02C02",0.495033921866438
"73",11,130000,20500000,-0.1372,"GSM2404203_9376561024_R02C02",0.495033921866438
"74",11,20625000,31975000,-0.3062,"GSM2404203_9376561024_R02C02",0.495033921866438
"75",11,32250000,36525000,-0.1486,"GSM2404203_9376561024_R02C02",0.495033921866438
"76",11,36600000,43925000,-0.3007,"GSM2404203_9376561024_R02C02",0.495033921866438
"77",11,43975000,50516927,-0.1094,"GSM2404203_9376561024_R02C02",0.495033921866438
"78",11,54922103,56100000,-0.6257,"GSM2404203_9376561024_R02C02",0.495033921866438
"79",11,56300000,134873258,-0.141,"GSM2404203_9376561024_R02C02",0.495033921866438
"80",12,172870,133770948,0.1524,"GSM2404203_9376561024_R02C02",0.495033921866438
"81",13,19110000,115079939,-0.1531,"GSM2404203_9376561024_R02C02",0.495033921866438
"82",14,19325000,107119770,0.1239,"GSM2404203_9376561024_R02C02",0.495033921866438
"83",15,20225000,102410696,0.119,"GSM2404203_9376561024_R02C02",0.495033921866438
"84",16,105000,59975000,-0.0933,"GSM2404203_9376561024_R02C02",0.495033921866438
"85",16,61600000,66050000,-0.3118,"GSM2404203_9376561024_R02C02",0.495033921866438
"86",16,66275000,90222377,-0.0743,"GSM2404203_9376561024_R02C02",0.495033921866438
"87",17,25000,81122605,-0.1565,"GSM2404203_9376561024_R02C02",0.495033921866438
"88",18,80000,77983624,0.0411,"GSM2404203_9376561024_R02C02",0.495033921866438
"89",19,180000,59084492,-0.1176,"GSM2404203_9376561024_R02C02",0.495033921866438
"90",2,130000,243026238,0.1358,"GSM2404203_9376561024_R02C02",0.495033921866438
"91",20,155000,62907760,0.166,"GSM2404203_9376561024_R02C02",0.495033921866438
"92",21,10848948,48084948,0.1473,"GSM2404203_9376561024_R02C02",0.495033921866438
"93",22,16373925,51222283,-0.1003,"GSM2404203_9376561024_R02C02",0.495033921866438
"94",3,155000,4075000,-0.3699,"GSM2404203_9376561024_R02C02",0.495033921866438
"95",3,4400000,197831215,-0.1867,"GSM2404203_9376561024_R02C02",0.495033921866438
"96",4,55000,190972138,0.068,"GSM2404203_9376561024_R02C02",0.495033921866438
"97",5,55000,180777630,-0.1898,"GSM2404203_9376561024_R02C02",0.495033921866438
"98",6,155000,32375000,-0.1813,"GSM2404203_9376561024_R02C02",0.495033921866438
"99",6,32425000,32650000,-0.6271,"GSM2404203_9376561024_R02C02",0.495033921866438
"100",6,32725000,170952534,-0.198,"GSM2404203_9376561024_R02C02",0.495033921866438
"101",7,55000,159039332,-0.1404,"GSM2404203_9376561024_R02C02",0.495033921866438
"102",8,105000,7050000,-0.0784,"GSM2404203_9376561024_R02C02",0.495033921866438
"103",8,7225000,8100000,0.1251,"GSM2404203_9376561024_R02C02",0.495033921866438
"104",8,8175000,87525000,-0.1945,"GSM2404203_9376561024_R02C02",0.495033921866438
"105",8,88200000,94075000,-0.4627,"GSM2404203_9376561024_R02C02",0.495033921866438
"106",8,94375000,146277011,-0.1833,"GSM2404203_9376561024_R02C02",0.495033921866438
"107",9,130000,141076716,-0.1124,"GSM2404203_9376561024_R02C02",0.495033921866438
"108",1,635684,249195311,0.0946,"GSM2404624_9741950023_R03C02",0.634221963503593
"109",10,105000,135462374,0.1208,"GSM2404624_9741950023_R03C02",0.634221963503593
"110",11,130000,20500000,-0.2893,"GSM2404624_9741950023_R03C02",0.634221963503593
"111",11,20625000,32475000,-0.5184,"GSM2404624_9741950023_R03C02",0.634221963503593
"112",11,32575000,134873258,-0.3034,"GSM2404624_9741950023_R03C02",0.634221963503593
"113",12,172870,133770948,0.1063,"GSM2404624_9741950023_R03C02",0.634221963503593
"114",13,19110000,115079939,-0.0167,"GSM2404624_9741950023_R03C02",0.634221963503593
"115",14,19325000,107119770,-0.0734,"GSM2404624_9741950023_R03C02",0.634221963503593
"116",15,20225000,102410696,-0.2945,"GSM2404624_9741950023_R03C02",0.634221963503593
"117",16,105000,90222377,0.002,"GSM2404624_9741950023_R03C02",0.634221963503593
"118",17,25000,81122605,-0.0495,"GSM2404624_9741950023_R03C02",0.634221963503593
"119",18,80000,77983624,-0.3088,"GSM2404624_9741950023_R03C02",0.634221963503593
"120",19,180000,59084492,-0.0201,"GSM2404624_9741950023_R03C02",0.634221963503593
"121",2,130000,243026238,0.0999,"GSM2404624_9741950023_R03C02",0.634221963503593
"122",20,155000,62907760,0.1516,"GSM2404624_9741950023_R03C02",0.634221963503593
"123",21,10848948,48084948,0.1396,"GSM2404624_9741950023_R03C02",0.634221963503593
"124",22,16373925,51222283,0.1017,"GSM2404624_9741950023_R03C02",0.634221963503593
