"chrom","start.pos","end.pos","n.probes","GSM2402996_6929689149_R04C02","GSM2403127_6285641010_R03C01","GSM2403128_6285641010_R02C01","GSM2403226_6752625135_R01C01","GSM2403227_6752625133_R06C02","GSM2403229_6969568124_R02C01","GSM2403232_7310440009_R03C01","GSM2403854_9305651005_R03C02","GSM2403861_9305651013_R01C02","GSM2403867_9305651003_R04C01","GSM2403971_6026818091_R03C01","GSM2403973_6026818091_R05C01","GSM2403977_6026818094_R03C01","GSM2403979_6026818094_R04C01","GSM2403980_6026818094_R04C02","GSM2403982_6026818101_R06C01","GSM2404054_9373550018_R06C01","GSM2404179_9407201032_R04C02","GSM2404388_9426020061_R06C02","GSM2404393_9426020064_R05C01","GSM2404396_9426020065_R06C01","GSM2404402_9426020065_R03C01","GSM2404462_9420867124_R01C02","GSM2404540_9553932012_R04C02","GSM2404759_9829119072_R04C01","GSM2404760_9769100071_R04C02","GSM2404817_9533774046_R03C02","GSM2404818_9533774046_R05C02","GSM2404855_9533774101_R03C02","GSM2404856_9533774102_R04C02","GSM2404859_9533774106_R05C02","GSM2404860_9533774102_R02C02","GSM2404861_9533774101_R01C01","GSM2404863_9533774101_R03C01","GSM2404865_9533774102_R05C01","GSM2404866_9533774102_R06C01","GSM2404892_9968646139_R02C02","GSM2404897_9968646155_R06C02","GSM2404898_9968646156_R02C02","GSM2404900_9968646155_R05C01","GSM2404901_9968646156_R03C02","GSM2404902_9968646156_R03C01","GSM2404928_9968646098_R06C01","GSM2404929_9968646096_R04C02","GSM2404930_9968646096_R05C02","GSM2404931_9968646098_R03C02","GSM2404932_9968646096_R06C02","GSM2405021_9969477055_R02C02","GSM2405023_9969477057_R01C02","GSM2405024_9969477057_R02C02","GSM2405201_9878820138_R03C01","GSM2940854_200325530166_R04C02","GSM2941062_3998909051_R04C02","GSM2941205_3999095104_R05C02","GSM2941223_3999543050_R02C01","GSM2941237_3999547142_R06C02","GSM2941408_9422493151_R05C02","GSM2941523_9721366138_R06C02","GSM2941723_9969477014_R03C01"
"1",1,521369,120200001,896,-0.158,0.042,-0.141,-0.115,-0.065,0.074,0.055,0.018,0.131,-0.038,0.029,-0.133,0.005,0.08,-0.021,-0.071,0.011,0.124,0.085,0.101,0.092,-0.006,0.095,0.062,-0.115,-0.033,-0.007,0.046,-0.058,-0.041,0.09,-0.063,-0.154,0.087,0.062,-0.066,0.006,-0.01,0.15,-0.014,0.009,0.102,0.148,-0.069,0.065,-0.004,0.03,0.032,0.073,-0.019,0.091,-0.114,0.039,0.069,0.063,0.106,-0.011,0.091,0.05
"2",1,120300001,249150001,697,0.222,0.033,0.2,0.298,-0.023,0.083,0.067,0.037,0.079,-0.018,0.137,-0.143,-0.004,0.085,-0.035,-0.123,0.007,0.245,-0.008,0.037,-0.001,-0.085,0.062,0.064,0.187,0.233,0.03,0.127,-0.019,0.142,0.16,-0.017,-0.074,0.217,0.123,0.25,-0.039,-0.055,-0.007,-0.067,-0.082,0.02,0.077,0.097,0.053,-0.054,-0.002,0.117,0.117,0,0.102,-0.127,0.03,0.063,0.055,0.209,0.477,0.104,0.163
"3",2,10001,242950001,1282,0.179,0.032,-0.157,-0.133,-0.024,-0.098,-0.166,0.033,0.05,-0.015,-0.035,0.077,-0.017,0.057,-0.067,0.1,0.018,-0.135,-0.068,-0.239,-0.048,-0.127,0.028,-0.182,0.185,-0.13,0.069,0.126,0.013,-0.173,-0.091,0.009,-0.057,-0.099,-0.136,0.017,0.037,-0.072,-0.056,-0.092,-0.115,-0.248,0.033,-0.188,0.033,-0.085,-0.019,-0.132,-0.124,-0.119,0.059,0.04,-0.161,-0.2,0.028,-0.057,0.019,0.083,0.01
"4",3,60001,197700001,978,0.207,0,0.212,-0.168,-0.02,0.029,0.033,-0.234,-0.014,-0.03,-0.227,0.08,0.142,-0.2,-0.077,-0.16,-0.011,-0.094,-0.114,-0.034,-0.359,-0.168,-0.217,-0.223,-0.134,0.118,-0.222,-0.125,-0.011,0.161,-0.06,0.197,-0.06,-0.05,-0.115,-0.149,-0.26,0.059,-0.172,-0.113,-0.162,-0.062,-0.239,0.1,-0.212,-0.12,-0.051,-0.125,-0.118,-0.158,-0.174,-0.167,-0.201,0.031,-0.175,-0.245,0.023,0.089,-0.232
"5",4,10001,190900001,742,0.142,0.167,0.192,0.048,0.106,0.037,0.13,0.164,0.039,0.122,0.149,0.013,0.099,0.024,0.148,0.102,0.108,-0.064,0.003,-0.026,-0.108,0.196,0.153,0.084,-0.136,0.039,0.18,0.086,0.15,0.23,0.099,0.151,-0.076,0.141,0.226,-0.049,0.087,0.051,-0.025,-0.091,0.109,0.122,0.169,0,0.001,-0.12,0.141,0.207,0.208,0.084,-0.213,0.135,-0.01,-0.027,0.077,-0.111,-0.031,-0.147,-0.032
"6",5,10001,180650001,849,-0.194,0.014,0.061,0.096,0.147,0.023,0.031,0.2,0.18,0.158,0.1,0.076,0.143,-0.203,0.143,0.1,-0.002,0.334,-0.082,0.17,0.093,0.08,0.199,0.066,0.184,0.089,0.223,0.147,0.196,0.128,0.17,0.19,0.306,0.243,0.131,0.007,0.114,0.078,0.1,-0.091,0.113,0.144,0.185,0.077,0.026,-0.102,0.141,0.103,0.119,0.108,0.082,0.035,0.169,0.205,0.03,-0.056,0.021,0.088,-0.005
"7",6,60001,58300001,495,-0.214,-0.221,-0.152,-0.088,-0.288,-0.138,-0.153,-0.224,-0.177,-0.267,-0.2,-0.162,-0.259,-0.18,-0.061,-0.14,-0.198,0.06,-0.277,-0.244,-0.299,-0.12,0.039,-0.201,-0.13,-0.125,-0.167,-0.132,-0.276,-0.153,-0.072,-0.291,0.627,-0.052,-0.113,-0.142,-0.21,-0.336,-0.368,-0.115,-0.119,-0.261,-0.183,-0.186,-0.181,-0.083,-0.272,-0.119,-0.106,-0.114,-0.177,-0.124,-0.162,-0.201,-0.159,-0.272,0.033,0.101,-0.186
"8",6,62178590,170850001,493,-0.225,-0.22,-0.199,-0.122,-0.282,-0.167,-0.193,-0.211,-0.214,-0.264,-0.272,-0.213,-0.397,-0.231,-0.095,-0.182,-0.22,0.097,-0.433,-0.335,-0.45,-0.224,-0.777,-0.176,-0.097,-0.099,-0.157,-0.131,-0.266,-0.121,-0.052,-0.269,-0.579,-0.028,-0.106,-0.133,-0.314,-0.439,-0.522,-0.166,-0.221,-0.376,-0.313,-0.787,-0.238,-0.153,-0.323,-0.116,-0.106,-0.15,-0.205,-0.135,-0.197,-0.246,-0.217,-0.306,-0.351,0.077,-0.25
"9",7,10001,158950001,952,0.24,0.055,0.107,0.198,0.186,0.112,0.202,0.063,0.003,0.2,0.097,0.106,0.157,0.225,0.196,0.083,0.195,0.156,0.002,-0.042,-0.113,0.056,0.164,0.285,0.446,0.138,0.147,0.23,0.248,0.251,0.213,0.275,0.358,0.366,0.184,0.393,0.222,0.07,-0.013,0.249,0.056,0.089,0.105,0.193,0.176,0.12,0.125,0.347,0.18,0.158,0.23,0.187,0.187,0.224,0.063,0.115,0.074,0.205,0.14
"10",8,10001,146250001,726,-0.199,-0.213,0.085,0.122,-0.034,0.168,0.047,0.202,-0.148,0.117,0.207,-0.17,-0.275,0.062,-0.047,0.112,-0.21,0.501,-0.272,0.183,-0.052,-0.123,0.021,-0.172,0.199,0.085,0.085,0.135,0.005,0.164,0.148,-0.294,-0.025,0.223,0.278,0.129,-0.079,-0.073,-0.303,0.151,0.13,-0.005,0.04,0.071,0.03,-0.071,-0.012,0.274,0.111,0.034,0.068,0.182,0.199,0.055,0.163,0.096,0.028,-0.046,0.162
