"chrom","start.pos","end.pos","n.probes","GSM2403731_9221197132_R04C02","GSM2403745_9007225142_R05C02","GSM2404058_9373551023_R03C01","GSM2404365_9407210090_R06C01","GSM2404451_9420867121_R02C01","GSM2404532_9553932010_R02C01","GSM2404561_9553932123_R02C01","GSM2404611_9741950023_R03C01","GSM2404691_9647455131_R04C01","GSM2405394_3999834095_R06C01","GSM2405395_3999834095_R01C02","GSM2405404_3999834096_R01C02"
"1",1,521369,249150001,1593,0.109,-0.013,-0.005,0.016,-0.005,0.012,-0.002,-0.006,0.006,0.024,0.01,0.03
"2",2,10001,4200001,54,0.135,0.238,0.564,0.121,0.355,0.4,0.291,0.406,0.097,0.5,0.267,0.339
"3",2,5118789,233500001,1113,0.07,-0.016,-0.007,-0.017,-0.005,-0.005,-0.013,0.001,-0.021,0.024,0.023,0.042
"4",2,233700001,242950001,115,0.152,0.156,0.374,0.084,0.225,0.259,0.194,0.257,0.061,0.338,0.168,0.23
"5",3,60001,197700001,978,0.096,-0.006,0.003,-0.001,0.007,0.023,0.006,0.013,-0.033,0.049,0.053,0.087
"6",4,10001,12250001,141,0.125,0.109,0.321,0.061,0.178,0.202,0.155,0.208,0.054,0.281,0.113,0.161
"7",4,13300001,190900001,601,-0.024,-0.07,-0.05,-0.082,-0.033,-0.024,-0.039,-0.018,-0.066,0.008,-0.048,-0.029
"8",5,10001,28950001,136,0.094,0.163,0.37,0.063,0.239,0.261,0.201,0.274,0.046,0.317,0.209,0.264
"9",5,30850001,180650001,713,0.077,-0.031,-0.048,-0.01,-0.017,-0.016,-0.026,-0.029,-0.032,0.001,-0.003,0.028
"10",6,60001,157150001,858,0.073,-0.008,-0.029,-0.021,-0.007,-0.005,-0.021,0.005,-0.028,0.029,0.047,0.077
"11",6,157300001,170850001,130,0.135,0.166,0.371,0.091,0.249,0.272,0.213,0.282,0.073,0.387,0.191,0.256
"12",7,10001,158950001,952,0.141,0.065,0.099,0.045,0.082,0.084,0.062,0.091,0.022,0.114,0.117,0.162
"13",8,10001,8050001,62,0.151,0.238,0.626,0.137,0.385,0.404,0.3,0.452,0.158,0.538,0.301,0.387
"14",8,8150001,146250001,664,0.078,0.004,0.035,-0.004,0.023,0.022,0.009,0.031,0.001,0.036,0.036,0.055
"15",9,10001,141000001,383,0.164,0.016,0.036,0.041,0.027,0.035,0.046,0.014,0.007,0.022,0.038,0.034
"16",10,60001,4400001,53,0.16,0.286,0.586,0.162,0.406,0.44,0.368,0.445,0.129,0.571,0.29,0.38
"17",10,4850001,135400001,787,0.104,0.029,0.082,0.029,0.059,0.073,0.045,0.062,0.01,0.113,0.057,0.089
"18",11,60001,134800001,914,0.099,0.006,0.036,0.01,0.013,0.029,0.01,0.017,-0.027,0.055,0.053,0.082
"19",12,145740,133700001,848,0.094,-0.002,0.027,0.009,0.015,0.039,0.011,0.013,-0.01,0.062,0.037,0.072
"20",13,19020001,115050001,431,0.114,0.079,0.106,0.027,0.107,0.092,0.076,0.126,0.006,0.145,0.176,0.204
"21",14,19000001,106950001,528,0.103,-0.015,0.008,0.012,0.001,0.011,-0.01,-0.009,0.011,0.023,-0.014,0.008
"22",15,20000001,102300001,571,0.112,0.004,0.023,0.022,0.014,0.037,0.019,0.022,0.018,0.058,0.011,0.048
"23",16,60001,90150001,624,0.134,0.069,0.191,0.053,0.11,0.13,0.101,0.13,0.034,0.189,0.118,0.157
"24",17,1,81050001,814,0.034,-0.037,0.082,-0.042,-0.01,0.028,0.011,0.016,-0.016,0.067,-0.031,-0.028
"25",18,10001,77950001,243,-0.022,-0.054,0.034,-0.075,0.008,0.01,-0.006,0.032,-0.02,0.084,-0.042,-0.056
"26",19,60001,59050001,711,0.115,-0.006,0.06,0.001,0.01,0.046,0.014,0.028,0.015,0.082,0.025,0.032
"27",20,60001,62850001,359,0.098,-0.019,-0.002,-0.011,0,0.002,-0.005,0.009,-0.014,0.037,0.026,0.02
"28",21,10697897,48050001,157,0.09,0.057,0.17,0.022,0.1,0.122,0.091,0.112,0.02,0.17,0.083,0.118
"29",22,16050001,51200001,300,0.134,0.005,0.081,0.026,0.026,0.051,0.021,0.041,0.044,0.078,-0.007,0.005
