"chrom","start.pos","end.pos","n.probes","GSM2403069_6229017057_R05C01","GSM2403189_6929806024_R02C01","GSM2403500_8622007061_R04C02","GSM2403702_9007217139_R03C01","GSM2403751_9003865025_R02C02","GSM2403752_9003865025_R06C02","GSM2403754_9283265153_R03C01","GSM2403833_9297949037_R03C01","GSM2404068_9374341144_R02C02","GSM2404490_9444375004_R02C02","GSM2404741_9761749097_R04C01","GSM2404894_9968646144_R04C02","GSM2404907_9968646160_R01C02","GSM2404919_9969477013_R04C02","GSM2405065_9969477104_R04C02","GSM2405075_9969477101_R03C02","GSM2405204_9878820127_R04C02","GSM2405215_9878820140_R03C02","GSM2405221_9980102125_R05C01","GSM2405338_3999834003_R03C01","GSM2405414_9741950054_R06C02","GSM2405536_9993943118_R02C02","GSM2405636_3998568089_R02C02","GSM2941061_3998909051_R04C01","GSM2941173_3999078080_R06C02","GSM2941348_9374342010_R02C01"
"1",1,521369,249150001,1593,0.041,0.04,0.046,0.046,0.038,0.056,0.008,0.044,0.029,0.023,0.032,0.13,0.02,0.045,0.153,0.188,0.039,0.065,0.057,0.031,0.107,0.107,0.025,0.051,0.043,0.142
"2",2,10001,92250001,518,-0.006,0.006,0.003,-0.018,-0.006,0.262,0.009,-0.036,-0.034,-0.006,-0.016,0.223,0.011,0,0.03,-0.028,0.01,0.006,0.015,-0.008,0.185,0.022,0.008,0.123,-0.006,0.019
"3",2,95326172,242950001,764,0,-0.015,0.005,-0.021,0.005,-0.457,0.019,-0.051,-0.037,-0.01,-0.028,0.007,0.02,-0.011,0.028,-0.037,0.023,-0.024,0.013,-0.03,-0.024,0.022,0.017,0.117,-0.029,-0.042
"4",3,60001,197700001,978,0.015,-0.01,0.015,-0.001,0.019,0.031,0.017,-0.052,-0.024,-0.011,-0.029,0.091,0.017,-0.021,-0.003,-0.062,0.041,-0.027,-0.038,-0.047,0.011,-0.023,0.032,-0.011,-0.046,0.025
"5",4,10001,190900001,742,-0.048,-0.061,-0.044,-0.071,-0.05,-0.039,-0.037,-0.117,-0.095,-0.049,-0.08,-0.032,-0.019,-0.055,-0.027,-0.043,-0.034,-0.086,-0.034,-0.043,-0.053,-0.025,-0.031,-0.172,-0.079,-0.049
"6",5,10001,180650001,849,0.012,-0.007,0.011,0,0.015,0.024,0.017,-0.044,-0.028,-0.008,-0.027,0.002,0.019,-0.009,-0.005,-0.051,0.033,-0.013,0.023,-0.023,0,0.024,0.023,0.007,-0.021,0.022
"7",6,60001,170850001,988,-0.004,-0.015,-0.005,-0.034,-0.002,0.023,0.034,-0.073,-0.052,-0.012,-0.041,-0.015,0.02,-0.017,-0.003,-0.036,0.029,-0.037,-0.004,-0.031,0.016,0.029,0.036,-0.142,-0.042,0.002
"8",7,10001,158950001,952,0.032,0.017,0.026,0.004,0.044,0.058,0.08,-0.031,-0.006,0.037,-0.015,0.022,0.05,0.014,0.021,-0.012,0.069,-0.003,0.012,-0.005,0.11,0.058,0.313,0.031,0.001,0.056
"9",8,10001,146250001,726,0.002,0,0.01,-0.013,0.011,0.024,0.026,-0.038,-0.032,0.003,-0.021,0.014,0.026,0.007,0.009,-0.019,0.021,-0.001,0.023,0.011,0.142,0.025,0.029,0.022,-0.004,0.035
"10",9,10001,141000001,383,0.02,0.018,0.039,0.041,0.041,0.042,0.021,0.031,0.026,0.018,0.017,0.03,0.006,0.027,0,-0.018,0.034,0.047,-0.002,0.006,-0.012,0.035,0.02,0.028,0.036,0.049
"11",10,60001,135400001,840,0.024,0.018,0.027,0.026,0.027,0.038,0.042,0.002,0.005,0.026,0.001,0.01,0.034,0.026,0.016,-0.016,0.041,0.034,0.049,0.009,-0.015,0.028,0.04,0.035,0.027,0.049
"12",11,60001,134800001,914,0.026,0.012,0.034,0.021,0.026,0.037,0.021,0.004,0.008,0.002,-0.002,-0.032,0.01,0.007,-0.012,-0.057,0.043,0.008,0.041,-0.035,0.008,0.034,0.019,0.003,-0.006,0
"13",12,145740,133700001,848,0.026,0.012,0.02,0.014,0.018,0.037,0.023,-0.009,-0.006,0.014,-0.005,-0.039,0.02,0.01,-0.001,-0.027,0.037,0.013,0.026,0.001,0.043,0.036,0.026,0.024,0.004,0
"14",13,19020001,115050001,431,-0.017,-0.032,-0.012,-0.071,0.022,0.039,0.101,-0.132,-0.082,-0.003,-0.069,-0.009,0.05,-0.049,0.005,-0.022,0.067,-0.081,-0.05,-0.056,0.119,0.037,0.081,-0.021,-0.085,0.015
"15",14,19000001,106950001,528,0.029,0.026,0.035,0.033,0.026,0.048,0.001,0.024,0.019,0.011,0.024,0.007,0.017,0.039,0.001,-0.023,0.213,0.048,0.058,0.021,-0.028,0.024,0.006,0.04,0.038,0.024
"16",15,20000001,102300001,571,0.038,0.037,0.044,0.055,0.039,0.056,0.016,0.039,0.025,0.026,0.036,0.041,0.026,0.053,0.018,-0.004,0.037,0.068,-0.052,0.038,0.062,0.047,0.02,0.056,0.057,0.064
"17",16,60001,90150001,624,0.025,0.025,0.035,0.045,0.038,0.04,0.049,0.057,0.033,0.036,0.026,0.075,0.02,0.026,0.009,-0.003,0.037,0.049,0.045,0.019,0.02,0.024,0.039,0.038,0.052,0.127
"18",17,1,81050001,814,-0.028,-0.016,-0.023,-0.009,-0.041,-0.03,-0.065,0.027,0.158,-0.022,0.008,-0.055,-0.056,0.005,-0.053,-0.016,-0.063,0.019,-0.016,0.014,-0.064,-0.03,-0.06,0.005,0.023,-0.023
