"chrom","start.pos","end.pos","n.probes","GSM2403776_9296930017_R05C02","GSM2404145_9406922161_R06C01","GSM2404564_9553932088_R06C02","GSM2404707_9741950140_R02C01","GSM2405440_3999875073_R05C01","GSM2405441_3999875073_R03C02","GSM2405442_3999875073_R04C02","GSM2405492_3999308200_R03C02","GSM2405513_3998909006_R06C02","GSM2405579_3999002044_R01C01","GSM2405615_3999100092_R06C01","GSM2405639_3998568099_R04C01"
"1",1,521369,249150001,1593,-0.006,-0.027,0,0.019,-0.002,-0.017,-0.005,-0.101,-0.161,-0.074,0.013,0.004
"2",2,10001,242950001,1282,-0.028,-0.06,-0.044,-0.014,-0.046,-0.027,-0.031,-0.089,-0.144,-0.092,-0.04,-0.045
"3",3,60001,197700001,978,-0.007,-0.043,-0.054,0.011,-0.026,-0.015,-0.016,-0.067,-0.16,-0.16,-0.03,-0.01
"4",4,10001,190900001,742,-0.07,-0.092,-0.104,-0.063,-0.105,-0.059,-0.076,-0.111,-0.173,-0.119,-0.108,-0.111
"5",5,10001,180650001,849,-0.02,-0.043,-0.045,0.002,-0.044,-0.014,-0.023,-0.068,-0.156,-0.121,-0.035,-0.032
"6",6,60001,170850001,988,-0.01,-0.051,-0.07,-0.002,-0.04,-0.019,-0.02,-0.061,-0.131,-0.11,-0.041,-0.03
"7",7,10001,158950001,952,0.015,-0.02,-0.019,0.029,-0.007,0.024,0.014,0.009,-0.073,-0.063,-0.003,0.003
"8",8,10001,146250001,726,-0.035,-0.063,-0.043,-0.012,-0.047,-0.024,-0.036,-0.078,-0.131,-0.071,-0.043,-0.049
"9",9,10001,141000001,383,0,-0.007,0.016,0.021,-0.008,-0.019,-0.008,-0.082,-0.147,-0.045,0.02,-0.017
"10",10,60001,135400001,840,0.006,-0.004,-0.007,0.014,-0.013,0.007,-0.003,-0.037,-0.1,-0.048,-0.002,-0.012
"11",11,60001,134800001,914,-0.007,-0.027,-0.025,0.021,-0.027,-0.017,-0.012,-0.057,-0.139,-0.123,-0.002,-0.01
"12",12,145740,133700001,848,-0.008,-0.034,-0.033,0.004,-0.022,-0.013,-0.013,-0.07,-0.134,-0.097,-0.016,-0.013
"13",13,19020001,115050001,431,0.007,-0.042,-0.071,0.005,-0.038,0.014,0.001,0.024,-0.03,-0.089,-0.048,-0.041
"14",14,19000001,106950001,528,-0.022,-0.038,-0.005,-0.007,-0.017,-0.023,-0.017,-0.124,-0.182,-0.071,-0.011,-0.043
"15",15,20000001,102300001,571,-0.003,-0.024,0,0.001,-0.009,-0.014,-0.007,-0.095,-0.153,-0.044,-0.007,-0.024
"16",16,60001,90150001,624,0.007,0.027,0.027,0.012,0.017,0.007,0.015,0.023,-0.005,0,0.032,0.021
"17",17,1,81050001,814,-0.072,-0.066,-0.03,-0.073,-0.043,-0.092,-0.065,-0.169,-0.158,-0.033,-0.042,-0.069
"18",18,10001,77950001,243,-0.124,-0.118,-0.074,-0.136,-0.119,-0.102,-0.125,-0.218,-0.203,-0.031,-0.134,-0.174
"19",19,60001,59050001,711,-0.047,-0.049,0.005,-0.051,-0.015,-0.058,-0.029,-0.113,-0.092,-0.003,-0.013,-0.054
"20",20,60001,62850001,359,-0.052,-0.07,-0.019,-0.035,-0.043,-0.069,-0.045,-0.137,-0.143,-0.057,-0.023,-0.052
"21",21,10697897,48050001,157,-0.026,-0.009,-0.007,-0.021,-0.034,-0.022,-0.026,-0.062,-0.057,0.014,-0.021,-0.07
"22",22,16050001,51200001,300,-0.019,-0.015,0.047,-0.01,0.023,-0.036,-0.016,-0.138,-0.11,0.034,0.039,-0.015
