"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.2535,"GSM2403839_9297949139_R04C01"
"2",10,105000,4300000,0.1693,"GSM2403839_9297949139_R04C01"
"3",10,4625000,135462374,-0.2104,"GSM2403839_9297949139_R04C01"
"4",11,130000,69837348,0.2075,"GSM2403839_9297949139_R04C01"
"5",11,69925000,70800000,1.0541,"GSM2403839_9297949139_R04C01"
"6",11,70900000,134873258,0.2009,"GSM2403839_9297949139_R04C01"
"7",12,172870,133770948,-0.2418,"GSM2403839_9297949139_R04C01"
"8",13,19110000,115079939,0.0171,"GSM2403839_9297949139_R04C01"
"9",14,19325000,107119770,0.208,"GSM2403839_9297949139_R04C01"
"10",15,20225000,102410696,0.3148,"GSM2403839_9297949139_R04C01"
"11",16,105000,31825000,0.0777,"GSM2403839_9297949139_R04C01"
"12",16,32075000,46517901,0.5403,"GSM2403839_9297949139_R04C01"
"13",16,46675000,90222377,0.075,"GSM2403839_9297949139_R04C01"
"14",17,25000,81122605,-0.0072,"GSM2403839_9297949139_R04C01"
"15",18,80000,77983624,0.0333,"GSM2403839_9297949139_R04C01"
"16",19,180000,59084492,0.0297,"GSM2403839_9297949139_R04C01"
"17",2,130000,243026238,0.0112,"GSM2403839_9297949139_R04C01"
"18",20,155000,62907760,0.4157,"GSM2403839_9297949139_R04C01"
"19",21,10848948,15650000,0.35,"GSM2403839_9297949139_R04C01"
"20",21,15775000,48084948,-0.1787,"GSM2403839_9297949139_R04C01"
"21",22,16373925,51222283,0.1623,"GSM2403839_9297949139_R04C01"
"22",3,155000,197831215,-0.2739,"GSM2403839_9297949139_R04C01"
"23",4,55000,190972138,-0.25,"GSM2403839_9297949139_R04C01"
"24",5,55000,180777630,0.2571,"GSM2403839_9297949139_R04C01"
"25",6,155000,170952534,0.1925,"GSM2403839_9297949139_R04C01"
"26",7,55000,159039332,0.2502,"GSM2403839_9297949139_R04C01"
"27",8,105000,146277011,0.0201,"GSM2403839_9297949139_R04C01"
"28",9,130000,141076716,-0.2581,"GSM2403839_9297949139_R04C01"
"29",1,635684,249195311,-0.0941,"GSM2404262_9406921148_R04C02"
"30",10,105000,135462374,-0.0809,"GSM2404262_9406921148_R04C02"
"31",11,130000,134873258,0.118,"GSM2404262_9406921148_R04C02"
"32",12,172870,133770948,-0.1379,"GSM2404262_9406921148_R04C02"
"33",13,19110000,115079939,0.2589,"GSM2404262_9406921148_R04C02"
"34",14,19325000,107119770,0.1225,"GSM2404262_9406921148_R04C02"
"35",15,20225000,102410696,-0.0789,"GSM2404262_9406921148_R04C02"
"36",16,105000,90222377,0.2161,"GSM2404262_9406921148_R04C02"
"37",17,25000,81122605,0.0296,"GSM2404262_9406921148_R04C02"
"38",18,80000,77983624,0.0399,"GSM2404262_9406921148_R04C02"
"39",19,180000,59084492,0.1615,"GSM2404262_9406921148_R04C02"
"40",2,130000,243026238,-0.1049,"GSM2404262_9406921148_R04C02"
"41",20,155000,62907760,0.1464,"GSM2404262_9406921148_R04C02"
"42",21,10848948,48084948,-0.088,"GSM2404262_9406921148_R04C02"
"43",22,16373925,51222283,0.1851,"GSM2404262_9406921148_R04C02"
"44",3,155000,197831215,-0.1252,"GSM2404262_9406921148_R04C02"
"45",4,55000,190972138,-0.1207,"GSM2404262_9406921148_R04C02"
"46",5,55000,180777630,0.3375,"GSM2404262_9406921148_R04C02"
"47",6,155000,170952534,-0.1044,"GSM2404262_9406921148_R04C02"
"48",7,55000,159039332,0.2248,"GSM2404262_9406921148_R04C02"
"49",8,105000,146277011,-0.1072,"GSM2404262_9406921148_R04C02"
"50",9,130000,141076716,-0.1476,"GSM2404262_9406921148_R04C02"
"51",1,635684,249195311,-0.1612,"GSM2404279_9422491056_R05C01"
"52",10,105000,135462374,-0.1097,"GSM2404279_9422491056_R05C01"
"53",11,130000,134873258,0.3687,"GSM2404279_9422491056_R05C01"
"54",12,172870,133770948,-0.1413,"GSM2404279_9422491056_R05C01"
"55",13,19110000,115079939,-0.0776,"GSM2404279_9422491056_R05C01"
"56",14,19325000,107119770,0.2935,"GSM2404279_9422491056_R05C01"
