"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0409,"GSM2403069_6229017057_R05C01"
"2",10,105000,135462374,0.022,"GSM2403069_6229017057_R05C01"
"3",11,130000,134873258,0.0252,"GSM2403069_6229017057_R05C01"
"4",12,172870,133770948,0.0283,"GSM2403069_6229017057_R05C01"
"5",13,19110000,115079939,-0.02,"GSM2403069_6229017057_R05C01"
"6",14,19325000,107119770,0.0276,"GSM2403069_6229017057_R05C01"
"7",15,20225000,102410696,0.0358,"GSM2403069_6229017057_R05C01"
"8",16,105000,90222377,0.0268,"GSM2403069_6229017057_R05C01"
"9",17,25000,81122605,-0.0282,"GSM2403069_6229017057_R05C01"
"10",18,80000,77983624,-0.0755,"GSM2403069_6229017057_R05C01"
"11",19,180000,59084492,0.0126,"GSM2403069_6229017057_R05C01"
"12",2,130000,243026238,-0.0043,"GSM2403069_6229017057_R05C01"
"13",20,155000,62907760,-0.006,"GSM2403069_6229017057_R05C01"
"14",21,10848948,48084948,0.0124,"GSM2403069_6229017057_R05C01"
"15",22,16373925,51222283,0.0327,"GSM2403069_6229017057_R05C01"
"16",3,155000,197831215,0.0184,"GSM2403069_6229017057_R05C01"
"17",4,55000,190972138,-0.0411,"GSM2403069_6229017057_R05C01"
"18",5,55000,180777630,0.0126,"GSM2403069_6229017057_R05C01"
"19",6,155000,170952534,-0.0016,"GSM2403069_6229017057_R05C01"
"20",7,55000,159039332,0.0346,"GSM2403069_6229017057_R05C01"
"21",8,105000,146277011,4e-04,"GSM2403069_6229017057_R05C01"
"22",9,130000,141076716,0.0223,"GSM2403069_6229017057_R05C01"
"23",1,635684,249195311,0.0426,"GSM2403189_6929806024_R02C01"
"24",10,105000,135462374,0.0149,"GSM2403189_6929806024_R02C01"
"25",11,130000,134873258,0.0134,"GSM2403189_6929806024_R02C01"
"26",12,172870,133770948,0.0133,"GSM2403189_6929806024_R02C01"
"27",13,19110000,115079939,-0.0354,"GSM2403189_6929806024_R02C01"
"28",14,19325000,107119770,0.0293,"GSM2403189_6929806024_R02C01"
"29",15,20225000,102410696,0.0362,"GSM2403189_6929806024_R02C01"
"30",16,105000,90222377,0.0253,"GSM2403189_6929806024_R02C01"
"31",17,25000,81122605,-0.0176,"GSM2403189_6929806024_R02C01"
"32",18,80000,77983624,-0.0708,"GSM2403189_6929806024_R02C01"
"33",19,180000,59084492,0.0056,"GSM2403189_6929806024_R02C01"
"34",2,130000,243026238,-0.0082,"GSM2403189_6929806024_R02C01"
"35",20,155000,62907760,0.0012,"GSM2403189_6929806024_R02C01"
"36",21,10848948,48084948,1e-04,"GSM2403189_6929806024_R02C01"
"37",22,16373925,51222283,0.0474,"GSM2403189_6929806024_R02C01"
"38",3,155000,197831215,-0.009,"GSM2403189_6929806024_R02C01"
"39",4,55000,190972138,-0.0571,"GSM2403189_6929806024_R02C01"
"40",5,55000,180777630,-0.0078,"GSM2403189_6929806024_R02C01"
"41",6,155000,170952534,-0.0137,"GSM2403189_6929806024_R02C01"
"42",7,55000,159039332,0.0206,"GSM2403189_6929806024_R02C01"
"43",8,105000,146277011,-0.0025,"GSM2403189_6929806024_R02C01"
"44",9,130000,141076716,0.0181,"GSM2403189_6929806024_R02C01"
"45",1,635684,249195311,0.0509,"GSM2403500_8622007061_R04C02"
"46",10,105000,135462374,0.0272,"GSM2403500_8622007061_R04C02"
"47",11,130000,134873258,0.0349,"GSM2403500_8622007061_R04C02"
"48",12,172870,133770948,0.0253,"GSM2403500_8622007061_R04C02"
"49",13,19110000,115079939,-0.0164,"GSM2403500_8622007061_R04C02"
"50",14,19325000,107119770,0.0353,"GSM2403500_8622007061_R04C02"
"51",15,20225000,102410696,0.0406,"GSM2403500_8622007061_R04C02"
"52",16,105000,90222377,0.0357,"GSM2403500_8622007061_R04C02"
"53",17,25000,81122605,-0.0246,"GSM2403500_8622007061_R04C02"
"54",18,80000,77983624,-0.0637,"GSM2403500_8622007061_R04C02"
"55",19,180000,59084492,0.0044,"GSM2403500_8622007061_R04C02"
"56",2,130000,243026238,6e-04,"GSM2403500_8622007061_R04C02"
"57",20,155000,62907760,0.0042,"GSM2403500_8622007061_R04C02"
"58",21,10848948,48084948,0.0139,"GSM2403500_8622007061_R04C02"
"59",22,16373925,51222283,0.0437,"GSM2403500_8622007061_R04C02"
"60",3,155000,197831215,0.019,"GSM2403500_8622007061_R04C02"
"61",4,55000,190972138,-0.0423,"GSM2403500_8622007061_R04C02"
"62",5,55000,180777630,0.0111,"GSM2403500_8622007061_R04C02"
"63",6,155000,170952534,-0.005,"GSM2403500_8622007061_R04C02"
"64",7,55000,159039332,0.0286,"GSM2403500_8622007061_R04C02"
"65",8,105000,146277011,0.0092,"GSM2403500_8622007061_R04C02"
"66",9,130000,141076716,0.0393,"GSM2403500_8622007061_R04C02"
"67",1,635684,249195311,0.0505,"GSM2403702_9007217139_R03C01"
"68",10,105000,135462374,0.0207,"GSM2403702_9007217139_R03C01"
"69",11,130000,134873258,0.0216,"GSM2403702_9007217139_R03C01"
"70",12,172870,133770948,0.0158,"GSM2403702_9007217139_R03C01"
"71",13,19110000,115079939,-0.0771,"GSM2403702_9007217139_R03C01"
"72",14,19325000,107119770,0.0332,"GSM2403702_9007217139_R03C01"
"73",15,20225000,102410696,0.0541,"GSM2403702_9007217139_R03C01"
"74",16,105000,90222377,0.0443,"GSM2403702_9007217139_R03C01"
"75",17,25000,81122605,-0.0099,"GSM2403702_9007217139_R03C01"
"76",18,80000,77983624,-0.083,"GSM2403702_9007217139_R03C01"
"77",19,180000,59084492,0.0054,"GSM2403702_9007217139_R03C01"
"78",2,130000,243026238,-0.0228,"GSM2403702_9007217139_R03C01"
"79",20,155000,62907760,-0.0013,"GSM2403702_9007217139_R03C01"
"80",21,10848948,48084948,0.0101,"GSM2403702_9007217139_R03C01"
"81",22,16373925,51222283,0.0631,"GSM2403702_9007217139_R03C01"
"82",3,155000,197831215,0.0018,"GSM2403702_9007217139_R03C01"
"83",4,55000,190972138,-0.0681,"GSM2403702_9007217139_R03C01"
"84",5,55000,180777630,-0.002,"GSM2403702_9007217139_R03C01"
"85",6,155000,170952534,-0.0332,"GSM2403702_9007217139_R03C01"
"86",7,55000,159039332,0.0074,"GSM2403702_9007217139_R03C01"
"87",8,105000,146277011,-0.0156,"GSM2403702_9007217139_R03C01"
"88",9,130000,141076716,0.0383,"GSM2403702_9007217139_R03C01"
"89",1,635684,249195311,0.0416,"GSM2403751_9003865025_R02C02"
"90",10,105000,135462374,0.0253,"GSM2403751_9003865025_R02C02"
"91",11,130000,134873258,0.0262,"GSM2403751_9003865025_R02C02"
"92",12,172870,133770948,0.0191,"GSM2403751_9003865025_R02C02"
"93",13,19110000,115079939,0.0204,"GSM2403751_9003865025_R02C02"
"94",14,19325000,107119770,0.0252,"GSM2403751_9003865025_R02C02"
"95",15,20225000,102410696,0.0403,"GSM2403751_9003865025_R02C02"
"96",16,105000,90222377,0.0418,"GSM2403751_9003865025_R02C02"
"97",17,25000,81122605,-0.0436,"GSM2403751_9003865025_R02C02"
"98",18,80000,77983624,-0.0965,"GSM2403751_9003865025_R02C02"
"99",19,180000,59084492,-0.0017,"GSM2403751_9003865025_R02C02"
"100",2,130000,243026238,-0.0027,"GSM2403751_9003865025_R02C02"
"101",20,155000,62907760,0.0044,"GSM2403751_9003865025_R02C02"
"102",21,10848948,48084948,0.0178,"GSM2403751_9003865025_R02C02"
"103",22,16373925,51222283,0.0202,"GSM2403751_9003865025_R02C02"
"104",3,155000,197831215,0.0206,"GSM2403751_9003865025_R02C02"
"105",4,55000,190972138,-0.0483,"GSM2403751_9003865025_R02C02"
"106",5,55000,180777630,0.0145,"GSM2403751_9003865025_R02C02"
"107",6,155000,170952534,0.0013,"GSM2403751_9003865025_R02C02"
"108",7,55000,159039332,0.0451,"GSM2403751_9003865025_R02C02"
"109",8,105000,146277011,0.0102,"GSM2403751_9003865025_R02C02"
"110",9,130000,141076716,0.0426,"GSM2403751_9003865025_R02C02"
"111",1,635684,249195311,0.0586,"GSM2403752_9003865025_R06C02"
"112",10,105000,135462374,0.0354,"GSM2403752_9003865025_R06C02"
"113",11,130000,134873258,0.038,"GSM2403752_9003865025_R06C02"
"114",12,172870,133770948,0.0383,"GSM2403752_9003865025_R06C02"
"115",13,19110000,115079939,0.0409,"GSM2403752_9003865025_R06C02"
"116",14,19325000,107119770,0.0515,"GSM2403752_9003865025_R06C02"
"117",15,20225000,102410696,0.0564,"GSM2403752_9003865025_R06C02"
"118",16,105000,90222377,0.0423,"GSM2403752_9003865025_R06C02"
"119",17,25000,81122605,-0.0323,"GSM2403752_9003865025_R06C02"
"120",18,80000,77983624,-0.093,"GSM2403752_9003865025_R06C02"
"121",19,180000,59084492,0.0213,"GSM2403752_9003865025_R06C02"
"122",2,130000,92288086,0.2588,"GSM2403752_9003865025_R06C02"
"123",2,95438086,243026238,-0.4573,"GSM2403752_9003865025_R06C02"
"124",20,155000,62907760,0.018,"GSM2403752_9003865025_R06C02"
"125",21,10848948,48084948,0.0158,"GSM2403752_9003865025_R06C02"
"126",22,16373925,51222283,0.0419,"GSM2403752_9003865025_R06C02"
"127",3,155000,197831215,0.0325,"GSM2403752_9003865025_R06C02"
"128",4,55000,190972138,-0.036,"GSM2403752_9003865025_R06C02"
"129",5,55000,180777630,0.0239,"GSM2403752_9003865025_R06C02"
"130",6,155000,170952534,0.0215,"GSM2403752_9003865025_R06C02"
"131",7,55000,159039332,0.0615,"GSM2403752_9003865025_R06C02"
"132",8,105000,146277011,0.0214,"GSM2403752_9003865025_R06C02"
"133",9,130000,141076716,0.044,"GSM2403752_9003865025_R06C02"
"134",1,635684,249195311,0.0101,"GSM2403754_9283265153_R03C01"
"135",10,105000,135462374,0.0392,"GSM2403754_9283265153_R03C01"
"136",11,130000,134873258,0.0215,"GSM2403754_9283265153_R03C01"
"137",12,172870,133770948,0.0254,"GSM2403754_9283265153_R03C01"
"138",13,19110000,115079939,0.0981,"GSM2403754_9283265153_R03C01"
"139",14,19325000,107119770,0.0022,"GSM2403754_9283265153_R03C01"
"140",15,20225000,102410696,0.0195,"GSM2403754_9283265153_R03C01"
"141",16,105000,90222377,0.0487,"GSM2403754_9283265153_R03C01"
"142",17,25000,81122605,-0.068,"GSM2403754_9283265153_R03C01"
"143",18,80000,77983624,-0.0843,"GSM2403754_9283265153_R03C01"
"144",19,180000,59084492,-0.0165,"GSM2403754_9283265153_R03C01"
"145",2,130000,243026238,0.0099,"GSM2403754_9283265153_R03C01"
"146",20,155000,62907760,-0.0157,"GSM2403754_9283265153_R03C01"
"147",21,10848948,48084948,0.0314,"GSM2403754_9283265153_R03C01"
"148",22,16373925,51222283,-0.0203,"GSM2403754_9283265153_R03C01"
"149",3,155000,197831215,0.0194,"GSM2403754_9283265153_R03C01"
"150",4,55000,190972138,-0.0408,"GSM2403754_9283265153_R03C01"
"151",5,55000,180777630,0.0179,"GSM2403754_9283265153_R03C01"
"152",6,155000,170952534,0.0332,"GSM2403754_9283265153_R03C01"
"153",7,55000,159039332,0.0803,"GSM2403754_9283265153_R03C01"
"154",8,105000,146277011,0.0275,"GSM2403754_9283265153_R03C01"
"155",9,130000,141076716,0.0143,"GSM2403754_9283265153_R03C01"
"156",1,635684,185025000,0.0628,"GSM2403833_9297949037_R03C01"
"157",1,185125000,200825000,-0.277,"GSM2403833_9297949037_R03C01"
"158",1,200900000,249195311,0.0174,"GSM2403833_9297949037_R03C01"
"159",10,105000,135462374,-0.0023,"GSM2403833_9297949037_R03C01"
"160",11,130000,48975000,0.0091,"GSM2403833_9297949037_R03C01"
"161",11,49250000,56675000,-0.2997,"GSM2403833_9297949037_R03C01"
"162",11,56975000,134873258,0.0142,"GSM2403833_9297949037_R03C01"
"163",12,172870,133770948,-0.007,"GSM2403833_9297949037_R03C01"
"164",13,19110000,115079939,-0.134,"GSM2403833_9297949037_R03C01"
"165",14,19325000,107119770,0.0279,"GSM2403833_9297949037_R03C01"
"166",15,20225000,102410696,0.0383,"GSM2403833_9297949037_R03C01"
"167",16,105000,90222377,0.0588,"GSM2403833_9297949037_R03C01"
"168",17,25000,81122605,0.0267,"GSM2403833_9297949037_R03C01"
"169",18,80000,77983624,-0.1032,"GSM2403833_9297949037_R03C01"
"170",19,180000,59084492,0.0465,"GSM2403833_9297949037_R03C01"
"171",2,130000,243026238,-0.0436,"GSM2403833_9297949037_R03C01"
"172",20,155000,62907760,0.0021,"GSM2403833_9297949037_R03C01"
"173",21,10848948,48084948,-0.0036,"GSM2403833_9297949037_R03C01"
"174",22,16373925,51222283,0.1051,"GSM2403833_9297949037_R03C01"
"175",3,155000,75800000,0.0042,"GSM2403833_9297949037_R03C01"
"176",3,76450000,97025000,-0.3979,"GSM2403833_9297949037_R03C01"
"177",3,97600000,197831215,-0.0752,"GSM2403833_9297949037_R03C01"
"178",4,55000,190972138,-0.1101,"GSM2403833_9297949037_R03C01"
"179",5,55000,180777630,-0.0445,"GSM2403833_9297949037_R03C01"
"180",6,155000,170952534,-0.0702,"GSM2403833_9297949037_R03C01"
"181",7,55000,77800000,-0.0229,"GSM2403833_9297949037_R03C01"
"182",7,78500000,94425000,-0.2789,"GSM2403833_9297949037_R03C01"
"183",7,94775000,106575000,0.0383,"GSM2403833_9297949037_R03C01"
"184",7,106725000,126625000,-0.2116,"GSM2403833_9297949037_R03C01"
