"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.038,"GSM2402978_6929718027_R05C02",0.464375135873718
"2",1,121392717,249195311,0.1702,"GSM2402978_6929718027_R05C02",0.464375135873718
"3",10,105000,135462374,-0.0508,"GSM2402978_6929718027_R05C02",0.464375135873718
"4",11,130000,96193792,-0.0108,"GSM2402978_6929718027_R05C02",0.464375135873718
"5",11,97668792,134873258,-0.2816,"GSM2402978_6929718027_R05C02",0.464375135873718
"6",12,172870,133770948,-0.0422,"GSM2402978_6929718027_R05C02",0.464375135873718
"7",13,19110000,115079939,-0.1043,"GSM2402978_6929718027_R05C02",0.464375135873718
"8",14,19325000,107119770,0.011,"GSM2402978_6929718027_R05C02",0.464375135873718
"9",15,20225000,102410696,0.0044,"GSM2402978_6929718027_R05C02",0.464375135873718
"10",16,105000,34425000,-0.0171,"GSM2402978_6929718027_R05C02",0.464375135873718
"11",16,34600000,90222377,-0.3403,"GSM2402978_6929718027_R05C02",0.464375135873718
"12",17,25000,81122605,-0.0539,"GSM2402978_6929718027_R05C02",0.464375135873718
"13",18,80000,77983624,-0.1283,"GSM2402978_6929718027_R05C02",0.464375135873718
"14",19,180000,59084492,0.076,"GSM2402978_6929718027_R05C02",0.464375135873718
"15",2,130000,243026238,-0.0634,"GSM2402978_6929718027_R05C02",0.464375135873718
"16",20,155000,62907760,0.0077,"GSM2402978_6929718027_R05C02",0.464375135873718
"17",21,10848948,48084948,-0.0451,"GSM2402978_6929718027_R05C02",0.464375135873718
"18",22,16373925,51222283,-2e-04,"GSM2402978_6929718027_R05C02",0.464375135873718
"19",3,155000,160825000,-0.0675,"GSM2402978_6929718027_R05C02",0.464375135873718
"20",3,160950000,197831215,0.1403,"GSM2402978_6929718027_R05C02",0.464375135873718
"21",4,55000,190972138,-0.11,"GSM2402978_6929718027_R05C02",0.464375135873718
"22",5,55000,180777630,-0.0511,"GSM2402978_6929718027_R05C02",0.464375135873718
"23",6,155000,58540083,0.2762,"GSM2402978_6929718027_R05C02",0.464375135873718
"24",6,62589295,170952534,-0.0729,"GSM2402978_6929718027_R05C02",0.464375135873718
"25",7,55000,159039332,0.0222,"GSM2402978_6929718027_R05C02",0.464375135873718
"26",8,105000,7050000,-0.0703,"GSM2402978_6929718027_R05C02",0.464375135873718
"27",8,7225000,7950000,0.1548,"GSM2402978_6929718027_R05C02",0.464375135873718
"28",8,8100000,88875000,-0.1095,"GSM2402978_6929718027_R05C02",0.464375135873718
"29",8,89100000,90925000,-0.5265,"GSM2402978_6929718027_R05C02",0.464375135873718
"30",8,9.1e+07,146277011,-0.108,"GSM2402978_6929718027_R05C02",0.464375135873718
"31",9,130000,141076716,-0.0222,"GSM2402978_6929718027_R05C02",0.464375135873718
"32",1,635684,249195311,-0.0578,"GSM2404551_9553932053_R01C02",0.762732478426811
"33",10,105000,135462374,-0.1277,"GSM2404551_9553932053_R01C02",0.762732478426811
"34",11,130000,4275000,-0.2185,"GSM2404551_9553932053_R01C02",0.762732478426811
"35",11,4500000,6100000,-0.8819,"GSM2404551_9553932053_R01C02",0.762732478426811
"36",11,6225000,42500000,-0.512,"GSM2404551_9553932053_R01C02",0.762732478426811
"37",11,43325000,102725000,-0.0991,"GSM2404551_9553932053_R01C02",0.762732478426811
"38",11,102850000,134873258,-0.467,"GSM2404551_9553932053_R01C02",0.762732478426811
"39",12,172870,29925000,-0.4891,"GSM2404551_9553932053_R01C02",0.762732478426811
"40",12,30425000,82950000,-0.1527,"GSM2404551_9553932053_R01C02",0.762732478426811
"41",12,84200000,89575000,-0.5452,"GSM2404551_9553932053_R01C02",0.762732478426811
"42",12,89725000,133770948,0.0117,"GSM2404551_9553932053_R01C02",0.762732478426811
"43",13,19110000,44525000,-0.1062,"GSM2404551_9553932053_R01C02",0.762732478426811
"44",13,44650000,54325000,-0.5876,"GSM2404551_9553932053_R01C02",0.762732478426811
"45",13,55125000,115079939,-0.0402,"GSM2404551_9553932053_R01C02",0.762732478426811
"46",14,19325000,107119770,-0.1016,"GSM2404551_9553932053_R01C02",0.762732478426811
"47",15,20225000,102410696,-0.1138,"GSM2404551_9553932053_R01C02",0.762732478426811
"48",16,105000,31825000,-0.2855,"GSM2404551_9553932053_R01C02",0.762732478426811
"49",16,32075000,33986575,0.1035,"GSM2404551_9553932053_R01C02",0.762732478426811
"50",16,34286575,90222377,-0.3238,"GSM2404551_9553932053_R01C02",0.762732478426811
"51",17,25000,81122605,-0.0388,"GSM2404551_9553932053_R01C02",0.762732478426811
"52",18,80000,77983624,0.0249,"GSM2404551_9553932053_R01C02",0.762732478426811
"53",19,180000,59084492,-0.017,"GSM2404551_9553932053_R01C02",0.762732478426811
"54",2,130000,89315218,-0.1009,"GSM2404551_9553932053_R01C02",0.762732478426811
"55",2,91672552,92288086,0.3142,"GSM2404551_9553932053_R01C02",0.762732478426811
"56",2,95438086,243026238,-0.1252,"GSM2404551_9553932053_R01C02",0.762732478426811
"57",20,155000,62907760,-0.0525,"GSM2404551_9553932053_R01C02",0.762732478426811
"58",21,10848948,48084948,-0.0224,"GSM2404551_9553932053_R01C02",0.762732478426811
"59",22,16373925,51222283,-0.018,"GSM2404551_9553932053_R01C02",0.762732478426811
"60",3,155000,197831215,-0.1647,"GSM2404551_9553932053_R01C02",0.762732478426811
"61",4,55000,190972138,-0.1572,"GSM2404551_9553932053_R01C02",0.762732478426811
"62",5,55000,2650000,0.2283,"GSM2404551_9553932053_R01C02",0.762732478426811
"63",5,2725000,1.6e+08,-0.1776,"GSM2404551_9553932053_R01C02",0.762732478426811
"64",5,160550000,162075000,-0.6871,"GSM2404551_9553932053_R01C02",0.762732478426811
"65",5,162875000,180777630,-0.104,"GSM2404551_9553932053_R01C02",0.762732478426811
"66",6,155000,170952534,-0.1138,"GSM2404551_9553932053_R01C02",0.762732478426811
"67",7,55000,159039332,-0.0607,"GSM2404551_9553932053_R01C02",0.762732478426811
"68",8,105000,146277011,-0.1393,"GSM2404551_9553932053_R01C02",0.762732478426811
"69",9,130000,141076716,-0.0769,"GSM2404551_9553932053_R01C02",0.762732478426811
"70",1,635684,2875000,-0.0305,"GSM2404589_9611519030_R06C01",0.593344432729854
"71",1,2925000,35850000,-0.3494,"GSM2404589_9611519030_R06C01",0.593344432729854
"72",1,36025000,249195311,0.0623,"GSM2404589_9611519030_R06C01",0.593344432729854
"73",10,105000,135462374,0.031,"GSM2404589_9611519030_R06C01",0.593344432729854
"74",11,130000,48550000,0.0417,"GSM2404589_9611519030_R06C01",0.593344432729854
"75",11,48975000,56100000,-0.1455,"GSM2404589_9611519030_R06C01",0.593344432729854
"76",11,56300000,88175000,0.044,"GSM2404589_9611519030_R06C01",0.593344432729854
"77",11,88725000,134873258,-0.3794,"GSM2404589_9611519030_R06C01",0.593344432729854
"78",12,172870,21200000,-0.2922,"GSM2404589_9611519030_R06C01",0.593344432729854
"79",12,21600000,133770948,0.209,"GSM2404589_9611519030_R06C01",0.593344432729854
"80",13,19110000,115079939,0.0279,"GSM2404589_9611519030_R06C01",0.593344432729854
"81",14,19325000,107119770,0.0408,"GSM2404589_9611519030_R06C01",0.593344432729854
"82",15,20225000,102410696,0.0438,"GSM2404589_9611519030_R06C01",0.593344432729854
"83",16,105000,90222377,-0.3518,"GSM2404589_9611519030_R06C01",0.593344432729854
"84",17,25000,81122605,-0.0487,"GSM2404589_9611519030_R06C01",0.593344432729854
"85",18,80000,77983624,-0.056,"GSM2404589_9611519030_R06C01",0.593344432729854
"86",19,180000,59084492,0.0182,"GSM2404589_9611519030_R06C01",0.593344432729854
"87",2,130000,243026238,0.0176,"GSM2404589_9611519030_R06C01",0.593344432729854
"88",20,155000,62907760,0.0025,"GSM2404589_9611519030_R06C01",0.593344432729854
"89",21,10848948,48084948,0.0084,"GSM2404589_9611519030_R06C01",0.593344432729854
"90",22,16373925,51222283,-0.0081,"GSM2404589_9611519030_R06C01",0.593344432729854
"91",3,155000,197831215,0.0449,"GSM2404589_9611519030_R06C01",0.593344432729854
"92",4,55000,190972138,-0.0515,"GSM2404589_9611519030_R06C01",0.593344432729854
"93",5,55000,180777630,0.0373,"GSM2404589_9611519030_R06C01",0.593344432729854
"94",6,155000,170952534,0.0192,"GSM2404589_9611519030_R06C01",0.593344432729854
"95",7,55000,159039332,0.0567,"GSM2404589_9611519030_R06C01",0.593344432729854
"96",8,105000,146277011,-0.0618,"GSM2404589_9611519030_R06C01",0.593344432729854
"97",9,130000,141076716,0.0338,"GSM2404589_9611519030_R06C01",0.593344432729854
"98",1,635684,249195311,0.0437,"GSM2405117_9855358027_R03C01",0.562288536627128
"99",10,105000,135462374,0.023,"GSM2405117_9855358027_R03C01",0.562288536627128
