"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.2153,"GSM2404114_9379082039_R02C01"
"2",10,105000,135462374,0.1246,"GSM2404114_9379082039_R02C01"
"3",11,130000,134873258,0.0569,"GSM2404114_9379082039_R02C01"
"4",12,172870,133770948,0.1015,"GSM2404114_9379082039_R02C01"
"5",13,19110000,115079939,0.0211,"GSM2404114_9379082039_R02C01"
"6",14,19325000,107119770,0.1482,"GSM2404114_9379082039_R02C01"
"7",15,20225000,102410696,-0.2014,"GSM2404114_9379082039_R02C01"
"8",16,105000,90222377,0.097,"GSM2404114_9379082039_R02C01"
"9",17,25000,81122605,0.0872,"GSM2404114_9379082039_R02C01"
"10",18,80000,77983624,0.0968,"GSM2404114_9379082039_R02C01"
"11",19,180000,59084492,0.069,"GSM2404114_9379082039_R02C01"
"12",2,130000,243026238,-0.2867,"GSM2404114_9379082039_R02C01"
"13",20,155000,62907760,0.0068,"GSM2404114_9379082039_R02C01"
"14",21,10848948,48084948,0.124,"GSM2404114_9379082039_R02C01"
"15",22,16373925,51222283,0.1663,"GSM2404114_9379082039_R02C01"
"16",3,155000,197831215,0.0631,"GSM2404114_9379082039_R02C01"
"17",4,55000,190972138,0.105,"GSM2404114_9379082039_R02C01"
"18",5,55000,180777630,0.1033,"GSM2404114_9379082039_R02C01"
"19",6,155000,170952534,0.0741,"GSM2404114_9379082039_R02C01"
"20",7,55000,159039332,0.107,"GSM2404114_9379082039_R02C01"
"21",8,105000,146277011,-0.2489,"GSM2404114_9379082039_R02C01"
"22",9,130000,141076716,-0.1125,"GSM2404114_9379082039_R02C01"
"23",1,635684,249195311,-0.0253,"GSM2404201_9376561024_R06C01"
"24",10,105000,135462374,-0.0246,"GSM2404201_9376561024_R06C01"
"25",11,130000,134873258,-0.048,"GSM2404201_9376561024_R06C01"
"26",12,172870,133770948,-0.0315,"GSM2404201_9376561024_R06C01"
"27",13,19110000,115079939,0.1718,"GSM2404201_9376561024_R06C01"
"28",14,19325000,107119770,0.2029,"GSM2404201_9376561024_R06C01"
"29",15,20225000,102410696,-0.0202,"GSM2404201_9376561024_R06C01"
"30",16,105000,90222377,0.0065,"GSM2404201_9376561024_R06C01"
"31",17,25000,81122605,-0.1076,"GSM2404201_9376561024_R06C01"
"32",18,80000,77983624,-0.1947,"GSM2404201_9376561024_R06C01"
"33",19,180000,59084492,0.151,"GSM2404201_9376561024_R06C01"
"34",2,130000,243026238,-0.0931,"GSM2404201_9376561024_R06C01"
"35",20,155000,62907760,-0.1222,"GSM2404201_9376561024_R06C01"
"36",21,10848948,48084948,-0.047,"GSM2404201_9376561024_R06C01"
"37",22,16373925,51222283,-0.0552,"GSM2404201_9376561024_R06C01"
"38",3,155000,197831215,-0.0664,"GSM2404201_9376561024_R06C01"
"39",4,55000,190972138,0.1281,"GSM2404201_9376561024_R06C01"
"40",5,55000,180777630,0.2058,"GSM2404201_9376561024_R06C01"
"41",6,155000,170952534,-0.0801,"GSM2404201_9376561024_R06C01"
"42",7,55000,159039332,0.233,"GSM2404201_9376561024_R06C01"
"43",8,105000,146277011,0.1769,"GSM2404201_9376561024_R06C01"
"44",9,130000,141076716,-0.0377,"GSM2404201_9376561024_R06C01"
"45",1,635684,775000,0.5161,"GSM2404356_9407210069_R01C02"
"46",1,825000,249195311,-0.017,"GSM2404356_9407210069_R01C02"
"47",10,105000,135462374,0.075,"GSM2404356_9407210069_R01C02"
"48",11,130000,134873258,0.0532,"GSM2404356_9407210069_R01C02"
"49",12,172870,133770948,0.0854,"GSM2404356_9407210069_R01C02"
"50",13,19110000,115079939,0.1973,"GSM2404356_9407210069_R01C02"
"51",14,19325000,107119770,0.0491,"GSM2404356_9407210069_R01C02"
"52",15,20225000,102410696,0.019,"GSM2404356_9407210069_R01C02"
"53",16,105000,90222377,0.0441,"GSM2404356_9407210069_R01C02"
"54",17,25000,81122605,-0.1186,"GSM2404356_9407210069_R01C02"
"55",18,80000,77983624,-0.0376,"GSM2404356_9407210069_R01C02"
"56",19,180000,59084492,-0.0469,"GSM2404356_9407210069_R01C02"
"57",2,130000,243026238,0.0727,"GSM2404356_9407210069_R01C02"
"58",20,155000,62907760,-0.0145,"GSM2404356_9407210069_R01C02"
"59",21,10848948,48084948,0.0277,"GSM2404356_9407210069_R01C02"
"60",22,16373925,51222283,-0.0984,"GSM2404356_9407210069_R01C02"
"61",3,155000,197831215,0.1546,"GSM2404356_9407210069_R01C02"
"62",4,55000,190972138,0.0683,"GSM2404356_9407210069_R01C02"
"63",5,55000,180777630,0.1107,"GSM2404356_9407210069_R01C02"
"64",6,155000,170952534,0.0967,"GSM2404356_9407210069_R01C02"
"65",7,55000,159039332,0.1565,"GSM2404356_9407210069_R01C02"
"66",8,105000,146277011,0.0969,"GSM2404356_9407210069_R01C02"
"67",9,130000,141076716,0.0171,"GSM2404356_9407210069_R01C02"
"68",1,635684,249195311,-0.0032,"GSM2404369_9422493146_R01C02"
"69",10,105000,135462374,0.0258,"GSM2404369_9422493146_R01C02"
"70",11,130000,134873258,0.0178,"GSM2404369_9422493146_R01C02"
"71",12,172870,133770948,0.0111,"GSM2404369_9422493146_R01C02"
"72",13,19110000,115079939,-0.0457,"GSM2404369_9422493146_R01C02"
"73",14,19325000,20025000,0.5015,"GSM2404369_9422493146_R01C02"
"74",14,20450000,107119770,7e-04,"GSM2404369_9422493146_R01C02"
"75",15,20225000,102410696,0.0131,"GSM2404369_9422493146_R01C02"
"76",16,105000,90222377,0.0484,"GSM2404369_9422493146_R01C02"
"77",17,25000,81122605,-0.0528,"GSM2404369_9422493146_R01C02"
"78",18,80000,77983624,-0.0566,"GSM2404369_9422493146_R01C02"
"79",19,180000,59084492,-0.0163,"GSM2404369_9422493146_R01C02"
"80",2,130000,243026238,0.0236,"GSM2404369_9422493146_R01C02"
"81",20,155000,62907760,-0.0161,"GSM2404369_9422493146_R01C02"
"82",21,10848948,48084948,0.0331,"GSM2404369_9422493146_R01C02"
"83",22,16373925,51222283,-0.0168,"GSM2404369_9422493146_R01C02"
"84",3,155000,197831215,0.0341,"GSM2404369_9422493146_R01C02"
"85",4,55000,190972138,-0.009,"GSM2404369_9422493146_R01C02"
"86",5,55000,180777630,0.1984,"GSM2404369_9422493146_R01C02"
"87",6,155000,67525000,0.0241,"GSM2404369_9422493146_R01C02"
"88",6,68575000,170952534,-0.3698,"GSM2404369_9422493146_R01C02"
"89",7,55000,159039332,0.0725,"GSM2404369_9422493146_R01C02"
"90",8,105000,146277011,0.0453,"GSM2404369_9422493146_R01C02"
"91",9,130000,141076716,0.0192,"GSM2404369_9422493146_R01C02"
"92",1,635684,249195311,0.0123,"GSM2404371_9422493146_R03C02"
"93",10,105000,135462374,0.032,"GSM2404371_9422493146_R03C02"
"94",11,130000,134873258,0.0211,"GSM2404371_9422493146_R03C02"
"95",12,172870,133770948,0.0296,"GSM2404371_9422493146_R03C02"
"96",13,19110000,115079939,0.0635,"GSM2404371_9422493146_R03C02"
"97",14,19325000,107119770,0.0229,"GSM2404371_9422493146_R03C02"
"98",15,20225000,102410696,0.0361,"GSM2404371_9422493146_R03C02"
"99",16,105000,90222377,0.0525,"GSM2404371_9422493146_R03C02"
"100",17,25000,81122605,-0.0314,"GSM2404371_9422493146_R03C02"
"101",18,80000,77983624,-0.0489,"GSM2404371_9422493146_R03C02"
"102",19,180000,59084492,0,"GSM2404371_9422493146_R03C02"
"103",2,130000,40675000,-0.3681,"GSM2404371_9422493146_R03C02"
"104",2,41375000,122475000,0.0562,"GSM2404371_9422493146_R03C02"
"105",2,122950000,182400000,-0.3414,"GSM2404371_9422493146_R03C02"
"106",2,182525000,199500000,0.1219,"GSM2404371_9422493146_R03C02"
"107",2,200325000,243026238,-0.39,"GSM2404371_9422493146_R03C02"
"108",20,155000,62907760,-0.0319,"GSM2404371_9422493146_R03C02"
"109",21,10848948,48084948,0.0313,"GSM2404371_9422493146_R03C02"
"110",22,16373925,51222283,-5e-04,"GSM2404371_9422493146_R03C02"
