"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0407,"GSM2403681_8959312010_R02C02"
"2",10,105000,135462374,-0.0296,"GSM2403681_8959312010_R02C02"
"3",11,130000,134873258,-0.0016,"GSM2403681_8959312010_R02C02"
"4",12,172870,133770948,5e-04,"GSM2403681_8959312010_R02C02"
"5",13,19110000,115079939,-0.0878,"GSM2403681_8959312010_R02C02"
"6",14,19325000,107119770,0.0345,"GSM2403681_8959312010_R02C02"
"7",15,20225000,102410696,0.0139,"GSM2403681_8959312010_R02C02"
"8",16,105000,90222377,0.0169,"GSM2403681_8959312010_R02C02"
"9",17,25000,81122605,-0.0097,"GSM2403681_8959312010_R02C02"
"10",18,80000,77983624,-0.0415,"GSM2403681_8959312010_R02C02"
"11",19,180000,59084492,0.0085,"GSM2403681_8959312010_R02C02"
"12",2,130000,243026238,-0.0143,"GSM2403681_8959312010_R02C02"
"13",20,155000,62907760,-0.003,"GSM2403681_8959312010_R02C02"
"14",21,10848948,48084948,0.0087,"GSM2403681_8959312010_R02C02"
"15",22,16373925,51222283,0.0559,"GSM2403681_8959312010_R02C02"
"16",3,155000,197831215,-0.0077,"GSM2403681_8959312010_R02C02"
"17",4,55000,190972138,-0.0556,"GSM2403681_8959312010_R02C02"
"18",5,55000,180777630,-0.0023,"GSM2403681_8959312010_R02C02"
"19",6,155000,170952534,-0.028,"GSM2403681_8959312010_R02C02"
"20",7,55000,54725000,0.0265,"GSM2403681_8959312010_R02C02"
"21",7,54825000,56300000,0.6023,"GSM2403681_8959312010_R02C02"
"22",7,56475000,159039332,0.0306,"GSM2403681_8959312010_R02C02"
"23",8,105000,146277011,-0.0094,"GSM2403681_8959312010_R02C02"
"24",9,130000,141076716,0.0319,"GSM2403681_8959312010_R02C02"
"25",1,635684,249195311,0.0185,"GSM2404568_9611518113_R01C01"
"26",10,105000,135462374,-0.0469,"GSM2404568_9611518113_R01C01"
"27",11,130000,134873258,-0.0116,"GSM2404568_9611518113_R01C01"
"28",12,172870,133770948,0.0023,"GSM2404568_9611518113_R01C01"
"29",13,19110000,115079939,-0.02,"GSM2404568_9611518113_R01C01"
"30",14,19325000,107119770,-0.022,"GSM2404568_9611518113_R01C01"
"31",15,20225000,102410696,0.0318,"GSM2404568_9611518113_R01C01"
"32",16,105000,90222377,-0.0126,"GSM2404568_9611518113_R01C01"
"33",17,25000,81122605,-0.0521,"GSM2404568_9611518113_R01C01"
"34",18,80000,77983624,-0.0452,"GSM2404568_9611518113_R01C01"
"35",19,180000,59084492,-0.0338,"GSM2404568_9611518113_R01C01"
"36",2,130000,243026238,0.0134,"GSM2404568_9611518113_R01C01"
"37",20,155000,62907760,0.012,"GSM2404568_9611518113_R01C01"
"38",21,10848948,48084948,0.0059,"GSM2404568_9611518113_R01C01"
"39",22,16373925,51222283,-0.0118,"GSM2404568_9611518113_R01C01"
"40",3,155000,197831215,-0.0046,"GSM2404568_9611518113_R01C01"
"41",4,55000,190972138,-0.0325,"GSM2404568_9611518113_R01C01"
"42",5,55000,180777630,0.0112,"GSM2404568_9611518113_R01C01"
"43",6,155000,170952534,0.0165,"GSM2404568_9611518113_R01C01"
"44",7,55000,159039332,0.0601,"GSM2404568_9611518113_R01C01"
"45",8,105000,146277011,0.0222,"GSM2404568_9611518113_R01C01"
"46",9,130000,141076716,0.0481,"GSM2404568_9611518113_R01C01"
"47",1,635684,249195311,0.0239,"GSM2404572_9611518110_R03C01"
"48",10,105000,135462374,-0.0585,"GSM2404572_9611518110_R03C01"
"49",11,130000,49850000,-0.0482,"GSM2404572_9611518110_R03C01"
"50",11,50050000,56675000,-0.3656,"GSM2404572_9611518110_R03C01"
"51",11,56975000,134873258,-0.036,"GSM2404572_9611518110_R03C01"
"52",12,172870,133770948,-0.0252,"GSM2404572_9611518110_R03C01"
"53",13,19110000,115079939,-0.1413,"GSM2404572_9611518110_R03C01"
"54",14,19325000,107119770,-0.0039,"GSM2404572_9611518110_R03C01"
"55",15,20225000,102410696,0.0303,"GSM2404572_9611518110_R03C01"
"56",16,105000,90222377,-0.001,"GSM2404572_9611518110_R03C01"
"57",17,25000,81122605,-2e-04,"GSM2404572_9611518110_R03C01"
"58",18,80000,77983624,-0.0292,"GSM2404572_9611518110_R03C01"
"59",19,180000,59084492,0.0255,"GSM2404572_9611518110_R03C01"
"60",2,130000,243026238,-0.0272,"GSM2404572_9611518110_R03C01"
"61",20,155000,62907760,-0.0081,"GSM2404572_9611518110_R03C01"
"62",21,10848948,48084948,0.0109,"GSM2404572_9611518110_R03C01"
"63",22,16373925,51222283,0.0488,"GSM2404572_9611518110_R03C01"
"64",3,155000,197831215,-0.0651,"GSM2404572_9611518110_R03C01"
"65",4,55000,190972138,-0.0652,"GSM2404572_9611518110_R03C01"
"66",5,55000,180777630,-0.0454,"GSM2404572_9611518110_R03C01"
"67",6,155000,170952534,-0.037,"GSM2404572_9611518110_R03C01"
"68",7,55000,77800000,-0.046,"GSM2404572_9611518110_R03C01"
"69",7,78500000,86650000,-0.3209,"GSM2404572_9611518110_R03C01"
"70",7,86775000,159039332,-0.0367,"GSM2404572_9611518110_R03C01"
"71",8,105000,146277011,-0.0564,"GSM2404572_9611518110_R03C01"
"72",9,130000,141076716,0.0048,"GSM2404572_9611518110_R03C01"
"73",1,635684,249195311,0.0256,"GSM2404575_9611518110_R06C01"
"74",10,105000,135462374,-0.057,"GSM2404575_9611518110_R06C01"
"75",11,130000,134873258,-0.0218,"GSM2404575_9611518110_R06C01"
"76",12,172870,133770948,-3e-04,"GSM2404575_9611518110_R06C01"
"77",13,19110000,115079939,-0.0449,"GSM2404575_9611518110_R06C01"
"78",14,19325000,107119770,0.038,"GSM2404575_9611518110_R06C01"
"79",15,20225000,102410696,0.0427,"GSM2404575_9611518110_R06C01"
"80",16,105000,90222377,-0.0138,"GSM2404575_9611518110_R06C01"
"81",17,25000,81122605,-0.0484,"GSM2404575_9611518110_R06C01"
"82",18,80000,77983624,-0.0375,"GSM2404575_9611518110_R06C01"
"83",19,180000,59084492,0.0213,"GSM2404575_9611518110_R06C01"
"84",2,130000,243026238,-0.0048,"GSM2404575_9611518110_R06C01"
"85",20,155000,62907760,-0.0315,"GSM2404575_9611518110_R06C01"
"86",21,10848948,48084948,0.0046,"GSM2404575_9611518110_R06C01"
"87",22,16373925,51222283,0.0434,"GSM2404575_9611518110_R06C01"
"88",3,155000,197831215,-0.0257,"GSM2404575_9611518110_R06C01"
"89",4,55000,190972138,-0.0377,"GSM2404575_9611518110_R06C01"
"90",5,55000,180777630,-0.0102,"GSM2404575_9611518110_R06C01"
"91",6,155000,170952534,-0.0043,"GSM2404575_9611518110_R06C01"
"92",7,55000,159039332,0.0463,"GSM2404575_9611518110_R06C01"
"93",8,105000,146277011,0.0039,"GSM2404575_9611518110_R06C01"
"94",9,130000,141076716,-0.0019,"GSM2404575_9611518110_R06C01"
"95",1,635684,249195311,0.0073,"GSM2404576_9611518099_R03C01"
