"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1547,"GSM2402910_6929689168_R01C01"
"2",10,105000,89625000,-0.0837,"GSM2402910_6929689168_R01C01"
"3",10,89800000,118425000,-0.5711,"GSM2402910_6929689168_R01C01"
"4",10,118500000,135462374,-0.2258,"GSM2402910_6929689168_R01C01"
"5",11,130000,134873258,-0.0325,"GSM2402910_6929689168_R01C01"
"6",12,172870,133770948,0.1702,"GSM2402910_6929689168_R01C01"
"7",13,19110000,115079939,-0.1068,"GSM2402910_6929689168_R01C01"
"8",14,19325000,107119770,0.1319,"GSM2402910_6929689168_R01C01"
"9",15,20225000,102410696,-0.0037,"GSM2402910_6929689168_R01C01"
"10",16,105000,90222377,0.0699,"GSM2402910_6929689168_R01C01"
"11",17,25000,81122605,-0.0497,"GSM2402910_6929689168_R01C01"
"12",18,80000,77983624,-0.0916,"GSM2402910_6929689168_R01C01"
"13",19,180000,59084492,0.1177,"GSM2402910_6929689168_R01C01"
"14",2,130000,243026238,0.1181,"GSM2402910_6929689168_R01C01"
"15",20,155000,62907760,0.1349,"GSM2402910_6929689168_R01C01"
"16",21,10848948,48084948,0.1168,"GSM2402910_6929689168_R01C01"
"17",22,16373925,51222283,0.0698,"GSM2402910_6929689168_R01C01"
"18",3,155000,197831215,0.1469,"GSM2402910_6929689168_R01C01"
"19",4,55000,190972138,-0.1067,"GSM2402910_6929689168_R01C01"
"20",5,55000,180777630,0.1566,"GSM2402910_6929689168_R01C01"
"21",6,155000,170952534,-0.2986,"GSM2402910_6929689168_R01C01"
"22",7,55000,159039332,0.0473,"GSM2402910_6929689168_R01C01"
"23",8,105000,146277011,-0.012,"GSM2402910_6929689168_R01C01"
"24",9,130000,141076716,0.138,"GSM2402910_6929689168_R01C01"
"25",1,635684,249195311,0.1172,"GSM2402911_6929689152_R06C02"
"26",10,105000,135462374,0.0918,"GSM2402911_6929689152_R06C02"
"27",11,130000,134873258,0.1356,"GSM2402911_6929689152_R06C02"
"28",12,172870,133770948,0.0998,"GSM2402911_6929689152_R06C02"
"29",13,19110000,115079939,0.1514,"GSM2402911_6929689152_R06C02"
"30",14,19325000,107119770,0.0753,"GSM2402911_6929689152_R06C02"
"31",15,20225000,102410696,0.0965,"GSM2402911_6929689152_R06C02"
"32",16,105000,90222377,0.1385,"GSM2402911_6929689152_R06C02"
"33",17,25000,81122605,0.0083,"GSM2402911_6929689152_R06C02"
"34",18,80000,77983624,-0.098,"GSM2402911_6929689152_R06C02"
"35",19,180000,59084492,0.0454,"GSM2402911_6929689152_R06C02"
"36",2,130000,243026238,0.0811,"GSM2402911_6929689152_R06C02"
"37",20,155000,62907760,0.0833,"GSM2402911_6929689152_R06C02"
"38",21,10848948,48084948,0.0873,"GSM2402911_6929689152_R06C02"
"39",22,16373925,51222283,0.0506,"GSM2402911_6929689152_R06C02"
"40",3,155000,197831215,0.1161,"GSM2402911_6929689152_R06C02"
"41",4,55000,190972138,-0.0075,"GSM2402911_6929689152_R06C02"
"42",5,55000,180777630,0.0901,"GSM2402911_6929689152_R06C02"
"43",6,155000,170952534,-0.4785,"GSM2402911_6929689152_R06C02"
"44",7,55000,159039332,0.1436,"GSM2402911_6929689152_R06C02"
"45",8,105000,146277011,0.0718,"GSM2402911_6929689152_R06C02"
"46",9,130000,141076716,0.1285,"GSM2402911_6929689152_R06C02"
"47",1,635684,16825000,-0.2262,"GSM2402912_6929689168_R05C01"
"48",1,16875000,249195311,0.0525,"GSM2402912_6929689168_R05C01"
"49",10,105000,135462374,0.0935,"GSM2402912_6929689168_R05C01"
"50",11,130000,134873258,0.0619,"GSM2402912_6929689168_R05C01"
"51",12,172870,133770948,0.047,"GSM2402912_6929689168_R05C01"
"52",13,19110000,115079939,0.0451,"GSM2402912_6929689168_R05C01"
"53",14,19325000,107119770,0.0329,"GSM2402912_6929689168_R05C01"
