"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0411,"GSM2402990_6929689149_R01C02",0.509511756921936
"2",10,105000,135462374,-0.4818,"GSM2402990_6929689149_R01C02",0.509511756921936
"3",11,130000,134873258,0.1492,"GSM2402990_6929689149_R01C02",0.509511756921936
"4",12,172870,133770948,0.1571,"GSM2402990_6929689149_R01C02",0.509511756921936
"5",13,19110000,115079939,-0.1,"GSM2402990_6929689149_R01C02",0.509511756921936
"6",14,19325000,107119770,-0.0548,"GSM2402990_6929689149_R01C02",0.509511756921936
"7",15,20225000,102410696,-0.0474,"GSM2402990_6929689149_R01C02",0.509511756921936
"8",16,105000,90222377,-0.0436,"GSM2402990_6929689149_R01C02",0.509511756921936
"9",17,25000,81122605,-0.1164,"GSM2402990_6929689149_R01C02",0.509511756921936
"10",18,80000,77983624,-0.1574,"GSM2402990_6929689149_R01C02",0.509511756921936
"11",19,180000,59084492,0.1026,"GSM2402990_6929689149_R01C02",0.509511756921936
"12",2,130000,243026238,-0.0844,"GSM2402990_6929689149_R01C02",0.509511756921936
"13",20,155000,62907760,0.0929,"GSM2402990_6929689149_R01C02",0.509511756921936
"14",21,10848948,48084948,-0.0598,"GSM2402990_6929689149_R01C02",0.509511756921936
"15",22,16373925,51222283,-0.4344,"GSM2402990_6929689149_R01C02",0.509511756921936
"16",3,155000,197831215,-0.0693,"GSM2402990_6929689149_R01C02",0.509511756921936
"17",4,55000,190972138,0.1109,"GSM2402990_6929689149_R01C02",0.509511756921936
"18",5,55000,180777630,-0.0672,"GSM2402990_6929689149_R01C02",0.509511756921936
"19",6,155000,32425000,0.1365,"GSM2402990_6929689149_R01C02",0.509511756921936
"20",6,32475000,32725000,-0.4804,"GSM2402990_6929689149_R01C02",0.509511756921936
"21",6,32775000,170952534,0.1295,"GSM2402990_6929689149_R01C02",0.509511756921936
"22",7,55000,159039332,-0.0409,"GSM2402990_6929689149_R01C02",0.509511756921936
"23",8,105000,146277011,0.1347,"GSM2402990_6929689149_R01C02",0.509511756921936
"24",9,130000,141076716,0.1371,"GSM2402990_6929689149_R01C02",0.509511756921936
"25",1,635684,249195311,-0.0199,"GSM2403199_6929806038_R05C02",0.488728266051214
"26",10,105000,135462374,-0.2966,"GSM2403199_6929806038_R05C02",0.488728266051214
"27",11,130000,134873258,0.0152,"GSM2403199_6929806038_R05C02",0.488728266051214
"28",12,172870,133770948,0.0048,"GSM2403199_6929806038_R05C02",0.488728266051214
"29",13,19110000,115079939,-0.0589,"GSM2403199_6929806038_R05C02",0.488728266051214
"30",14,19325000,107119770,0.0124,"GSM2403199_6929806038_R05C02",0.488728266051214
"31",15,20225000,22429154,0.3315,"GSM2403199_6929806038_R05C02",0.488728266051214
"32",15,22748097,102410696,0.0175,"GSM2403199_6929806038_R05C02",0.488728266051214
"33",16,105000,90222377,0.0387,"GSM2403199_6929806038_R05C02",0.488728266051214
"34",17,25000,81122605,-0.0225,"GSM2403199_6929806038_R05C02",0.488728266051214
"35",18,80000,77983624,-0.097,"GSM2403199_6929806038_R05C02",0.488728266051214
"36",19,180000,59084492,0.0104,"GSM2403199_6929806038_R05C02",0.488728266051214
"37",2,130000,243026238,-0.0317,"GSM2403199_6929806038_R05C02",0.488728266051214
"38",20,155000,62907760,-0.0124,"GSM2403199_6929806038_R05C02",0.488728266051214
"39",21,10848948,48084948,0.0045,"GSM2403199_6929806038_R05C02",0.488728266051214
"40",22,16373925,51222283,0.0374,"GSM2403199_6929806038_R05C02",0.488728266051214
"41",3,155000,135600000,-0.2721,"GSM2403199_6929806038_R05C02",0.488728266051214
"42",3,135925000,197831215,-0.0363,"GSM2403199_6929806038_R05C02",0.488728266051214
"43",4,55000,190972138,-0.0768,"GSM2403199_6929806038_R05C02",0.488728266051214
"44",5,55000,180777630,-0.0142,"GSM2403199_6929806038_R05C02",0.488728266051214
"45",6,155000,170952534,-0.0322,"GSM2403199_6929806038_R05C02",0.488728266051214
"46",7,55000,159039332,0.0092,"GSM2403199_6929806038_R05C02",0.488728266051214
"47",8,105000,146277011,0.1465,"GSM2403199_6929806038_R05C02",0.488728266051214
"48",9,130000,141076716,0.0244,"GSM2403199_6929806038_R05C02",0.488728266051214
"49",1,635684,249195311,-0.0949,"GSM2403704_9007225003_R04C01",0.700141770861006
"50",10,105000,135462374,-0.2785,"GSM2403704_9007225003_R04C01",0.700141770861006
"51",11,130000,134873258,-0.0965,"GSM2403704_9007225003_R04C01",0.700141770861006
"52",12,172870,133770948,-0.0868,"GSM2403704_9007225003_R04C01",0.700141770861006
"53",13,19110000,115079939,-0.0645,"GSM2403704_9007225003_R04C01",0.700141770861006
"54",14,19325000,20025000,0.2988,"GSM2403704_9007225003_R04C01",0.700141770861006
"55",14,20450000,107119770,-0.1011,"GSM2403704_9007225003_R04C01",0.700141770861006
"56",15,20225000,102410696,-0.0819,"GSM2403704_9007225003_R04C01",0.700141770861006
"57",16,105000,90222377,0.0031,"GSM2403704_9007225003_R04C01",0.700141770861006
"58",17,25000,81122605,-0.0395,"GSM2403704_9007225003_R04C01",0.700141770861006
"59",18,80000,77983624,-0.1172,"GSM2403704_9007225003_R04C01",0.700141770861006
"60",19,180000,59084492,-0.0144,"GSM2403704_9007225003_R04C01",0.700141770861006
"61",2,130000,243026238,-0.1027,"GSM2403704_9007225003_R04C01",0.700141770861006
"62",20,155000,62907760,-0.0361,"GSM2403704_9007225003_R04C01",0.700141770861006
"63",21,10848948,48084948,0.0187,"GSM2403704_9007225003_R04C01",0.700141770861006
"64",22,16373925,51222283,-0.0264,"GSM2403704_9007225003_R04C01",0.700141770861006
"65",3,155000,74175000,-0.2825,"GSM2403704_9007225003_R04C01",0.700141770861006
"66",3,75025000,76450000,0.0712,"GSM2403704_9007225003_R04C01",0.700141770861006
"67",3,77100000,197831215,-0.2967,"GSM2403704_9007225003_R04C01",0.700141770861006
"68",4,55000,190972138,-0.0964,"GSM2403704_9007225003_R04C01",0.700141770861006
"69",5,55000,180777630,-0.0849,"GSM2403704_9007225003_R04C01",0.700141770861006
"70",6,155000,170952534,-0.0951,"GSM2403704_9007225003_R04C01",0.700141770861006
"71",7,55000,159039332,-0.0538,"GSM2403704_9007225003_R04C01",0.700141770861006
"72",8,105000,146277011,0.1462,"GSM2403704_9007225003_R04C01",0.700141770861006
"73",9,130000,141076716,-0.0831,"GSM2403704_9007225003_R04C01",0.700141770861006
"74",1,635684,147475000,-0.0613,"GSM2403920_9305651050_R02C02",0.646637485452899
"75",1,147725000,148927230,0.2546,"GSM2403920_9305651050_R02C02",0.646637485452899
