"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0342,"GSM2403503_8622007068_R02C01"
"2",10,105000,135462374,-0.0784,"GSM2403503_8622007068_R02C01"
"3",11,130000,134873258,0.0163,"GSM2403503_8622007068_R02C01"
"4",12,172870,133770948,0.0263,"GSM2403503_8622007068_R02C01"
"5",13,19110000,115079939,-0.0352,"GSM2403503_8622007068_R02C01"
"6",14,19325000,107119770,0.0189,"GSM2403503_8622007068_R02C01"
"7",15,20225000,102410696,0.04,"GSM2403503_8622007068_R02C01"
"8",16,105000,90222377,0.1722,"GSM2403503_8622007068_R02C01"
"9",17,25000,81122605,0.1128,"GSM2403503_8622007068_R02C01"
"10",18,80000,77983624,0.2056,"GSM2403503_8622007068_R02C01"
"11",19,180000,59084492,0.1218,"GSM2403503_8622007068_R02C01"
"12",2,130000,243026238,-0.037,"GSM2403503_8622007068_R02C01"
"13",20,155000,62907760,0.1795,"GSM2403503_8622007068_R02C01"
"14",21,10848948,48084948,0.2567,"GSM2403503_8622007068_R02C01"
"15",22,16373925,51222283,-0.0582,"GSM2403503_8622007068_R02C01"
"16",3,155000,197831215,-0.0285,"GSM2403503_8622007068_R02C01"
"17",4,55000,190972138,0.2199,"GSM2403503_8622007068_R02C01"
"18",5,55000,180777630,0.0113,"GSM2403503_8622007068_R02C01"
"19",6,155000,170952534,-0.1134,"GSM2403503_8622007068_R02C01"
"20",7,55000,159039332,0.1571,"GSM2403503_8622007068_R02C01"
"21",8,105000,146277011,0.0076,"GSM2403503_8622007068_R02C01"
"22",9,130000,141076716,0.2072,"GSM2403503_8622007068_R02C01"
"23",1,635684,249195311,0.0278,"GSM2403585_8622007120_R02C01"
"24",10,105000,135462374,0.0108,"GSM2403585_8622007120_R02C01"
"25",11,130000,134873258,-0.0178,"GSM2403585_8622007120_R02C01"
"26",12,172870,133770948,-0.0105,"GSM2403585_8622007120_R02C01"
"27",13,19110000,115079939,-0.043,"GSM2403585_8622007120_R02C01"
"28",14,19325000,107119770,0.02,"GSM2403585_8622007120_R02C01"
"29",15,20225000,102410696,0.0409,"GSM2403585_8622007120_R02C01"
"30",16,105000,90222377,0.0514,"GSM2403585_8622007120_R02C01"
"31",17,25000,81122605,-0.0295,"GSM2403585_8622007120_R02C01"
"32",18,80000,77983624,-0.0523,"GSM2403585_8622007120_R02C01"
"33",19,180000,59084492,0.001,"GSM2403585_8622007120_R02C01"
"34",2,130000,243026238,-0.0237,"GSM2403585_8622007120_R02C01"
"35",20,155000,62907760,-0.0371,"GSM2403585_8622007120_R02C01"
"36",21,10848948,48084948,0.0069,"GSM2403585_8622007120_R02C01"
"37",22,16373925,51222283,0.0472,"GSM2403585_8622007120_R02C01"
"38",3,155000,197831215,-0.0415,"GSM2403585_8622007120_R02C01"
"39",4,55000,190972138,0.0786,"GSM2403585_8622007120_R02C01"
"40",5,55000,180777630,0.1693,"GSM2403585_8622007120_R02C01"
"41",6,155000,170952534,-0.045,"GSM2403585_8622007120_R02C01"
"42",7,55000,159039332,0.1828,"GSM2403585_8622007120_R02C01"
"43",8,105000,146277011,-0.0445,"GSM2403585_8622007120_R02C01"
"44",9,130000,141076716,0.1791,"GSM2403585_8622007120_R02C01"
"45",1,635684,249195311,-0.056,"GSM2403732_9007225086_R01C01"
"46",10,105000,135462374,-0.2397,"GSM2403732_9007225086_R01C01"
"47",11,130000,134873258,0.1032,"GSM2403732_9007225086_R01C01"
"48",12,172870,133770948,0.1188,"GSM2403732_9007225086_R01C01"
"49",13,19110000,19950000,0.1701,"GSM2403732_9007225086_R01C01"
"50",13,20150000,115079939,-0.2123,"GSM2403732_9007225086_R01C01"
"51",14,19325000,20025000,0.6264,"GSM2403732_9007225086_R01C01"
"52",14,20450000,107119770,0.1119,"GSM2403732_9007225086_R01C01"
"53",15,20225000,102410696,0.1359,"GSM2403732_9007225086_R01C01"
"54",16,105000,90222377,0.1855,"GSM2403732_9007225086_R01C01"
"55",17,25000,81122605,0.086,"GSM2403732_9007225086_R01C01"
"56",18,80000,77983624,0.0854,"GSM2403732_9007225086_R01C01"
"57",19,180000,59084492,0.1199,"GSM2403732_9007225086_R01C01"
"58",2,130000,243026238,-0.0467,"GSM2403732_9007225086_R01C01"
"59",20,155000,62907760,0.0538,"GSM2403732_9007225086_R01C01"
"60",21,10848948,48084948,0.1781,"GSM2403732_9007225086_R01C01"
"61",22,16373925,51222283,-0.0268,"GSM2403732_9007225086_R01C01"
"62",3,155000,197831215,0.097,"GSM2403732_9007225086_R01C01"
"63",4,55000,190972138,-0.0652,"GSM2403732_9007225086_R01C01"
"64",5,55000,180777630,-0.0581,"GSM2403732_9007225086_R01C01"
"65",6,155000,170952534,0.1229,"GSM2403732_9007225086_R01C01"
"66",7,55000,159039332,0.1699,"GSM2403732_9007225086_R01C01"
"67",8,105000,146277011,-0.0175,"GSM2403732_9007225086_R01C01"
"68",9,130000,141076716,0.1065,"GSM2403732_9007225086_R01C01"
"69",1,635684,249195311,-0.0228,"GSM2403737_9007225086_R01C02"
"70",10,105000,135462374,-0.0102,"GSM2403737_9007225086_R01C02"
"71",11,130000,134873258,-0.0536,"GSM2403737_9007225086_R01C02"
"72",12,172870,133770948,-0.0297,"GSM2403737_9007225086_R01C02"
"73",13,19110000,115079939,-0.0376,"GSM2403737_9007225086_R01C02"
"74",14,19325000,107119770,-3e-04,"GSM2403737_9007225086_R01C02"
"75",15,20225000,102410696,0.0089,"GSM2403737_9007225086_R01C02"
"76",16,105000,90222377,0.1973,"GSM2403737_9007225086_R01C02"
"77",17,25000,81122605,-0.0186,"GSM2403737_9007225086_R01C02"
"78",18,80000,77983624,0.0024,"GSM2403737_9007225086_R01C02"
"79",19,180000,59084492,-0.0231,"GSM2403737_9007225086_R01C02"
"80",2,130000,243026238,-0.0277,"GSM2403737_9007225086_R01C02"
"81",20,155000,62907760,-0.0698,"GSM2403737_9007225086_R01C02"
"82",21,10848948,48084948,0.0172,"GSM2403737_9007225086_R01C02"
"83",22,16373925,51222283,0.012,"GSM2403737_9007225086_R01C02"
"84",3,155000,197831215,-0.0521,"GSM2403737_9007225086_R01C02"
"85",4,55000,190972138,-0.0133,"GSM2403737_9007225086_R01C02"
"86",5,55000,180777630,0.213,"GSM2403737_9007225086_R01C02"
"87",6,155000,170952534,-0.0405,"GSM2403737_9007225086_R01C02"
"88",7,55000,159039332,0.2191,"GSM2403737_9007225086_R01C02"
"89",8,105000,146277011,-0.0095,"GSM2403737_9007225086_R01C02"
"90",9,130000,141076716,0.1898,"GSM2403737_9007225086_R01C02"
"91",1,635684,249195311,0.0398,"GSM2403747_9007225163_R06C01"
"92",10,105000,135462374,0.0339,"GSM2403747_9007225163_R06C01"
"93",11,130000,134873258,0.0416,"GSM2403747_9007225163_R06C01"
"94",12,172870,133770948,0.1941,"GSM2403747_9007225163_R06C01"
"95",13,19110000,115079939,-0.1753,"GSM2403747_9007225163_R06C01"
"96",14,19325000,107119770,-0.2279,"GSM2403747_9007225163_R06C01"
"97",15,20225000,102410696,0.1924,"GSM2403747_9007225163_R06C01"
"98",16,105000,90222377,0.1977,"GSM2403747_9007225163_R06C01"
"99",17,25000,81122605,-0.0888,"GSM2403747_9007225163_R06C01"
"100",18,80000,77983624,0.0165,"GSM2403747_9007225163_R06C01"
"101",19,180000,59084492,-0.0244,"GSM2403747_9007225163_R06C01"
"102",2,130000,243026238,-0.2353,"GSM2403747_9007225163_R06C01"
"103",20,155000,62907760,0.1485,"GSM2403747_9007225163_R06C01"
"104",21,10848948,48084948,0.0096,"GSM2403747_9007225163_R06C01"
"105",22,16373925,51222283,-0.2191,"GSM2403747_9007225163_R06C01"
"106",3,155000,197831215,0.0406,"GSM2403747_9007225163_R06C01"
"107",4,55000,190972138,0.1006,"GSM2403747_9007225163_R06C01"
"108",5,55000,180777630,0.024,"GSM2403747_9007225163_R06C01"
"109",6,155000,170952534,0.1929,"GSM2403747_9007225163_R06C01"
"110",7,55000,159039332,0.089,"GSM2403747_9007225163_R06C01"
"111",8,105000,146277011,0.1884,"GSM2403747_9007225163_R06C01"
"112",9,130000,141076716,0.2004,"GSM2403747_9007225163_R06C01"
"113",1,635684,249195311,-0.0272,"GSM2403828_9297949046_R02C02"
"114",10,105000,135462374,-0.217,"GSM2403828_9297949046_R02C02"
"115",11,130000,134873258,0.132,"GSM2403828_9297949046_R02C02"
"116",12,172870,133770948,-0.0162,"GSM2403828_9297949046_R02C02"
"117",13,19110000,115079939,0.0467,"GSM2403828_9297949046_R02C02"
"118",14,19325000,107119770,-0.0344,"GSM2403828_9297949046_R02C02"
"119",15,20225000,102410696,0.1247,"GSM2403828_9297949046_R02C02"
"120",16,105000,90222377,0.1364,"GSM2403828_9297949046_R02C02"
"121",17,25000,81122605,-0.0054,"GSM2403828_9297949046_R02C02"
"122",18,80000,77983624,-0.0121,"GSM2403828_9297949046_R02C02"
"123",19,180000,59084492,-0.0809,"GSM2403828_9297949046_R02C02"
"124",2,130000,243026238,-0.0367,"GSM2403828_9297949046_R02C02"
"125",20,155000,62907760,0.0585,"GSM2403828_9297949046_R02C02"
"126",21,10848948,48084948,0.1074,"GSM2403828_9297949046_R02C02"
"127",22,16373925,51222283,0.0569,"GSM2403828_9297949046_R02C02"
"128",3,155000,197831215,0.1427,"GSM2403828_9297949046_R02C02"
"129",4,55000,190972138,0.0617,"GSM2403828_9297949046_R02C02"
"130",5,55000,180777630,-0.0188,"GSM2403828_9297949046_R02C02"
"131",6,155000,170952534,-0.0205,"GSM2403828_9297949046_R02C02"
"132",7,55000,159039332,0.1896,"GSM2403828_9297949046_R02C02"
"133",8,105000,146277011,0.1256,"GSM2403828_9297949046_R02C02"
"134",9,130000,141076716,0.1179,"GSM2403828_9297949046_R02C02"
"135",1,635684,249195311,0.0478,"GSM2403847_9305651037_R05C01"
"136",10,105000,135462374,-0.1751,"GSM2403847_9305651037_R05C01"
"137",11,130000,134873258,0.0255,"GSM2403847_9305651037_R05C01"
"138",12,172870,133770948,0.04,"GSM2403847_9305651037_R05C01"
"139",13,19110000,115079939,-0.1742,"GSM2403847_9305651037_R05C01"
"140",14,19325000,107119770,-0.1739,"GSM2403847_9305651037_R05C01"
"141",15,20225000,102410696,0.0595,"GSM2403847_9305651037_R05C01"
"142",16,105000,90222377,0.1751,"GSM2403847_9305651037_R05C01"
"143",17,25000,81122605,0.0855,"GSM2403847_9305651037_R05C01"
"144",18,80000,77983624,0.0671,"GSM2403847_9305651037_R05C01"
"145",19,180000,59084492,0.0138,"GSM2403847_9305651037_R05C01"
"146",2,130000,243026238,0.0169,"GSM2403847_9305651037_R05C01"
"147",20,155000,62907760,0.1243,"GSM2403847_9305651037_R05C01"
"148",21,10848948,48084948,-0.1566,"GSM2403847_9305651037_R05C01"
"149",22,16373925,51222283,-0.1555,"GSM2403847_9305651037_R05C01"
"150",3,155000,197831215,-0.2067,"GSM2403847_9305651037_R05C01"
"151",4,55000,190972138,-0.0382,"GSM2403847_9305651037_R05C01"
"152",5,55000,180777630,0.1686,"GSM2403847_9305651037_R05C01"
"153",6,155000,170952534,0.0226,"GSM2403847_9305651037_R05C01"
"154",7,55000,159039332,0.0729,"GSM2403847_9305651037_R05C01"
"155",8,105000,146277011,0.0723,"GSM2403847_9305651037_R05C01"
"156",9,130000,141076716,0.0409,"GSM2403847_9305651037_R05C01"
"157",1,635684,249195311,0.0375,"GSM2403850_9305651037_R04C01"
"158",10,105000,135462374,0.0291,"GSM2403850_9305651037_R04C01"
