"chromosome","start","end","segmean","sample","noise"
"1",1,635684,152575000,0.003,"GSM2402993_6929689149_R05C01",0.524314875844722
"2",1,152675000,153425000,0.4041,"GSM2402993_6929689149_R05C01",0.524314875844722
"3",1,153525000,249195311,0.1759,"GSM2402993_6929689149_R05C01",0.524314875844722
"4",10,105000,135462374,-0.0068,"GSM2402993_6929689149_R05C01",0.524314875844722
"5",11,130000,134873258,0.0098,"GSM2402993_6929689149_R05C01",0.524314875844722
"6",12,172870,133770948,-0.0091,"GSM2402993_6929689149_R05C01",0.524314875844722
"7",13,19110000,115079939,-0.0304,"GSM2402993_6929689149_R05C01",0.524314875844722
"8",14,19325000,107119770,-0.0253,"GSM2402993_6929689149_R05C01",0.524314875844722
"9",15,20225000,102410696,-0.0225,"GSM2402993_6929689149_R05C01",0.524314875844722
"10",16,105000,35017901,0.0172,"GSM2402993_6929689149_R05C01",0.524314875844722
"11",16,46517901,90222377,-0.2384,"GSM2402993_6929689149_R05C01",0.524314875844722
"12",17,25000,81122605,-0.0763,"GSM2402993_6929689149_R05C01",0.524314875844722
"13",18,80000,77983624,-0.1384,"GSM2402993_6929689149_R05C01",0.524314875844722
"14",19,180000,59084492,-0.0421,"GSM2402993_6929689149_R05C01",0.524314875844722
"15",2,130000,243026238,-0.0426,"GSM2402993_6929689149_R05C01",0.524314875844722
"16",20,155000,62907760,-0.04,"GSM2402993_6929689149_R05C01",0.524314875844722
"17",21,10848948,48084948,-0.0198,"GSM2402993_6929689149_R05C01",0.524314875844722
"18",22,16373925,51222283,-0.0191,"GSM2402993_6929689149_R05C01",0.524314875844722
"19",3,155000,197831215,-0.0156,"GSM2402993_6929689149_R05C01",0.524314875844722
"20",4,55000,190972138,-0.0777,"GSM2402993_6929689149_R05C01",0.524314875844722
"21",5,55000,180777630,-0.0168,"GSM2402993_6929689149_R05C01",0.524314875844722
"22",6,155000,170952534,-0.0342,"GSM2402993_6929689149_R05C01",0.524314875844722
"23",7,55000,159039332,0.0089,"GSM2402993_6929689149_R05C01",0.524314875844722
"24",8,105000,146277011,-0.0472,"GSM2402993_6929689149_R05C01",0.524314875844722
"25",9,130000,141076716,0.0052,"GSM2402993_6929689149_R05C01",0.524314875844722
"26",1,635684,152475000,8e-04,"GSM2402995_6929689149_R04C01",0.528700084920765
"27",1,152575000,153425000,0.2115,"GSM2402995_6929689149_R04C01",0.528700084920765
"28",1,153525000,249195311,0.0028,"GSM2402995_6929689149_R04C01",0.528700084920765
"29",10,105000,135462374,-0.0066,"GSM2402995_6929689149_R04C01",0.528700084920765
"30",11,130000,134873258,0.008,"GSM2402995_6929689149_R04C01",0.528700084920765
"31",12,172870,133770948,-0.0103,"GSM2402995_6929689149_R04C01",0.528700084920765
"32",13,19110000,115079939,-0.0436,"GSM2402995_6929689149_R04C01",0.528700084920765
"33",14,19325000,107119770,-0.0185,"GSM2402995_6929689149_R04C01",0.528700084920765
"34",15,20225000,22429154,0.2289,"GSM2402995_6929689149_R04C01",0.528700084920765
"35",15,22748097,102410696,-0.0131,"GSM2402995_6929689149_R04C01",0.528700084920765
"36",16,105000,90222377,0.0168,"GSM2402995_6929689149_R04C01",0.528700084920765
"37",17,25000,81122605,-0.0636,"GSM2402995_6929689149_R04C01",0.528700084920765
"38",18,80000,77983624,-0.138,"GSM2402995_6929689149_R04C01",0.528700084920765
"39",19,180000,59084492,-0.0292,"GSM2402995_6929689149_R04C01",0.528700084920765
"40",2,130000,108625000,-0.0478,"GSM2402995_6929689149_R04C01",0.528700084920765
"41",2,108800000,110675000,0.1869,"GSM2402995_6929689149_R04C01",0.528700084920765
"42",2,111175000,243026238,-0.0457,"GSM2402995_6929689149_R04C01",0.528700084920765
"43",20,155000,62907760,-0.0378,"GSM2402995_6929689149_R04C01",0.528700084920765
"44",21,10848948,48084948,-0.0205,"GSM2402995_6929689149_R04C01",0.528700084920765
"45",22,16373925,51222283,-0.0042,"GSM2402995_6929689149_R04C01",0.528700084920765
"46",3,155000,197831215,-0.0183,"GSM2402995_6929689149_R04C01",0.528700084920765
"47",4,55000,190972138,-0.0813,"GSM2402995_6929689149_R04C01",0.528700084920765
"48",5,55000,180777630,-0.0229,"GSM2402995_6929689149_R04C01",0.528700084920765
"49",6,155000,170952534,-0.0399,"GSM2402995_6929689149_R04C01",0.528700084920765
"50",7,55000,159039332,0.0013,"GSM2402995_6929689149_R04C01",0.528700084920765
"51",8,105000,146277011,-0.0509,"GSM2402995_6929689149_R04C01",0.528700084920765
"52",9,130000,141076716,0.0058,"GSM2402995_6929689149_R04C01",0.528700084920765
"53",1,635684,121392717,-0.0177,"GSM2403186_6752625107_R01C01",0.496611193157269
"54",1,144500872,152475000,0.2892,"GSM2403186_6752625107_R01C01",0.496611193157269
"55",1,152575000,153425000,0.536,"GSM2403186_6752625107_R01C01",0.496611193157269
"56",1,153525000,249195311,0.3113,"GSM2403186_6752625107_R01C01",0.496611193157269
"57",10,105000,135462374,-0.0206,"GSM2403186_6752625107_R01C01",0.496611193157269
"58",11,130000,134873258,-0.0158,"GSM2403186_6752625107_R01C01",0.496611193157269
"59",12,172870,133770948,-0.0262,"GSM2403186_6752625107_R01C01",0.496611193157269
"60",13,19110000,115079939,-0.0354,"GSM2403186_6752625107_R01C01",0.496611193157269
"61",14,19325000,107119770,-0.0332,"GSM2403186_6752625107_R01C01",0.496611193157269
"62",15,20225000,102410696,-0.0278,"GSM2403186_6752625107_R01C01",0.496611193157269
"63",16,105000,90222377,0.0023,"GSM2403186_6752625107_R01C01",0.496611193157269
"64",17,25000,81122605,-0.0777,"GSM2403186_6752625107_R01C01",0.496611193157269
"65",18,80000,77983624,-0.1205,"GSM2403186_6752625107_R01C01",0.496611193157269
"66",19,180000,59084492,-0.0569,"GSM2403186_6752625107_R01C01",0.496611193157269
"67",2,130000,243026238,-0.0468,"GSM2403186_6752625107_R01C01",0.496611193157269
"68",20,155000,62907760,-0.0541,"GSM2403186_6752625107_R01C01",0.496611193157269
"69",21,10848948,48084948,-0.0248,"GSM2403186_6752625107_R01C01",0.496611193157269
"70",22,16373925,51222283,-0.0195,"GSM2403186_6752625107_R01C01",0.496611193157269
"71",3,155000,197831215,-0.0329,"GSM2403186_6752625107_R01C01",0.496611193157269
"72",4,55000,190972138,-0.0787,"GSM2403186_6752625107_R01C01",0.496611193157269
"73",5,55000,46027821,0.292,"GSM2403186_6752625107_R01C01",0.496611193157269
"74",5,49677821,180777630,-0.0365,"GSM2403186_6752625107_R01C01",0.496611193157269
"75",6,155000,170952534,-0.0433,"GSM2403186_6752625107_R01C01",0.496611193157269
"76",7,55000,159039332,-2e-04,"GSM2403186_6752625107_R01C01",0.496611193157269
"77",8,105000,146277011,-0.0427,"GSM2403186_6752625107_R01C01",0.496611193157269
"78",9,130000,141076716,-0.0135,"GSM2403186_6752625107_R01C01",0.496611193157269
"79",1,635684,121392717,-0.0271,"GSM2403188_6929806024_R03C01",0.476316446846088
"80",1,144500872,249195311,0.2886,"GSM2403188_6929806024_R03C01",0.476316446846088
"81",10,105000,135462374,-0.1458,"GSM2403188_6929806024_R03C01",0.476316446846088
"82",11,130000,36425000,-0.0675,"GSM2403188_6929806024_R03C01",0.476316446846088
"83",11,36525000,43325000,-0.2634,"GSM2403188_6929806024_R03C01",0.476316446846088
"84",11,43450000,134873258,-0.0643,"GSM2403188_6929806024_R03C01",0.476316446846088
"85",12,172870,133770948,-0.0749,"GSM2403188_6929806024_R03C01",0.476316446846088
"86",13,19110000,115079939,-0.1378,"GSM2403188_6929806024_R03C01",0.476316446846088
"87",14,19325000,107119770,-0.0547,"GSM2403188_6929806024_R03C01",0.476316446846088
"88",15,20225000,102410696,-0.0476,"GSM2403188_6929806024_R03C01",0.476316446846088
"89",16,105000,90222377,-0.1048,"GSM2403188_6929806024_R03C01",0.476316446846088
"90",17,25000,81122605,-0.0537,"GSM2403188_6929806024_R03C01",0.476316446846088
"91",18,80000,77983624,-0.1148,"GSM2403188_6929806024_R03C01",0.476316446846088
"92",19,180000,59084492,0.0061,"GSM2403188_6929806024_R03C01",0.476316446846088
"93",2,130000,243026238,-0.0913,"GSM2403188_6929806024_R03C01",0.476316446846088
"94",20,155000,62907760,-0.0081,"GSM2403188_6929806024_R03C01",0.476316446846088
"95",21,10848948,48084948,-0.1269,"GSM2403188_6929806024_R03C01",0.476316446846088
"96",22,16373925,51222283,-0.0019,"GSM2403188_6929806024_R03C01",0.476316446846088
"97",3,155000,197831215,0.035,"GSM2403188_6929806024_R03C01",0.476316446846088
"98",4,55000,190972138,-0.2176,"GSM2403188_6929806024_R03C01",0.476316446846088
"99",5,55000,180777630,-0.0281,"GSM2403188_6929806024_R03C01",0.476316446846088
"100",6,155000,32375000,-0.1658,"GSM2403188_6929806024_R03C01",0.476316446846088
"101",6,32425000,32650000,-0.524,"GSM2403188_6929806024_R03C01",0.476316446846088
"102",6,32725000,170952534,-0.1939,"GSM2403188_6929806024_R03C01",0.476316446846088
"103",7,55000,159039332,0.1452,"GSM2403188_6929806024_R03C01",0.476316446846088
"104",8,105000,146277011,0.2252,"GSM2403188_6929806024_R03C01",0.476316446846088
"105",9,130000,141076716,0.076,"GSM2403188_6929806024_R03C01",0.476316446846088
"106",1,635684,249195311,0.0099,"GSM2403230_7310440009_R04C02",0.466390920792452
"107",10,105000,135462374,-0.0144,"GSM2403230_7310440009_R04C02",0.466390920792452
"108",11,130000,134873258,-0.0083,"GSM2403230_7310440009_R04C02",0.466390920792452
"109",12,172870,133770948,-0.02,"GSM2403230_7310440009_R04C02",0.466390920792452
"110",13,19110000,115079939,-0.0614,"GSM2403230_7310440009_R04C02",0.466390920792452
"111",14,19325000,107119770,-0.0048,"GSM2403230_7310440009_R04C02",0.466390920792452
"112",15,20225000,102410696,-0.0018,"GSM2403230_7310440009_R04C02",0.466390920792452
"113",16,105000,90222377,0.0151,"GSM2403230_7310440009_R04C02",0.466390920792452
"114",17,25000,81122605,-0.0386,"GSM2403230_7310440009_R04C02",0.466390920792452
"115",18,80000,77983624,-0.0994,"GSM2403230_7310440009_R04C02",0.466390920792452
"116",19,180000,59084492,-0.0151,"GSM2403230_7310440009_R04C02",0.466390920792452
"117",2,130000,243026238,-0.0416,"GSM2403230_7310440009_R04C02",0.466390920792452
"118",20,155000,62907760,-0.0308,"GSM2403230_7310440009_R04C02",0.466390920792452
"119",21,10848948,48084948,-0.0162,"GSM2403230_7310440009_R04C02",0.466390920792452
"120",22,16373925,51222283,0.0313,"GSM2403230_7310440009_R04C02",0.466390920792452
