"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,8e-04,"GSM2402922_6929689152_R05C02",0.521133447876313
"2",10,105000,135462374,0.0057,"GSM2402922_6929689152_R05C02",0.521133447876313
"3",11,130000,134873258,0.0173,"GSM2402922_6929689152_R05C02",0.521133447876313
"4",12,172870,133770948,-0.0037,"GSM2402922_6929689152_R05C02",0.521133447876313
"5",13,19110000,115079939,-0.0127,"GSM2402922_6929689152_R05C02",0.521133447876313
"6",14,19325000,107119770,-0.0181,"GSM2402922_6929689152_R05C02",0.521133447876313
"7",15,20225000,102410696,-0.013,"GSM2402922_6929689152_R05C02",0.521133447876313
"8",16,105000,90222377,0.0236,"GSM2402922_6929689152_R05C02",0.521133447876313
"9",17,25000,81122605,-0.0786,"GSM2402922_6929689152_R05C02",0.521133447876313
"10",18,80000,77983624,-0.1502,"GSM2402922_6929689152_R05C02",0.521133447876313
"11",19,180000,59084492,-0.0434,"GSM2402922_6929689152_R05C02",0.521133447876313
"12",2,130000,243026238,-0.0333,"GSM2402922_6929689152_R05C02",0.521133447876313
"13",20,155000,62907760,-0.0415,"GSM2402922_6929689152_R05C02",0.521133447876313
"14",21,10848948,48084948,-0.0115,"GSM2402922_6929689152_R05C02",0.521133447876313
"15",22,16373925,51222283,-0.0213,"GSM2402922_6929689152_R05C02",0.521133447876313
"16",3,155000,197831215,-0.0055,"GSM2402922_6929689152_R05C02",0.521133447876313
"17",4,55000,190972138,-0.0649,"GSM2402922_6929689152_R05C02",0.521133447876313
"18",5,55000,180777630,-0.0091,"GSM2402922_6929689152_R05C02",0.521133447876313
"19",6,155000,170952534,-0.0201,"GSM2402922_6929689152_R05C02",0.521133447876313
"20",7,55000,159039332,0.0324,"GSM2402922_6929689152_R05C02",0.521133447876313
"21",8,105000,146277011,-0.0275,"GSM2402922_6929689152_R05C02",0.521133447876313
"22",9,130000,141076716,0.0116,"GSM2402922_6929689152_R05C02",0.521133447876313
"23",1,635684,121193348,-0.1039,"GSM2403509_8622007070_R04C01",0.640786092267278
"24",1,121392717,145225000,0.2518,"GSM2403509_8622007070_R04C01",0.640786092267278
"25",1,145375000,249195311,-0.0781,"GSM2403509_8622007070_R04C01",0.640786092267278
"26",10,105000,135462374,-0.0174,"GSM2403509_8622007070_R04C01",0.640786092267278
"27",11,130000,134873258,-0.0614,"GSM2403509_8622007070_R04C01",0.640786092267278
"28",12,172870,133770948,-0.0636,"GSM2403509_8622007070_R04C01",0.640786092267278
"29",13,19110000,115079939,-0.0871,"GSM2403509_8622007070_R04C01",0.640786092267278
