"chromosome","start","end","segmean","sample","noise"
"1",1,635684,121193348,-0.0583,"GSM2403733_9007225086_R04C01",0.680915953732461
"2",1,121392717,1.45e+08,0.2868,"GSM2403733_9007225086_R04C01",0.680915953732461
"3",1,145075000,249195311,-0.0619,"GSM2403733_9007225086_R04C01",0.680915953732461
"4",10,105000,135462374,-0.0294,"GSM2403733_9007225086_R04C01",0.680915953732461
"5",11,130000,134873258,-0.0549,"GSM2403733_9007225086_R04C01",0.680915953732461
"6",12,172870,133770948,-0.0605,"GSM2403733_9007225086_R04C01",0.680915953732461
"7",13,19110000,115079939,-0.035,"GSM2403733_9007225086_R04C01",0.680915953732461
"8",14,19325000,107119770,-0.0663,"GSM2403733_9007225086_R04C01",0.680915953732461
"9",15,20225000,102410696,-0.0405,"GSM2403733_9007225086_R04C01",0.680915953732461
"10",16,105000,31825000,-0.0088,"GSM2403733_9007225086_R04C01",0.680915953732461
"11",16,32075000,34600000,0.293,"GSM2403733_9007225086_R04C01",0.680915953732461
"12",16,35017901,90222377,-0.0075,"GSM2403733_9007225086_R04C01",0.680915953732461
"13",17,25000,81122605,-0.0758,"GSM2403733_9007225086_R04C01",0.680915953732461
"14",18,80000,77983624,-0.0742,"GSM2403733_9007225086_R04C01",0.680915953732461
"15",19,180000,59084492,-0.0567,"GSM2403733_9007225086_R04C01",0.680915953732461
"16",2,130000,89315218,-0.0655,"GSM2403733_9007225086_R04C01",0.680915953732461
"17",2,91672552,95438086,0.2582,"GSM2403733_9007225086_R04C01",0.680915953732461
"18",2,95625000,243026238,-0.066,"GSM2403733_9007225086_R04C01",0.680915953732461
"19",20,155000,62907760,-0.0807,"GSM2403733_9007225086_R04C01",0.680915953732461
"20",21,10848948,48084948,-0.0133,"GSM2403733_9007225086_R04C01",0.680915953732461
"21",22,16373925,51222283,-0.0314,"GSM2403733_9007225086_R04C01",0.680915953732461
"22",3,155000,197831215,-0.0757,"GSM2403733_9007225086_R04C01",0.680915953732461
"23",4,55000,190972138,-0.0674,"GSM2403733_9007225086_R04C01",0.680915953732461
"24",5,55000,180777630,-0.0628,"GSM2403733_9007225086_R04C01",0.680915953732461
"25",6,155000,170952534,-0.0575,"GSM2403733_9007225086_R04C01",0.680915953732461
"26",7,55000,159039332,-0.027,"GSM2403733_9007225086_R04C01",0.680915953732461
"27",8,105000,146277011,-0.0536,"GSM2403733_9007225086_R04C01",0.680915953732461
"28",9,130000,141076716,-0.0357,"GSM2403733_9007225086_R04C01",0.680915953732461
"29",1,635684,249195311,-0.0712,"GSM2403739_9007225086_R05C02",0.756369019735402
"30",10,105000,135462374,-0.0388,"GSM2403739_9007225086_R05C02",0.756369019735402
"31",11,130000,134873258,-0.0602,"GSM2403739_9007225086_R05C02",0.756369019735402
"32",12,172870,133770948,-0.0658,"GSM2403739_9007225086_R05C02",0.756369019735402
"33",13,19110000,115079939,-0.0283,"GSM2403739_9007225086_R05C02",0.756369019735402
"34",14,19325000,107119770,-0.0772,"GSM2403739_9007225086_R05C02",0.756369019735402
"35",15,20225000,102410696,-0.0562,"GSM2403739_9007225086_R05C02",0.756369019735402
"36",16,105000,31825000,0.0023,"GSM2403739_9007225086_R05C02",0.756369019735402
"37",16,32075000,33986575,0.3172,"GSM2403739_9007225086_R05C02",0.756369019735402
"38",16,34286575,90222377,-0.0078,"GSM2403739_9007225086_R05C02",0.756369019735402
"39",17,25000,81122605,-0.0665,"GSM2403739_9007225086_R05C02",0.756369019735402
"40",18,80000,77983624,-0.0751,"GSM2403739_9007225086_R05C02",0.756369019735402
"41",19,180000,59084492,-0.0428,"GSM2403739_9007225086_R05C02",0.756369019735402
"42",2,130000,243026238,-0.0671,"GSM2403739_9007225086_R05C02",0.756369019735402
"43",20,155000,62907760,-0.0575,"GSM2403739_9007225086_R05C02",0.756369019735402
"44",21,10848948,48084948,-0.0045,"GSM2403739_9007225086_R05C02",0.756369019735402
"45",22,16373925,51222283,-0.026,"GSM2403739_9007225086_R05C02",0.756369019735402
"46",3,155000,197831215,-0.0817,"GSM2403739_9007225086_R05C02",0.756369019735402
"47",4,55000,190972138,-0.0824,"GSM2403739_9007225086_R05C02",0.756369019735402
"48",5,55000,180777630,-0.0755,"GSM2403739_9007225086_R05C02",0.756369019735402
"49",6,155000,170952534,-0.0641,"GSM2403739_9007225086_R05C02",0.756369019735402
"50",7,55000,159039332,-0.0395,"GSM2403739_9007225086_R05C02",0.756369019735402
"51",8,105000,119375000,-0.0724,"GSM2403739_9007225086_R05C02",0.756369019735402
"52",8,119775000,121650000,-0.438,"GSM2403739_9007225086_R05C02",0.756369019735402
"53",8,122050000,146277011,-0.0368,"GSM2403739_9007225086_R05C02",0.756369019735402
"54",9,130000,141076716,-0.0521,"GSM2403739_9007225086_R05C02",0.756369019735402
"55",1,635684,249195311,-0.0577,"GSM2403989_9305651089_R01C02",0.629719372503814
"56",10,105000,135462374,-0.0171,"GSM2403989_9305651089_R01C02",0.629719372503814
"57",11,130000,134873258,-0.0311,"GSM2403989_9305651089_R01C02",0.629719372503814
"58",12,172870,133770948,-0.041,"GSM2403989_9305651089_R01C02",0.629719372503814
"59",13,19110000,115079939,0.0082,"GSM2403989_9305651089_R01C02",0.629719372503814
"60",14,19325000,20450000,0.4747,"GSM2403989_9305651089_R01C02",0.629719372503814
"61",14,20800000,107119770,-0.0714,"GSM2403989_9305651089_R01C02",0.629719372503814
"62",15,20225000,102410696,-0.0426,"GSM2403989_9305651089_R01C02",0.629719372503814
"63",16,105000,31825000,-0.0032,"GSM2403989_9305651089_R01C02",0.629719372503814
"64",16,32075000,33986575,0.3341,"GSM2403989_9305651089_R01C02",0.629719372503814
"65",16,34286575,90222377,0.0162,"GSM2403989_9305651089_R01C02",0.629719372503814
"66",17,25000,81122605,-0.106,"GSM2403989_9305651089_R01C02",0.629719372503814
"67",18,80000,77983624,-0.1292,"GSM2403989_9305651089_R01C02",0.629719372503814
"68",19,180000,54975000,-0.0786,"GSM2403989_9305651089_R01C02",0.629719372503814
"69",19,55025000,55525000,0.2174,"GSM2403989_9305651089_R01C02",0.629719372503814
"70",19,55575000,59084492,-0.1075,"GSM2403989_9305651089_R01C02",0.629719372503814
"71",2,130000,243026238,-0.0518,"GSM2403989_9305651089_R01C02",0.629719372503814
"72",20,155000,62907760,-0.0937,"GSM2403989_9305651089_R01C02",0.629719372503814
"73",21,10848948,48084948,-0.009,"GSM2403989_9305651089_R01C02",0.629719372503814
"74",22,16373925,51222283,-0.0761,"GSM2403989_9305651089_R01C02",0.629719372503814
"75",3,155000,197831215,-0.0411,"GSM2403989_9305651089_R01C02",0.629719372503814
"76",4,55000,190972138,-0.0731,"GSM2403989_9305651089_R01C02",0.629719372503814
"77",5,55000,180777630,-0.0413,"GSM2403989_9305651089_R01C02",0.629719372503814
"78",6,155000,170952534,-0.0422,"GSM2403989_9305651089_R01C02",0.629719372503814
"79",7,55000,159039332,0.0053,"GSM2403989_9305651089_R01C02",0.629719372503814
"80",8,105000,146277011,-0.0509,"GSM2403989_9305651089_R01C02",0.629719372503814
"81",9,130000,141076716,-0.0302,"GSM2403989_9305651089_R01C02",0.629719372503814
"82",1,635684,121193348,-0.0721,"GSM2403990_9305651089_R03C02",0.633693188591503
"83",1,121392717,145225000,0.268,"GSM2403990_9305651089_R03C02",0.633693188591503
"84",1,145375000,249195311,-0.0504,"GSM2403990_9305651089_R03C02",0.633693188591503
"85",10,105000,135462374,-0.0217,"GSM2403990_9305651089_R03C02",0.633693188591503
"86",11,130000,134873258,-0.0385,"GSM2403990_9305651089_R03C02",0.633693188591503
"87",12,172870,133770948,-0.0483,"GSM2403990_9305651089_R03C02",0.633693188591503
"88",13,19110000,115079939,-0.0084,"GSM2403990_9305651089_R03C02",0.633693188591503
"89",14,19325000,107119770,-0.0706,"GSM2403990_9305651089_R03C02",0.633693188591503
"90",15,20225000,102410696,-0.0496,"GSM2403990_9305651089_R03C02",0.633693188591503
"91",16,105000,90222377,0.0106,"GSM2403990_9305651089_R03C02",0.633693188591503
"92",17,25000,81122605,-0.0934,"GSM2403990_9305651089_R03C02",0.633693188591503
"93",18,80000,77983624,-0.1258,"GSM2403990_9305651089_R03C02",0.633693188591503
"94",19,180000,59084492,-0.0704,"GSM2403990_9305651089_R03C02",0.633693188591503
"95",2,130000,243026238,-0.056,"GSM2403990_9305651089_R03C02",0.633693188591503
"96",20,155000,62907760,-0.0897,"GSM2403990_9305651089_R03C02",0.633693188591503
"97",21,10848948,48084948,-0.0056,"GSM2403990_9305651089_R03C02",0.633693188591503
"98",22,16373925,51222283,-0.0549,"GSM2403990_9305651089_R03C02",0.633693188591503
"99",3,155000,197831215,-0.052,"GSM2403990_9305651089_R03C02",0.633693188591503
"100",4,55000,190972138,-0.0836,"GSM2403990_9305651089_R03C02",0.633693188591503
"101",5,55000,180777630,-0.0538,"GSM2403990_9305651089_R03C02",0.633693188591503
"102",6,155000,170952534,-0.0503,"GSM2403990_9305651089_R03C02",0.633693188591503
"103",7,55000,159039332,-0.0054,"GSM2403990_9305651089_R03C02",0.633693188591503
"104",8,105000,146277011,-0.056,"GSM2403990_9305651089_R03C02",0.633693188591503
"105",9,130000,141076716,-0.019,"GSM2403990_9305651089_R03C02",0.633693188591503
"106",1,635684,121193348,-0.0367,"GSM2403991_9305651089_R04C02",0.55042921179635
"107",1,121392717,145225000,0.211,"GSM2403991_9305651089_R04C02",0.55042921179635
"108",1,145375000,249195311,-0.0237,"GSM2403991_9305651089_R04C02",0.55042921179635
"109",10,105000,135462374,-0.0067,"GSM2403991_9305651089_R04C02",0.55042921179635
