"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0736,"GSM2402892_6164621144_R06C02"
"2",10,105000,135462374,0.053,"GSM2402892_6164621144_R06C02"
"3",11,130000,134873258,0.0727,"GSM2402892_6164621144_R06C02"
"4",12,172870,133770948,0.0544,"GSM2402892_6164621144_R06C02"
"5",13,19110000,115079939,0.0519,"GSM2402892_6164621144_R06C02"
"6",14,19325000,107119770,0.0403,"GSM2402892_6164621144_R06C02"
"7",15,20225000,102410696,0.0535,"GSM2402892_6164621144_R06C02"
"8",16,105000,90222377,0.069,"GSM2402892_6164621144_R06C02"
"9",17,25000,81122605,-0.0541,"GSM2402892_6164621144_R06C02"
"10",18,80000,77983624,-0.1407,"GSM2402892_6164621144_R06C02"
"11",19,180000,59084492,0.0103,"GSM2402892_6164621144_R06C02"
"12",2,130000,243026238,0.0144,"GSM2402892_6164621144_R06C02"
"13",20,155000,62907760,0.0112,"GSM2402892_6164621144_R06C02"
"14",21,10848948,48084948,0.0354,"GSM2402892_6164621144_R06C02"
"15",22,16373925,51222283,0.0282,"GSM2402892_6164621144_R06C02"
"16",3,155000,197831215,0.0537,"GSM2402892_6164621144_R06C02"
"17",4,55000,190972138,-0.0475,"GSM2402892_6164621144_R06C02"
"18",5,55000,180777630,0.0458,"GSM2402892_6164621144_R06C02"
"19",6,155000,170952534,0.0316,"GSM2402892_6164621144_R06C02"
"20",7,55000,159039332,0.0912,"GSM2402892_6164621144_R06C02"
"21",8,105000,146277011,0.022,"GSM2402892_6164621144_R06C02"
"22",9,130000,141076716,0.0631,"GSM2402892_6164621144_R06C02"
"23",1,635684,249195311,0.0444,"GSM2402895_6969568005_R05C02"
"24",10,105000,135462374,0.0251,"GSM2402895_6969568005_R05C02"
"25",11,130000,134873258,0.0458,"GSM2402895_6969568005_R05C02"
"26",12,172870,133770948,0.0302,"GSM2402895_6969568005_R05C02"
"27",13,19110000,115079939,0.0265,"GSM2402895_6969568005_R05C02"
"28",14,19325000,107119770,0.0241,"GSM2402895_6969568005_R05C02"
"29",15,20225000,102410696,0.0317,"GSM2402895_6969568005_R05C02"
"30",16,105000,90222377,0.0478,"GSM2402895_6969568005_R05C02"
