"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0059,"GSM2403209_6929806048_R02C01",0.483168413657518
"2",10,105000,135462374,-0.0079,"GSM2403209_6929806048_R02C01",0.483168413657518
"3",11,130000,134873258,-6e-04,"GSM2403209_6929806048_R02C01",0.483168413657518
"4",12,172870,133770948,-0.0098,"GSM2403209_6929806048_R02C01",0.483168413657518
"5",13,19110000,115079939,-0.0543,"GSM2403209_6929806048_R02C01",0.483168413657518
"6",14,19325000,107119770,-0.0062,"GSM2403209_6929806048_R02C01",0.483168413657518
"7",15,20225000,102410696,-8e-04,"GSM2403209_6929806048_R02C01",0.483168413657518
"8",16,105000,90222377,0.0167,"GSM2403209_6929806048_R02C01",0.483168413657518
"9",17,25000,81122605,-0.0436,"GSM2403209_6929806048_R02C01",0.483168413657518
"10",18,80000,77983624,-0.1065,"GSM2403209_6929806048_R02C01",0.483168413657518
"11",19,180000,59084492,-0.0108,"GSM2403209_6929806048_R02C01",0.483168413657518
"12",2,130000,243026238,-0.0379,"GSM2403209_6929806048_R02C01",0.483168413657518
"13",20,155000,62907760,-0.0188,"GSM2403209_6929806048_R02C01",0.483168413657518
"14",21,10848948,48084948,-0.0166,"GSM2403209_6929806048_R02C01",0.483168413657518
"15",22,16373925,51222283,0.0187,"GSM2403209_6929806048_R02C01",0.483168413657518
"16",3,155000,197831215,-0.0278,"GSM2403209_6929806048_R02C01",0.483168413657518
"17",4,55000,190972138,-0.081,"GSM2403209_6929806048_R02C01",0.483168413657518
"18",5,55000,180777630,-0.0278,"GSM2403209_6929806048_R02C01",0.483168413657518
"19",6,155000,32375000,-0.0258,"GSM2403209_6929806048_R02C01",0.483168413657518
"20",6,32425000,32650000,-0.7775,"GSM2403209_6929806048_R02C01",0.483168413657518
"21",6,32725000,170952534,-0.0419,"GSM2403209_6929806048_R02C01",0.483168413657518
"22",7,55000,159039332,-0.0041,"GSM2403209_6929806048_R02C01",0.483168413657518
"23",8,105000,146277011,-0.0374,"GSM2403209_6929806048_R02C01",0.483168413657518
"24",9,130000,141076716,0.0027,"GSM2403209_6929806048_R02C01",0.483168413657518
"25",1,635684,249195311,-0.0193,"GSM2403573_8622007083_R02C01",0.533668146308655
"26",10,105000,135462374,-0.0209,"GSM2403573_8622007083_R02C01",0.533668146308655
"27",11,130000,134873258,-0.0471,"GSM2403573_8622007083_R02C01",0.533668146308655
"28",12,172870,133770948,-0.0416,"GSM2403573_8622007083_R02C01",0.533668146308655
"29",13,19110000,115079939,-0.0773,"GSM2403573_8622007083_R02C01",0.533668146308655
"30",14,19325000,107119770,-0.0216,"GSM2403573_8622007083_R02C01",0.533668146308655
"31",15,20225000,102410696,-0.0119,"GSM2403573_8622007083_R02C01",0.533668146308655
"32",16,105000,25425000,0.0112,"GSM2403573_8622007083_R02C01",0.533668146308655
"33",16,25725000,26400000,-0.1914,"GSM2403573_8622007083_R02C01",0.533668146308655
"34",16,27125000,90222377,0.0134,"GSM2403573_8622007083_R02C01",0.533668146308655
"35",17,25000,81122605,-0.024,"GSM2403573_8622007083_R02C01",0.533668146308655
"36",18,80000,77983624,-0.0593,"GSM2403573_8622007083_R02C01",0.533668146308655
"37",19,180000,59084492,0.0107,"GSM2403573_8622007083_R02C01",0.533668146308655
"38",2,130000,243026238,-0.0581,"GSM2403573_8622007083_R02C01",0.533668146308655
"39",20,155000,62907760,-0.0302,"GSM2403573_8622007083_R02C01",0.533668146308655
"40",21,10848948,48084948,0.0101,"GSM2403573_8622007083_R02C01",0.533668146308655
"41",22,16373925,51222283,0.0526,"GSM2403573_8622007083_R02C01",0.533668146308655
"42",3,155000,197831215,-0.0751,"GSM2403573_8622007083_R02C01",0.533668146308655
"43",4,55000,190972138,-0.0901,"GSM2403573_8622007083_R02C01",0.533668146308655
"44",5,55000,180777630,-0.0607,"GSM2403573_8622007083_R02C01",0.533668146308655
"45",6,155000,170952534,-0.074,"GSM2403573_8622007083_R02C01",0.533668146308655
"46",7,55000,159039332,-0.0282,"GSM2403573_8622007083_R02C01",0.533668146308655
"47",8,105000,88875000,-0.0385,"GSM2403573_8622007083_R02C01",0.533668146308655
"48",8,89100000,94075000,-0.2995,"GSM2403573_8622007083_R02C01",0.533668146308655
"49",8,94375000,146277011,-0.058,"GSM2403573_8622007083_R02C01",0.533668146308655
"50",9,130000,141076716,-6e-04,"GSM2403573_8622007083_R02C01",0.533668146308655
"51",1,635684,249195311,-0.0932,"GSM2403575_8622007084_R02C02",0.741600475589993
"52",10,105000,135462374,-0.0439,"GSM2403575_8622007084_R02C02",0.741600475589993
"53",11,130000,134873258,-0.0768,"GSM2403575_8622007084_R02C02",0.741600475589993
"54",12,172870,133770948,-0.0839,"GSM2403575_8622007084_R02C02",0.741600475589993
"55",13,19110000,115079939,-0.0304,"GSM2403575_8622007084_R02C02",0.741600475589993
"56",14,19325000,107119770,-0.0983,"GSM2403575_8622007084_R02C02",0.741600475589993
"57",15,20225000,102410696,-0.0751,"GSM2403575_8622007084_R02C02",0.741600475589993
"58",16,105000,90222377,0.0035,"GSM2403575_8622007084_R02C02",0.741600475589993
"59",17,25000,81122605,-0.0858,"GSM2403575_8622007084_R02C02",0.741600475589993
"60",18,80000,77983624,-0.1034,"GSM2403575_8622007084_R02C02",0.741600475589993
"61",19,180000,59084492,-0.0646,"GSM2403575_8622007084_R02C02",0.741600475589993
"62",2,130000,89315218,-0.0821,"GSM2403575_8622007084_R02C02",0.741600475589993
"63",2,91672552,95438086,0.3109,"GSM2403575_8622007084_R02C02",0.741600475589993
"64",2,95625000,243026238,-0.0865,"GSM2403575_8622007084_R02C02",0.741600475589993
"65",20,155000,62907760,-0.0927,"GSM2403575_8622007084_R02C02",0.741600475589993
"66",21,10848948,48084948,-0.0015,"GSM2403575_8622007084_R02C02",0.741600475589993
"67",22,16373925,51222283,-0.0506,"GSM2403575_8622007084_R02C02",0.741600475589993
"68",3,155000,197831215,-0.0974,"GSM2403575_8622007084_R02C02",0.741600475589993
"69",4,55000,190972138,-0.1029,"GSM2403575_8622007084_R02C02",0.741600475589993
"70",5,55000,180777630,-0.0946,"GSM2403575_8622007084_R02C02",0.741600475589993
"71",6,155000,32375000,-0.0757,"GSM2403575_8622007084_R02C02",0.741600475589993
"72",6,32425000,32650000,-0.6484,"GSM2403575_8622007084_R02C02",0.741600475589993
"73",6,32725000,170952534,-0.0851,"GSM2403575_8622007084_R02C02",0.741600475589993
"74",7,55000,159039332,-0.0415,"GSM2403575_8622007084_R02C02",0.741600475589993
"75",8,105000,8100000,0.1927,"GSM2403575_8622007084_R02C02",0.741600475589993
"76",8,8175000,146277011,-0.1078,"GSM2403575_8622007084_R02C02",0.741600475589993
"77",9,130000,141076716,-0.0506,"GSM2403575_8622007084_R02C02",0.741600475589993
"78",1,635684,249195311,-0.0262,"GSM2403576_8622007083_R04C01",0.539211184739284
