"chrom","start.pos","end.pos","n.probes","GSM2402868_5911815023_R01C01","GSM2402869_5911815023_R02C01","GSM2402872_5911815023_R04C01","GSM2402873_5911815023_R05C01","GSM2402874_5911815023_R06C01","GSM2403233_7310440006_R03C01","GSM2403234_7310440006_R02C01","GSM2405603_3999095103_R02C02"
"1",1,521369,249150001,1593,-0.009,0.006,0.012,0.017,0.007,0.009,0.009,-0.095
"2",2,10001,242950001,1282,-0.092,-0.054,-0.035,-0.036,-0.064,-0.054,-0.041,-0.1
"3",3,60001,197700001,978,-0.116,-0.051,-0.018,-0.024,-0.027,-0.059,-0.044,-0.128
"4",4,10001,190900001,742,-0.162,-0.1,-0.074,-0.083,-0.105,-0.107,-0.083,-0.136
"5",5,10001,180650001,849,-0.095,-0.046,-0.014,-0.018,-0.032,-0.052,-0.036,-0.121
"6",6,60001,170850001,988,-0.092,-0.057,-0.04,-0.038,-0.071,-0.063,-0.045,-0.098
"7",7,10001,158950001,952,-0.063,-0.019,0.011,0.008,-0.022,-0.033,-0.015,-0.051
"8",8,10001,146250001,726,-0.1,-0.056,-0.038,-0.037,-0.08,-0.059,-0.043,-0.081
"9",9,10001,141000001,383,-0.002,-0.003,0.006,0.01,0.012,0.001,-0.005,-0.091
"10",10,60001,135400001,840,-0.022,-0.013,-0.003,-0.002,-0.016,-0.014,-0.015,-0.059
"11",11,60001,134800001,914,-0.054,-0.013,0.01,0.007,0.01,-0.027,-0.013,-0.108
"12",12,145740,133700001,848,-0.047,-0.02,-0.006,-0.006,-0.017,-0.027,-0.015,-0.101
"13",13,19020001,115050001,431,-0.126,-0.079,-0.036,-0.043,-0.088,-0.089,-0.068,-0.056
"14",14,19000001,106950001,528,-0.025,-0.011,-0.009,-0.002,-0.023,-0.006,-0.007,-0.121
"15",15,20000001,102300001,571,-0.002,-0.008,-0.001,0.002,-0.016,0,-0.003,-0.08
"16",16,60001,90150001,624,0.036,0.03,0.024,0.027,0.029,0.018,0.019,-0.004
"17",17,1,81050001,814,-0.01,-0.03,-0.053,-0.053,-0.054,-0.026,-0.033,-0.089
"18",18,10001,77950001,243,-0.09,-0.102,-0.118,-0.116,-0.137,-0.082,-0.076,-0.108
"19",19,60001,59050001,711,0.039,0.011,-0.025,-0.024,-0.026,0.002,0.007,-0.066
"20",20,60001,62850001,359,-0.007,-0.015,-0.029,-0.03,-0.032,-0.018,-0.021,-0.096
"21",21,10697897,48050001,157,-0.012,-0.018,-0.006,-0.012,-0.019,-0.025,-0.009,-0.013
"22",22,16050001,24250001,70,0.068,0.037,0,0.02,0.007,0.031,0.031,-0.02
"23",22,24350001,24350001,1,-5.078,-0.165,-0.343,-4.355,-5.363,-3.382,-4.027,-0.11
"24",22,24400001,51200001,229,0.059,0.037,0.012,0.02,0.009,0.043,0.022,-0.062
