"chrom","start.pos","end.pos","n.probes","GSM2403323_7990895142_R06C01","GSM2403605_8622007149_R02C01","GSM2403694_9007217139_R02C01","GSM2403780_9296930011_R02C01","GSM2403798_9296930052_R06C01","GSM2404020_9340996003_R05C02","GSM2404024_9340996012_R04C02","GSM2404387_9426020061_R02C01","GSM2404512_9444375028_R06C02","GSM2404590_9611519054_R04C01","GSM2404627_9741950008_R06C01","GSM2404823_9533774024_R04C02","GSM2404895_9968646155_R02C01","GSM2405121_9855358031_R06C01","GSM2405487_3999308159_R04C01","GSM2405488_3999308159_R05C01","GSM2405504_3999543047_R06C02","GSM2405537_10005771148_R01C02","GSM2405633_3998568129_R04C02","GSM2405634_3998568129_R05C02","GSM2405635_3998568129_R06C02","GSM2941011_3998567085_R01C02","GSM2941103_3998909182_R03C01","GSM2941364_9379082092_R01C02","GSM2941369_9379086132_R04C01","GSM2941638_9878820123_R03C02"
"1",1,521369,121086696,900,0.006,0.124,0.012,0.002,-0.001,-0.02,0.011,0.12,-0.295,-0.002,0.001,0.04,0.086,0.034,0.065,0.054,0.055,0.047,0.012,0.003,0.037,0.081,-0.03,0.022,-0.161,-0.005
"2",1,121300001,249150001,693,0.033,0.039,0.064,-0.029,0.042,0.055,0.041,0.04,0.064,-0.067,0.506,0.232,0.014,0.109,0.055,0.037,0.057,0.047,0.078,-0.001,0.033,0.075,0.123,0.047,0.083,0.047
"3",2,10001,242950001,1282,0.024,-0.013,0.008,-0.104,0.032,-0.147,0.028,0.009,-0.114,-0.054,0.035,0.023,-0.034,0.095,0.022,-0.002,0.017,0.013,0.01,0,-0.005,-0.088,0.082,0.026,0.039,0.02
"4",3,60001,197700001,978,0.065,-0.023,0.02,0.163,0.045,0.052,0.039,-0.03,-0.002,0.029,0.024,0.027,-0.064,-0.057,-0.154,-0.004,0.025,0.015,0.023,-0.016,-0.004,0.042,0.088,0.043,-0.131,0.047
"5",4,10001,190900001,742,-0.006,-0.042,-0.033,-0.186,-0.032,-0.042,-0.014,0.056,-0.117,-0.031,0.036,-0.025,-0.01,-0.152,-0.026,-0.058,-0.033,-0.055,-0.048,-0.027,-0.054,-0.146,-0.109,-0.041,-0.185,-0.017
"6",5,10001,180650001,849,0.027,0.003,0.031,-0.076,0.039,0.178,0.036,0.025,0.038,-0.076,0.027,0.035,-0.019,-0.063,0.037,0.009,0.034,0.014,0.016,-0.015,0.009,0.054,0.096,0.035,0.005,0.006
"7",6,60001,58300001,495,0.034,-0.007,0.008,0.145,0.047,0.06,0.054,-0.013,0.04,-0.074,0.018,0.045,-0.059,0.103,0.044,0.011,0.045,0.026,0.039,0.004,0.011,0.071,-0.046,0.047,0.052,0.023
"8",6,62178590,170850001,493,0.043,-0.106,-0.031,0.079,0.048,-0.116,-0.321,-0.439,0.025,-0.066,0.056,-0.251,-0.107,0.13,-0.381,-0.018,0.011,0,0.016,-0.033,-0.025,0.042,-0.075,0.042,0.009,0.034
"9",7,10001,158950001,952,0.053,-0.047,0.032,-0.058,0.132,0.141,0.085,-0.053,0.046,-0.062,0.049,0.072,-0.077,0.189,0.065,0.037,0.06,0.034,0.061,0.019,0.028,0.092,0.101,0.083,0.076,0.079
"10",8,10001,146250001,726,0.003,-0.005,0.021,0.125,0.013,0.171,0.029,0.028,0.052,0.123,0.038,0.036,0.006,-0.067,0.03,0.015,0.032,-0.001,0.002,0.004,0.001,-0.066,0.072,0.026,-0.02,0.025
"11",9,10001,141000001,383,0.021,0.056,-0.228,-0.004,0.035,0.028,-0.063,0.048,0.044,0.054,-0.006,0.024,0.033,0.073,0.055,0.038,0.026,0.033,0.044,0.041,0.047,0.06,-0.152,0.026,0.073,0.035
"12",10,60001,135400001,840,0.021,-0.199,0.056,-0.03,0.012,0.051,0.053,0.055,-0.074,-0.149,0.075,0.054,0.012,0.133,0.066,0.044,0.056,0.031,0.047,0.047,0.041,-0.058,-0.284,0.044,0.103,0.049
"13",11,60001,134800001,914,0.014,0.017,0.03,-0.017,0.032,0.048,0.044,-0.188,-0.139,-0.111,0.003,0.034,-0.043,0.078,-0.041,0.015,0.035,0.014,0.024,-0.004,0.02,0.053,-0.096,0.046,-0.279,0.042
"14",12,145740,133700001,848,0.269,0.031,0.035,0.178,0.049,0.035,0.041,0.03,0.055,0.11,0.039,0.042,-0.005,0.116,0.052,0.027,0.041,0.032,0.03,0.001,0.021,0.065,0.116,0.037,0.08,0.04
"15",13,19020001,115050001,431,0.026,-0.187,-0.053,0.066,0.121,0.104,0.103,-0.169,-0.019,-0.291,0.09,0.053,-0.19,0.201,0.03,-0.015,0.029,0.011,0.064,-0.001,-0.015,0.065,-0.081,0.089,-0.189,0.072
"16",14,19000001,106950001,528,0.005,0.096,-0.299,-0.031,0.013,-0.158,0.021,0.111,0.08,0.057,0.02,0.012,0.061,0.059,0.046,0.039,0.043,0.021,0.017,-0.012,0.029,-0.06,-0.282,0.025,-0.201,0.027
"17",15,20000001,102300001,571,0.027,0.125,0.206,0.197,-0.025,0.16,0.026,0.128,0.032,-0.024,0.038,0.045,0.08,0.071,0.063,0.047,0.058,0.028,0.028,0.015,0.039,0.083,0.002,0.03,0.074,0.036
"18",16,60001,90150001,624,-0.113,-0.018,0.042,-0.172,-0.218,0.023,-0.079,0.022,0.067,-0.073,0.082,-0.013,0.003,-0.063,0.071,0.047,-0.162,0.037,0.038,0.097,-0.069,-0.046,0.004,0.041,0.108,0.048
"19",17,1,81050001,814,-0.061,0.109,-0.018,0.008,-0.054,0.026,-0.052,0.132,0.068,0.072,0.021,-0.058,0.086,-0.035,0.004,-0.02,-0.034,-0.016,-0.036,0.046,-0.005,0.02,0.096,-0.074,0.07,-0.058
"20",18,10001,77950001,243,-0.045,0.066,-0.119,0.035,-0.088,-0.114,-0.076,0.188,0.062,0.046,0.05,-0.06,0.118,-0.084,-0.03,-0.06,-0.058,-0.065,-0.088,-0.003,-0.059,-0.17,0.021,-0.11,0.022,-0.082
"21",19,60001,59050001,711,-0.038,0.066,-0.005,-0.013,-0.013,0.013,-0.016,0.064,0.059,0.105,0.051,-0.006,0.031,0.018,0.042,0.014,-0.009,0.008,-0.011,0.036,0.011,0.027,0.102,-0.039,0.088,-0.002
"22",20,60001,62850001,359,-0.015,-0.005,-0.075,-0.05,-0.008,-0.014,-0.004,-0.007,-0.011,0.048,0.027,-0.004,-0.02,-0.106,0.031,-0.005,0.002,0.014,-0.02,-0.001,-0.008,0.023,-0.099,-0.005,0.014,0
"23",21,10697897,48050001,157,0.043,0.034,0.032,-0.049,0.069,0.12,0.039,0.044,0.1,0.129,0.077,0.029,0.024,0.107,0.027,0.019,0.026,0.017,0.043,0.073,0.043,0.06,0.134,0.018,0.087,0.082
"24",22,16050001,51200001,300,-0.272,0.16,0.042,0,-0.039,0.04,-0.106,-0.042,0.062,0.152,0.036,-0.227,-0.07,-0.051,-0.046,0.056,0.008,0.031,-0.03,0.04,0.044,0.051,-0.01,0.005,-0.129,0.017
