"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,4e-04,"GSM2403659_8963311099_R04C02"
"2",10,105000,135462374,-7e-04,"GSM2403659_8963311099_R04C02"
"3",11,130000,134873258,0.0127,"GSM2403659_8963311099_R04C02"
"4",12,172870,133770948,0.119,"GSM2403659_8963311099_R04C02"
"5",13,19110000,115079939,0.0289,"GSM2403659_8963311099_R04C02"
"6",14,19325000,107119770,0.0281,"GSM2403659_8963311099_R04C02"
"7",15,20225000,102410696,0.0428,"GSM2403659_8963311099_R04C02"
"8",16,105000,90222377,0.0556,"GSM2403659_8963311099_R04C02"
"9",17,25000,81122605,-0.0488,"GSM2403659_8963311099_R04C02"
"10",18,80000,77983624,-0.0782,"GSM2403659_8963311099_R04C02"
"11",19,180000,59084492,-0.0625,"GSM2403659_8963311099_R04C02"
"12",2,130000,243026238,0.0161,"GSM2403659_8963311099_R04C02"
"13",20,155000,62907760,-0.0448,"GSM2403659_8963311099_R04C02"
"14",21,10848948,48084948,-0.0414,"GSM2403659_8963311099_R04C02"
"15",22,16373925,51222283,-0.0106,"GSM2403659_8963311099_R04C02"
"16",3,155000,197831215,0.0321,"GSM2403659_8963311099_R04C02"
"17",4,55000,190972138,-0.0378,"GSM2403659_8963311099_R04C02"
"18",5,55000,180777630,0.0559,"GSM2403659_8963311099_R04C02"
"19",6,155000,170952534,0.0053,"GSM2403659_8963311099_R04C02"
"20",7,55000,159039332,0.1131,"GSM2403659_8963311099_R04C02"
"21",8,105000,146277011,0.0429,"GSM2403659_8963311099_R04C02"
"22",9,130000,141076716,0.0438,"GSM2403659_8963311099_R04C02"
"23",1,635684,249195311,0.0062,"GSM2404529_9553932010_R01C01"
"24",10,105000,135462374,0.1038,"GSM2404529_9553932010_R01C01"
"25",11,130000,134873258,-0.043,"GSM2404529_9553932010_R01C01"
"26",12,172870,133770948,0.15,"GSM2404529_9553932010_R01C01"
"27",13,19110000,115079939,0.1969,"GSM2404529_9553932010_R01C01"
"28",14,19325000,107119770,-0.0091,"GSM2404529_9553932010_R01C01"
"29",15,20225000,102410696,0.0352,"GSM2404529_9553932010_R01C01"
"30",16,105000,90222377,0.1148,"GSM2404529_9553932010_R01C01"
"31",17,25000,81122605,0.0576,"GSM2404529_9553932010_R01C01"
