"chrom","start.pos","end.pos","n.probes","GSM2403681_8959312010_R02C02","GSM2404568_9611518113_R01C01","GSM2404572_9611518110_R03C01","GSM2404575_9611518110_R06C01","GSM2404576_9611518099_R03C01","GSM2404578_9611518099_R02C02","GSM2404581_9611518109_R04C01","GSM2404594_9611518117_R05C02","GSM2404595_9611518117_R02C02","GSM2404596_9611518115_R06C02","GSM2404599_9611518117_R03C01","GSM2404601_9611518166_R03C01","GSM2404630_9721365095_R01C02","GSM2404638_9721365105_R04C01","GSM2404639_9721365104_R03C02","GSM2404643_9721365104_R04C01","GSM2404644_9721365105_R02C02","GSM2404646_9721365104_R06C02","GSM2405137_9855358066_R01C02","GSM2405139_9855358068_R06C01","GSM2405178_9878820106_R05C02","GSM2405191_9878820119_R02C01","GSM2405192_9878820119_R03C01","GSM2405223_9980102032_R05C01"
"1",1,521369,249150001,1593,-0.004,-0.007,-0.014,-0.013,-0.016,-0.002,-0.013,-0.015,-0.013,0.026,-0.007,-0.007,0.027,0.001,-0.008,0.001,-0.016,-0.02,-0.002,-0.003,0.007,0.032,0.05,0.017
"2",2,10001,242950001,1282,-0.062,-0.025,-0.076,-0.048,-0.055,-0.037,-0.064,-0.065,-0.066,-0.115,-0.047,-0.064,-0.071,-0.036,-0.052,-0.047,-0.059,-0.075,-0.036,-0.044,-0.037,-0.002,-0.017,-0.028
"3",3,60001,197700001,978,-0.064,-0.051,-0.116,-0.075,-0.083,-0.085,-0.092,-0.097,-0.083,-0.151,-0.061,-0.08,-0.091,-0.064,-0.074,-0.065,-0.09,-0.101,-0.05,-0.051,-0.035,0.014,-0.01,-0.108
"4",4,10001,190900001,742,-0.114,-0.069,-0.14,-0.092,-0.091,-0.092,-0.138,-0.121,-0.126,-0.201,-0.094,-0.134,-0.123,-0.096,-0.095,-0.088,-0.106,-0.13,-0.106,-0.097,-0.084,-0.008,-0.068,-0.09
"5",5,10001,180650001,849,-0.054,-0.031,-0.097,-0.059,-0.066,-0.046,-0.088,-0.074,-0.07,-0.121,-0.046,-0.074,-0.073,-0.048,-0.059,-0.064,-0.071,-0.077,-0.035,-0.04,-0.03,-0.019,-0.003,-0.031
"6",6,60001,170850001,988,-0.086,-0.035,-0.089,-0.057,-0.07,-0.086,-0.09,-0.104,-0.083,-0.168,-0.059,-0.076,-0.086,-0.056,-0.063,-0.066,-0.081,-0.102,-0.125,-0.062,-0.046,-0.004,-0.112,-0.11
"7",7,10001,158950001,952,-0.009,0.021,-0.075,-0.003,-0.03,0.017,-0.044,-0.05,0.059,-0.055,-0.007,-0.017,0.001,-0.015,0.007,-0.012,0.007,-0.03,0.059,0.031,0.043,0.008,0.071,0.056
"8",8,10001,146250001,726,-0.062,-0.024,-0.11,-0.054,-0.061,-0.052,-0.063,-0.073,-0.067,-0.124,-0.045,-0.102,-0.067,-0.037,-0.05,-0.044,-0.059,-0.077,-0.055,-0.046,-0.066,0.01,-0.048,-0.03
"9",9,10001,141000001,383,0.004,0.026,-0.018,-0.021,-0.019,-0.002,-0.018,-0.02,-0.02,-0.033,-0.019,-0.024,-0.031,-0.003,-0.032,-0.013,-0.015,-0.031,0.001,-0.004,0.001,0.028,0.001,0.027
"10",10,60001,135400001,840,-0.075,-0.079,-0.099,-0.097,-0.081,-0.08,-0.065,-0.069,-0.119,-0.18,-0.078,-0.093,-0.088,-0.047,-0.08,-0.092,-0.125,-0.119,-0.073,-0.112,-0.038,-0.07,-0.074,-0.056
