"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0023,"GSM2402886_6969568005_R03C01",0.458643188888035
"2",10,105000,135462374,-0.0108,"GSM2402886_6969568005_R03C01",0.458643188888035
"3",11,130000,134873258,-0.0033,"GSM2402886_6969568005_R03C01",0.458643188888035
"4",12,172870,133770948,-0.0139,"GSM2402886_6969568005_R03C01",0.458643188888035
"5",13,19110000,115079939,-0.027,"GSM2402886_6969568005_R03C01",0.458643188888035
"6",14,19325000,107119770,-0.0145,"GSM2402886_6969568005_R03C01",0.458643188888035
"7",15,20225000,102410696,-0.0023,"GSM2402886_6969568005_R03C01",0.458643188888035
"8",16,105000,90222377,0.0112,"GSM2402886_6969568005_R03C01",0.458643188888035
"9",17,25000,81122605,-0.0574,"GSM2402886_6969568005_R03C01",0.458643188888035
"10",18,80000,77983624,-0.1182,"GSM2402886_6969568005_R03C01",0.458643188888035
"11",19,180000,59084492,-0.0221,"GSM2402886_6969568005_R03C01",0.458643188888035
"12",2,130000,243026238,-0.0385,"GSM2402886_6969568005_R03C01",0.458643188888035
"13",20,155000,62907760,-0.0339,"GSM2402886_6969568005_R03C01",0.458643188888035
"14",21,10848948,48084948,-0.0192,"GSM2402886_6969568005_R03C01",0.458643188888035
"15",22,16373925,51222283,0.0022,"GSM2402886_6969568005_R03C01",0.458643188888035
"16",3,155000,197831215,-0.028,"GSM2402886_6969568005_R03C01",0.458643188888035
"17",4,55000,190972138,-0.0776,"GSM2402886_6969568005_R03C01",0.458643188888035
"18",5,55000,180777630,0.0044,"GSM2402886_6969568005_R03C01",0.458643188888035
"19",6,155000,170952534,-0.012,"GSM2402886_6969568005_R03C01",0.458643188888035
"20",7,55000,159039332,0.0332,"GSM2402886_6969568005_R03C01",0.458643188888035
"21",8,105000,146277011,-0.0286,"GSM2402886_6969568005_R03C01",0.458643188888035
"22",9,130000,141076716,0.0028,"GSM2402886_6969568005_R03C01",0.458643188888035
"23",1,635684,28575000,-0.0997,"GSM2402928_6929689152_R02C01",0.533253402427943
"24",1,28700000,29225000,-0.5563,"GSM2402928_6929689152_R02C01",0.533253402427943
"25",1,29350000,249195311,-0.0145,"GSM2402928_6929689152_R02C01",0.533253402427943
"26",10,105000,11525000,0.1789,"GSM2402928_6929689152_R02C01",0.533253402427943
"27",10,11650000,13425000,-0.2327,"GSM2402928_6929689152_R02C01",0.533253402427943
"28",10,13525000,69075000,0.0802,"GSM2402928_6929689152_R02C01",0.533253402427943
"29",10,69550000,70925000,-0.3513,"GSM2402928_6929689152_R02C01",0.533253402427943
"30",10,7.1e+07,135462374,0.0826,"GSM2402928_6929689152_R02C01",0.533253402427943
"31",11,130000,9050000,0.0461,"GSM2402928_6929689152_R02C01",0.533253402427943
"32",11,9125000,9675000,-0.4169,"GSM2402928_6929689152_R02C01",0.533253402427943
"33",11,9800000,32425000,0.0832,"GSM2402928_6929689152_R02C01",0.533253402427943
"34",11,32475000,33250000,-0.3318,"GSM2402928_6929689152_R02C01",0.533253402427943
"35",11,33350000,134873258,0.0276,"GSM2402928_6929689152_R02C01",0.533253402427943
"36",12,172870,7550000,0.0461,"GSM2402928_6929689152_R02C01",0.533253402427943
"37",12,7800000,8175000,-0.4364,"GSM2402928_6929689152_R02C01",0.533253402427943
"38",12,8225000,133770948,-0.0541,"GSM2402928_6929689152_R02C01",0.533253402427943
"39",13,19110000,50675000,-0.0643,"GSM2402928_6929689152_R02C01",0.533253402427943
"40",13,50725000,52475000,0.2168,"GSM2402928_6929689152_R02C01",0.533253402427943
"41",13,52625000,53425000,-0.1658,"GSM2402928_6929689152_R02C01",0.533253402427943
"42",13,53625000,115079939,0.1273,"GSM2402928_6929689152_R02C01",0.533253402427943
"43",14,19325000,73375000,-0.0411,"GSM2402928_6929689152_R02C01",0.533253402427943
"44",14,73450000,74800000,-0.3648,"GSM2402928_6929689152_R02C01",0.533253402427943
"45",14,74900000,107119770,-0.0225,"GSM2402928_6929689152_R02C01",0.533253402427943
"46",15,20225000,102410696,0.0452,"GSM2402928_6929689152_R02C01",0.533253402427943
"47",16,105000,90222377,-0.0686,"GSM2402928_6929689152_R02C01",0.533253402427943
"48",17,25000,30825000,-0.2071,"GSM2402928_6929689152_R02C01",0.533253402427943
"49",17,31050000,32775000,0.1053,"GSM2402928_6929689152_R02C01",0.533253402427943
"50",17,32925000,81122605,-0.1912,"GSM2402928_6929689152_R02C01",0.533253402427943
