"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0356,"GSM2403776_9296930017_R05C02"
"2",10,105000,135462374,0.0411,"GSM2403776_9296930017_R05C02"
"3",11,130000,134873258,0.039,"GSM2403776_9296930017_R05C02"
"4",12,172870,133770948,0.0403,"GSM2403776_9296930017_R05C02"
"5",13,19110000,115079939,0.0765,"GSM2403776_9296930017_R05C02"
"6",14,19325000,107119770,0.014,"GSM2403776_9296930017_R05C02"
"7",15,20225000,102410696,0.0369,"GSM2403776_9296930017_R05C02"
"8",16,105000,90222377,0.0425,"GSM2403776_9296930017_R05C02"
"9",17,25000,81122605,-0.0618,"GSM2403776_9296930017_R05C02"
"10",18,80000,77983624,-0.1149,"GSM2403776_9296930017_R05C02"
"11",19,180000,59084492,-0.0176,"GSM2403776_9296930017_R05C02"
"12",2,130000,243026238,0.0126,"GSM2403776_9296930017_R05C02"
"13",20,155000,62907760,-0.0177,"GSM2403776_9296930017_R05C02"
"14",21,10848948,48084948,0.0018,"GSM2403776_9296930017_R05C02"
"15",22,16373925,51222283,-0.0068,"GSM2403776_9296930017_R05C02"
"16",3,155000,197831215,0.0483,"GSM2403776_9296930017_R05C02"
"17",4,55000,190972138,-0.0511,"GSM2403776_9296930017_R05C02"
"18",5,55000,180777630,0.0265,"GSM2403776_9296930017_R05C02"
"19",6,155000,170952534,0.0369,"GSM2403776_9296930017_R05C02"
"20",7,55000,159039332,0.07,"GSM2403776_9296930017_R05C02"
"21",8,105000,146277011,0.0111,"GSM2403776_9296930017_R05C02"
"22",9,130000,141076716,0.0352,"GSM2403776_9296930017_R05C02"
"23",1,635684,249195311,0.037,"GSM2404145_9406922161_R06C01"
"24",10,105000,135462374,0.0535,"GSM2404145_9406922161_R06C01"
"25",11,130000,134873258,0.0308,"GSM2404145_9406922161_R06C01"
"26",12,172870,133770948,0.0358,"GSM2404145_9406922161_R06C01"
"27",13,19110000,115079939,0.0263,"GSM2404145_9406922161_R06C01"
"28",14,19325000,107119770,0.0266,"GSM2404145_9406922161_R06C01"
"29",15,20225000,102410696,0.0407,"GSM2404145_9406922161_R06C01"
"30",16,105000,90222377,0.0647,"GSM2404145_9406922161_R06C01"
"31",17,25000,81122605,-0.0574,"GSM2404145_9406922161_R06C01"
"32",18,80000,77983624,-0.0974,"GSM2404145_9406922161_R06C01"
"33",19,180000,59084492,-0.0135,"GSM2404145_9406922161_R06C01"
"34",2,130000,243026238,-0.003,"GSM2404145_9406922161_R06C01"
"35",20,155000,62907760,-0.0462,"GSM2404145_9406922161_R06C01"
"36",21,10848948,48084948,0.0428,"GSM2404145_9406922161_R06C01"
"37",22,16373925,51222283,0.0235,"GSM2404145_9406922161_R06C01"
"38",3,155000,197831215,0.0275,"GSM2404145_9406922161_R06C01"
