"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0759,"GSM2404195_9376538153_R06C02"
"2",10,105000,135462374,0.0046,"GSM2404195_9376538153_R06C02"
"3",11,130000,134873258,-0.0525,"GSM2404195_9376538153_R06C02"
"4",12,172870,133770948,-0.013,"GSM2404195_9376538153_R06C02"
"5",13,19110000,115079939,-0.0216,"GSM2404195_9376538153_R06C02"
"6",14,19325000,107119770,0.0232,"GSM2404195_9376538153_R06C02"
"7",15,20225000,102410696,0.0268,"GSM2404195_9376538153_R06C02"
"8",16,105000,46517901,0.0261,"GSM2404195_9376538153_R06C02"
"9",16,46675000,90222377,-0.2671,"GSM2404195_9376538153_R06C02"
"10",17,25000,81122605,0.0081,"GSM2404195_9376538153_R06C02"
"11",18,80000,77983624,0.0055,"GSM2404195_9376538153_R06C02"
"12",19,180000,59084492,0.042,"GSM2404195_9376538153_R06C02"
"13",2,130000,243026238,-0.0164,"GSM2404195_9376538153_R06C02"
"14",20,155000,62907760,-0.0431,"GSM2404195_9376538153_R06C02"
"15",21,10848948,48084948,0.0364,"GSM2404195_9376538153_R06C02"
"16",22,16373925,51222283,-0.0525,"GSM2404195_9376538153_R06C02"
"17",3,155000,197831215,-0.0671,"GSM2404195_9376538153_R06C02"
"18",4,55000,190972138,-0.0282,"GSM2404195_9376538153_R06C02"
"19",5,55000,180777630,-0.0416,"GSM2404195_9376538153_R06C02"
"20",6,155000,170952534,-0.0313,"GSM2404195_9376538153_R06C02"
"21",7,55000,159039332,-0.0151,"GSM2404195_9376538153_R06C02"
"22",8,105000,146277011,-0.0206,"GSM2404195_9376538153_R06C02"
"23",9,130000,141076716,0.0065,"GSM2404195_9376538153_R06C02"
"24",1,635684,249195311,0.0513,"GSM2404198_9376561024_R01C01"
"25",10,105000,135462374,0.0357,"GSM2404198_9376561024_R01C01"
"26",11,130000,134873258,-0.0551,"GSM2404198_9376561024_R01C01"
"27",12,172870,133770948,-0.0283,"GSM2404198_9376561024_R01C01"
"28",13,19110000,115079939,-0.0917,"GSM2404198_9376561024_R01C01"
"29",14,19325000,107119770,0.0527,"GSM2404198_9376561024_R01C01"
"30",15,20225000,102410696,0.0579,"GSM2404198_9376561024_R01C01"
"31",16,105000,46517901,0.174,"GSM2404198_9376561024_R01C01"
"32",16,46675000,58775000,-0.3427,"GSM2404198_9376561024_R01C01"
"33",16,59975000,66050000,-0.7893,"GSM2404198_9376561024_R01C01"
"34",16,66275000,90222377,-0.2618,"GSM2404198_9376561024_R01C01"
"35",17,25000,81122605,0.0335,"GSM2404198_9376561024_R01C01"
"36",18,80000,77983624,0.0495,"GSM2404198_9376561024_R01C01"
"37",19,180000,59084492,0.0278,"GSM2404198_9376561024_R01C01"
"38",2,130000,243026238,-0.0483,"GSM2404198_9376561024_R01C01"
"39",20,155000,62907760,0.1033,"GSM2404198_9376561024_R01C01"
"40",21,10848948,48084948,0.0365,"GSM2404198_9376561024_R01C01"
"41",22,16373925,51222283,0.0762,"GSM2404198_9376561024_R01C01"
"42",3,155000,187925000,-0.1047,"GSM2404198_9376561024_R01C01"
"43",3,1.88e+08,191925000,-0.4199,"GSM2404198_9376561024_R01C01"
"44",3,192300000,197831215,0.0423,"GSM2404198_9376561024_R01C01"
"45",4,55000,190972138,-0.0339,"GSM2404198_9376561024_R01C01"
"46",5,55000,180777630,-0.0304,"GSM2404198_9376561024_R01C01"
"47",6,155000,170952534,-0.0488,"GSM2404198_9376561024_R01C01"
"48",7,55000,77800000,-0.0349,"GSM2404198_9376561024_R01C01"
"49",7,78500000,84175000,-0.5801,"GSM2404198_9376561024_R01C01"
"50",7,84700000,159039332,-0.036,"GSM2404198_9376561024_R01C01"
"51",8,105000,146277011,0.1734,"GSM2404198_9376561024_R01C01"
"52",9,130000,141076716,-0.0036,"GSM2404198_9376561024_R01C01"
"53",1,635684,249195311,0.1079,"GSM2404430_9426021086_R01C02"
"54",10,105000,135462374,0.0085,"GSM2404430_9426021086_R01C02"
"55",11,130000,134873258,-0.0035,"GSM2404430_9426021086_R01C02"
