"chrom","start.pos","end.pos","n.probes","GSM2402999_6929718020_R03C02","GSM2403001_6929718057_R03C02","GSM2403002_6929718057_R04C02","GSM2403028_6929718049_R01C01","GSM2403048_6229009095_R02C02","GSM2403062_6229017057_R05C02","GSM2403065_6229017023_R02C01","GSM2403066_6229017057_R04C01","GSM2403071_6247004023_R01C01","GSM2403074_6247004023_R02C01","GSM2403075_6247004023_R03C01","GSM2403324_7990895159_R06C02","GSM2403424_8622007027_R03C01","GSM2403467_8622007028_R03C01","GSM2403498_8622007061_R06C01","GSM2403517_8622007066_R02C01","GSM2403520_8622007065_R06C01","GSM2403521_8622007066_R06C02","GSM2403522_8622007065_R01C01","GSM2403528_8622007068_R01C02","GSM2403620_8622007130_R03C01","GSM2403661_9003865058_R01C02","GSM2403662_9003865058_R04C02","GSM2403663_9003865058_R04C01","GSM2403664_9003865058_R03C01","GSM2403665_9003865058_R06C01","GSM2403666_9003865058_R03C02","GSM2403667_9003865058_R05C02","GSM2403695_9007217108_R05C02","GSM2403699_9007217016_R02C02","GSM2403718_9007225017_R03C01","GSM2403941_9305651053_R02C02","GSM2403942_9305651053_R05C02","GSM2404069_9373551108_R02C02","GSM2404070_9373551108_R03C02","GSM2404071_9373551108_R04C02","GSM2404112_9379082039_R02C02","GSM2404115_9379086117_R03C02","GSM2404739_9741950101_R06C02","GSM2404740_9741950107_R01C01","GSM2405071_9969477101_R03C01","GSM2405202_9878820138_R02C01","GSM2405640_3998568066_R04C02","GSM2941096_3998909181_R01C02","GSM2941188_3999078123_R03C01","GSM2941446_9533774018_R02C02","GSM2941503_9553932054_R05C02","GSM2941631_9878820021_R03C01","GSM2941646_9878820140_R05C01"
"1",1,521369,120300001,897,-0.046,0.03,0.031,-0.053,0.029,0.04,0.029,-0.032,0.04,0.027,0.046,-0.013,0.016,0.122,0.027,0.006,-0.131,-0.108,-0.155,-0.039,-0.066,0.021,0.011,-0.203,0.036,-0.003,0.001,0.022,-0.004,-0.079,-0.186,-0.077,-0.047,-0.019,-0.011,-0.008,-0.018,-0.021,-0.098,0.04,0.007,0.031,0.009,0.065,0.047,-0.149,0.007,-0.004,0.036
"2",1,120400001,249150001,696,-0.049,0.029,0.036,0.046,0.046,0.057,0.087,0.014,0.036,0.083,0.031,0.056,0.012,0.127,0.027,0.071,0.07,0.079,-0.145,-0.035,0.091,0.195,0.064,0.127,0.155,0.329,-0.05,0.08,0.084,-0.004,0.192,-0.011,0.04,0.2,-0.005,0.238,0.014,-0.061,-0.102,0.13,0.026,0.312,0.039,0.034,0.109,0.06,0.072,-0.029,0.073
"3",2,10001,242950001,1282,0.077,0.21,0.206,0.154,0.243,0.242,0.227,0.134,-0.016,0.17,0.198,0.03,0.188,0.103,0.215,0.047,0.315,0.059,0.087,0.08,0.371,0.118,0.28,0.116,0.074,0.324,0.107,0.247,0.045,0.148,0.258,0.178,0.129,0.201,0.196,0.02,0.254,0.045,0.078,0.234,0.115,0.213,0.248,0.193,-0.017,0.118,0.059,0.164,0.182
"4",3,60001,197700001,978,0.101,0.013,0.023,0.049,0.047,0.057,0.031,0.081,0.026,-0.008,-0.016,0.054,-0.013,0.118,0.01,0.095,0.107,0.074,0.074,0.105,0.09,0.139,0.053,0.164,0.1,0.297,-0.091,0.096,0.015,0.044,0.096,-0.012,0.042,0.07,-0.022,0.015,0.025,0.022,0.075,0.075,-0.026,-0.01,-0.011,0.003,-0.024,0.141,0.087,-0.068,0.023
"5",4,10001,190900001,742,-0.023,-0.065,-0.068,-0.108,-0.052,-0.045,-0.066,0.017,-0.037,-0.103,-0.075,-0.023,-0.068,-0.143,0.11,-0.002,0.015,0.002,0.013,0.036,-0.026,-0.024,-0.023,0.038,-0.007,-0.03,-0.092,0.046,-0.056,-0.024,-0.097,0.123,-0.044,-0.05,-0.052,-0.018,-0.062,-0.149,-0.036,-0.026,-0.038,-0.096,-0.055,-0.071,-0.076,-0.061,0.003,-0.091,-0.071
"6",5,10001,180650001,849,0.083,0.001,0.011,0.028,0.032,0.031,0.018,0.007,0.01,-0.033,-0.016,0.044,-0.015,-0.004,-0.003,0.056,0.07,0.057,0.038,0.086,0.058,0.058,0.044,0.112,0.077,0.044,-0.064,0.079,0.014,0.04,0.054,-0.025,0.029,-0.057,-0.025,0.008,0.007,0.027,-0.022,0.047,-0.017,-0.026,-0.01,0.007,-0.012,-0.038,0.065,-0.047,-0.019
"7",6,60001,68550001,502,-0.088,-0.018,-0.009,-0.063,-0.007,-0.011,-0.008,-0.049,0.171,-0.052,0.195,0.026,-0.043,0.081,-0.019,0.039,0.014,0.043,0.01,-0.021,0.007,0.113,0.022,0.106,0.06,0,-0.099,0.04,0,-0.152,0.13,-0.036,-0.042,-0.033,-0.042,0.014,-0.002,-0.094,0.023,0.021,-0.042,-0.035,-0.039,-0.009,-0.009,0.056,0.044,-0.066,-0.019
"8",6,68600001,170850001,486,-0.123,-0.045,-0.03,-0.155,-0.007,-0.51,-0.05,-0.089,-0.419,-0.104,-0.552,0.035,-0.058,-0.388,-0.077,0.072,0.035,-0.211,0.032,-0.132,0.013,-0.304,-0.002,0.114,-0.4,0.065,-0.137,0.092,-0.543,-0.201,-0.003,-0.04,-0.077,-0.097,-0.036,-0.205,0.013,-0.153,0.073,0.017,-0.042,-0.074,-0.037,-0.046,-0.076,-0.155,-0.39,-0.074,-0.099
"9",7,10001,158950001,952,-0.046,0.024,0.037,0.019,0.055,0.056,0.042,0.126,0.251,-0.026,-0.014,0.078,0.003,-0.166,0.034,0.096,0.115,0.105,0.122,-0.103,0.144,0.183,0.069,0.202,0.003,0.078,0.082,0.115,0.016,0.066,-0.045,0.231,0.084,-0.001,0.009,0.057,0.066,0.031,0.096,0.063,0.038,0.001,0.047,0.028,0.018,0.002,0.098,0.173,0.007
"10",8,10001,146250001,726,0.067,-0.022,-0.014,0.015,-0.005,-0.023,-0.02,0.098,-0.018,-0.085,-0.029,0.007,-0.024,-0.105,-0.05,0.012,0.016,0.037,0.047,0.087,-0.044,0.009,0.012,0.106,0.051,0.002,-0.048,0.044,-0.007,0.026,0.053,-0.035,0.029,-0.023,-0.017,0.029,-0.009,0.125,0.073,0.012,-0.013,-0.048,-0.036,0.052,0.09,-0.008,0.039,0.182,-0.014
"11",9,10001,141000001,383,-0.042,0.026,0.033,0.01,0.037,0.059,0.021,-0.01,0.029,0.012,0.012,-0.115,0.015,-0.032,0.041,0.048,-0.014,-0.004,0.027,-0.047,-0.06,-0.105,0.057,0.089,0.03,0.002,-0.019,0.011,0.043,-0.095,0.012,-0.011,-0.034,-0.035,-0.01,-0.005,0.018,-0.05,-0.045,0.012,-0.017,0.003,-0.023,0.029,-0.059,-0.033,0.044,-0.034,0.011
"12",10,60001,135400001,840,-0.07,0.018,0.023,0.043,0.031,0.047,0.021,-0.007,0.023,-0.011,0.009,0.05,0,-0.049,0.021,0.036,0.059,0.026,0.043,-0.013,-0.02,0.023,0.046,0.1,0.07,0.021,-0.018,0.055,0.022,0.05,0.04,-0.007,0.01,-0.011,0.003,0.034,0.017,-0.091,-0.077,0.051,-0.002,-0.004,0.013,0.047,0.035,0.001,0.068,-0.015,0.018
"13",11,60001,134800001,914,0.115,0.026,0.035,0.049,0.047,0.063,0.041,0.052,0.027,-0.002,0.198,0.044,0.004,-0.039,0.036,0.056,0.039,0.054,0.052,0.095,0.069,0.161,0.049,0.101,0.077,0.083,0.054,0.063,0.024,-0.092,0.081,0.08,0.044,0.063,-0.018,0.005,0.017,0.049,0.053,0.022,0.058,0.013,0.115,0.011,0.014,0.019,0.053,0.164,-0.005
"14",12,145740,133700001,848,0.107,0.016,0.021,0.056,0.033,0.047,0.018,0.008,0.024,-0.009,0.001,0.041,-0.011,0.086,0.012,0.052,0.159,0.066,0.057,0.094,0.006,0.076,0.033,0.103,0.077,0.064,-0.04,0.056,0.025,0.062,0.049,-0.016,0.045,-0.026,-0.015,0.008,0.005,-0.024,0.1,0.043,-0.01,0.001,0.003,0.02,-0.034,-0.025,0.053,-0.032,0.004
"15",13,19020001,115050001,431,-0.083,-0.034,-0.012,-0.094,0.014,0.025,-0.002,-0.026,-0.034,-0.105,-0.097,-0.083,-0.06,0.076,-0.054,0.12,-0.024,-0.1,0.068,-0.044,0.048,0.093,0.086,0.252,0.156,0.09,-0.11,0.129,-0.072,-0.035,0.09,-0.012,-0.031,-0.03,-0.029,0.077,0.087,-0.073,-0.149,-0.011,-0.046,-0.064,-0.053,-0.046,-0.18,-0.034,0.132,-0.097,-0.069
"16",14,19000001,106950001,528,0.094,0.016,0.012,0.015,0.011,0.026,0.014,-0.004,0.018,-0.018,0.001,0.024,-0.001,0.076,0.005,0.018,-0.026,0.038,0.064,0.082,-0.041,-0.062,0.008,0.045,0.042,0.025,-0.006,0.041,0.038,-0.095,0.038,-0.017,-0.057,-0.018,-0.009,-0.002,-0.018,0.097,0.079,0.074,0,0.006,0.023,0.03,-0.071,-0.004,0.022,-0.017,0.019
