"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.008,"GSM2403904_9305216209_R05C02",0.501905953258157
"2",10,105000,135462374,0.0102,"GSM2403904_9305216209_R05C02",0.501905953258157
"3",11,130000,134873258,0.0047,"GSM2403904_9305216209_R05C02",0.501905953258157
"4",12,172870,133770948,-0.0014,"GSM2403904_9305216209_R05C02",0.501905953258157
"5",13,19110000,19950000,-0.1576,"GSM2403904_9305216209_R05C02",0.501905953258157
"6",13,20150000,109450000,-0.3637,"GSM2403904_9305216209_R05C02",0.501905953258157
"7",13,109775000,115079939,-0.1821,"GSM2403904_9305216209_R05C02",0.501905953258157
"8",14,19325000,107119770,-2e-04,"GSM2403904_9305216209_R05C02",0.501905953258157
"9",15,20225000,102410696,0.011,"GSM2403904_9305216209_R05C02",0.501905953258157
"10",16,105000,90222377,0.0289,"GSM2403904_9305216209_R05C02",0.501905953258157
"11",17,25000,81122605,-0.0407,"GSM2403904_9305216209_R05C02",0.501905953258157
"12",18,80000,77983624,-0.0782,"GSM2403904_9305216209_R05C02",0.501905953258157
"13",19,180000,59084492,-0.0097,"GSM2403904_9305216209_R05C02",0.501905953258157
"14",2,130000,243026238,-0.0109,"GSM2403904_9305216209_R05C02",0.501905953258157
"15",20,155000,62907760,-0.0199,"GSM2403904_9305216209_R05C02",0.501905953258157
"16",21,10848948,48084948,0.0095,"GSM2403904_9305216209_R05C02",0.501905953258157
"17",22,16373925,51222283,-0.2617,"GSM2403904_9305216209_R05C02",0.501905953258157
"18",3,155000,197831215,-0.0126,"GSM2403904_9305216209_R05C02",0.501905953258157
"19",4,55000,190972138,-0.0537,"GSM2403904_9305216209_R05C02",0.501905953258157
"20",5,55000,180777630,-0.0101,"GSM2403904_9305216209_R05C02",0.501905953258157
"21",6,155000,170952534,-0.0148,"GSM2403904_9305216209_R05C02",0.501905953258157
"22",7,55000,159039332,0.0273,"GSM2403904_9305216209_R05C02",0.501905953258157
"23",8,105000,146277011,-0.0094,"GSM2403904_9305216209_R05C02",0.501905953258157
"24",9,130000,141076716,0.0247,"GSM2403904_9305216209_R05C02",0.501905953258157
"25",1,635684,249195311,-0.0716,"GSM2404122_9379086132_R06C01",0.71344961782458
"26",10,105000,135462374,-0.0337,"GSM2404122_9379086132_R06C01",0.71344961782458
"27",11,130000,20625000,-0.025,"GSM2404122_9379086132_R06C01",0.71344961782458
"28",11,20675000,31975000,-0.2806,"GSM2404122_9379086132_R06C01",0.71344961782458
"29",11,32250000,134873258,-0.0578,"GSM2404122_9379086132_R06C01",0.71344961782458
"30",12,172870,133770948,-0.041,"GSM2404122_9379086132_R06C01",0.71344961782458
"31",13,19110000,115079939,-0.1792,"GSM2404122_9379086132_R06C01",0.71344961782458
"32",14,19325000,107119770,-0.0749,"GSM2404122_9379086132_R06C01",0.71344961782458
"33",15,20225000,102410696,-0.0068,"GSM2404122_9379086132_R06C01",0.71344961782458
"34",16,105000,90222377,0.0256,"GSM2404122_9379086132_R06C01",0.71344961782458
"35",17,25000,81122605,-0.0245,"GSM2404122_9379086132_R06C01",0.71344961782458
"36",18,80000,77983624,-0.0759,"GSM2404122_9379086132_R06C01",0.71344961782458
"37",19,180000,59084492,0.0171,"GSM2404122_9379086132_R06C01",0.71344961782458
"38",2,130000,243026238,-0.073,"GSM2404122_9379086132_R06C01",0.71344961782458
"39",20,155000,62907760,-0.0254,"GSM2404122_9379086132_R06C01",0.71344961782458
"40",21,10848948,48084948,1e-04,"GSM2404122_9379086132_R06C01",0.71344961782458
"41",22,16373925,51222283,-0.2678,"GSM2404122_9379086132_R06C01",0.71344961782458
"42",3,155000,3100000,-0.4892,"GSM2404122_9379086132_R06C01",0.71344961782458
"43",3,3175000,197831215,-0.1589,"GSM2404122_9379086132_R06C01",0.71344961782458
"44",4,55000,190972138,-0.1296,"GSM2404122_9379086132_R06C01",0.71344961782458
"45",5,55000,180777630,-0.0848,"GSM2404122_9379086132_R06C01",0.71344961782458
"46",6,155000,32375000,-0.0891,"GSM2404122_9379086132_R06C01",0.71344961782458
"47",6,32425000,32650000,-0.8812,"GSM2404122_9379086132_R06C01",0.71344961782458
"48",6,32725000,170952534,-0.1077,"GSM2404122_9379086132_R06C01",0.71344961782458
"49",7,55000,159039332,-0.0214,"GSM2404122_9379086132_R06C01",0.71344961782458
"50",8,105000,146277011,-0.0678,"GSM2404122_9379086132_R06C01",0.71344961782458
"51",9,130000,141076716,0.0025,"GSM2404122_9379086132_R06C01",0.71344961782458
"52",1,635684,249195311,-0.062,"GSM2404144_9406922161_R05C01",0.738004204130814
"53",10,105000,135462374,-0.0113,"GSM2404144_9406922161_R05C01",0.738004204130814
"54",11,130000,134873258,-0.037,"GSM2404144_9406922161_R05C01",0.738004204130814
"55",12,172870,133770948,-0.0295,"GSM2404144_9406922161_R05C01",0.738004204130814
"56",13,19110000,20150000,-0.0336,"GSM2404144_9406922161_R05C01",0.738004204130814
"57",13,20275000,109025000,-0.4191,"GSM2404144_9406922161_R05C01",0.738004204130814
"58",13,109450000,115079939,-0.0828,"GSM2404144_9406922161_R05C01",0.738004204130814
"59",14,19325000,60175000,-0.1347,"GSM2404144_9406922161_R05C01",0.738004204130814
"60",14,60325000,83500000,-0.5246,"GSM2404144_9406922161_R05C01",0.738004204130814
"61",14,85325000,107119770,-0.0138,"GSM2404144_9406922161_R05C01",0.738004204130814
"62",15,20225000,102410696,-0.0287,"GSM2404144_9406922161_R05C01",0.738004204130814
"63",16,105000,90222377,0.027,"GSM2404144_9406922161_R05C01",0.738004204130814
"64",17,25000,81122605,-0.0935,"GSM2404144_9406922161_R05C01",0.738004204130814
"65",18,80000,77983624,-0.1096,"GSM2404144_9406922161_R05C01",0.738004204130814
"66",19,180000,59084492,-0.0607,"GSM2404144_9406922161_R05C01",0.738004204130814
"67",2,130000,243026238,-0.0454,"GSM2404144_9406922161_R05C01",0.738004204130814
"68",20,155000,62907760,-0.0734,"GSM2404144_9406922161_R05C01",0.738004204130814
"69",21,10848948,48084948,0.003,"GSM2404144_9406922161_R05C01",0.738004204130814
"70",22,16373925,51222283,-0.4445,"GSM2404144_9406922161_R05C01",0.738004204130814
"71",3,155000,197831215,-0.0574,"GSM2404144_9406922161_R05C01",0.738004204130814
"72",4,55000,190972138,-0.0587,"GSM2404144_9406922161_R05C01",0.738004204130814
"73",5,55000,180777630,-0.0505,"GSM2404144_9406922161_R05C01",0.738004204130814
"74",6,155000,170952534,-0.0391,"GSM2404144_9406922161_R05C01",0.738004204130814
"75",7,55000,159039332,0.0304,"GSM2404144_9406922161_R05C01",0.738004204130814
"76",8,105000,146277011,-0.0253,"GSM2404144_9406922161_R05C01",0.738004204130814
"77",9,130000,141076716,-0.0352,"GSM2404144_9406922161_R05C01",0.738004204130814
"78",1,635684,249195311,-0.0549,"GSM2404274_9422491130_R02C02",0.499824861983329
"79",10,105000,135462374,0.0914,"GSM2404274_9422491130_R02C02",0.499824861983329
"80",11,130000,134873258,-0.0609,"GSM2404274_9422491130_R02C02",0.499824861983329
"81",12,172870,133770948,0.0806,"GSM2404274_9422491130_R02C02",0.499824861983329
"82",13,19110000,109025000,-0.293,"GSM2404274_9422491130_R02C02",0.499824861983329
"83",13,109450000,115079939,-0.1102,"GSM2404274_9422491130_R02C02",0.499824861983329
"84",14,19325000,20025000,0.1922,"GSM2404274_9422491130_R02C02",0.499824861983329
"85",14,20450000,107119770,-0.2716,"GSM2404274_9422491130_R02C02",0.499824861983329
"86",15,20225000,102410696,0.095,"GSM2404274_9422491130_R02C02",0.499824861983329
"87",16,105000,90222377,-0.0208,"GSM2404274_9422491130_R02C02",0.499824861983329
