"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0861,"GSM2404455_9420867121_R04C02"
"2",10,105000,93375000,0.0707,"GSM2404455_9420867121_R04C02"
"3",10,93525000,94825000,-0.4247,"GSM2404455_9420867121_R04C02"
"4",10,95025000,135462374,0.0559,"GSM2404455_9420867121_R04C02"
"5",11,130000,134873258,0.0742,"GSM2404455_9420867121_R04C02"
"6",12,172870,25200000,-0.3175,"GSM2404455_9420867121_R04C02"
"7",12,25350000,133770948,0.2215,"GSM2404455_9420867121_R04C02"
"8",13,19110000,112775000,-0.3587,"GSM2404455_9420867121_R04C02"
"9",13,112825000,115079939,-0.0844,"GSM2404455_9420867121_R04C02"
"10",14,19325000,107119770,-0.3486,"GSM2404455_9420867121_R04C02"
"11",15,20225000,102410696,0.0864,"GSM2404455_9420867121_R04C02"
"12",16,105000,46517901,0.0998,"GSM2404455_9420867121_R04C02"
"13",16,46675000,90222377,-0.2714,"GSM2404455_9420867121_R04C02"
"14",17,25000,81122605,0.0355,"GSM2404455_9420867121_R04C02"
"15",18,80000,77983624,-0.0486,"GSM2404455_9420867121_R04C02"
"16",19,180000,59084492,0.0208,"GSM2404455_9420867121_R04C02"
"17",2,130000,243026238,0.0546,"GSM2404455_9420867121_R04C02"
"18",20,155000,62907760,0.0341,"GSM2404455_9420867121_R04C02"
"19",21,10848948,48084948,0.0696,"GSM2404455_9420867121_R04C02"
"20",22,16373925,51222283,0.0771,"GSM2404455_9420867121_R04C02"
"21",3,155000,197831215,0.0818,"GSM2404455_9420867121_R04C02"
"22",4,55000,73925000,0.0451,"GSM2404455_9420867121_R04C02"
"23",4,74100000,159625000,-0.4796,"GSM2404455_9420867121_R04C02"
"24",4,159700000,190972138,-0.0381,"GSM2404455_9420867121_R04C02"
"25",5,55000,180777630,0.0574,"GSM2404455_9420867121_R04C02"
"26",6,155000,170952534,0.106,"GSM2404455_9420867121_R04C02"
"27",7,55000,4325000,-0.2658,"GSM2404455_9420867121_R04C02"
"28",7,4525000,159039332,0.099,"GSM2404455_9420867121_R04C02"
"29",8,105000,146277011,-0.3677,"GSM2404455_9420867121_R04C02"
"30",9,130000,141076716,0.167,"GSM2404455_9420867121_R04C02"
"31",1,635684,249195311,-0.1027,"GSM2404649_9741950027_R05C01"
"32",10,105000,135462374,-0.0527,"GSM2404649_9741950027_R05C01"
"33",11,130000,134873258,-0.0631,"GSM2404649_9741950027_R05C01"
"34",12,172870,133770948,-0.0116,"GSM2404649_9741950027_R05C01"
"35",13,19110000,115079939,-0.0507,"GSM2404649_9741950027_R05C01"
"36",14,19325000,61900000,0.0229,"GSM2404649_9741950027_R05C01"
"37",14,62075000,107119770,-0.6346,"GSM2404649_9741950027_R05C01"
"38",15,20225000,102410696,0.2548,"GSM2404649_9741950027_R05C01"
"39",16,105000,90222377,-0.0399,"GSM2404649_9741950027_R05C01"
"40",17,25000,81122605,-0.145,"GSM2404649_9741950027_R05C01"
"41",18,80000,77983624,-0.1754,"GSM2404649_9741950027_R05C01"
"42",19,180000,59084492,0.1428,"GSM2404649_9741950027_R05C01"
"43",2,130000,243026238,-0.0525,"GSM2404649_9741950027_R05C01"
"44",20,155000,62907760,-0.169,"GSM2404649_9741950027_R05C01"
"45",21,10848948,48084948,-0.0415,"GSM2404649_9741950027_R05C01"
"46",22,16373925,51222283,-0.1142,"GSM2404649_9741950027_R05C01"
"47",3,155000,197831215,0.3241,"GSM2404649_9741950027_R05C01"
"48",4,55000,190972138,-0.0616,"GSM2404649_9741950027_R05C01"
"49",5,55000,180777630,0.2995,"GSM2404649_9741950027_R05C01"
"50",6,155000,170952534,0.3128,"GSM2404649_9741950027_R05C01"
"51",7,55000,159039332,0.3134,"GSM2404649_9741950027_R05C01"
