"chromosome","start","end","segmean","sample","noise"
"1",1,635684,78775000,0.0864,"GSM2403090_6229017111_R02C02",0.560058427489128
"2",1,79250000,82275000,-0.4643,"GSM2403090_6229017111_R02C02",0.560058427489128
"3",1,83300000,249195311,0.0413,"GSM2403090_6229017111_R02C02",0.560058427489128
"4",10,105000,135462374,-0.4069,"GSM2403090_6229017111_R02C02",0.560058427489128
"5",11,130000,50516927,-0.1011,"GSM2403090_6229017111_R02C02",0.560058427489128
"6",11,54922103,56675000,-0.4922,"GSM2403090_6229017111_R02C02",0.560058427489128
"7",11,56975000,134873258,-0.1085,"GSM2403090_6229017111_R02C02",0.560058427489128
"8",12,172870,133770948,-0.0849,"GSM2403090_6229017111_R02C02",0.560058427489128
"9",13,19110000,46700000,-0.128,"GSM2403090_6229017111_R02C02",0.560058427489128
"10",13,46850000,72850000,-0.5981,"GSM2403090_6229017111_R02C02",0.560058427489128
"11",13,73325000,115079939,-0.0491,"GSM2403090_6229017111_R02C02",0.560058427489128
"12",14,19325000,26075000,0.0623,"GSM2403090_6229017111_R02C02",0.560058427489128
"13",14,26875000,33425000,-0.5491,"GSM2403090_6229017111_R02C02",0.560058427489128
"14",14,33850000,66425000,-0.0248,"GSM2403090_6229017111_R02C02",0.560058427489128
"15",14,66975000,87275000,-0.4129,"GSM2403090_6229017111_R02C02",0.560058427489128
"16",14,88525000,107119770,0.0514,"GSM2403090_6229017111_R02C02",0.560058427489128
"17",15,20225000,102410696,0.0295,"GSM2403090_6229017111_R02C02",0.560058427489128
"18",16,105000,88575000,0.0531,"GSM2403090_6229017111_R02C02",0.560058427489128
"19",16,88625000,88925000,-0.2602,"GSM2403090_6229017111_R02C02",0.560058427489128
"20",16,88975000,90222377,0.0731,"GSM2403090_6229017111_R02C02",0.560058427489128
"21",17,25000,81122605,0.0084,"GSM2403090_6229017111_R02C02",0.560058427489128
"22",18,80000,77983624,-0.0665,"GSM2403090_6229017111_R02C02",0.560058427489128
"23",19,180000,59084492,-0.0301,"GSM2403090_6229017111_R02C02",0.560058427489128
"24",2,130000,243026238,-0.0255,"GSM2403090_6229017111_R02C02",0.560058427489128
"25",20,155000,62907760,-0.0187,"GSM2403090_6229017111_R02C02",0.560058427489128
"26",21,10848948,48084948,0.0202,"GSM2403090_6229017111_R02C02",0.560058427489128
"27",22,16373925,51222283,0.0552,"GSM2403090_6229017111_R02C02",0.560058427489128
"28",3,155000,197831215,0.0044,"GSM2403090_6229017111_R02C02",0.560058427489128
"29",4,55000,11375000,-0.2764,"GSM2403090_6229017111_R02C02",0.560058427489128
"30",4,11425000,190972138,-0.544,"GSM2403090_6229017111_R02C02",0.560058427489128
"31",5,55000,180777630,-0.0013,"GSM2403090_6229017111_R02C02",0.560058427489128
"32",6,155000,170952534,-0.0382,"GSM2403090_6229017111_R02C02",0.560058427489128
"33",7,55000,54900000,0.2192,"GSM2403090_6229017111_R02C02",0.560058427489128
"34",7,5.5e+07,55350000,1.065,"GSM2403090_6229017111_R02C02",0.560058427489128
"35",7,55425000,159039332,0.2152,"GSM2403090_6229017111_R02C02",0.560058427489128
"36",8,105000,112325000,-0.038,"GSM2403090_6229017111_R02C02",0.560058427489128
"37",8,114025000,137925000,0.7106,"GSM2403090_6229017111_R02C02",0.560058427489128
"38",8,139300000,146277011,0.0326,"GSM2403090_6229017111_R02C02",0.560058427489128
"39",9,130000,141076716,0.0414,"GSM2403090_6229017111_R02C02",0.560058427489128
"40",1,635684,249195311,0.0166,"GSM2403110_6969568010_R02C02",0.490711469891842
"41",10,105000,135462374,-0.2269,"GSM2403110_6969568010_R02C02",0.490711469891842
"42",11,130000,134873258,-0.0588,"GSM2403110_6969568010_R02C02",0.490711469891842
"43",12,172870,3150000,0.0298,"GSM2403110_6969568010_R02C02",0.490711469891842
"44",12,3250000,3875000,0.2688,"GSM2403110_6969568010_R02C02",0.490711469891842
"45",12,3950000,133770948,-0.0373,"GSM2403110_6969568010_R02C02",0.490711469891842
"46",13,19110000,115079939,-0.163,"GSM2403110_6969568010_R02C02",0.490711469891842
"47",14,19325000,107119770,-0.0359,"GSM2403110_6969568010_R02C02",0.490711469891842
"48",15,20225000,102410696,-0.0529,"GSM2403110_6969568010_R02C02",0.490711469891842
"49",16,105000,90222377,-0.0229,"GSM2403110_6969568010_R02C02",0.490711469891842
"50",17,25000,71675000,-0.0204,"GSM2403110_6969568010_R02C02",0.490711469891842
"51",17,71825000,72650000,0.2494,"GSM2403110_6969568010_R02C02",0.490711469891842
"52",17,72725000,81122605,0.0066,"GSM2403110_6969568010_R02C02",0.490711469891842
"53",18,80000,77983624,-0.081,"GSM2403110_6969568010_R02C02",0.490711469891842
"54",19,180000,59084492,-0.0021,"GSM2403110_6969568010_R02C02",0.490711469891842
"55",2,130000,243026238,-0.0619,"GSM2403110_6969568010_R02C02",0.490711469891842
"56",20,155000,62907760,-0.0433,"GSM2403110_6969568010_R02C02",0.490711469891842
"57",21,10848948,48084948,-0.0238,"GSM2403110_6969568010_R02C02",0.490711469891842
"58",22,16373925,51222283,0.0406,"GSM2403110_6969568010_R02C02",0.490711469891842
"59",3,155000,168875000,-0.0434,"GSM2403110_6969568010_R02C02",0.490711469891842
"60",3,169125000,188675000,0.422,"GSM2403110_6969568010_R02C02",0.490711469891842
"61",3,1.89e+08,197831215,0.2099,"GSM2403110_6969568010_R02C02",0.490711469891842
"62",4,55000,156125000,-0.117,"GSM2403110_6969568010_R02C02",0.490711469891842
"63",4,156350000,158125000,-0.3952,"GSM2403110_6969568010_R02C02",0.490711469891842
"64",4,158625000,190972138,-0.1517,"GSM2403110_6969568010_R02C02",0.490711469891842
"65",5,55000,180777630,-0.0492,"GSM2403110_6969568010_R02C02",0.490711469891842
"66",6,155000,32325000,-0.0654,"GSM2403110_6969568010_R02C02",0.490711469891842
"67",6,32375000,32575000,-0.5076,"GSM2403110_6969568010_R02C02",0.490711469891842
"68",6,32650000,170952534,-0.0909,"GSM2403110_6969568010_R02C02",0.490711469891842
"69",7,55000,53950000,0.1138,"GSM2403110_6969568010_R02C02",0.490711469891842
"70",7,54625000,55725000,0.7054,"GSM2403110_6969568010_R02C02",0.490711469891842
"71",7,55875000,159039332,0.1354,"GSM2403110_6969568010_R02C02",0.490711469891842
"72",8,105000,146277011,-0.0575,"GSM2403110_6969568010_R02C02",0.490711469891842
"73",9,130000,19050000,-0.0702,"GSM2403110_6969568010_R02C02",0.490711469891842
"74",9,19250000,22925000,-0.7785,"GSM2403110_6969568010_R02C02",0.490711469891842
"75",9,25425000,141076716,0.0301,"GSM2403110_6969568010_R02C02",0.490711469891842
"76",1,635684,120841926,-0.1011,"GSM2403124_6285641005_R06C01",1.2021092752805
"77",1,121193348,145375000,0.5489,"GSM2403124_6285641005_R06C01",1.2021092752805
"78",1,145425000,147475000,-0.107,"GSM2403124_6285641005_R06C01",1.2021092752805
"79",1,147725000,149800000,0.5299,"GSM2403124_6285641005_R06C01",1.2021092752805
"80",1,149875000,249195311,-0.075,"GSM2403124_6285641005_R06C01",1.2021092752805
"81",10,105000,135462374,-0.7774,"GSM2403124_6285641005_R06C01",1.2021092752805
"82",11,130000,134873258,-0.5232,"GSM2403124_6285641005_R06C01",1.2021092752805
"83",12,172870,133770948,-0.2617,"GSM2403124_6285641005_R06C01",1.2021092752805
"84",13,19110000,115079939,-0.2704,"GSM2403124_6285641005_R06C01",1.2021092752805
"85",14,19325000,20025000,0.3268,"GSM2403124_6285641005_R06C01",1.2021092752805
"86",14,20450000,107119770,-0.5018,"GSM2403124_6285641005_R06C01",1.2021092752805
"87",15,20225000,102410696,-0.2616,"GSM2403124_6285641005_R06C01",1.2021092752805
"88",16,105000,31825000,-0.3299,"GSM2403124_6285641005_R06C01",1.2021092752805
"89",16,32075000,33986575,0.5676,"GSM2403124_6285641005_R06C01",1.2021092752805
"90",16,34286575,90222377,-0.3243,"GSM2403124_6285641005_R06C01",1.2021092752805
"91",17,25000,81122605,-0.3997,"GSM2403124_6285641005_R06C01",1.2021092752805
"92",18,80000,77983624,-0.1084,"GSM2403124_6285641005_R06C01",1.2021092752805
"93",19,180000,59084492,0.0275,"GSM2403124_6285641005_R06C01",1.2021092752805
"94",2,130000,89315218,-0.2305,"GSM2403124_6285641005_R06C01",1.2021092752805
"95",2,91672552,92288086,0.7355,"GSM2403124_6285641005_R06C01",1.2021092752805
"96",2,95438086,243026238,-0.1651,"GSM2403124_6285641005_R06C01",1.2021092752805
"97",20,155000,62907760,-0.1644,"GSM2403124_6285641005_R06C01",1.2021092752805
"98",21,10848948,15475000,0.3741,"GSM2403124_6285641005_R06C01",1.2021092752805
"99",21,15650000,48084948,-0.4093,"GSM2403124_6285641005_R06C01",1.2021092752805
"100",22,16373925,51222283,-0.2563,"GSM2403124_6285641005_R06C01",1.2021092752805
"101",3,155000,74175000,-0.193,"GSM2403124_6285641005_R06C01",1.2021092752805
"102",3,75025000,77675000,0.5014,"GSM2403124_6285641005_R06C01",1.2021092752805
"103",3,78550000,197831215,-0.1426,"GSM2403124_6285641005_R06C01",1.2021092752805
"104",4,55000,187475000,-0.3419,"GSM2403124_6285641005_R06C01",1.2021092752805
"105",4,187525000,190972138,0.2534,"GSM2403124_6285641005_R06C01",1.2021092752805
"106",5,55000,180777630,-0.0985,"GSM2403124_6285641005_R06C01",1.2021092752805
"107",6,155000,170952534,-0.2084,"GSM2403124_6285641005_R06C01",1.2021092752805
"108",7,55000,53950000,0.1522,"GSM2403124_6285641005_R06C01",1.2021092752805
"109",7,54625000,55425000,2.5129,"GSM2403124_6285641005_R06C01",1.2021092752805
"110",7,55525000,159039332,0.189,"GSM2403124_6285641005_R06C01",1.2021092752805
"111",8,105000,11825000,-0.2627,"GSM2403124_6285641005_R06C01",1.2021092752805
"112",8,11900000,12575000,0.3981,"GSM2403124_6285641005_R06C01",1.2021092752805
"113",8,12625000,146277011,-0.5105,"GSM2403124_6285641005_R06C01",1.2021092752805
"114",9,130000,2.1e+07,-0.831,"GSM2403124_6285641005_R06C01",1.2021092752805
"115",9,21700000,28375000,-2.3091,"GSM2403124_6285641005_R06C01",1.2021092752805
"116",9,30825000,38250000,-0.9636,"GSM2403124_6285641005_R06C01",1.2021092752805
"117",9,38500000,141076716,-0.2132,"GSM2403124_6285641005_R06C01",1.2021092752805
"118",1,635684,203675000,-0.0762,"GSM2403473_8622007011_R03C01",0.48752376884591
"119",1,203775000,204800000,0.8884,"GSM2403473_8622007011_R03C01",0.48752376884591
"120",1,204925000,249195311,-0.0967,"GSM2403473_8622007011_R03C01",0.48752376884591
"121",10,105000,135462374,-0.2682,"GSM2403473_8622007011_R03C01",0.48752376884591
"122",11,130000,134873258,-0.0294,"GSM2403473_8622007011_R03C01",0.48752376884591
"123",12,172870,3325000,0.0379,"GSM2403473_8622007011_R03C01",0.48752376884591
"124",12,3375000,4425000,0.2723,"GSM2403473_8622007011_R03C01",0.48752376884591
"125",12,4500000,133770948,-0.0154,"GSM2403473_8622007011_R03C01",0.48752376884591
"126",13,19110000,115079939,-0.2003,"GSM2403473_8622007011_R03C01",0.48752376884591
"127",14,19325000,107119770,0.0446,"GSM2403473_8622007011_R03C01",0.48752376884591
"128",15,20225000,102410696,-0.3299,"GSM2403473_8622007011_R03C01",0.48752376884591
"129",16,105000,90222377,-0.0303,"GSM2403473_8622007011_R03C01",0.48752376884591
"130",17,25000,81122605,3e-04,"GSM2403473_8622007011_R03C01",0.48752376884591
"131",18,80000,3225000,-0.3846,"GSM2403473_8622007011_R03C01",0.48752376884591
"132",18,3275000,77983624,-0.1376,"GSM2403473_8622007011_R03C01",0.48752376884591
"133",19,180000,59084492,0.0172,"GSM2403473_8622007011_R03C01",0.48752376884591
"134",2,130000,243026238,-0.0308,"GSM2403473_8622007011_R03C01",0.48752376884591
"135",20,155000,62907760,-0.0434,"GSM2403473_8622007011_R03C01",0.48752376884591
"136",21,10848948,48084948,-0.0385,"GSM2403473_8622007011_R03C01",0.48752376884591
"137",22,16373925,51222283,0.0524,"GSM2403473_8622007011_R03C01",0.48752376884591
"138",3,155000,197831215,-0.0146,"GSM2403473_8622007011_R03C01",0.48752376884591
"139",4,55000,190972138,-0.0304,"GSM2403473_8622007011_R03C01",0.48752376884591
"140",5,55000,225000,-0.1166,"GSM2403473_8622007011_R03C01",0.48752376884591
"141",5,275000,1275000,0.635,"GSM2403473_8622007011_R03C01",0.48752376884591
"142",5,1325000,180777630,-0.0115,"GSM2403473_8622007011_R03C01",0.48752376884591
"143",6,155000,94915272,0.0524,"GSM2403473_8622007011_R03C01",0.48752376884591
"144",6,96165272,104125000,-0.3253,"GSM2403473_8622007011_R03C01",0.48752376884591
"145",6,105350000,170952534,-0.0424,"GSM2403473_8622007011_R03C01",0.48752376884591
"146",7,55000,159039332,0.2238,"GSM2403473_8622007011_R03C01",0.48752376884591
"147",8,105000,7050000,0.0339,"GSM2403473_8622007011_R03C01",0.48752376884591
"148",8,7225000,7950000,0.2766,"GSM2403473_8622007011_R03C01",0.48752376884591
"149",8,8100000,146277011,-0.0443,"GSM2403473_8622007011_R03C01",0.48752376884591
"150",9,130000,2e+07,-0.0074,"GSM2403473_8622007011_R03C01",0.48752376884591
"151",9,2.1e+07,27250000,-1.0535,"GSM2403473_8622007011_R03C01",0.48752376884591
"152",9,28375000,141076716,0.0299,"GSM2403473_8622007011_R03C01",0.48752376884591
"153",1,635684,7625000,0.0502,"GSM2403475_8622007019_R06C01",0.645839216834496
"154",1,7725000,10600000,-0.4781,"GSM2403475_8622007019_R06C01",0.645839216834496
"155",1,10675000,235575000,0.0076,"GSM2403475_8622007019_R06C01",0.645839216834496
"156",1,235725000,236975000,-0.5022,"GSM2403475_8622007019_R06C01",0.645839216834496
"157",1,237125000,249195311,0.0076,"GSM2403475_8622007019_R06C01",0.645839216834496
"158",10,105000,135462374,-0.5029,"GSM2403475_8622007019_R06C01",0.645839216834496
"159",11,130000,110375000,-0.0316,"GSM2403475_8622007019_R06C01",0.645839216834496
"160",11,110575000,111825000,-0.4799,"GSM2403475_8622007019_R06C01",0.645839216834496
"161",11,111875000,128725000,-0.0109,"GSM2403475_8622007019_R06C01",0.645839216834496
"162",11,128775000,134873258,-0.4144,"GSM2403475_8622007019_R06C01",0.645839216834496
"163",12,172870,57825000,-0.007,"GSM2403475_8622007019_R06C01",0.645839216834496
"164",12,57875000,59675000,1.1062,"GSM2403475_8622007019_R06C01",0.645839216834496
"165",12,60350000,69150000,-0.6422,"GSM2403475_8622007019_R06C01",0.645839216834496
"166",12,69225000,69750000,1.522,"GSM2403475_8622007019_R06C01",0.645839216834496
"167",12,69900000,133770948,-0.0129,"GSM2403475_8622007019_R06C01",0.645839216834496
"168",13,19110000,19525000,-0.2617,"GSM2403475_8622007019_R06C01",0.645839216834496
"169",13,19725000,114075000,-0.6151,"GSM2403475_8622007019_R06C01",0.645839216834496
"170",13,114125000,115079939,-0.0529,"GSM2403475_8622007019_R06C01",0.645839216834496
"171",14,19325000,107119770,-0.0031,"GSM2403475_8622007019_R06C01",0.645839216834496
"172",15,20225000,102410696,-0.2596,"GSM2403475_8622007019_R06C01",0.645839216834496
"173",16,105000,90222377,0.0156,"GSM2403475_8622007019_R06C01",0.645839216834496
"174",17,25000,81122605,-0.0356,"GSM2403475_8622007019_R06C01",0.645839216834496
"175",18,80000,77983624,-0.083,"GSM2403475_8622007019_R06C01",0.645839216834496
"176",19,180000,59084492,0.178,"GSM2403475_8622007019_R06C01",0.645839216834496
"177",2,130000,243026238,-0.0474,"GSM2403475_8622007019_R06C01",0.645839216834496
"178",20,155000,62907760,0.176,"GSM2403475_8622007019_R06C01",0.645839216834496
