"chromosome","start","end","segmean","sample","noise"
"1",1,635684,45125000,-0.2967,"GSM2402997_6929718001_R01C02",0.540243643221685
"2",1,45175000,55475000,0.0625,"GSM2402997_6929718001_R01C02",0.540243643221685
"3",1,55525000,112100000,-0.4716,"GSM2402997_6929718001_R01C02",0.540243643221685
"4",1,112200000,249195311,0.0377,"GSM2402997_6929718001_R01C02",0.540243643221685
"5",10,105000,135462374,0.0244,"GSM2402997_6929718001_R01C02",0.540243643221685
"6",11,130000,134873258,0.0238,"GSM2402997_6929718001_R01C02",0.540243643221685
"7",12,172870,133770948,0.0195,"GSM2402997_6929718001_R01C02",0.540243643221685
"8",13,19110000,115079939,-0.049,"GSM2402997_6929718001_R01C02",0.540243643221685
"9",14,19325000,107119770,0.0305,"GSM2402997_6929718001_R01C02",0.540243643221685
"10",15,20225000,22748097,-0.2036,"GSM2402997_6929718001_R01C02",0.540243643221685
"11",15,22875000,102410696,0.0381,"GSM2402997_6929718001_R01C02",0.540243643221685
"12",16,105000,90222377,0.0384,"GSM2402997_6929718001_R01C02",0.540243643221685
"13",17,25000,81122605,-0.0134,"GSM2402997_6929718001_R01C02",0.540243643221685
"14",18,80000,77983624,-0.0626,"GSM2402997_6929718001_R01C02",0.540243643221685
"15",19,180000,28015891,0.0176,"GSM2402997_6929718001_R01C02",0.540243643221685
"16",19,28775000,42575000,-0.3624,"GSM2402997_6929718001_R01C02",0.540243643221685
"17",19,42650000,42875000,-0.067,"GSM2402997_6929718001_R01C02",0.540243643221685
"18",19,42925000,59084492,-0.3696,"GSM2402997_6929718001_R01C02",0.540243643221685
"19",2,130000,243026238,-0.0116,"GSM2402997_6929718001_R01C02",0.540243643221685
"20",20,155000,62907760,-0.0136,"GSM2402997_6929718001_R01C02",0.540243643221685
"21",21,10848948,48084948,0.0192,"GSM2402997_6929718001_R01C02",0.540243643221685
"22",22,16373925,51222283,0.061,"GSM2402997_6929718001_R01C02",0.540243643221685
"23",3,155000,197831215,2e-04,"GSM2402997_6929718001_R01C02",0.540243643221685
"24",4,55000,190972138,-0.0408,"GSM2402997_6929718001_R01C02",0.540243643221685
"25",5,55000,180777630,0.0056,"GSM2402997_6929718001_R01C02",0.540243643221685
"26",6,155000,170952534,-0.0198,"GSM2402997_6929718001_R01C02",0.540243643221685
"27",7,55000,159039332,0.0186,"GSM2402997_6929718001_R01C02",0.540243643221685
"28",8,105000,88875000,-0.0103,"GSM2402997_6929718001_R01C02",0.540243643221685
"29",8,89100000,90925000,-0.3585,"GSM2402997_6929718001_R01C02",0.540243643221685
"30",8,9.1e+07,146277011,-0.0071,"GSM2402997_6929718001_R01C02",0.540243643221685
"31",9,130000,141076716,0.0314,"GSM2402997_6929718001_R01C02",0.540243643221685
"32",1,635684,249195311,-0.0163,"GSM2403462_8622007027_R02C01",0.487726889520903
"33",10,105000,135462374,-0.0277,"GSM2403462_8622007027_R02C01",0.487726889520903
"34",11,130000,36425000,-0.0362,"GSM2403462_8622007027_R02C01",0.487726889520903
"35",11,36525000,43325000,-0.2829,"GSM2403462_8622007027_R02C01",0.487726889520903
"36",11,43450000,50516927,-0.0087,"GSM2403462_8622007027_R02C01",0.487726889520903
"37",11,54922103,56300000,-0.3854,"GSM2403462_8622007027_R02C01",0.487726889520903
"38",11,56675000,134873258,-0.0305,"GSM2403462_8622007027_R02C01",0.487726889520903
"39",12,172870,133770948,-0.0502,"GSM2403462_8622007027_R02C01",0.487726889520903
"40",13,19110000,115079939,-0.1372,"GSM2403462_8622007027_R02C01",0.487726889520903
"41",14,19325000,107119770,-0.0284,"GSM2403462_8622007027_R02C01",0.487726889520903
"42",15,20225000,83725000,-0.0231,"GSM2403462_8622007027_R02C01",0.487726889520903
"43",15,83850000,84250000,-0.2599,"GSM2403462_8622007027_R02C01",0.487726889520903
"44",15,84667237,102410696,0.0044,"GSM2403462_8622007027_R02C01",0.487726889520903
"45",16,105000,90222377,0.0181,"GSM2403462_8622007027_R02C01",0.487726889520903
"46",17,25000,39025000,-0.0357,"GSM2403462_8622007027_R02C01",0.487726889520903
"47",17,39100000,39400000,-0.3733,"GSM2403462_8622007027_R02C01",0.487726889520903
"48",17,39475000,81122605,-0.0431,"GSM2403462_8622007027_R02C01",0.487726889520903
"49",18,80000,77983624,-0.1207,"GSM2403462_8622007027_R02C01",0.487726889520903
"50",19,180000,59084492,-0.021,"GSM2403462_8622007027_R02C01",0.487726889520903
"51",2,130000,243026238,-0.0788,"GSM2403462_8622007027_R02C01",0.487726889520903
"52",20,155000,62907760,-0.0583,"GSM2403462_8622007027_R02C01",0.487726889520903
"53",21,10848948,48084948,-0.0183,"GSM2403462_8622007027_R02C01",0.487726889520903
"54",22,16373925,51222283,0.0323,"GSM2403462_8622007027_R02C01",0.487726889520903
"55",3,155000,197831215,-0.0702,"GSM2403462_8622007027_R02C01",0.487726889520903
"56",4,55000,62650000,-0.0348,"GSM2403462_8622007027_R02C01",0.487726889520903
"57",4,64700000,71375000,-0.391,"GSM2403462_8622007027_R02C01",0.487726889520903
"58",4,71575000,190972138,-0.173,"GSM2403462_8622007027_R02C01",0.487726889520903
