"chromosome","start","end","segmean","sample"
"1",1,635684,121193348,-0.1469,"GSM2402996_6929689149_R04C02"
"2",1,121392717,249195311,0.2303,"GSM2402996_6929689149_R04C02"
"3",10,105000,135462374,-0.1787,"GSM2402996_6929689149_R04C02"
"4",11,130000,134873258,0.2045,"GSM2402996_6929689149_R04C02"
"5",12,172870,133770948,0.2137,"GSM2402996_6929689149_R04C02"
"6",13,19110000,115079939,0.1859,"GSM2402996_6929689149_R04C02"
"7",14,19325000,107119770,-0.1737,"GSM2402996_6929689149_R04C02"
"8",15,20225000,102410696,0.2214,"GSM2402996_6929689149_R04C02"
"9",16,105000,90222377,-0.1614,"GSM2402996_6929689149_R04C02"
"10",17,25000,81122605,0.0855,"GSM2402996_6929689149_R04C02"
"11",18,80000,77983624,-0.3279,"GSM2402996_6929689149_R04C02"
"12",19,180000,5325000,-0.1984,"GSM2402996_6929689149_R04C02"
"13",19,5450000,59084492,0.1462,"GSM2402996_6929689149_R04C02"
"14",2,130000,243026238,0.1738,"GSM2402996_6929689149_R04C02"
"15",20,155000,62907760,0.1302,"GSM2402996_6929689149_R04C02"
"16",21,10848948,48084948,0.1651,"GSM2402996_6929689149_R04C02"
"17",22,16373925,51222283,-0.1623,"GSM2402996_6929689149_R04C02"
"18",3,155000,197831215,0.2064,"GSM2402996_6929689149_R04C02"
"19",4,55000,190972138,0.1479,"GSM2402996_6929689149_R04C02"
"20",5,55000,180777630,-0.1971,"GSM2402996_6929689149_R04C02"
"21",6,155000,170952534,-0.216,"GSM2402996_6929689149_R04C02"
"22",7,55000,159039332,0.245,"GSM2402996_6929689149_R04C02"
"23",8,105000,146277011,-0.2009,"GSM2402996_6929689149_R04C02"
"24",9,130000,141076716,0.194,"GSM2402996_6929689149_R04C02"
"25",1,635684,249195311,0.0349,"GSM2403127_6285641010_R03C01"
"26",10,105000,135462374,-0.2069,"GSM2403127_6285641010_R03C01"
"27",11,130000,134873258,0.1552,"GSM2403127_6285641010_R03C01"
"28",12,172870,133770948,0.1952,"GSM2403127_6285641010_R03C01"
"29",13,19110000,115079939,0.0461,"GSM2403127_6285641010_R03C01"
"30",14,19325000,107119770,0.0489,"GSM2403127_6285641010_R03C01"
"31",15,20225000,102410696,0.0535,"GSM2403127_6285641010_R03C01"
"32",16,105000,90222377,0.1647,"GSM2403127_6285641010_R03C01"
"33",17,25000,81122605,-0.0183,"GSM2403127_6285641010_R03C01"
"34",18,80000,77983624,0.1112,"GSM2403127_6285641010_R03C01"
"35",19,180000,59084492,-0.0047,"GSM2403127_6285641010_R03C01"
"36",2,130000,243026238,0.0287,"GSM2403127_6285641010_R03C01"
"37",20,155000,62907760,0.1134,"GSM2403127_6285641010_R03C01"
"38",21,10848948,48084948,0.1767,"GSM2403127_6285641010_R03C01"
"39",22,16373925,51222283,-0.1769,"GSM2403127_6285641010_R03C01"
"40",3,155000,197831215,4e-04,"GSM2403127_6285641010_R03C01"
"41",4,55000,190972138,0.1676,"GSM2403127_6285641010_R03C01"
"42",5,55000,180777630,0.0177,"GSM2403127_6285641010_R03C01"
"43",6,155000,170952534,-0.2255,"GSM2403127_6285641010_R03C01"
"44",7,55000,159039332,0.0545,"GSM2403127_6285641010_R03C01"
"45",8,105000,146277011,-0.217,"GSM2403127_6285641010_R03C01"
"46",9,130000,141076716,0.0025,"GSM2403127_6285641010_R03C01"
"47",1,635684,775000,0.1003,"GSM2403128_6285641010_R02C01"
"48",1,825000,121193348,-0.136,"GSM2403128_6285641010_R02C01"
"49",1,121392717,249195311,0.1955,"GSM2403128_6285641010_R02C01"
"50",10,105000,135462374,-0.1544,"GSM2403128_6285641010_R02C01"
"51",11,130000,134873258,0.1784,"GSM2403128_6285641010_R02C01"
"52",12,172870,133770948,0.0739,"GSM2403128_6285641010_R02C01"
"53",13,19110000,115079939,-0.1143,"GSM2403128_6285641010_R02C01"
"54",14,19325000,107119770,-0.1479,"GSM2403128_6285641010_R02C01"
"55",15,20225000,102410696,0.2312,"GSM2403128_6285641010_R02C01"
"56",16,105000,90222377,-0.1528,"GSM2403128_6285641010_R02C01"
"57",17,25000,81122605,0.0122,"GSM2403128_6285641010_R02C01"
"58",18,80000,77983624,0.0073,"GSM2403128_6285641010_R02C01"
"59",19,180000,59084492,0.0441,"GSM2403128_6285641010_R02C01"
"60",2,130000,243026238,-0.1606,"GSM2403128_6285641010_R02C01"
"61",20,155000,62907760,0.0183,"GSM2403128_6285641010_R02C01"
"62",21,10848948,48084948,-0.1344,"GSM2403128_6285641010_R02C01"
"63",22,16373925,51222283,0.0908,"GSM2403128_6285641010_R02C01"
"64",3,155000,197831215,0.2128,"GSM2403128_6285641010_R02C01"
"65",4,55000,190972138,0.1929,"GSM2403128_6285641010_R02C01"
"66",5,55000,180777630,0.0644,"GSM2403128_6285641010_R02C01"
"67",6,155000,170952534,-0.1841,"GSM2403128_6285641010_R02C01"
"68",7,55000,159039332,0.1068,"GSM2403128_6285641010_R02C01"
"69",8,105000,146277011,0.0867,"GSM2403128_6285641010_R02C01"
"70",9,130000,141076716,0.0665,"GSM2403128_6285641010_R02C01"
"71",1,635684,120548578,-0.1072,"GSM2403226_6752625135_R01C01"
"72",1,120841926,249195311,0.2955,"GSM2403226_6752625135_R01C01"
"73",10,105000,135462374,0.0534,"GSM2403226_6752625135_R01C01"
"74",11,130000,134873258,0.1003,"GSM2403226_6752625135_R01C01"
"75",12,172870,133770948,0.1152,"GSM2403226_6752625135_R01C01"
"76",13,19110000,115079939,-0.0161,"GSM2403226_6752625135_R01C01"
"77",14,19325000,20450000,0.2892,"GSM2403226_6752625135_R01C01"
"78",14,20800000,107119770,-0.18,"GSM2403226_6752625135_R01C01"
"79",15,20225000,102410696,0.102,"GSM2403226_6752625135_R01C01"
"80",16,105000,90222377,-0.0578,"GSM2403226_6752625135_R01C01"
"81",17,25000,81122605,-0.1623,"GSM2403226_6752625135_R01C01"
"82",18,80000,77983624,0.0155,"GSM2403226_6752625135_R01C01"
"83",19,180000,59084492,0.1495,"GSM2403226_6752625135_R01C01"
"84",2,130000,243026238,-0.1366,"GSM2403226_6752625135_R01C01"
"85",20,155000,62907760,0.0931,"GSM2403226_6752625135_R01C01"
"86",21,10848948,48084948,-0.1076,"GSM2403226_6752625135_R01C01"
"87",22,16373925,51222283,-0.1504,"GSM2403226_6752625135_R01C01"
"88",3,155000,197831215,-0.169,"GSM2403226_6752625135_R01C01"
"89",4,55000,190972138,0.0501,"GSM2403226_6752625135_R01C01"
"90",5,55000,180777630,0.0967,"GSM2403226_6752625135_R01C01"
"91",6,155000,170952534,-0.1078,"GSM2403226_6752625135_R01C01"
"92",7,55000,159039332,0.2011,"GSM2403226_6752625135_R01C01"
