"chrom","start.pos","end.pos","n.probes","GSM2402940_6969568004_R02C02","GSM2402942_6969568004_R05C02","GSM2403006_6929718009_R01C01","GSM2403034_6929793061_R01C02","GSM2403037_6929793061_R03C02","GSM2403053_6229017094_R05C01","GSM2403241_7970368141_R02C01","GSM2403251_7970368141_R03C02","GSM2403255_7970376026_R02C01","GSM2403257_7970376067_R03C02","GSM2403258_7970376067_R04C01","GSM2403261_7970368167_R02C01","GSM2403271_7970368167_R03C02","GSM2403278_7970376026_R06C01","GSM2403288_7970376026_R06C02","GSM2403293_7970368168_R05C02","GSM2403314_7970376005_R06C01","GSM2403318_7970376055_R05C01","GSM2403321_7970376067_R06C01","GSM2403326_7990895095_R04C01","GSM2403328_7990895095_R06C01","GSM2403337_7990895095_R06C02","GSM2403341_7990895127_R05C02","GSM2403342_7990895046_R01C02","GSM2403354_7990895093_R01C01","GSM2403362_7990908004_R02C01","GSM2403381_7990895046_R06C02","GSM2403383_7990895127_R03C01","GSM2403389_7990895093_R04C01","GSM2403434_8622007025_R05C02","GSM2403440_8622007026_R03C02","GSM2403523_8622007066_R06C01","GSM2403692_9007217108_R06C01","GSM2403698_9007217016_R06C02","GSM2403700_9007217016_R03C01","GSM2403838_9305216168_R01C01","GSM2403891_9297949147_R01C01","GSM2403918_9305216199_R04C01","GSM2404064_9374341006_R02C01","GSM2404065_9374341006_R04C01","GSM2404066_9374341006_R05C01","GSM2404096_9374342010_R05C02","GSM2404269_9379086089_R05C02","GSM2404520_9444374157_R04C02","GSM2404742_9741950152_R02C02","GSM2404743_9741950152_R06C02","GSM2404744_9761749012_R05C01","GSM2404747_9761749088_R06C01","GSM2404853_9533774072_R01C02","GSM2405062_9969477090_R02C02","GSM2405082_9969477099_R02C02","GSM2405371_3999834063_R04C01","GSM2940748_10006823024_R04C01","GSM2940841_200325530044_R04C02","GSM2940879_200362700196_R06C01","GSM2940925_200406080086_R05C01","GSM2940969_3998523056_R03C01","GSM2941003_3998546129_R05C01","GSM2941095_3998909181_R01C01","GSM2941314_3999875076_R04C01","GSM2941330_9340996003_R03C02","GSM2941429_9444375114_R04C02","GSM2941466_9533774097_R03C02","GSM2941603_9855358035_R06C02","GSM2941815_9969477124_R01C01"
"1",1,521369,249150001,1593,0.056,0.072,0.077,0.024,0.001,0.043,0.057,0.036,0.009,0.017,0.015,0.067,0.063,0.049,0.029,-0.006,0.03,0.053,0.006,0.043,0.078,0.01,-0.001,0.021,0.044,-0.044,0.003,0.045,0.047,0.049,0.038,0.072,0.065,0.067,0.036,0.048,0.058,0.032,-0.006,0.035,0.033,0.022,0.049,0.026,0.054,0.084,0.028,0.092,0.022,0.119,0.05,0.041,0.043,0.005,0.183,0.029,-0.003,0.026,0.037,0.016,0.116,0.064,0.086,-0.018,-0.005
"2",2,10001,242950001,1282,0.03,0.043,0.035,-0.01,0.182,0.044,0.012,0.002,-0.004,0.004,-0.006,-0.026,0.027,-0.004,0.014,0.07,0.008,-0.042,0.141,0.17,0.057,-0.014,0.192,0.237,0.041,0.168,0.235,0.042,0.065,0.003,0,0.096,0.016,-0.007,-0.013,0.167,-0.019,-0.025,0.129,0.005,-0.003,-0.002,-0.01,-0.015,0.007,0.122,0.201,-0.006,0.016,0.047,-0.018,-0.002,0.238,-0.004,0.275,-0.009,0.03,0.07,0.097,0.024,0.027,0.015,0.029,0.16,0.143
"3",3,60001,197700001,978,0.077,0.091,0.087,0.016,-0.026,0.037,0.018,-0.008,-0.017,0.004,-0.014,-0.043,0.067,-0.004,0.029,0.103,-0.008,-0.075,-0.024,0.158,0.037,-0.023,-0.087,0.265,0.075,0.167,0.285,0.091,0.168,0.035,0.024,0.203,0.036,0.004,0.005,-0.045,-0.011,-0.022,-0.05,0.019,0.014,-0.003,0.002,-0.018,0.029,0.026,-0.02,0.03,0.03,-0.074,-0.002,0.003,0.081,-0.014,0.074,-0.052,0.04,0.021,-0.006,0.053,0.032,0.03,0.04,0.113,-0.039
"4",4,10001,190900001,742,-0.035,-0.006,-0.019,-0.062,-0.094,-0.061,-0.039,-0.033,-0.03,-0.032,-0.045,-0.091,-0.015,-0.062,-0.018,0.029,-0.021,-0.109,-0.065,-0.099,-0.001,-0.04,-0.1,-0.009,0.016,0.11,-0.063,0.016,-0.038,-0.05,-0.041,0.044,-0.049,-0.077,-0.065,-0.148,-0.092,-0.08,-0.097,-0.039,-0.043,-0.055,-0.084,-0.063,-0.058,-0.081,-0.097,-0.058,-0.001,-0.004,-0.083,-0.081,-0.048,-0.059,-0.073,-0.025,-0.034,-0.039,-0.048,-0.026,-0.051,-0.054,-0.011,-0.122,-0.08
"5",5,10001,180650001,849,0.059,0.078,0.07,0.01,-0.029,0.027,0.031,0.008,-0.013,0.014,-0.001,-0.012,0.047,0.009,0.031,0.091,0.015,-0.021,-0.029,-0.008,0.096,-0.016,-0.069,0.054,0.069,-0.076,0.001,0.066,0.036,0.022,0.018,0.152,0.046,0.014,0.005,-0.046,-0.006,-0.021,-0.041,0.018,0.012,0.001,-0.003,-0.005,0.019,0.01,-0.027,0.023,0.029,-0.092,-0.009,0.002,0.022,-0.009,0.054,-0.023,0.023,-0.008,0.003,0.037,0.032,0.032,0.035,-0.064,-0.033
"6",6,60001,170850001,988,0.041,0.05,0.038,-0.005,-0.054,0.007,0.004,-0.008,-0.007,0.003,-0.003,-0.066,0.017,-0.015,0.011,0.088,-0.002,-0.089,-0.062,-0.032,0.069,-0.028,-0.109,0.046,0.062,-0.083,0,0.056,0.018,0.004,-0.008,0.147,-0.025,-0.023,-0.024,-0.096,-0.04,-0.048,0.071,0.007,-0.005,-0.005,-0.03,-0.016,0.001,-0.028,-0.059,-0.041,0.019,-0.119,-0.028,-0.013,-0.002,-0.004,0.028,-0.035,0.037,-0.022,-0.009,0.045,0.042,0.002,0.041,0.152,-0.051
"7",7,10001,158950001,952,0.099,0.106,0.099,0.257,0.181,0.057,0.036,0.027,0.046,0.049,0.04,-0.019,0.043,0.024,0.05,0.133,0.033,-0.052,-0.013,0.03,0.121,0.032,0.058,0.079,0.09,-0.017,0.037,0.099,0.065,0.05,0.047,0.199,-0.019,0.022,0.016,-0.049,0.003,-0.009,0.118,0.041,0.033,0.04,0.009,0.032,0.039,0.019,-0.027,-0.007,0.029,0.062,0.006,0.032,0.042,0.044,0.089,-0.007,0.099,0.011,0.035,0.103,0.113,0.051,0.069,0.18,0.287
"8",8,10001,146250001,726,0.023,0.041,0.035,-0.011,-0.059,-0.002,0.022,0.016,0.003,-0.004,-0.004,-0.008,0.037,0.008,0.012,0.054,0.022,-0.025,-0.031,-0.093,0.034,-0.002,-0.16,0.029,0.047,-0.058,-0.025,0.042,0.024,-0.002,0.005,0.089,0.014,-0.018,-0.008,-0.058,-0.015,-0.025,-0.067,0.01,0.004,0.006,-0.017,-0.013,0.009,-0.021,-0.045,-0.016,0.018,-0.107,-0.017,0.004,-0.005,0.008,0.013,0.004,0.031,0,0.012,0.009,0.035,0.016,0.034,-0.102,-0.032
"9",9,10001,141000001,383,-0.239,-0.033,-0.304,0.015,-0.002,0.048,-0.282,0.026,0.022,0.037,0.027,-0.148,0.051,-0.315,-0.237,-0.302,0.021,-0.196,0.2,0.104,-0.268,-0.427,-0.292,0.209,0.044,-0.017,0.003,-0.325,0.052,-0.281,-0.272,-0.319,0.054,-0.392,0.041,0.045,-0.176,0.039,-0.025,0.023,0.026,0.025,-0.274,-0.363,0.05,-0.258,0.042,0.086,0.026,0.03,0.034,0.037,0.037,0.026,-0.35,0.03,0.026,-0.044,0.027,0.042,-0.301,-0.134,-0.25,-0.037,0.235
"10",10,60001,135400001,840,0.063,-0.249,-0.332,0.017,0.152,0.036,0.056,0.034,0.047,0.042,0.032,0.041,-0.124,0.045,0.043,0.091,0.043,0.023,0.024,0.023,0.103,0.041,0.006,0.044,0.063,-0.017,0.021,0.073,0.044,0.042,0.035,0.113,0.049,0.05,0.028,-0.015,-0.199,0.012,-0.101,0.025,0.025,0.025,0.02,0.026,0.039,0.032,0.002,-0.126,0.015,-0.063,0.018,0.032,0.028,0.035,0.066,-0.368,0.048,0.019,0.026,0.049,0.068,-0.169,0.021,-0.043,-0.023
