"chrom","start.pos","end.pos","n.probes","GSM2403504_8622007069_R01C01","GSM2403505_8622007069_R06C01","GSM2403508_8622007067_R04C02","GSM2403852_9305651037_R06C02","GSM2403901_9305216209_R03C01","GSM2403937_9305651053_R06C02","GSM2403953_9305651055_R05C02","GSM2403954_9305651055_R06C02","GSM2403955_9305651060_R01C01","GSM2403956_9305651060_R02C01","GSM2403957_9305651060_R03C01","GSM2403958_9305651060_R04C01","GSM2403959_9305651060_R05C01","GSM2403960_9305651060_R06C01","GSM2403961_9305651060_R01C02","GSM2403962_9305651060_R02C02","GSM2404061_9373551039_R05C01","GSM2404449_9420867087_R02C02","GSM2404472_9444374132_R03C02","GSM2404473_9444374132_R06C02","GSM2404474_9444374133_R02C01","GSM2404475_9444374133_R03C01","GSM2405335_3999834002_R02C02","GSM2940868_200362700194_R01C02","GSM2940915_200400320088_R02C02","GSM2941255_3999834068_R01C02","GSM2941499_9553932054_R03C02","GSM2941574_9741950149_R03C02","GSM2941578_9741950149_R06C02","GSM2941694_9968646118_R02C02","GSM2941793_9969477102_R04C01"
"1",1,521369,249150001,1593,0.003,0.002,-0.005,0.046,0.05,0.015,0.039,0.051,0.016,0.025,0.051,-0.005,-0.02,0.01,0.003,0.001,0.021,0.037,0.041,-0.001,0.005,0.013,0.046,0.044,-0.096,0.028,0.009,0.012,0.075,0.013,0.013
"2",2,10001,242950001,1282,0.081,0.055,0.03,0.015,0.016,0.013,0.013,0.032,0.013,0.011,0.016,-0.016,0.032,-0.009,0.01,-0.008,-0.007,0.033,0.019,-0.017,0.002,0.028,-0.009,0.013,-0.044,0.041,-0.02,-0.023,0.055,0.001,-0.025
"3",3,60001,197700001,978,0.108,0.061,0.032,0.031,0.036,0.013,0.013,0.059,0.018,0.013,0.032,-0.042,0.017,-0.013,-0.004,-0.023,-0.019,0.055,0.031,-0.061,-0.037,0.049,-0.014,0.006,-0.088,0.041,-0.033,-0.05,0.118,-0.03,-0.087
"4",4,10001,190900001,742,0.047,0.067,0.018,-0.076,-0.068,-0.046,-0.034,-0.048,-0.044,-0.052,-0.066,-0.05,0.004,-0.049,-0.018,-0.034,-0.063,-0.043,-0.027,-0.017,0.015,-0.02,-0.073,-0.052,-0.038,-0.013,-0.061,-0.055,-0.004,-0.029,-0.023
"5",5,10001,180650001,849,0.076,0.044,0.027,0.023,0.026,0.018,0.019,0.052,0.016,0.015,0.024,-0.029,-0.004,-0.008,0.001,-0.014,-0.004,0.045,0.032,-0.025,-0.008,0.041,0.016,0.018,-0.09,0.045,-0.016,-0.025,0.094,-0.005,-0.035
"6",6,60001,170850001,988,0.101,0.069,0.033,0.022,0.026,0.023,0.013,0.042,0.014,0.015,0.016,-0.02,0.042,-0.013,-0.001,-0.012,-0.003,0.047,0.024,-0.035,-0.007,0.05,-0.015,0.016,-0.056,0.05,-0.021,-0.036,0.081,-0.012,-0.052
"7",7,10001,158950001,952,0.156,0.094,0.099,0.081,0.071,0.079,0.065,0.1,0.088,0.066,0.074,0.035,0.1,0.039,0.056,0.043,0.036,0.096,0.058,-0.01,0.022,0.084,0.036,0.064,-0.017,0.071,0.021,0.006,0.134,0.049,0
"8",8,10001,146250001,726,0.082,0.071,0.049,0.02,0.009,0.021,0.026,0.034,0.017,0.011,0.013,-0.017,0.039,-0.002,0.012,0.001,0.007,0.039,0.022,-0.007,0.026,0.027,0.015,0.029,-0.016,0.049,-0.009,-0.007,0.052,0.02,0.009
"9",9,10001,141000001,383,0.071,0.061,0.049,0.061,0.065,0.029,0.051,0.065,0.043,0.039,0.07,0.027,0.036,0.031,0.042,0.027,0.024,0.034,0.036,0.009,0.014,0.017,0.052,0.041,-0.063,0.028,0.012,0.032,0.073,0.025,0.027
"10",10,60001,135400001,840,0.104,0.069,0.062,0.052,0.051,0.045,0.054,0.066,0.048,0.04,0.05,0.016,0.069,0.027,0.05,0.027,0.022,0.053,0.043,0.018,0.039,0.047,0.033,0.046,-0.004,0.063,0.022,0.025,0.1,0.027,0.019
"11",11,60001,134800001,914,0.083,0.035,0.03,0.052,0.051,0.019,0.029,0.07,0.029,0.022,0.051,-0.021,0.026,0,0.004,-0.014,0.004,0.056,0.029,-0.045,-0.031,0.035,0.011,0.025,-0.072,0.039,-0.013,-0.028,0.098,-0.01,-0.045
"12",12,145740,133700001,848,0.055,0.038,0.018,0.038,0.039,0.022,0.034,0.051,0.024,0.028,0.041,0.001,0.011,0.011,0.017,0.006,0.006,0.04,0.034,-0.003,0.006,0.032,0.017,0.029,-0.072,0.024,0.004,0.004,0.098,0.007,-0.007
"13",13,19020001,115050001,431,0.235,0.152,0.107,0.068,0.051,0.075,0.032,0.095,0.072,0.051,0.047,0,0.084,0.011,0.048,0.018,-0.004,0.111,0.043,-0.061,-0.02,0.111,-0.023,0.031,-0.002,0.115,-0.031,-0.063,0.132,0.006,-0.083
