"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0611,"GSM2402866_5684819013_R02C01"
"2",10,105000,135462374,0.0352,"GSM2402866_5684819013_R02C01"
"3",11,130000,48550000,0.0491,"GSM2402866_5684819013_R02C01"
"4",11,48975000,56100000,-0.1715,"GSM2402866_5684819013_R02C01"
"5",11,56300000,134873258,0.0572,"GSM2402866_5684819013_R02C01"
"6",12,172870,133770948,0.0477,"GSM2402866_5684819013_R02C01"
"7",13,19110000,115079939,0.0197,"GSM2402866_5684819013_R02C01"
"8",14,19325000,107119770,0.0423,"GSM2402866_5684819013_R02C01"
"9",15,20225000,102410696,0.0513,"GSM2402866_5684819013_R02C01"
"10",16,105000,90222377,0.0473,"GSM2402866_5684819013_R02C01"
"11",17,25000,81122605,-0.0398,"GSM2402866_5684819013_R02C01"
"12",18,80000,77983624,-0.1037,"GSM2402866_5684819013_R02C01"
"13",19,180000,59084492,0.03,"GSM2402866_5684819013_R02C01"
"14",2,130000,243026238,0.0021,"GSM2402866_5684819013_R02C01"
"15",20,155000,62907760,0.0179,"GSM2402866_5684819013_R02C01"
"16",21,10848948,48084948,0.0138,"GSM2402866_5684819013_R02C01"
"17",22,16373925,51222283,0.0455,"GSM2402866_5684819013_R02C01"
"18",3,155000,197831215,0.0374,"GSM2402866_5684819013_R02C01"
"19",4,55000,190972138,-0.0466,"GSM2402866_5684819013_R02C01"
"20",5,55000,180777630,0.0327,"GSM2402866_5684819013_R02C01"
"21",6,155000,170952534,0.0133,"GSM2402866_5684819013_R02C01"
"22",7,55000,159039332,0.0605,"GSM2402866_5684819013_R02C01"
"23",8,105000,146277011,0.0114,"GSM2402866_5684819013_R02C01"
"24",9,130000,141076716,0.0471,"GSM2402866_5684819013_R02C01"
"25",1,635684,249195311,0.0749,"GSM2402916_6929689168_R01C02"
"26",10,105000,47660823,0.0668,"GSM2402916_6929689168_R01C02"
"27",10,48252854,135462374,-0.2509,"GSM2402916_6929689168_R01C02"
"28",11,130000,134873258,0.081,"GSM2402916_6929689168_R01C02"
"29",12,172870,133770948,0.0626,"GSM2402916_6929689168_R01C02"
"30",13,19110000,78825000,0.054,"GSM2402916_6929689168_R01C02"
"31",13,79175000,97200000,-0.2641,"GSM2402916_6929689168_R01C02"
"32",13,97775000,115079939,0.0867,"GSM2402916_6929689168_R01C02"
"33",14,19325000,107119770,0.2447,"GSM2402916_6929689168_R01C02"
"34",15,20225000,102410696,0.0621,"GSM2402916_6929689168_R01C02"
"35",16,105000,90222377,0.0606,"GSM2402916_6929689168_R01C02"
"36",17,25000,81122605,-0.0337,"GSM2402916_6929689168_R01C02"
"37",18,80000,77983624,-0.3813,"GSM2402916_6929689168_R01C02"
"38",19,180000,59084492,-0.0059,"GSM2402916_6929689168_R01C02"
"39",2,130000,243026238,0.0412,"GSM2402916_6929689168_R01C02"
