"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,0.0078,"GSM2404195_9376538153_R06C02",0.659738874374069
"2",10,105000,135462374,-0.0645,"GSM2404195_9376538153_R06C02",0.659738874374069
"3",11,130000,134873258,-0.1182,"GSM2404195_9376538153_R06C02",0.659738874374069
"4",12,172870,133770948,-0.0853,"GSM2404195_9376538153_R06C02",0.659738874374069
"5",13,19110000,115079939,-0.0761,"GSM2404195_9376538153_R06C02",0.659738874374069
"6",14,19325000,78525000,-0.0984,"GSM2404195_9376538153_R06C02",0.659738874374069
"7",14,78850000,81050000,-0.5889,"GSM2404195_9376538153_R06C02",0.659738874374069
"8",14,81425000,107119770,0.0096,"GSM2404195_9376538153_R06C02",0.659738874374069
"9",15,20225000,102410696,-0.0496,"GSM2404195_9376538153_R06C02",0.659738874374069
"10",16,105000,5125000,0.0505,"GSM2404195_9376538153_R06C02",0.659738874374069
"11",16,5475000,7575000,-0.3917,"GSM2404195_9376538153_R06C02",0.659738874374069
"12",16,8193461,46517901,-0.0185,"GSM2404195_9376538153_R06C02",0.659738874374069
"13",16,46675000,51025000,-0.371,"GSM2404195_9376538153_R06C02",0.659738874374069
"14",16,51175000,52575000,-0.8861,"GSM2404195_9376538153_R06C02",0.659738874374069
"15",16,52850000,58775000,-0.3374,"GSM2404195_9376538153_R06C02",0.659738874374069
"16",16,59975000,66275000,-0.6917,"GSM2404195_9376538153_R06C02",0.659738874374069
"17",16,66425000,90222377,-0.2663,"GSM2404195_9376538153_R06C02",0.659738874374069
"18",17,25000,81122605,-0.0446,"GSM2404195_9376538153_R06C02",0.659738874374069
"19",18,80000,77983624,-0.0664,"GSM2404195_9376538153_R06C02",0.659738874374069
"20",19,180000,59084492,0.008,"GSM2404195_9376538153_R06C02",0.659738874374069
"21",2,130000,243026238,-0.0895,"GSM2404195_9376538153_R06C02",0.659738874374069
"22",20,155000,62907760,-0.0648,"GSM2404195_9376538153_R06C02",0.659738874374069
"23",21,10848948,48084948,-0.0118,"GSM2404195_9376538153_R06C02",0.659738874374069
"24",22,16373925,51222283,-0.0731,"GSM2404195_9376538153_R06C02",0.659738874374069
"25",3,155000,197831215,-0.1524,"GSM2404195_9376538153_R06C02",0.659738874374069
"26",4,55000,190972138,-0.1275,"GSM2404195_9376538153_R06C02",0.659738874374069
