"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.2765,"GSM2404037_9373550164_R06C01",0.844102114235908
"2",10,105000,135462374,-0.0424,"GSM2404037_9373550164_R06C01",0.844102114235908
"3",11,130000,134873258,-0.0885,"GSM2404037_9373550164_R06C01",0.844102114235908
"4",12,172870,133770948,-0.0847,"GSM2404037_9373550164_R06C01",0.844102114235908
"5",13,19110000,115079939,-0.0795,"GSM2404037_9373550164_R06C01",0.844102114235908
"6",14,19325000,20025000,0.5151,"GSM2404037_9373550164_R06C01",0.844102114235908
"7",14,20450000,107119770,-0.0767,"GSM2404037_9373550164_R06C01",0.844102114235908
"8",15,20225000,102410696,-0.0441,"GSM2404037_9373550164_R06C01",0.844102114235908
"9",16,105000,90222377,0.0166,"GSM2404037_9373550164_R06C01",0.844102114235908
"10",17,25000,81122605,-0.0671,"GSM2404037_9373550164_R06C01",0.844102114235908
"11",18,80000,77983624,-0.1152,"GSM2404037_9373550164_R06C01",0.844102114235908
"12",19,180000,59084492,-0.1378,"GSM2404037_9373550164_R06C01",0.844102114235908
"13",2,130000,243026238,-0.1018,"GSM2404037_9373550164_R06C01",0.844102114235908
"14",20,155000,62907760,-0.0951,"GSM2404037_9373550164_R06C01",0.844102114235908
"15",21,10848948,48084948,-0.0024,"GSM2404037_9373550164_R06C01",0.844102114235908
"16",22,16373925,51222283,-0.0029,"GSM2404037_9373550164_R06C01",0.844102114235908
"17",3,155000,187925000,-0.1329,"GSM2404037_9373550164_R06C01",0.844102114235908
"18",3,1.88e+08,189675000,-0.5075,"GSM2404037_9373550164_R06C01",0.844102114235908
"19",3,189825000,197831215,-0.0158,"GSM2404037_9373550164_R06C01",0.844102114235908
"20",4,55000,190972138,-0.132,"GSM2404037_9373550164_R06C01",0.844102114235908
"21",5,55000,180777630,-0.095,"GSM2404037_9373550164_R06C01",0.844102114235908
"22",6,155000,170952534,-0.0993,"GSM2404037_9373550164_R06C01",0.844102114235908
"23",7,55000,57475000,-0.0256,"GSM2404037_9373550164_R06C01",0.844102114235908
"24",7,57600000,63275000,0.3496,"GSM2404037_9373550164_R06C01",0.844102114235908
"25",7,63375000,159039332,-0.0449,"GSM2404037_9373550164_R06C01",0.844102114235908
"26",8,105000,8175000,0.2153,"GSM2404037_9373550164_R06C01",0.844102114235908
"27",8,8225000,88875000,-0.1159,"GSM2404037_9373550164_R06C01",0.844102114235908
"28",8,89100000,93325000,-0.5137,"GSM2404037_9373550164_R06C01",0.844102114235908
"29",8,93725000,146277011,-0.1151,"GSM2404037_9373550164_R06C01",0.844102114235908
"30",9,130000,141076716,-0.047,"GSM2404037_9373550164_R06C01",0.844102114235908
"31",1,635684,16825000,-0.2632,"GSM2405004_9969477022_R03C02",0.807235054334307
"32",1,16875000,17187829,0.1802,"GSM2405004_9969477022_R03C02",0.807235054334307
"33",1,17225000,249195311,-0.2391,"GSM2405004_9969477022_R03C02",0.807235054334307
"34",10,105000,135462374,-0.0609,"GSM2405004_9969477022_R03C02",0.807235054334307
"35",11,130000,134873258,-0.0594,"GSM2405004_9969477022_R03C02",0.807235054334307
"36",12,172870,133770948,-0.0659,"GSM2405004_9969477022_R03C02",0.807235054334307
"37",13,19110000,115079939,-0.0278,"GSM2405004_9969477022_R03C02",0.807235054334307
"38",14,19325000,107119770,-0.0638,"GSM2405004_9969477022_R03C02",0.807235054334307
"39",15,20225000,102410696,-0.0686,"GSM2405004_9969477022_R03C02",0.807235054334307
"40",16,105000,31825000,-0.0456,"GSM2405004_9969477022_R03C02",0.807235054334307
"41",16,32075000,33986575,0.347,"GSM2405004_9969477022_R03C02",0.807235054334307
"42",16,34286575,90222377,-0.0439,"GSM2405004_9969477022_R03C02",0.807235054334307
"43",17,25000,81122605,-0.132,"GSM2405004_9969477022_R03C02",0.807235054334307
"44",18,80000,77983624,-0.1145,"GSM2405004_9969477022_R03C02",0.807235054334307
"45",19,180000,59084492,-0.1048,"GSM2405004_9969477022_R03C02",0.807235054334307
"46",2,130000,243026238,-0.0989,"GSM2405004_9969477022_R03C02",0.807235054334307
"47",20,155000,62907760,-0.118,"GSM2405004_9969477022_R03C02",0.807235054334307
"48",21,10848948,48084948,-0.0199,"GSM2405004_9969477022_R03C02",0.807235054334307
"49",22,16373925,51222283,-0.0938,"GSM2405004_9969477022_R03C02",0.807235054334307
"50",3,155000,74175000,-0.098,"GSM2405004_9969477022_R03C02",0.807235054334307
"51",3,75025000,75800000,0.3285,"GSM2405004_9969477022_R03C02",0.807235054334307
"52",3,76450000,197831215,-0.0973,"GSM2405004_9969477022_R03C02",0.807235054334307
"53",4,55000,190972138,-0.1087,"GSM2405004_9969477022_R03C02",0.807235054334307
"54",5,55000,180777630,-0.0903,"GSM2405004_9969477022_R03C02",0.807235054334307
"55",6,155000,170952534,0.0046,"GSM2405004_9969477022_R03C02",0.807235054334307
"56",7,55000,159039332,0.0596,"GSM2405004_9969477022_R03C02",0.807235054334307
"57",8,105000,146277011,-0.0499,"GSM2405004_9969477022_R03C02",0.807235054334307
"58",9,130000,141076716,-0.0748,"GSM2405004_9969477022_R03C02",0.807235054334307
"59",1,635684,245325000,-0.0614,"GSM2405501_3999543047_R01C01",0.498135153226855
"60",1,245425000,245775000,0.2677,"GSM2405501_3999543047_R01C01",0.498135153226855
"61",1,245825000,249195311,0.0412,"GSM2405501_3999543047_R01C01",0.498135153226855
"62",10,105000,135462374,-0.027,"GSM2405501_3999543047_R01C01",0.498135153226855
"63",11,130000,36525000,-0.061,"GSM2405501_3999543047_R01C01",0.498135153226855
"64",11,36600000,43325000,-0.296,"GSM2405501_3999543047_R01C01",0.498135153226855
"65",11,43450000,50516927,-0.0205,"GSM2405501_3999543047_R01C01",0.498135153226855
"66",11,54922103,56100000,-0.4216,"GSM2405501_3999543047_R01C01",0.498135153226855
"67",11,56300000,134873258,-0.0645,"GSM2405501_3999543047_R01C01",0.498135153226855
"68",12,172870,133770948,-0.0511,"GSM2405501_3999543047_R01C01",0.498135153226855
"69",13,19110000,115079939,-0.0849,"GSM2405501_3999543047_R01C01",0.498135153226855
"70",14,19325000,20025000,0.3084,"GSM2405501_3999543047_R01C01",0.498135153226855
"71",14,20450000,107119770,-0.0262,"GSM2405501_3999543047_R01C01",0.498135153226855
"72",15,20225000,102410696,-0.0128,"GSM2405501_3999543047_R01C01",0.498135153226855
"73",16,105000,90222377,0.0042,"GSM2405501_3999543047_R01C01",0.498135153226855
"74",17,25000,81122605,-0.035,"GSM2405501_3999543047_R01C01",0.498135153226855
"75",18,80000,77983624,-0.0792,"GSM2405501_3999543047_R01C01",0.498135153226855
"76",19,180000,59084492,-0.0135,"GSM2405501_3999543047_R01C01",0.498135153226855
"77",2,130000,243026238,-0.0634,"GSM2405501_3999543047_R01C01",0.498135153226855
"78",20,155000,62907760,-0.0481,"GSM2405501_3999543047_R01C01",0.498135153226855
"79",21,10848948,48084948,0.1467,"GSM2405501_3999543047_R01C01",0.498135153226855
"80",22,16373925,51222283,0.0427,"GSM2405501_3999543047_R01C01",0.498135153226855
"81",3,155000,197831215,-0.0965,"GSM2405501_3999543047_R01C01",0.498135153226855
"82",4,55000,190972138,-0.11,"GSM2405501_3999543047_R01C01",0.498135153226855
"83",5,55000,180777630,-0.0702,"GSM2405501_3999543047_R01C01",0.498135153226855
"84",6,155000,32425000,-0.0652,"GSM2405501_3999543047_R01C01",0.498135153226855
"85",6,32475000,32725000,-0.5287,"GSM2405501_3999543047_R01C01",0.498135153226855
"86",6,32775000,170952534,-0.0837,"GSM2405501_3999543047_R01C01",0.498135153226855
"87",7,55000,159039332,0.0767,"GSM2405501_3999543047_R01C01",0.498135153226855
