"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.1257,"GSM2402993_6929689149_R05C01"
"2",10,105000,135462374,0.0369,"GSM2402993_6929689149_R05C01"
"3",11,130000,134873258,0.0638,"GSM2402993_6929689149_R05C01"
"4",12,172870,133770948,0.0411,"GSM2402993_6929689149_R05C01"
"5",13,19110000,115079939,0.065,"GSM2402993_6929689149_R05C01"
"6",14,19325000,107119770,0.018,"GSM2402993_6929689149_R05C01"
"7",15,20225000,102410696,0.0224,"GSM2402993_6929689149_R05C01"
"8",16,105000,35017901,0.0636,"GSM2402993_6929689149_R05C01"
"9",16,46517901,90222377,-0.2007,"GSM2402993_6929689149_R05C01"
"10",17,25000,81122605,-0.0678,"GSM2402993_6929689149_R05C01"
"11",18,80000,77983624,-0.1364,"GSM2402993_6929689149_R05C01"
"12",19,180000,59084492,-0.0015,"GSM2402993_6929689149_R05C01"
"13",2,130000,243026238,0.007,"GSM2402993_6929689149_R05C01"
"14",20,155000,62907760,0.0129,"GSM2402993_6929689149_R05C01"
"15",21,10848948,48084948,0.0153,"GSM2402993_6929689149_R05C01"
"16",22,16373925,51222283,0.0065,"GSM2402993_6929689149_R05C01"
"17",3,155000,197831215,0.0467,"GSM2402993_6929689149_R05C01"
"18",4,55000,190972138,-0.0557,"GSM2402993_6929689149_R05C01"
"19",5,55000,180777630,0.0362,"GSM2402993_6929689149_R05C01"
"20",6,155000,170952534,0.0259,"GSM2402993_6929689149_R05C01"
"21",7,55000,159039332,0.0825,"GSM2402993_6929689149_R05C01"
"22",8,105000,146277011,0.0127,"GSM2402993_6929689149_R05C01"
"23",9,130000,141076716,0.0513,"GSM2402993_6929689149_R05C01"
"24",1,635684,152475000,0.0542,"GSM2402995_6929689149_R04C01"
"25",1,152575000,153425000,0.275,"GSM2402995_6929689149_R04C01"
"26",1,153525000,249195311,0.0531,"GSM2402995_6929689149_R04C01"
"27",10,105000,135462374,0.0374,"GSM2402995_6929689149_R04C01"
"28",11,130000,134873258,0.0589,"GSM2402995_6929689149_R04C01"
"29",12,172870,133770948,0.0374,"GSM2402995_6929689149_R04C01"
"30",13,19110000,115079939,0.0436,"GSM2402995_6929689149_R04C01"
"31",14,19325000,107119770,0.0284,"GSM2402995_6929689149_R04C01"
"32",15,20225000,102410696,0.0348,"GSM2402995_6929689149_R04C01"
"33",16,105000,90222377,0.063,"GSM2402995_6929689149_R04C01"
"34",17,25000,81122605,-0.0595,"GSM2402995_6929689149_R04C01"
"35",18,80000,77983624,-0.1448,"GSM2402995_6929689149_R04C01"
"36",19,180000,59084492,0.0128,"GSM2402995_6929689149_R04C01"
"37",2,130000,243026238,0.0047,"GSM2402995_6929689149_R04C01"
"38",20,155000,62907760,0.0147,"GSM2402995_6929689149_R04C01"
"39",21,10848948,48084948,0.011,"GSM2402995_6929689149_R04C01"
"40",22,16373925,51222283,0.0165,"GSM2402995_6929689149_R04C01"
"41",3,155000,197831215,0.0406,"GSM2402995_6929689149_R04C01"
"42",4,55000,190972138,-0.0536,"GSM2402995_6929689149_R04C01"
"43",5,55000,180777630,0.0279,"GSM2402995_6929689149_R04C01"
"44",6,155000,170952534,0.0218,"GSM2402995_6929689149_R04C01"
"45",7,55000,159039332,0.0759,"GSM2402995_6929689149_R04C01"
"46",8,105000,146277011,0.0065,"GSM2402995_6929689149_R04C01"
"47",9,130000,141076716,0.0544,"GSM2402995_6929689149_R04C01"
"48",1,635684,121392717,0.0258,"GSM2403186_6752625107_R01C01"
"49",1,144500872,249195311,0.3698,"GSM2403186_6752625107_R01C01"
"50",10,105000,135462374,0.0204,"GSM2403186_6752625107_R01C01"
"51",11,130000,134873258,0.0328,"GSM2403186_6752625107_R01C01"
"52",12,172870,133770948,0.0178,"GSM2403186_6752625107_R01C01"
