"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0256,"GSM2403950_9305651055_R01C01"
"2",10,105000,135462374,0.0609,"GSM2403950_9305651055_R01C01"
"3",11,130000,134873258,0.0478,"GSM2403950_9305651055_R01C01"
"4",12,172870,133770948,0.0407,"GSM2403950_9305651055_R01C01"
"5",13,19110000,115079939,0.0983,"GSM2403950_9305651055_R01C01"
"6",14,19325000,107119770,0.0268,"GSM2403950_9305651055_R01C01"
"7",15,20225000,102410696,0.0277,"GSM2403950_9305651055_R01C01"
"8",16,105000,90222377,0.0468,"GSM2403950_9305651055_R01C01"
"9",17,25000,81122605,-0.0888,"GSM2403950_9305651055_R01C01"
"10",18,80000,77983624,-0.066,"GSM2403950_9305651055_R01C01"
"11",19,180000,59084492,-0.0212,"GSM2403950_9305651055_R01C01"
"12",2,130000,243026238,0.0294,"GSM2403950_9305651055_R01C01"
"13",20,155000,62907760,-0.0381,"GSM2403950_9305651055_R01C01"
"14",21,10848948,48084948,0.0388,"GSM2403950_9305651055_R01C01"
"15",22,16373925,51222283,-0.026,"GSM2403950_9305651055_R01C01"
"16",3,155000,197831215,0.0545,"GSM2403950_9305651055_R01C01"
"17",4,55000,190972138,-0.0101,"GSM2403950_9305651055_R01C01"
"18",5,55000,180777630,0.0516,"GSM2403950_9305651055_R01C01"
"19",6,155000,170952534,0.0368,"GSM2403950_9305651055_R01C01"
"20",7,55000,159039332,0.0981,"GSM2403950_9305651055_R01C01"
"21",8,105000,146277011,0.046,"GSM2403950_9305651055_R01C01"
"22",9,130000,141076716,0.0404,"GSM2403950_9305651055_R01C01"
"23",1,635684,249195311,0.0284,"GSM2403951_9305651055_R02C01"
"24",10,105000,135462374,0.0488,"GSM2403951_9305651055_R02C01"
"25",11,130000,134873258,0.0371,"GSM2403951_9305651055_R02C01"
"26",12,172870,133770948,0.0427,"GSM2403951_9305651055_R02C01"
"27",13,19110000,40900000,0.0245,"GSM2403951_9305651055_R02C01"
"28",13,41075000,67825000,-0.2697,"GSM2403951_9305651055_R02C01"
"29",13,68250000,115079939,0.1452,"GSM2403951_9305651055_R02C01"
"30",14,19325000,107119770,0.0216,"GSM2403951_9305651055_R02C01"
"31",15,20225000,102410696,0.0343,"GSM2403951_9305651055_R02C01"
"32",16,105000,90222377,0.0466,"GSM2403951_9305651055_R02C01"
"33",17,25000,81122605,-0.0606,"GSM2403951_9305651055_R02C01"
"34",18,80000,77983624,-0.0897,"GSM2403951_9305651055_R02C01"
"35",19,180000,59084492,-0.0045,"GSM2403951_9305651055_R02C01"
"36",2,130000,243026238,0.0238,"GSM2403951_9305651055_R02C01"
"37",20,155000,62907760,-0.0174,"GSM2403951_9305651055_R02C01"
"38",21,10848948,48084948,0.0381,"GSM2403951_9305651055_R02C01"
"39",22,16373925,51222283,-0.002,"GSM2403951_9305651055_R02C01"
"40",3,155000,197831215,0.0424,"GSM2403951_9305651055_R02C01"
"41",4,55000,190972138,-0.038,"GSM2403951_9305651055_R02C01"
"42",5,55000,180777630,0.0394,"GSM2403951_9305651055_R02C01"
"43",6,155000,170952534,0.0412,"GSM2403951_9305651055_R02C01"
"44",7,55000,159039332,0.0761,"GSM2403951_9305651055_R02C01"
"45",8,105000,146277011,0.0271,"GSM2403951_9305651055_R02C01"
"46",9,130000,141076716,0.0379,"GSM2403951_9305651055_R02C01"
"47",1,635684,249195311,0.0359,"GSM2403965_9305651055_R06C01"
"48",10,105000,135462374,0.0579,"GSM2403965_9305651055_R06C01"
"49",11,130000,134873258,0.0562,"GSM2403965_9305651055_R06C01"
"50",12,172870,133770948,0.0535,"GSM2403965_9305651055_R06C01"
"51",13,19110000,115079939,0.1208,"GSM2403965_9305651055_R06C01"
"52",14,19325000,107119770,0.0173,"GSM2403965_9305651055_R06C01"
"53",15,20225000,102410696,0.036,"GSM2403965_9305651055_R06C01"
"54",16,105000,90222377,0.0631,"GSM2403965_9305651055_R06C01"
"55",17,25000,81122605,-0.0821,"GSM2403965_9305651055_R06C01"
"56",18,80000,77983624,-0.1126,"GSM2403965_9305651055_R06C01"
"57",19,180000,59084492,-0.0126,"GSM2403965_9305651055_R06C01"
"58",2,130000,243026238,0.0243,"GSM2403965_9305651055_R06C01"
"59",20,155000,62907760,-0.0164,"GSM2403965_9305651055_R06C01"
"60",21,10848948,48084948,0.0243,"GSM2403965_9305651055_R06C01"
"61",22,16373925,51222283,-0.0272,"GSM2403965_9305651055_R06C01"
"62",3,155000,197831215,0.0648,"GSM2403965_9305651055_R06C01"
"63",4,55000,190972138,-0.0312,"GSM2403965_9305651055_R06C01"
"64",5,55000,180777630,0.0567,"GSM2403965_9305651055_R06C01"
"65",6,155000,170952534,0.048,"GSM2403965_9305651055_R06C01"
"66",7,55000,159039332,0.1013,"GSM2403965_9305651055_R06C01"
"67",8,105000,146277011,0.0369,"GSM2403965_9305651055_R06C01"
"68",9,130000,141076716,0.0437,"GSM2403965_9305651055_R06C01"
"69",1,635684,249195311,0.0226,"GSM2404009_9340996003_R01C02"
"70",10,105000,135462374,0.0364,"GSM2404009_9340996003_R01C02"
"71",11,130000,134873258,0.0141,"GSM2404009_9340996003_R01C02"
"72",12,172870,133770948,0.0224,"GSM2404009_9340996003_R01C02"
"73",13,19110000,115079939,0.0302,"GSM2404009_9340996003_R01C02"
"74",14,19325000,20450000,0.2869,"GSM2404009_9340996003_R01C02"
"75",14,20800000,107119770,0.0178,"GSM2404009_9340996003_R01C02"
"76",15,20225000,102410696,0.0315,"GSM2404009_9340996003_R01C02"
"77",16,105000,90222377,0.0467,"GSM2404009_9340996003_R01C02"
"78",17,25000,81122605,-0.0435,"GSM2404009_9340996003_R01C02"
"79",18,80000,77983624,-0.0759,"GSM2404009_9340996003_R01C02"
"80",19,180000,59084492,5e-04,"GSM2404009_9340996003_R01C02"
"81",2,130000,243026238,0.0013,"GSM2404009_9340996003_R01C02"
"82",20,155000,62907760,-0.0275,"GSM2404009_9340996003_R01C02"
"83",21,10848948,48084948,0.0308,"GSM2404009_9340996003_R01C02"
"84",22,16373925,51222283,0.0179,"GSM2404009_9340996003_R01C02"
"85",3,155000,197831215,0.0089,"GSM2404009_9340996003_R01C02"
"86",4,55000,190972138,-0.0359,"GSM2404009_9340996003_R01C02"
"87",5,55000,180777630,0.0107,"GSM2404009_9340996003_R01C02"
"88",6,155000,170952534,0.0046,"GSM2404009_9340996003_R01C02"
"89",7,55000,159039332,0.0527,"GSM2404009_9340996003_R01C02"
"90",8,105000,146277011,0.0177,"GSM2404009_9340996003_R01C02"
"91",9,130000,141076716,0.0194,"GSM2404009_9340996003_R01C02"
"92",1,635684,249195311,0.0084,"GSM2404016_9340996003_R02C01"
"93",10,105000,135462374,0.0684,"GSM2404016_9340996003_R02C01"
"94",11,130000,134873258,0.0497,"GSM2404016_9340996003_R02C01"
"95",12,172870,133770948,0.031,"GSM2404016_9340996003_R02C01"
"96",13,19110000,115079939,-0.1552,"GSM2404016_9340996003_R02C01"
"97",14,19325000,20450000,0.4346,"GSM2404016_9340996003_R02C01"
"98",14,20800000,107119770,-0.0059,"GSM2404016_9340996003_R02C01"
"99",15,20225000,102410696,0.0164,"GSM2404016_9340996003_R02C01"
"100",16,105000,90222377,0.1097,"GSM2404016_9340996003_R02C01"
"101",17,25000,81122605,-0.043,"GSM2404016_9340996003_R02C01"
"102",18,80000,77983624,-0.0981,"GSM2404016_9340996003_R02C01"
"103",19,180000,59084492,0.0186,"GSM2404016_9340996003_R02C01"
"104",2,130000,243026238,0.0257,"GSM2404016_9340996003_R02C01"
"105",20,155000,62907760,-0.0135,"GSM2404016_9340996003_R02C01"
"106",21,10848948,48084948,0.0591,"GSM2404016_9340996003_R02C01"
"107",22,16373925,51222283,-0.0305,"GSM2404016_9340996003_R02C01"
"108",3,155000,197831215,0.0224,"GSM2404016_9340996003_R02C01"
"109",4,55000,190972138,-0.0389,"GSM2404016_9340996003_R02C01"
"110",5,55000,180777630,0.0398,"GSM2404016_9340996003_R02C01"
"111",6,155000,170952534,0.0392,"GSM2404016_9340996003_R02C01"
"112",7,55000,159039332,0.1117,"GSM2404016_9340996003_R02C01"
"113",8,105000,146277011,0.0474,"GSM2404016_9340996003_R02C01"
"114",9,130000,141076716,0.0455,"GSM2404016_9340996003_R02C01"
"115",1,635684,249195311,0.0269,"GSM2404018_9340996003_R04C01"
