"chrom","start.pos","end.pos","n.probes","GSM2403503_8622007068_R02C01","GSM2403585_8622007120_R02C01","GSM2403732_9007225086_R01C01","GSM2403737_9007225086_R01C02","GSM2403747_9007225163_R06C01","GSM2403828_9297949046_R02C02","GSM2403847_9305651037_R05C01","GSM2403850_9305651037_R04C01","GSM2403897_9305216209_R05C01","GSM2403898_9305216209_R06C01","GSM2403902_9305216209_R02C01","GSM2403996_9305651095_R03C01","GSM2404004_9305651146_R06C01","GSM2404290_9407201027_R04C01","GSM2404292_9407201027_R06C01","GSM2404533_9553932008_R06C01","GSM2404713_9721366138_R04C02","GSM2404735_9741950111_R06C01","GSM2404792_9533774057_R03C02","GSM2404802_9533774057_R01C02","GSM2404803_9533774057_R04C02","GSM2404804_9533774057_R05C02","GSM2404805_9533774066_R05C02","GSM2404806_9533774066_R05C01","GSM2405068_9969477100_R01C02","GSM2405158_9878820030_R02C01","GSM2405181_9878820104_R01C02","GSM2405341_3999834003_R03C02","GSM2940784_10006823144_R02C02","GSM2940923_200406080086_R03C01","GSM2940935_3998523018_R03C01","GSM2940944_3998523022_R05C02","GSM2940945_3998523022_R06C02","GSM2941021_3998567087_R04C02","GSM2941141_3998998164_R06C01","GSM2941142_3998998164_R06C02","GSM2941145_3998998187_R05C01","GSM2941146_3999002043_R03C02","GSM2941230_3999543051_R05C02","GSM2941378_9406921148_R01C01","GSM2941403_9420867121_R05C02","GSM2941438_9513149129_R03C01","GSM2941643_9878820140_R02C01","GSM2941678_9878827227_R04C02","GSM2941684_9878827239_R03C01"
"1",1,521369,249150001,1593,-0.143,-0.039,-0.242,-0.1,-0.018,-0.077,0.006,0,-0.229,0.041,-0.154,0.071,-0.029,-0.053,-0.013,-0.017,-0.057,-0.094,-0.059,-0.05,-0.036,0.005,-0.074,-0.001,-0.072,-0.101,0.022,-0.045,-0.036,-0.104,-0.022,-0.056,-0.043,-0.048,-0.021,-0.101,-0.221,-0.061,-0.13,-0.025,-0.064,-0.213,-0.07,-0.122,-0.002
"2",2,10001,242950001,1282,-0.152,-0.076,-0.218,-0.102,-0.286,-0.081,-0.024,-0.022,-0.213,0.018,-0.011,0.057,-0.071,-0.05,-0.03,-0.063,-0.078,-0.108,-0.099,-0.093,-0.1,-0.121,-0.112,-0.021,-0.098,-0.112,-0.023,-0.11,-0.08,-0.154,-0.073,-0.107,-0.098,-0.084,0.026,-0.119,-0.202,-0.122,-0.188,-0.068,-0.162,-0.231,-0.091,-0.126,-0.05
"3",3,60001,197700001,978,-0.162,-0.105,-0.08,-0.14,-0.032,0.075,-0.259,-0.035,0.006,0.023,0.008,-0.162,-0.08,-0.081,-0.045,-0.094,-0.11,-0.065,-0.097,-0.095,-0.033,-0.141,0.056,-0.028,0.069,-0.156,-0.019,-0.102,-0.125,-0.204,-0.069,0.027,-0.087,0.061,-0.084,-0.169,-0.634,0.087,0.006,-0.1,0.101,-0.282,0.067,-0.272,-0.08
"4",4,10001,190900001,742,0.111,0.013,-0.241,-0.103,0.079,0.04,-0.066,-0.064,-0.016,-0.037,-0.055,0.004,0.064,-0.066,-0.058,-0.107,-0.116,-0.134,0.035,0.091,-0.131,-0.17,0.018,-0.046,-0.151,-0.158,-0.065,-0.014,-0.14,-0.231,-0.132,-0.178,-0.021,0.007,-0.034,-0.157,-0.027,-0.16,-0.008,-0.126,-0.208,-0.106,-0.142,-0.052,-0.11
"5",5,10001,180650001,849,-0.113,0.103,-0.253,0.13,-0.034,-0.074,0.118,-0.019,0.011,0.021,0.132,0.051,-0.074,-0.061,-0.036,-0.085,0.106,0.153,0.089,-0.092,0.065,0.063,-0.114,-0.018,0.108,0.051,-0.013,0.052,-0.088,0.038,0.12,0.086,0.059,0.063,-0.068,0.061,-0.095,0.097,0.028,-0.088,-0.032,-0.053,-0.107,-0.029,-0.058
"6",6,60001,170850001,988,-0.229,-0.105,-0.041,-0.113,0.12,-0.078,-0.03,-0.028,-0.218,0.011,-0.014,-0.163,-0.085,-0.055,-0.048,-0.094,-0.096,-0.108,-0.113,-0.111,-0.125,-0.144,-0.124,-0.032,-0.108,-0.131,-0.025,0.025,-0.092,-0.182,-0.075,-0.116,0.04,-0.088,-0.245,-0.135,-0.555,-0.131,0.019,-0.094,-0.172,-0.229,-0.101,-0.085,-0.066
"7",7,10001,158950001,952,0.042,0.131,0.002,0.144,0.005,0.112,0.022,0.018,-0.142,0.057,0.147,0.081,-0.032,-0.012,-0.011,-0.05,-0.049,0.183,0.117,0.067,0.078,0.074,0.084,0.005,0.14,-0.082,0.011,0.071,-0.03,0.081,0.147,0.116,0.079,-0.052,0.068,0.104,0.057,-0.086,0.052,-0.053,0.104,-0.141,0.146,0.008,0.09
"8",8,10001,146250001,726,-0.113,-0.105,-0.207,-0.094,0.123,0.065,0.022,-0.017,0.009,-0.367,-0.013,-0.16,-0.067,-0.041,-0.046,-0.067,-0.07,-0.101,0.057,0.153,-0.102,-0.117,-0.111,-0.149,-0.098,-0.109,-0.02,0.044,-0.087,0.067,-0.066,-0.103,-0.1,0.058,0.035,-0.1,-0.478,0.093,0.037,-0.062,-0.011,-0.209,0.189,-0.28,-0.043
"9",9,10001,141000001,383,0.115,0.145,-0.034,0.142,0.142,0.072,0.013,0.005,0.183,0.059,0.146,0.104,0.274,-0.037,0.004,-0.003,0.138,0.141,0.1,0.091,0.088,0.197,0.184,0.082,0.126,0.095,0.013,0.165,-0.02,0.12,0.142,0.237,0.186,0.161,0.161,0.1,-0.154,0.231,0.18,0.005,0.151,0.045,0.045,0.027,0.006
"10",10,60001,135400001,840,-0.183,-0.045,-0.421,-0.081,-0.02,-0.262,-0.209,-0.006,-0.165,-0.331,-0.163,-0.127,-0.036,-0.025,-0.014,-0.039,-0.051,-0.073,-0.079,-0.218,-0.088,-0.103,-0.089,-0.136,-0.06,-0.082,0.007,-0.071,-0.041,-0.118,-0.041,-0.07,-0.056,-0.062,-0.184,-0.077,-0.44,-0.08,-0.141,-0.042,0.003,-0.433,-0.077,-0.203,-0.026
