"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0317,"GSM2402886_6969568005_R03C01"
"2",10,105000,135462374,0.0173,"GSM2402886_6969568005_R03C01"
"3",11,130000,134873258,0.0351,"GSM2402886_6969568005_R03C01"
"4",12,172870,133770948,0.0231,"GSM2402886_6969568005_R03C01"
"5",13,19110000,115079939,0.0327,"GSM2402886_6969568005_R03C01"
"6",14,19325000,107119770,0.016,"GSM2402886_6969568005_R03C01"
"7",15,20225000,102410696,0.0308,"GSM2402886_6969568005_R03C01"
"8",16,105000,90222377,0.0413,"GSM2402886_6969568005_R03C01"
"9",17,25000,81122605,-0.0504,"GSM2402886_6969568005_R03C01"
"10",18,80000,77983624,-0.1153,"GSM2402886_6969568005_R03C01"
"11",19,180000,59084492,-4e-04,"GSM2402886_6969568005_R03C01"
"12",2,130000,243026238,-0.0073,"GSM2402886_6969568005_R03C01"
"13",20,155000,62907760,0.0032,"GSM2402886_6969568005_R03C01"
"14",21,10848948,48084948,0.0045,"GSM2402886_6969568005_R03C01"
"15",22,16373925,51222283,0.012,"GSM2402886_6969568005_R03C01"
"16",3,155000,197831215,0.0185,"GSM2402886_6969568005_R03C01"
"17",4,55000,190972138,-0.0568,"GSM2402886_6969568005_R03C01"
"18",5,55000,180777630,0.0454,"GSM2402886_6969568005_R03C01"
"19",6,155000,170952534,0.0339,"GSM2402886_6969568005_R03C01"
"20",7,55000,159039332,0.0816,"GSM2402886_6969568005_R03C01"
"21",8,105000,146277011,0.0116,"GSM2402886_6969568005_R03C01"
"22",9,130000,141076716,0.0363,"GSM2402886_6969568005_R03C01"
"23",1,635684,249195311,0.0442,"GSM2402928_6929689152_R02C01"
"24",10,105000,69075000,0.1548,"GSM2402928_6929689152_R02C01"
"25",10,69550000,70925000,-0.3535,"GSM2402928_6929689152_R02C01"
"26",10,7.1e+07,135462374,0.1352,"GSM2402928_6929689152_R02C01"
"27",11,130000,134873258,0.095,"GSM2402928_6929689152_R02C01"
"28",12,172870,133770948,0.0114,"GSM2402928_6929689152_R02C01"
"29",13,19110000,115079939,0.1509,"GSM2402928_6929689152_R02C01"
