"chromosome","start","end","segmean","sample"
"1",1,635684,149225000,0.0374,"GSM2403000_6929718020_R05C02"
"2",1,149275000,249195311,0.2821,"GSM2403000_6929718020_R05C02"
"3",10,105000,81675000,0.0173,"GSM2403000_6929718020_R05C02"
"4",10,81750000,135462374,-0.3243,"GSM2403000_6929718020_R05C02"
"5",11,130000,100650000,0.0485,"GSM2403000_6929718020_R05C02"
"6",11,100875000,117100000,-0.2073,"GSM2403000_6929718020_R05C02"
"7",11,117175000,134873258,0.0849,"GSM2403000_6929718020_R05C02"
"8",12,172870,133770948,0.0364,"GSM2403000_6929718020_R05C02"
"9",13,19110000,115079939,0.0161,"GSM2403000_6929718020_R05C02"
"10",14,19325000,107119770,0.0089,"GSM2403000_6929718020_R05C02"
"11",15,20225000,102410696,0.019,"GSM2403000_6929718020_R05C02"
"12",16,105000,49975000,0.0643,"GSM2403000_6929718020_R05C02"
"13",16,50075000,90222377,-0.265,"GSM2403000_6929718020_R05C02"
"14",17,25000,81122605,-0.0034,"GSM2403000_6929718020_R05C02"
"15",18,80000,77983624,-0.1457,"GSM2403000_6929718020_R05C02"
"16",19,180000,59084492,0.0075,"GSM2403000_6929718020_R05C02"
"17",2,130000,243026238,-0.0164,"GSM2403000_6929718020_R05C02"
"18",20,155000,62907760,0.0136,"GSM2403000_6929718020_R05C02"
"19",21,10848948,48084948,0.1656,"GSM2403000_6929718020_R05C02"
"20",22,16373925,51222283,0.0224,"GSM2403000_6929718020_R05C02"
"21",3,155000,197831215,0.0249,"GSM2403000_6929718020_R05C02"
"22",4,55000,190972138,-0.0731,"GSM2403000_6929718020_R05C02"
"23",5,55000,180777630,0.0212,"GSM2403000_6929718020_R05C02"
"24",6,155000,170952534,-0.0085,"GSM2403000_6929718020_R05C02"
"25",7,55000,159039332,0.0675,"GSM2403000_6929718020_R05C02"
"26",8,105000,146277011,0.1913,"GSM2403000_6929718020_R05C02"
"27",9,130000,141076716,0.0466,"GSM2403000_6929718020_R05C02"
"28",1,635684,144500872,0.0421,"GSM2403047_6229009095_R06C02"
"29",1,144586207,249195311,0.3311,"GSM2403047_6229009095_R06C02"
"30",10,105000,135462374,0.0356,"GSM2403047_6229009095_R06C02"
"31",11,130000,48550000,0.0263,"GSM2403047_6229009095_R06C02"
"32",11,48975000,56675000,-0.2367,"GSM2403047_6229009095_R06C02"
"33",11,56975000,134873258,0.0291,"GSM2403047_6229009095_R06C02"
"34",12,172870,133770948,0.0242,"GSM2403047_6229009095_R06C02"
"35",13,19110000,115079939,-0.1044,"GSM2403047_6229009095_R06C02"
"36",14,19325000,107119770,0.0401,"GSM2403047_6229009095_R06C02"
"37",15,20225000,90550000,0.0299,"GSM2403047_6229009095_R06C02"
"38",15,90650000,102410696,-0.3743,"GSM2403047_6229009095_R06C02"
"39",16,105000,62875000,0.0529,"GSM2403047_6229009095_R06C02"
"40",16,64300000,90222377,-0.453,"GSM2403047_6229009095_R06C02"
"41",17,25000,81122605,0.0122,"GSM2403047_6229009095_R06C02"
"42",18,80000,77983624,-0.0481,"GSM2403047_6229009095_R06C02"
"43",19,180000,59084492,0.031,"GSM2403047_6229009095_R06C02"
"44",2,130000,243026238,-0.017,"GSM2403047_6229009095_R06C02"
"45",20,155000,62907760,-0.0043,"GSM2403047_6229009095_R06C02"
"46",21,10848948,48084948,0.0353,"GSM2403047_6229009095_R06C02"
"47",22,16373925,51222283,0.0858,"GSM2403047_6229009095_R06C02"
"48",3,155000,160250000,0.0097,"GSM2403047_6229009095_R06C02"
"49",3,160400000,197831215,0.2805,"GSM2403047_6229009095_R06C02"
"50",4,55000,54850000,0.0078,"GSM2403047_6229009095_R06C02"
"51",4,54975000,190972138,-0.2341,"GSM2403047_6229009095_R06C02"
"52",5,55000,180777630,0.0083,"GSM2403047_6229009095_R06C02"
"53",6,155000,170952534,-0.042,"GSM2403047_6229009095_R06C02"
"54",7,55000,159039332,0.0226,"GSM2403047_6229009095_R06C02"
