"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.0413,"GSM2402884_6969568005_R02C01",0.46843342552238
"2",10,105000,135462374,-0.0505,"GSM2402884_6969568005_R02C01",0.46843342552238
"3",11,130000,134873258,0.0466,"GSM2402884_6969568005_R02C01",0.46843342552238
"4",12,172870,133770948,0.0363,"GSM2402884_6969568005_R02C01",0.46843342552238
"5",13,19110000,115079939,-0.104,"GSM2402884_6969568005_R02C01",0.46843342552238
"6",14,19325000,107119770,-0.0553,"GSM2402884_6969568005_R02C01",0.46843342552238
"7",15,20225000,102410696,-0.0489,"GSM2402884_6969568005_R02C01",0.46843342552238
"8",16,105000,32075000,-0.0241,"GSM2402884_6969568005_R02C01",0.46843342552238
"9",16,32350000,34600000,0.1614,"GSM2402884_6969568005_R02C01",0.46843342552238
"10",16,35017901,90222377,-0.0261,"GSM2402884_6969568005_R02C01",0.46843342552238
"11",17,25000,81122605,-0.0945,"GSM2402884_6969568005_R02C01",0.46843342552238
"12",18,80000,77983624,-0.0746,"GSM2402884_6969568005_R02C01",0.46843342552238
"13",19,180000,59084492,-0.0572,"GSM2402884_6969568005_R02C01",0.46843342552238
"14",2,130000,243026238,-0.0884,"GSM2402884_6969568005_R02C01",0.46843342552238
"15",20,155000,62907760,-9e-04,"GSM2402884_6969568005_R02C01",0.46843342552238
"16",21,10848948,48084948,-0.0497,"GSM2402884_6969568005_R02C01",0.46843342552238
"17",22,16373925,51222283,-0.0245,"GSM2402884_6969568005_R02C01",0.46843342552238
"18",3,155000,197831215,-0.0733,"GSM2402884_6969568005_R02C01",0.46843342552238
"19",4,55000,190972138,-0.1243,"GSM2402884_6969568005_R02C01",0.46843342552238
"20",5,55000,180777630,0.0227,"GSM2402884_6969568005_R02C01",0.46843342552238
"21",6,155000,170952534,0.0811,"GSM2402884_6969568005_R02C01",0.46843342552238
"22",7,55000,159039332,0.1239,"GSM2402884_6969568005_R02C01",0.46843342552238
"23",8,105000,146277011,0.0083,"GSM2402884_6969568005_R02C01",0.46843342552238
