"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.1968,"GSM2403586_8622007091_R01C01",1.204427162013
"2",10,105000,135462374,-0.178,"GSM2403586_8622007091_R01C01",1.204427162013
"3",11,130000,134873258,-0.3144,"GSM2403586_8622007091_R01C01",1.204427162013
"4",12,172870,8225000,-0.201,"GSM2403586_8622007091_R01C01",1.204427162013
"5",12,8300000,8650000,0.617,"GSM2403586_8622007091_R01C01",1.204427162013
"6",12,8750000,133770948,-0.3512,"GSM2403586_8622007091_R01C01",1.204427162013
"7",13,19110000,115079939,-0.1296,"GSM2403586_8622007091_R01C01",1.204427162013
"8",14,19325000,20025000,0.657,"GSM2403586_8622007091_R01C01",1.204427162013
"9",14,20450000,101850000,-0.3466,"GSM2403586_8622007091_R01C01",1.204427162013
"10",14,101950000,102475000,1.6448,"GSM2403586_8622007091_R01C01",1.204427162013
"11",14,102525000,105175000,-0.1147,"GSM2403586_8622007091_R01C01",1.204427162013
"12",14,105225000,106575000,1.5352,"GSM2403586_8622007091_R01C01",1.204427162013
"13",14,106800000,107119770,0.0063,"GSM2403586_8622007091_R01C01",1.204427162013
"14",15,20225000,102410696,-0.3018,"GSM2403586_8622007091_R01C01",1.204427162013
"15",16,105000,31825000,-0.1195,"GSM2403586_8622007091_R01C01",1.204427162013
"16",16,32075000,33986575,0.6895,"GSM2403586_8622007091_R01C01",1.204427162013
"17",16,34286575,90222377,-0.066,"GSM2403586_8622007091_R01C01",1.204427162013
"18",17,25000,81122605,-0.2492,"GSM2403586_8622007091_R01C01",1.204427162013
"19",18,80000,77983624,-0.3295,"GSM2403586_8622007091_R01C01",1.204427162013
"20",19,180000,59084492,-0.3821,"GSM2403586_8622007091_R01C01",1.204427162013
"21",2,130000,89315218,-0.2422,"GSM2403586_8622007091_R01C01",1.204427162013
"22",2,91672552,92288086,0.5859,"GSM2403586_8622007091_R01C01",1.204427162013
"23",2,95438086,243026238,-0.2357,"GSM2403586_8622007091_R01C01",1.204427162013
"24",20,155000,62907760,-0.2505,"GSM2403586_8622007091_R01C01",1.204427162013
"25",21,10848948,48084948,-0.1637,"GSM2403586_8622007091_R01C01",1.204427162013
"26",22,16373925,51222283,-0.2983,"GSM2403586_8622007091_R01C01",1.204427162013
"27",3,155000,197831215,-0.1999,"GSM2403586_8622007091_R01C01",1.204427162013
"28",4,55000,190972138,-0.2639,"GSM2403586_8622007091_R01C01",1.204427162013
"29",5,55000,180777630,-0.4116,"GSM2403586_8622007091_R01C01",1.204427162013
"30",6,155000,170952534,-0.1971,"GSM2403586_8622007091_R01C01",1.204427162013
"31",7,55000,159039332,-0.1265,"GSM2403586_8622007091_R01C01",1.204427162013
"32",8,105000,146277011,-0.0204,"GSM2403586_8622007091_R01C01",1.204427162013
"33",9,130000,141076716,-0.2073,"GSM2403586_8622007091_R01C01",1.204427162013
"34",1,635684,147475000,-0.0907,"GSM2403587_8622007091_R02C02",0.756705626498251
"35",1,147725000,148927230,0.287,"GSM2403587_8622007091_R02C02",0.756705626498251
"36",1,149077230,249195311,-0.1129,"GSM2403587_8622007091_R02C02",0.756705626498251
"37",10,105000,135462374,-0.0555,"GSM2403587_8622007091_R02C02",0.756705626498251
"38",11,130000,134873258,-0.0877,"GSM2403587_8622007091_R02C02",0.756705626498251
"39",12,172870,133770948,-0.0929,"GSM2403587_8622007091_R02C02",0.756705626498251
"40",13,19110000,115079939,-0.0159,"GSM2403587_8622007091_R02C02",0.756705626498251
"41",14,19325000,20025000,0.3666,"GSM2403587_8622007091_R02C02",0.756705626498251
"42",14,20450000,107119770,-0.086,"GSM2403587_8622007091_R02C02",0.756705626498251
"43",15,20225000,102410696,-0.0684,"GSM2403587_8622007091_R02C02",0.756705626498251
"44",16,105000,90222377,-0.0236,"GSM2403587_8622007091_R02C02",0.756705626498251
"45",17,25000,81122605,-0.0402,"GSM2403587_8622007091_R02C02",0.756705626498251
"46",18,80000,77983624,-0.0562,"GSM2403587_8622007091_R02C02",0.756705626498251
"47",19,180000,59084492,-0.0825,"GSM2403587_8622007091_R02C02",0.756705626498251
"48",2,130000,243026238,-0.0909,"GSM2403587_8622007091_R02C02",0.756705626498251
"49",20,155000,62907760,-0.0964,"GSM2403587_8622007091_R02C02",0.756705626498251
"50",21,10848948,48084948,0.0026,"GSM2403587_8622007091_R02C02",0.756705626498251
"51",22,16373925,51222283,-0.0404,"GSM2403587_8622007091_R02C02",0.756705626498251
"52",3,155000,197831215,-0.1504,"GSM2403587_8622007091_R02C02",0.756705626498251
"53",4,55000,190972138,-0.1347,"GSM2403587_8622007091_R02C02",0.756705626498251
"54",5,55000,180777630,-0.0889,"GSM2403587_8622007091_R02C02",0.756705626498251
"55",6,155000,170952534,-0.0811,"GSM2403587_8622007091_R02C02",0.756705626498251
"56",7,55000,159039332,0.0136,"GSM2403587_8622007091_R02C02",0.756705626498251
"57",8,105000,146277011,-0.0396,"GSM2403587_8622007091_R02C02",0.756705626498251
"58",9,130000,141076716,-0.0707,"GSM2403587_8622007091_R02C02",0.756705626498251
"59",1,635684,249195311,-0.1147,"GSM2403588_8622007091_R04C01",0.792708065405835
"60",10,105000,135462374,-0.06,"GSM2403588_8622007091_R04C01",0.792708065405835
"61",11,130000,134873258,-0.0672,"GSM2403588_8622007091_R04C01",0.792708065405835
"62",12,172870,133770948,-0.1009,"GSM2403588_8622007091_R04C01",0.792708065405835
"63",13,19110000,115079939,-0.0563,"GSM2403588_8622007091_R04C01",0.792708065405835
"64",14,19325000,107119770,-0.123,"GSM2403588_8622007091_R04C01",0.792708065405835
"65",15,20225000,102410696,-0.0941,"GSM2403588_8622007091_R04C01",0.792708065405835
"66",16,105000,31825000,-0.0506,"GSM2403588_8622007091_R04C01",0.792708065405835
"67",16,32075000,33986575,0.3632,"GSM2403588_8622007091_R04C01",0.792708065405835
"68",16,34286575,90222377,-0.0312,"GSM2403588_8622007091_R04C01",0.792708065405835
"69",17,25000,81122605,-0.1116,"GSM2403588_8622007091_R04C01",0.792708065405835
"70",18,80000,77983624,-0.14,"GSM2403588_8622007091_R04C01",0.792708065405835
"71",19,180000,59084492,-0.2235,"GSM2403588_8622007091_R04C01",0.792708065405835
"72",2,130000,89315218,-0.1116,"GSM2403588_8622007091_R04C01",0.792708065405835
"73",2,91672552,92288086,0.3572,"GSM2403588_8622007091_R04C01",0.792708065405835
"74",2,95438086,243026238,-0.1378,"GSM2403588_8622007091_R04C01",0.792708065405835
"75",20,155000,62907760,-0.0975,"GSM2403588_8622007091_R04C01",0.792708065405835
"76",21,10848948,48084948,-0.0555,"GSM2403588_8622007091_R04C01",0.792708065405835
"77",22,16373925,51222283,-0.0975,"GSM2403588_8622007091_R04C01",0.792708065405835
"78",3,155000,197831215,-0.1097,"GSM2403588_8622007091_R04C01",0.792708065405835
"79",4,55000,190972138,-0.1264,"GSM2403588_8622007091_R04C01",0.792708065405835
