"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0599,"GSM2403536_8622007072_R05C01"
"2",10,105000,135462374,0.0261,"GSM2403536_8622007072_R05C01"
"3",11,130000,134873258,0.0175,"GSM2403536_8622007072_R05C01"
"4",12,172870,133770948,0.018,"GSM2403536_8622007072_R05C01"
"5",13,19110000,115079939,-0.0659,"GSM2403536_8622007072_R05C01"
"6",14,19325000,107119770,0.0449,"GSM2403536_8622007072_R05C01"
"7",15,20225000,102410696,0.0526,"GSM2403536_8622007072_R05C01"
"8",16,105000,90222377,0.0388,"GSM2403536_8622007072_R05C01"
"9",17,25000,81122605,-4e-04,"GSM2403536_8622007072_R05C01"
"10",18,80000,77983624,-0.0532,"GSM2403536_8622007072_R05C01"
"11",19,180000,59084492,0.0242,"GSM2403536_8622007072_R05C01"
"12",2,130000,243026238,-0.0105,"GSM2403536_8622007072_R05C01"
"13",20,155000,62907760,-0.0044,"GSM2403536_8622007072_R05C01"
"14",21,10848948,48084948,0.0134,"GSM2403536_8622007072_R05C01"
"15",22,16373925,51222283,0.0703,"GSM2403536_8622007072_R05C01"
"16",3,155000,197831215,-0.0027,"GSM2403536_8622007072_R05C01"
"17",4,55000,58869667,0.0151,"GSM2403536_8622007072_R05C01"
"18",4,60944667,71375000,-0.3312,"GSM2403536_8622007072_R05C01"
"19",4,71575000,190972138,-0.0963,"GSM2403536_8622007072_R05C01"
"20",5,55000,180777630,0.0115,"GSM2403536_8622007072_R05C01"
"21",6,155000,170952534,-0.024,"GSM2403536_8622007072_R05C01"
"22",7,55000,159039332,0.0174,"GSM2403536_8622007072_R05C01"
"23",8,105000,82200000,0.002,"GSM2403536_8622007072_R05C01"
"24",8,82375000,93125000,-0.2129,"GSM2403536_8622007072_R05C01"
"25",8,93325000,146277011,0.0038,"GSM2403536_8622007072_R05C01"
"26",9,130000,141076716,0.0422,"GSM2403536_8622007072_R05C01"
"27",1,635684,249195311,0.0789,"GSM2403537_8622007072_R06C01"
"28",10,105000,135462374,0.0304,"GSM2403537_8622007072_R06C01"
"29",11,130000,134873258,0.0245,"GSM2403537_8622007072_R06C01"
"30",12,172870,133770948,0.016,"GSM2403537_8622007072_R06C01"
"31",13,19110000,115079939,-0.085,"GSM2403537_8622007072_R06C01"
"32",14,19325000,107119770,0.0621,"GSM2403537_8622007072_R06C01"
"33",15,20225000,102410696,0.0645,"GSM2403537_8622007072_R06C01"
"34",16,105000,90222377,0.051,"GSM2403537_8622007072_R06C01"
"35",17,25000,81122605,0.0106,"GSM2403537_8622007072_R06C01"
"36",18,80000,77983624,-0.0395,"GSM2403537_8622007072_R06C01"
"37",19,180000,59084492,0.0292,"GSM2403537_8622007072_R06C01"
"38",2,130000,243026238,-0.0127,"GSM2403537_8622007072_R06C01"
"39",20,155000,62907760,0.0016,"GSM2403537_8622007072_R06C01"
"40",21,10848948,48084948,0.0131,"GSM2403537_8622007072_R06C01"
"41",22,16373925,51222283,0.0744,"GSM2403537_8622007072_R06C01"
"42",3,155000,197831215,-0.0013,"GSM2403537_8622007072_R06C01"
"43",4,55000,58869667,0.0277,"GSM2403537_8622007072_R06C01"
"44",4,60944667,71375000,-0.4503,"GSM2403537_8622007072_R06C01"
"45",4,71575000,190972138,-0.1197,"GSM2403537_8622007072_R06C01"
"46",5,55000,180777630,0.014,"GSM2403537_8622007072_R06C01"
"47",6,155000,170952534,-0.0262,"GSM2403537_8622007072_R06C01"
"48",7,55000,159039332,5e-04,"GSM2403537_8622007072_R06C01"
"49",8,105000,146277011,-0.0129,"GSM2403537_8622007072_R06C01"
"50",9,130000,141076716,0.0434,"GSM2403537_8622007072_R06C01"
"51",1,635684,249195311,0.06,"GSM2403538_8622007072_R02C02"
"52",10,105000,135462374,0.0257,"GSM2403538_8622007072_R02C02"
"53",11,130000,48975000,0.0196,"GSM2403538_8622007072_R02C02"
"54",11,49250000,56100000,-0.1586,"GSM2403538_8622007072_R02C02"
"55",11,56300000,134873258,0.0257,"GSM2403538_8622007072_R02C02"
"56",12,172870,133770948,0.0178,"GSM2403538_8622007072_R02C02"
