"chromosome","start","end","segmean","sample","noise"
"1",1,635684,249195311,-0.1433,"GSM2403503_8622007068_R02C01",0.754015526235761
"2",10,105000,135462374,-0.1831,"GSM2403503_8622007068_R02C01",0.754015526235761
"3",11,130000,134873258,-0.1031,"GSM2403503_8622007068_R02C01",0.754015526235761
"4",12,172870,133770948,-0.09,"GSM2403503_8622007068_R02C01",0.754015526235761
"5",13,19110000,115079939,-0.1726,"GSM2403503_8622007068_R02C01",0.754015526235761
"6",14,19325000,20025000,0.3372,"GSM2403503_8622007068_R02C01",0.754015526235761
"7",14,20450000,107119770,-0.0935,"GSM2403503_8622007068_R02C01",0.754015526235761
"8",15,20225000,102410696,-0.0606,"GSM2403503_8622007068_R02C01",0.754015526235761
"9",16,105000,90222377,0.0847,"GSM2403503_8622007068_R02C01",0.754015526235761
"10",17,25000,81122605,0.0461,"GSM2403503_8622007068_R02C01",0.754015526235761
"11",18,80000,77983624,0.1326,"GSM2403503_8622007068_R02C01",0.754015526235761
"12",19,180000,59084492,0.0397,"GSM2403503_8622007068_R02C01",0.754015526235761
"13",2,130000,243026238,-0.1525,"GSM2403503_8622007068_R02C01",0.754015526235761
"14",20,155000,62907760,0.0932,"GSM2403503_8622007068_R02C01",0.754015526235761
"15",21,10848948,48084948,0.1761,"GSM2403503_8622007068_R02C01",0.754015526235761
"16",22,16373925,51222283,-0.1179,"GSM2403503_8622007068_R02C01",0.754015526235761
"17",3,155000,197831215,-0.1616,"GSM2403503_8622007068_R02C01",0.754015526235761
"18",4,55000,190972138,0.1107,"GSM2403503_8622007068_R02C01",0.754015526235761
"19",5,55000,180777630,-0.1132,"GSM2403503_8622007068_R02C01",0.754015526235761
"20",6,155000,170952534,-0.2288,"GSM2403503_8622007068_R02C01",0.754015526235761
"21",7,55000,159039332,0.0416,"GSM2403503_8622007068_R02C01",0.754015526235761
"22",8,105000,146277011,-0.1135,"GSM2403503_8622007068_R02C01",0.754015526235761
"23",9,130000,141076716,0.1151,"GSM2403503_8622007068_R02C01",0.754015526235761
"24",1,635684,249195311,-0.0387,"GSM2403585_8622007120_R02C01",0.634126181324295
"25",10,105000,135462374,-0.0448,"GSM2403585_8622007120_R02C01",0.634126181324295
"26",11,130000,50516927,-0.0649,"GSM2403585_8622007120_R02C01",0.634126181324295
"27",11,54922103,56100000,-0.4547,"GSM2403585_8622007120_R02C01",0.634126181324295
"28",11,56300000,134873258,-0.0627,"GSM2403585_8622007120_R02C01",0.634126181324295
"29",12,172870,133770948,-0.0671,"GSM2403585_8622007120_R02C01",0.634126181324295
"30",13,19110000,115079939,-0.0929,"GSM2403585_8622007120_R02C01",0.634126181324295
"31",14,19325000,107119770,-0.0462,"GSM2403585_8622007120_R02C01",0.634126181324295
"32",15,20225000,102410696,-0.016,"GSM2403585_8622007120_R02C01",0.634126181324295
"33",16,105000,61600000,0.0221,"GSM2403585_8622007120_R02C01",0.634126181324295
"34",16,62075000,66050000,-0.1945,"GSM2403585_8622007120_R02C01",0.634126181324295
"35",16,66275000,90222377,0.0353,"GSM2403585_8622007120_R02C01",0.634126181324295
"36",17,25000,81122605,-0.0547,"GSM2403585_8622007120_R02C01",0.634126181324295
"37",18,80000,77983624,-0.0932,"GSM2403585_8622007120_R02C01",0.634126181324295
"38",19,180000,59084492,-0.0204,"GSM2403585_8622007120_R02C01",0.634126181324295
"39",2,130000,243026238,-0.0759,"GSM2403585_8622007120_R02C01",0.634126181324295
"40",20,155000,62907760,-0.0568,"GSM2403585_8622007120_R02C01",0.634126181324295
"41",21,10848948,48084948,-0.0219,"GSM2403585_8622007120_R02C01",0.634126181324295
"42",22,16373925,51222283,0.0215,"GSM2403585_8622007120_R02C01",0.634126181324295
"43",3,155000,197831215,-0.1052,"GSM2403585_8622007120_R02C01",0.634126181324295
"44",4,55000,190972138,0.0126,"GSM2403585_8622007120_R02C01",0.634126181324295
"45",5,55000,180777630,0.103,"GSM2403585_8622007120_R02C01",0.634126181324295
"46",6,155000,20425000,-0.0534,"GSM2403585_8622007120_R02C01",0.634126181324295
"47",6,20625000,24225000,-0.3141,"GSM2403585_8622007120_R02C01",0.634126181324295
"48",6,24375000,32375000,-0.0866,"GSM2403585_8622007120_R02C01",0.634126181324295
"49",6,32425000,32650000,-1.3597,"GSM2403585_8622007120_R02C01",0.634126181324295
"50",6,32725000,170952534,-0.1069,"GSM2403585_8622007120_R02C01",0.634126181324295
"51",7,55000,159039332,0.1315,"GSM2403585_8622007120_R02C01",0.634126181324295
"52",8,105000,88875000,-0.0822,"GSM2403585_8622007120_R02C01",0.634126181324295
"53",8,89100000,94075000,-0.4729,"GSM2403585_8622007120_R02C01",0.634126181324295
"54",8,94375000,146277011,-0.12,"GSM2403585_8622007120_R02C01",0.634126181324295
"55",9,130000,141076716,0.1454,"GSM2403585_8622007120_R02C01",0.634126181324295
"56",1,635684,249195311,-0.242,"GSM2403732_9007225086_R01C01",0.950966122642088
"57",10,105000,4300000,-0.0501,"GSM2403732_9007225086_R01C01",0.950966122642088
"58",10,4625000,135462374,-0.4451,"GSM2403732_9007225086_R01C01",0.950966122642088
"59",11,130000,134873258,-0.0583,"GSM2403732_9007225086_R01C01",0.950966122642088
"60",12,172870,133770948,-0.0585,"GSM2403732_9007225086_R01C01",0.950966122642088
"61",13,19110000,19950000,0.0855,"GSM2403732_9007225086_R01C01",0.950966122642088
