"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0532,"GSM2403489_8622007063_R01C01"
"2",10,105000,135462374,-0.0682,"GSM2403489_8622007063_R01C01"
"3",11,130000,49850000,0.0592,"GSM2403489_8622007063_R01C01"
"4",11,50050000,57275000,-0.4265,"GSM2403489_8622007063_R01C01"
"5",11,57350000,101225000,-0.0252,"GSM2403489_8622007063_R01C01"
"6",11,101600000,134873258,-0.3613,"GSM2403489_8622007063_R01C01"
"7",12,172870,46500000,0.1612,"GSM2403489_8622007063_R01C01"
"8",12,46700000,52225000,0.5069,"GSM2403489_8622007063_R01C01"
"9",12,52275000,59125000,0.2283,"GSM2403489_8622007063_R01C01"
"10",12,59325000,133770948,-0.0522,"GSM2403489_8622007063_R01C01"
"11",13,19110000,37200000,-0.2458,"GSM2403489_8622007063_R01C01"
"12",13,37400000,37500000,-0.4815,"GSM2403489_8622007063_R01C01"
"13",13,37575000,52475000,-0.7978,"GSM2403489_8622007063_R01C01"
"14",13,52625000,63200000,-0.4945,"GSM2403489_8622007063_R01C01"
"15",13,64975000,73625000,-0.2578,"GSM2403489_8622007063_R01C01"
"16",13,73950000,115079939,0.177,"GSM2403489_8622007063_R01C01"
"17",14,19325000,107119770,0.0162,"GSM2403489_8622007063_R01C01"
"18",15,20225000,28125000,0.109,"GSM2403489_8622007063_R01C01"
"19",15,28250000,102410696,-0.1643,"GSM2403489_8622007063_R01C01"
"20",16,105000,90222377,0.1301,"GSM2403489_8622007063_R01C01"
"21",17,25000,19750000,-0.2204,"GSM2403489_8622007063_R01C01"
"22",17,19900000,81122605,0.1089,"GSM2403489_8622007063_R01C01"
"23",18,80000,77983624,-0.2448,"GSM2403489_8622007063_R01C01"
"24",19,180000,59084492,0.0226,"GSM2403489_8622007063_R01C01"
"25",2,130000,115650000,-0.0179,"GSM2403489_8622007063_R01C01"
"26",2,116700000,122950000,-0.3364,"GSM2403489_8622007063_R01C01"
"27",2,124075000,198375000,-0.0131,"GSM2403489_8622007063_R01C01"
"28",2,198475000,231275000,-0.2379,"GSM2403489_8622007063_R01C01"
"29",2,231450000,243026238,0.0726,"GSM2403489_8622007063_R01C01"
"30",20,155000,62907760,0.0989,"GSM2403489_8622007063_R01C01"
"31",21,10848948,48084948,-0.1984,"GSM2403489_8622007063_R01C01"
"32",22,16373925,33350000,-0.0132,"GSM2403489_8622007063_R01C01"
"33",22,34575000,43575000,0.2521,"GSM2403489_8622007063_R01C01"
"34",22,43700000,49825000,-0.5909,"GSM2403489_8622007063_R01C01"
"35",22,49925000,51222283,-0.117,"GSM2403489_8622007063_R01C01"
"36",3,155000,197831215,0.1811,"GSM2403489_8622007063_R01C01"
"37",4,55000,190972138,0.0495,"GSM2403489_8622007063_R01C01"
"38",5,55000,180777630,-0.0023,"GSM2403489_8622007063_R01C01"
"39",6,155000,52825000,0.1046,"GSM2403489_8622007063_R01C01"
"40",6,52925000,170952534,-0.2896,"GSM2403489_8622007063_R01C01"
"41",7,55000,115025000,0.1294,"GSM2403489_8622007063_R01C01"
"42",7,115650000,119925000,1.0243,"GSM2403489_8622007063_R01C01"
"43",7,120225000,126625000,-0.3378,"GSM2403489_8622007063_R01C01"
"44",7,126875000,129500000,-0.0978,"GSM2403489_8622007063_R01C01"
