"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,0.0647,"GSM2402918_6969568004_R01C01"
"2",10,105000,135462374,0.0422,"GSM2402918_6969568004_R01C01"
"3",11,130000,134873258,0.0624,"GSM2402918_6969568004_R01C01"
"4",12,172870,133770948,0.0466,"GSM2402918_6969568004_R01C01"
"5",13,19110000,115079939,0.0395,"GSM2402918_6969568004_R01C01"
"6",14,19325000,107119770,0.0449,"GSM2402918_6969568004_R01C01"
"7",15,20225000,102410696,0.0567,"GSM2402918_6969568004_R01C01"
"8",16,105000,90222377,0.0657,"GSM2402918_6969568004_R01C01"
"9",17,25000,81122605,-0.0301,"GSM2402918_6969568004_R01C01"
"10",18,80000,77983624,-0.1055,"GSM2402918_6969568004_R01C01"
"11",19,180000,59084492,0.0175,"GSM2402918_6969568004_R01C01"
"12",2,130000,243026238,0.0175,"GSM2402918_6969568004_R01C01"
"13",20,155000,62907760,0.0146,"GSM2402918_6969568004_R01C01"
"14",21,10848948,48084948,0.0315,"GSM2402918_6969568004_R01C01"
"15",22,16373925,51222283,-0.3206,"GSM2402918_6969568004_R01C01"
"16",3,155000,197831215,0.0481,"GSM2402918_6969568004_R01C01"
"17",4,55000,190972138,-0.0328,"GSM2402918_6969568004_R01C01"
"18",5,55000,180777630,0.0354,"GSM2402918_6969568004_R01C01"
"19",6,155000,170952534,0.0302,"GSM2402918_6969568004_R01C01"
"20",7,55000,159039332,0.0739,"GSM2402918_6969568004_R01C01"
"21",8,105000,146277011,0.0253,"GSM2402918_6969568004_R01C01"
"22",9,130000,141076716,0.0614,"GSM2402918_6969568004_R01C01"
"23",1,635684,249195311,0.0727,"GSM2402919_6164621144_R04C01"
"24",10,105000,135462374,0.0534,"GSM2402919_6164621144_R04C01"
"25",11,130000,134873258,0.0851,"GSM2402919_6164621144_R04C01"
"26",12,172870,133770948,0.0532,"GSM2402919_6164621144_R04C01"
"27",13,19110000,115079939,0.1133,"GSM2402919_6164621144_R04C01"
"28",14,19325000,107119770,0.0348,"GSM2402919_6164621144_R04C01"
"29",15,20225000,102410696,0.0372,"GSM2402919_6164621144_R04C01"
"30",16,105000,90222377,0.0498,"GSM2402919_6164621144_R04C01"
"31",17,25000,81122605,-0.0964,"GSM2402919_6164621144_R04C01"
"32",18,80000,77983624,-0.1131,"GSM2402919_6164621144_R04C01"
"33",19,180000,59084492,-0.0516,"GSM2402919_6164621144_R04C01"
"34",2,130000,243026238,0.0393,"GSM2402919_6164621144_R04C01"
"35",20,155000,62907760,0.016,"GSM2402919_6164621144_R04C01"
"36",21,10848948,48084948,0.0282,"GSM2402919_6164621144_R04C01"
"37",22,16373925,51222283,-0.0143,"GSM2402919_6164621144_R04C01"
"38",3,155000,197831215,0.082,"GSM2402919_6164621144_R04C01"
"39",4,55000,190972138,-0.0234,"GSM2402919_6164621144_R04C01"
"40",5,55000,180777630,0.0715,"GSM2402919_6164621144_R04C01"
"41",6,155000,170952534,0.0627,"GSM2402919_6164621144_R04C01"
"42",7,55000,159039332,0.1065,"GSM2402919_6164621144_R04C01"
"43",8,105000,146277011,0.0448,"GSM2402919_6164621144_R04C01"
"44",9,130000,141076716,0.0573,"GSM2402919_6164621144_R04C01"
"45",1,635684,249195311,0.0879,"GSM2402920_6164621144_R05C01"
"46",10,105000,135462374,0.0682,"GSM2402920_6164621144_R05C01"
"47",11,130000,134873258,0.1019,"GSM2402920_6164621144_R05C01"
"48",12,172870,133770948,0.0593,"GSM2402920_6164621144_R05C01"
"49",13,19110000,115079939,0.1058,"GSM2402920_6164621144_R05C01"
"50",14,19325000,107119770,0.0522,"GSM2402920_6164621144_R05C01"
"51",15,20225000,102410696,0.055,"GSM2402920_6164621144_R05C01"
"52",16,105000,90222377,0.0591,"GSM2402920_6164621144_R05C01"
"53",17,25000,81122605,-0.0946,"GSM2402920_6164621144_R05C01"
"54",18,80000,77983624,-0.1088,"GSM2402920_6164621144_R05C01"
"55",19,180000,59084492,-0.0662,"GSM2402920_6164621144_R05C01"
"56",2,130000,243026238,0.0478,"GSM2402920_6164621144_R05C01"
"57",20,155000,62907760,0.0143,"GSM2402920_6164621144_R05C01"
"58",21,10848948,48084948,0.0437,"GSM2402920_6164621144_R05C01"
"59",22,16373925,51222283,-0.3602,"GSM2402920_6164621144_R05C01"
"60",3,155000,197831215,0.097,"GSM2402920_6164621144_R05C01"
"61",4,55000,190972138,-0.009,"GSM2402920_6164621144_R05C01"
"62",5,55000,180777630,0.0823,"GSM2402920_6164621144_R05C01"
"63",6,155000,170952534,0.0723,"GSM2402920_6164621144_R05C01"
"64",7,55000,159039332,0.107,"GSM2402920_6164621144_R05C01"
"65",8,105000,146277011,0.0547,"GSM2402920_6164621144_R05C01"
"66",9,130000,141076716,0.073,"GSM2402920_6164621144_R05C01"
"67",1,635684,249195311,0.0634,"GSM2402953_6164621144_R03C02"
"68",10,105000,135462374,0.0471,"GSM2402953_6164621144_R03C02"
"69",11,130000,134873258,0.0771,"GSM2402953_6164621144_R03C02"
"70",12,172870,133770948,0.0373,"GSM2402953_6164621144_R03C02"
"71",13,19110000,115079939,0.0813,"GSM2402953_6164621144_R03C02"
"72",14,19325000,107119770,0.0304,"GSM2402953_6164621144_R03C02"
"73",15,20225000,102410696,0.0301,"GSM2402953_6164621144_R03C02"
"74",16,105000,90222377,0.0473,"GSM2402953_6164621144_R03C02"
"75",17,25000,81122605,-0.0808,"GSM2402953_6164621144_R03C02"
"76",18,80000,77983624,-0.1154,"GSM2402953_6164621144_R03C02"
"77",19,180000,59084492,-0.0529,"GSM2402953_6164621144_R03C02"
"78",2,130000,243026238,0.026,"GSM2402953_6164621144_R03C02"
"79",20,155000,62907760,0.0049,"GSM2402953_6164621144_R03C02"
"80",21,10848948,48084948,0.0286,"GSM2402953_6164621144_R03C02"
"81",22,16373925,23175000,-0.0213,"GSM2402953_6164621144_R03C02"
"82",22,23425000,24300000,-1.5058,"GSM2402953_6164621144_R03C02"
"83",22,24375000,31475000,-0.0648,"GSM2402953_6164621144_R03C02"
"84",22,31525000,37050000,-0.3729,"GSM2402953_6164621144_R03C02"
"85",22,37200000,40875000,-0.0192,"GSM2402953_6164621144_R03C02"
"86",22,41025000,42150000,-0.4382,"GSM2402953_6164621144_R03C02"
"87",22,42250000,51222283,0.0152,"GSM2402953_6164621144_R03C02"
"88",3,155000,197831215,0.0627,"GSM2402953_6164621144_R03C02"
"89",4,55000,190972138,-0.0271,"GSM2402953_6164621144_R03C02"
"90",5,55000,180777630,0.0545,"GSM2402953_6164621144_R03C02"
"91",6,155000,170952534,0.0445,"GSM2402953_6164621144_R03C02"
"92",7,55000,159039332,0.0855,"GSM2402953_6164621144_R03C02"
"93",8,105000,146277011,0.036,"GSM2402953_6164621144_R03C02"
"94",9,130000,141076716,0.0575,"GSM2402953_6164621144_R03C02"
"95",1,635684,249195311,0.0726,"GSM2402954_6164621144_R02C02"
"96",10,105000,135462374,0.0558,"GSM2402954_6164621144_R02C02"
"97",11,130000,134873258,0.077,"GSM2402954_6164621144_R02C02"
"98",12,172870,133770948,0.0577,"GSM2402954_6164621144_R02C02"
"99",13,19110000,115079939,0.0884,"GSM2402954_6164621144_R02C02"
"100",14,19325000,107119770,0.0388,"GSM2402954_6164621144_R02C02"
"101",15,20225000,102410696,0.0488,"GSM2402954_6164621144_R02C02"
"102",16,105000,90222377,0.0645,"GSM2402954_6164621144_R02C02"
"103",17,25000,81122605,-0.0582,"GSM2402954_6164621144_R02C02"
"104",18,80000,77983624,-0.1042,"GSM2402954_6164621144_R02C02"
"105",19,180000,59084492,-0.0065,"GSM2402954_6164621144_R02C02"
"106",2,130000,243026238,0.0275,"GSM2402954_6164621144_R02C02"
"107",20,155000,62907760,0.0242,"GSM2402954_6164621144_R02C02"
"108",21,10848948,48084948,0.0298,"GSM2402954_6164621144_R02C02"
"109",22,16373925,51222283,-0.3892,"GSM2402954_6164621144_R02C02"
"110",3,155000,197831215,0.0712,"GSM2402954_6164621144_R02C02"
"111",4,55000,190972138,-0.0267,"GSM2402954_6164621144_R02C02"
"112",5,55000,180777630,0.0565,"GSM2402954_6164621144_R02C02"
"113",6,155000,170952534,0.0499,"GSM2402954_6164621144_R02C02"
"114",7,55000,159039332,0.0988,"GSM2402954_6164621144_R02C02"
"115",8,105000,146277011,0.0423,"GSM2402954_6164621144_R02C02"
