"chromosome","start","end","segmean","sample"
"1",1,635684,825000,0.4058,"GSM2403516_8622007065_R02C02"
"2",1,875000,2925000,-0.224,"GSM2403516_8622007065_R02C02"
"3",1,2975000,46875000,0.2682,"GSM2403516_8622007065_R02C02"
"4",1,46925000,48700000,-0.3068,"GSM2403516_8622007065_R02C02"
"5",1,49050000,54300000,0.3929,"GSM2403516_8622007065_R02C02"
"6",1,54375000,55175000,1.4221,"GSM2403516_8622007065_R02C02"
"7",1,55225000,249195311,0.1794,"GSM2403516_8622007065_R02C02"
"8",10,105000,81250000,0.5856,"GSM2403516_8622007065_R02C02"
"9",10,81500000,96650000,-0.3734,"GSM2403516_8622007065_R02C02"
"10",10,9.7e+07,104550000,0.656,"GSM2403516_8622007065_R02C02"
"11",10,104625000,124700000,-0.387,"GSM2403516_8622007065_R02C02"
"12",10,124800000,126009736,-0.9431,"GSM2403516_8622007065_R02C02"
"13",10,126125000,127575000,-0.3437,"GSM2403516_8622007065_R02C02"
"14",10,127725000,135462374,-1.0938,"GSM2403516_8622007065_R02C02"
"15",11,130000,12675000,-0.4639,"GSM2403516_8622007065_R02C02"
"16",11,12750000,130650000,0.0465,"GSM2403516_8622007065_R02C02"
"17",11,130775000,134873258,0.6069,"GSM2403516_8622007065_R02C02"
"18",12,172870,133770948,0.0705,"GSM2403516_8622007065_R02C02"
"19",13,19110000,110050000,-0.201,"GSM2403516_8622007065_R02C02"
"20",13,110350000,111125000,1.7374,"GSM2403516_8622007065_R02C02"
"21",13,111175000,115079939,-0.0742,"GSM2403516_8622007065_R02C02"
"22",14,19325000,107119770,-0.1963,"GSM2403516_8622007065_R02C02"
"23",15,20225000,102410696,-0.0625,"GSM2403516_8622007065_R02C02"
"24",16,105000,90222377,0.2131,"GSM2403516_8622007065_R02C02"
"25",17,25000,81122605,-0.1942,"GSM2403516_8622007065_R02C02"
"26",18,80000,77983624,0.0238,"GSM2403516_8622007065_R02C02"
"27",19,180000,38350000,-0.1028,"GSM2403516_8622007065_R02C02"
"28",19,38550000,39675000,1.0087,"GSM2403516_8622007065_R02C02"
"29",19,39750000,59084492,-0.1335,"GSM2403516_8622007065_R02C02"
"30",2,130000,243026238,0.185,"GSM2403516_8622007065_R02C02"
"31",20,155000,62907760,0.0391,"GSM2403516_8622007065_R02C02"
"32",21,10848948,44825000,0.0443,"GSM2403516_8622007065_R02C02"
"33",21,44875000,47650000,-1.0178,"GSM2403516_8622007065_R02C02"
"34",21,47750000,48084948,-0.1091,"GSM2403516_8622007065_R02C02"
"35",22,16373925,51222283,-0.1721,"GSM2403516_8622007065_R02C02"
"36",3,155000,197831215,0.3254,"GSM2403516_8622007065_R02C02"
"37",4,55000,57775000,0.3056,"GSM2403516_8622007065_R02C02"
"38",4,57825000,189575000,-0.4148,"GSM2403516_8622007065_R02C02"
"39",4,189775000,190972138,0.1299,"GSM2403516_8622007065_R02C02"
"40",5,55000,105125000,0.3074,"GSM2403516_8622007065_R02C02"
"41",5,106550000,142075000,-0.3331,"GSM2403516_8622007065_R02C02"
"42",5,142150000,154725000,0.1441,"GSM2403516_8622007065_R02C02"
"43",5,155119364,180777630,-0.4627,"GSM2403516_8622007065_R02C02"
