"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0433,"GSM2404019_9340996003_R04C02"
"2",10,105000,135462374,-0.0489,"GSM2404019_9340996003_R04C02"
"3",11,130000,134873258,0.1197,"GSM2404019_9340996003_R04C02"
"4",12,172870,133770948,0.2563,"GSM2404019_9340996003_R04C02"
"5",13,19110000,115079939,-0.0787,"GSM2404019_9340996003_R04C02"
"6",14,19325000,107119770,-0.0615,"GSM2404019_9340996003_R04C02"
"7",15,20225000,102410696,0.1274,"GSM2404019_9340996003_R04C02"
"8",16,105000,90222377,-0.0303,"GSM2404019_9340996003_R04C02"
"9",17,25000,81122605,0.0415,"GSM2404019_9340996003_R04C02"
"10",18,80000,77983624,-0.0115,"GSM2404019_9340996003_R04C02"
"11",19,180000,59084492,-0.0772,"GSM2404019_9340996003_R04C02"
"12",2,130000,243026238,0.0972,"GSM2404019_9340996003_R04C02"
"13",20,155000,62907760,0.0657,"GSM2404019_9340996003_R04C02"
"14",21,10848948,48084948,-0.0504,"GSM2404019_9340996003_R04C02"
"15",22,16373925,51222283,-0.0589,"GSM2404019_9340996003_R04C02"
"16",3,155000,197831215,-0.0921,"GSM2404019_9340996003_R04C02"
"17",4,55000,190972138,-0.1497,"GSM2404019_9340996003_R04C02"
"18",5,55000,180777630,-0.0791,"GSM2404019_9340996003_R04C02"
"19",6,155000,170952534,-0.0862,"GSM2404019_9340996003_R04C02"
"20",7,55000,159039332,0.1565,"GSM2404019_9340996003_R04C02"
"21",8,105000,146277011,0.1145,"GSM2404019_9340996003_R04C02"
"22",9,130000,141076716,0.115,"GSM2404019_9340996003_R04C02"
"23",1,635684,249195311,-0.0676,"GSM2404193_9376538153_R02C02"
"24",10,105000,4300000,0.1938,"GSM2404193_9376538153_R02C02"
"25",10,4625000,135462374,-0.0638,"GSM2404193_9376538153_R02C02"
"26",11,130000,134873258,0.1014,"GSM2404193_9376538153_R02C02"
"27",12,172870,133770948,0.2932,"GSM2404193_9376538153_R02C02"
"28",13,19110000,115079939,-0.0639,"GSM2404193_9376538153_R02C02"
"29",14,19325000,107119770,0.1673,"GSM2404193_9376538153_R02C02"
"30",15,20225000,102410696,-0.027,"GSM2404193_9376538153_R02C02"
"31",16,105000,90222377,-0.0415,"GSM2404193_9376538153_R02C02"
"32",17,25000,81122605,-0.0476,"GSM2404193_9376538153_R02C02"
"33",18,80000,77983624,-0.0541,"GSM2404193_9376538153_R02C02"
"34",19,180000,59084492,-0.045,"GSM2404193_9376538153_R02C02"
"35",2,130000,243026238,-0.0637,"GSM2404193_9376538153_R02C02"
"36",20,155000,62907760,0.074,"GSM2404193_9376538153_R02C02"
"37",21,10848948,48084948,0.1714,"GSM2404193_9376538153_R02C02"
"38",22,16373925,51222283,-0.0278,"GSM2404193_9376538153_R02C02"
"39",3,155000,197831215,-0.1276,"GSM2404193_9376538153_R02C02"
"40",4,55000,190972138,-0.0772,"GSM2404193_9376538153_R02C02"
"41",5,55000,180777630,-0.0929,"GSM2404193_9376538153_R02C02"
"42",6,155000,170952534,-0.0729,"GSM2404193_9376538153_R02C02"
"43",7,55000,159039332,0.1541,"GSM2404193_9376538153_R02C02"
"44",8,105000,8175000,0.2036,"GSM2404193_9376538153_R02C02"
"45",8,8225000,146277011,-0.0784,"GSM2404193_9376538153_R02C02"
"46",9,130000,141076716,0.126,"GSM2404193_9376538153_R02C02"
"47",1,635684,249195311,0.0238,"GSM2404484_9444374134_R05C02"
"48",10,105000,135462374,0.0311,"GSM2404484_9444374134_R05C02"
"49",11,130000,134873258,-0.0259,"GSM2404484_9444374134_R05C02"
"50",12,172870,133770948,-0.012,"GSM2404484_9444374134_R05C02"
"51",13,19110000,115079939,-0.0438,"GSM2404484_9444374134_R05C02"
"52",14,19325000,107119770,0.0276,"GSM2404484_9444374134_R05C02"
"53",15,20225000,102410696,0.0458,"GSM2404484_9444374134_R05C02"
"54",16,105000,90222377,0.0451,"GSM2404484_9444374134_R05C02"
"55",17,25000,81122605,0.0173,"GSM2404484_9444374134_R05C02"
"56",18,80000,77983624,-0.0109,"GSM2404484_9444374134_R05C02"
"57",19,180000,59084492,0.0253,"GSM2404484_9444374134_R05C02"
"58",2,130000,243026238,-0.0248,"GSM2404484_9444374134_R05C02"
"59",20,155000,62907760,-0.04,"GSM2404484_9444374134_R05C02"
"60",21,10848948,48084948,0.0497,"GSM2404484_9444374134_R05C02"
"61",22,16373925,51222283,0.0499,"GSM2404484_9444374134_R05C02"
"62",3,155000,197831215,-0.0581,"GSM2404484_9444374134_R05C02"
"63",4,55000,190972138,-0.0369,"GSM2404484_9444374134_R05C02"
"64",5,55000,180777630,-0.0305,"GSM2404484_9444374134_R05C02"
"65",6,155000,170952534,-0.0405,"GSM2404484_9444374134_R05C02"
"66",7,55000,159039332,-0.0095,"GSM2404484_9444374134_R05C02"
"67",8,105000,146277011,-0.0146,"GSM2404484_9444374134_R05C02"
"68",9,130000,141076716,0.0188,"GSM2404484_9444374134_R05C02"
"69",1,635684,249195311,-0.0784,"GSM2404548_9553932030_R01C01"
"70",10,105000,135462374,-0.0829,"GSM2404548_9553932030_R01C01"
"71",11,130000,134873258,0.1471,"GSM2404548_9553932030_R01C01"
"72",12,172870,133770948,0.32,"GSM2404548_9553932030_R01C01"
"73",13,19110000,115079939,0.1815,"GSM2404548_9553932030_R01C01"
"74",14,19325000,107119770,0.1483,"GSM2404548_9553932030_R01C01"
"75",15,20225000,102410696,0.1449,"GSM2404548_9553932030_R01C01"
"76",16,105000,90222377,-0.1032,"GSM2404548_9553932030_R01C01"
"77",17,25000,81122605,-0.1487,"GSM2404548_9553932030_R01C01"
"78",18,80000,77983624,0.0827,"GSM2404548_9553932030_R01C01"
"79",19,180000,59084492,-0.1638,"GSM2404548_9553932030_R01C01"
"80",2,130000,243026238,0.1512,"GSM2404548_9553932030_R01C01"
"81",20,155000,62907760,0.0755,"GSM2404548_9553932030_R01C01"
"82",21,10848948,48084948,-0.0722,"GSM2404548_9553932030_R01C01"
