"chromosome","start","end","segmean","sample"
"1",1,635684,249195311,-0.0201,"GSM2403753_9283265153_R02C01"
"2",10,105000,135462374,0.0498,"GSM2403753_9283265153_R02C01"
"3",11,130000,134873258,0.0354,"GSM2403753_9283265153_R02C01"
"4",12,172870,133770948,-0.0099,"GSM2403753_9283265153_R02C01"
"5",13,19110000,115079939,0.0744,"GSM2403753_9283265153_R02C01"
"6",14,19325000,2.1e+07,0.234,"GSM2403753_9283265153_R02C01"
"7",14,21075000,107119770,-0.022,"GSM2403753_9283265153_R02C01"
"8",15,20225000,102410696,-0.0069,"GSM2403753_9283265153_R02C01"
"9",16,105000,90222377,0.033,"GSM2403753_9283265153_R02C01"
"10",17,25000,81122605,-0.0458,"GSM2403753_9283265153_R02C01"
"11",18,80000,77983624,-0.1008,"GSM2403753_9283265153_R02C01"
"12",19,180000,59084492,0.0185,"GSM2403753_9283265153_R02C01"
"13",2,130000,243026238,0.0485,"GSM2403753_9283265153_R02C01"
"14",20,155000,62907760,-0.0523,"GSM2403753_9283265153_R02C01"
"15",21,10848948,48084948,0.0263,"GSM2403753_9283265153_R02C01"
"16",22,16373925,51222283,-0.0265,"GSM2403753_9283265153_R02C01"
"17",3,155000,197831215,0.0256,"GSM2403753_9283265153_R02C01"
"18",4,55000,190972138,-0.0609,"GSM2403753_9283265153_R02C01"
"19",5,55000,180777630,-0.0054,"GSM2403753_9283265153_R02C01"
"20",6,155000,170952534,0.0291,"GSM2403753_9283265153_R02C01"
"21",7,55000,159039332,0.1154,"GSM2403753_9283265153_R02C01"
"22",8,105000,146277011,0.046,"GSM2403753_9283265153_R02C01"
"23",9,130000,141076716,-0.0076,"GSM2403753_9283265153_R02C01"
"24",1,635684,249195311,0.012,"GSM2403755_9283265153_R04C01"
"25",10,105000,135462374,0.0772,"GSM2403755_9283265153_R04C01"
"26",11,130000,134873258,0.0274,"GSM2403755_9283265153_R04C01"
"27",12,172870,133770948,0.0783,"GSM2403755_9283265153_R04C01"
"28",13,19110000,115079939,0.0931,"GSM2403755_9283265153_R04C01"
"29",14,19325000,107119770,-0.005,"GSM2403755_9283265153_R04C01"
"30",15,20225000,102410696,0.0041,"GSM2403755_9283265153_R04C01"
"31",16,105000,90222377,0.0436,"GSM2403755_9283265153_R04C01"
"32",17,25000,81122605,-0.0771,"GSM2403755_9283265153_R04C01"
"33",18,80000,77983624,-0.1138,"GSM2403755_9283265153_R04C01"
"34",19,180000,59084492,-0.0112,"GSM2403755_9283265153_R04C01"
"35",2,130000,243026238,0.0013,"GSM2403755_9283265153_R04C01"
"36",20,155000,62907760,-0.0228,"GSM2403755_9283265153_R04C01"
"37",21,10848948,48084948,0.0188,"GSM2403755_9283265153_R04C01"
"38",22,16373925,51222283,-0.0234,"GSM2403755_9283265153_R04C01"
"39",3,155000,197831215,0.022,"GSM2403755_9283265153_R04C01"
"40",4,55000,190972138,-0.0542,"GSM2403755_9283265153_R04C01"
"41",5,55000,180777630,0.0147,"GSM2403755_9283265153_R04C01"
"42",6,155000,170952534,0.0182,"GSM2403755_9283265153_R04C01"
"43",7,55000,159039332,0.1319,"GSM2403755_9283265153_R04C01"
"44",8,105000,146277011,0.0114,"GSM2403755_9283265153_R04C01"
"45",9,130000,141076716,0.0241,"GSM2403755_9283265153_R04C01"
"46",1,635684,249195311,0.0376,"GSM2403756_9283265153_R06C01"
"47",10,105000,135462374,0.0608,"GSM2403756_9283265153_R06C01"
"48",11,130000,134873258,0.0554,"GSM2403756_9283265153_R06C01"
"49",12,172870,133770948,0.0578,"GSM2403756_9283265153_R06C01"
"50",13,19110000,115079939,0.1292,"GSM2403756_9283265153_R06C01"
"51",14,19325000,107119770,0.0264,"GSM2403756_9283265153_R06C01"
"52",15,20225000,102410696,0.0375,"GSM2403756_9283265153_R06C01"
"53",16,105000,90222377,0.0543,"GSM2403756_9283265153_R06C01"
"54",17,25000,81122605,-0.1128,"GSM2403756_9283265153_R06C01"
"55",18,80000,77983624,-0.1136,"GSM2403756_9283265153_R06C01"
"56",19,180000,59084492,-0.0148,"GSM2403756_9283265153_R06C01"
"57",2,130000,243026238,0.0316,"GSM2403756_9283265153_R06C01"
"58",20,155000,62907760,-0.0093,"GSM2403756_9283265153_R06C01"
"59",21,10848948,48084948,0.0219,"GSM2403756_9283265153_R06C01"
"60",22,16373925,51222283,-0.0251,"GSM2403756_9283265153_R06C01"
"61",3,155000,197831215,0.0652,"GSM2403756_9283265153_R06C01"
"62",4,55000,190972138,-0.0366,"GSM2403756_9283265153_R06C01"
"63",5,55000,180777630,0.061,"GSM2403756_9283265153_R06C01"
"64",6,155000,170952534,0.0614,"GSM2403756_9283265153_R06C01"
