"chrom","start.pos","end.pos","n.probes","GSM2402910_6929689168_R01C01","GSM2402911_6929689152_R06C02","GSM2402912_6929689168_R05C01","GSM2402913_6929689168_R02C01","GSM2402914_6929689168_R03C01","GSM2402933_6929689161_R03C02","GSM2402934_6929689161_R04C02","GSM2402935_6929689161_R05C02","GSM2402936_6929689161_R06C02","GSM2402937_6929689161_R02C02","GSM2402947_6929689136_R04C01","GSM2403003_6929689149_R06C02","GSM2403009_6929718009_R04C01","GSM2403132_6752625054_R06C01","GSM2403135_6752625054_R03C02","GSM2403136_6752625054_R04C02","GSM2403143_6752625079_R05C01","GSM2403147_6752625079_R03C02","GSM2403148_6752625079_R04C02","GSM2403244_7970376005_R06C02","GSM2403256_7970376026_R03C01","GSM2403283_7970376029_R01C02","GSM2403300_7970376005_R03C01","GSM2403312_7970376005_R04C02","GSM2403319_7970376055_R06C01","GSM2403322_7970376067_R06C02","GSM2403335_7990895095_R04C02","GSM2403336_7990895095_R05C02","GSM2403349_7990908004_R01C01","GSM2403351_7990895159_R03C02","GSM2403357_7990895046_R04C01","GSM2403365_7990895142_R05C02","GSM2403374_7990908004_R03C02","GSM2403432_8622007025_R03C02","GSM2404095_9374342010_R04C02","GSM2404376_9422493151_R01C02","GSM2404699_9741950149_R02C02","GSM2404917_9968646167_R05C01","GSM2405319_10003886258_R02C01","GSM2941129_3998998159_R03C02","GSM2941130_3998998159_R04C01","GSM2941170_3999078079_R06C02","GSM2941279_3999834105_R06C02","GSM2941392_9407201030_R04C01","GSM2941416_9444374134_R06C01","GSM2941431_9444375150_R01C01","GSM2941502_9553932054_R05C01","GSM2941520_9721366135_R02C01"
"1",1,521369,249150001,1593,0.148,0.104,0.012,0.089,0.074,0.067,0.129,0.068,0.081,0.066,0.074,0.096,0.049,0.085,0.075,0.076,0.068,0.067,0.061,0.007,0.037,0.07,0.061,0.065,0.07,0.13,0.015,0.003,0.062,0.049,0.056,0.074,0.034,0.051,0.042,-0.041,0.06,0.014,0.076,0.128,-0.027,0.09,0.049,0.125,0.07,0.03,0.081,0.064
"2",2,10001,242950001,1282,0.123,0.087,0.021,0.084,0.02,0.076,0.068,0.055,0.07,0.048,0.065,0.09,0.045,0.053,0.052,0.055,0.053,0.054,0.05,-0.004,0.048,0.06,0.024,0.044,0.017,0.033,-0.036,-0.051,0.041,0.022,0.052,0.088,0.068,0.034,0.035,-0.052,0.051,-0.005,0.118,0.073,-0.057,0.02,0.032,0.159,0.012,0.03,-0.066,0.051
"3",3,60001,197700001,978,0.146,0.117,0.14,0.047,0.047,0.08,-0.016,0.069,0.095,0.055,0.09,0.122,-0.066,0.043,0.051,0.049,0.056,0.053,0.049,-0.039,0.031,0.045,0.004,0.029,-0.011,-0.107,-0.046,-0.141,0.039,0.003,0.045,0.111,0.046,0.031,0.009,-0.06,0.032,-0.005,0.036,0.09,-0.117,-0.012,0.023,-0.045,0.229,0.013,-0.06,0.057
"4",4,10001,190900001,742,-0.104,-0.008,-0.031,-0.101,-0.077,-0.002,-0.175,0.005,0.007,-0.011,-0.005,0.022,-0.031,-0.007,-0.004,0.008,0.001,0.001,-0.007,-0.007,0.006,0.008,-0.023,-0.002,-0.048,0.018,-0.089,-0.074,-0.015,-0.027,0.011,0.058,0.012,-0.012,-0.016,-0.094,0.008,-0.041,-0.035,-0.029,-0.047,-0.026,-0.017,-0.018,-0.031,-0.023,-0.127,-0.016
"5",5,10001,180650001,849,0.157,0.093,0.043,0.095,0.038,0.065,0.136,0.059,0.08,0.05,0.071,0.1,0.283,0.042,0.047,0.045,0.056,0.047,0.056,-0.011,0.031,0.052,0.023,0.024,0.01,0.043,0.203,-0.1,0.038,0.016,0.043,0.094,0.039,0.028,0.017,-0.052,0.037,0.003,0.123,0.072,-0.076,0.018,0.029,0.192,0.024,0.02,0.091,0.053
"6",6,60001,170850001,988,-0.3,-0.478,-0.039,-0.314,-0.106,-0.406,-0.302,-0.414,-0.463,-0.408,-0.337,-0.455,0.056,-0.488,-0.417,-0.432,-0.358,-0.38,-0.361,-0.023,-0.374,-0.362,-0.24,-0.464,-0.444,-0.388,-0.057,-0.583,-0.279,-0.381,-0.35,-0.321,-0.417,-0.416,-0.368,-0.051,-0.411,0.002,-0.282,-0.359,-0.073,-0.426,-0.356,-0.048,0.003,-0.34,-0.086,-0.287
"7",7,10001,158950001,952,0.048,0.142,0.078,0.137,0.075,0.108,0.115,0.093,0.112,0.079,0.117,0.097,-0.207,0.066,0.07,0.066,0.088,0.089,0.089,0.015,0.057,0.074,0.037,0.258,0.004,-0.205,-0.011,-0.054,0.066,0.05,0.066,0.112,0.096,0.054,0.054,0.172,0.067,0.028,-0.02,0.136,-0.041,0.019,0.059,0.121,0.03,0.064,0.104,0.09
"8",8,10001,146250001,726,-0.013,0.073,0.029,0.084,0.088,0.055,0.068,0.051,0.06,0.045,0.064,0.087,0.05,0.052,0.054,0.06,0.06,0.057,0.063,-0.006,0.098,0.065,0.039,0.02,0.027,-0.034,-0.023,-0.045,0.041,0.032,0.047,0.078,0.053,0.041,0.043,0.155,0.064,0.013,0.055,0.279,0.19,0.037,0.032,-0.056,-0.118,0.032,0.2,0.056
"9",9,10001,141000001,383,0.135,0.126,0.054,0.05,0.056,0.08,0.1,0.074,0.096,0.068,0.09,0.106,0.078,0.034,0.056,0.054,0.055,0.057,0.05,0.033,0.049,0.056,0.052,0.067,0.076,0.048,0.006,0.055,0.058,0.055,0.067,0.07,0.062,0.05,0.042,0.152,0.059,-0.001,0.06,0.079,-0.014,0.079,0.046,0.224,-0.03,0.036,-0.036,0.06
"10",10,60001,135400001,840,-0.217,0.098,0.099,0.095,0.044,0.071,0.007,0.067,0.084,0.059,0.076,0.1,-0.097,0.029,0.061,0.055,0.061,0.057,0.057,0.036,0.045,0.068,0.052,0.048,0.056,-0.143,0.001,0.01,0.049,0.05,0.05,0.077,0.06,0.045,0.046,0.038,0.064,0.027,-0.025,0.079,-0.013,0.07,0.055,-0.183,0.061,0.038,-0.037,0.064
